user_id,item_list
0,1447 25878 4927 1560 1256 13884 9742 15830 19652 18025
1,19089 23600 12409 20095 19709 16630 3165 19480 8894 8431
2,14353 19515 5566 5451 2824 3164 13782 14275 20928 19881
3,22487 12473 16857 17820 3942 20905 12462 10689 9087 24093
4,11384 1611 9243 13427 4927 19704 11796 18692 11067 9007
5,8097 17819 7494 16172 8322 9301 19709 19152 15150 12214
6,24383 25044 23906 4824 14020 14356 1282 10745 19166 681
7,17332 14682 12181 13840 3850 7646 8499 4314 24134 19189
8,25407 15691 2426 10834 1583 6878 10594 23154 13711 6734
9,19792 15782 17092 9609 10132 25779 5741 3699 11905 23600
10,3556 12906 23361 18751 17557 12375 23026 22923 11361 20168
11,3220 22956 4661 7856 15586 12951 12890 20876 23403 3935
12,2823 19291 5447 1592 2281 6235 10380 8593 5546 20211
13,20969 25407 6446 11533 9992 1770 4213 23880 3382 23154
14,3641 20644 18499 21541 18500 18859 16793 23309 7115 21099
15,24546 17130 12643 22817 25766 9976 5709 12230 12903 17915
16,7913 4502 12684 21416 921 8400 886 17514 19874 25585
17,9438 19089 25675 17723 5942 20146 12061 16630 23600 19480
18,18793 5032 7267 12048 20300 15778 9769 13609 7448 22385
19,2426 9555 15691 23154 10834 10594 1583 12818 10981 6734
20,8606 6893 15234 23465 15398 25957 25517 13616 14132 5925
21,23778 18788 3875 16803 24366 4224 19198 18901 4919 2646
22,9487 6616 11597 1668 17899 23206 7331 17368 10005 14583
23,6200 988 16496 17836 11293 16577 6454 17143 23562 9017
24,13797 14291 19480 11730 14895 4095 20108 8935 19709 16630
25,7115 12844 7405 983 10640 12385 17884 823 25674 290
26,867 21975 19781 23056 10530 18692 4055 13707 11067 12983
27,17820 8158 5044 57 21527 5562 24484 6760 23628 3572
28,23835 6551 2233 9220 13424 8678 8742 8673 18864 1673
29,14684 19874 5078 5193 17668 25957 23770 4502 12356 24355
30,8544 21552 11384 24621 3835 2868 9243 23258 4927 23666
31,2001 13226 23651 16793 19340 6446 23468 13593 22226 7363
32,18574 9620 1573 290 10640 983 7115 16295 2643 5966
33,10269 25675 9438 5942 12061 9851 22554 10786 23799 17409
34,1959 1803 19007 9520 25839 3966 12230 5446 377 21624
35,9620 11830 8914 12844 9782 11784 14826 22023 5474 24948
36,25407 2426 15691 6734 1583 16928 17156 16906 23141 22848
37,19480 1639 19524 10528 24075 3620 10009 21932 3165 3647
38,1863 8560 12061 24075 21062 13628 4940 7266 180 14385
39,23816 2220 2178 21872 7321 24524 5497 6139 20820 16648
40,24075 25407 22554 5044 9438 8097 15691 20095 16630 19709
41,17322 14266 1682 21213 17225 19189 18150 14023 6599 25505
42,20553 7494 6612 13663 16630 24070 12182 1020 20321 20095
43,23854 15536 12696 8256 1184 966 8366 12770 20040 7615
44,17470 5093 17374 23324 25185 20520 8475 16473 1413 25209
45,19525 11658 17723 7494 2665 25873 24128 19089 19487 8431
46,13541 23536 4620 18190 15459 23711 12061 11792 6088 9029
47,19326 21912 18852 4032 4738 7993 16124 19281 6369 14289
48,4781 13552 24985 16893 14684 13178 5284 10626 19874 14867
49,12585 25253 18549 5787 4302 8904 23846 9646 24664 14638
50,2426 9555 10594 1583 10834 6734 12818 7991 23141 18392
51,24075 25675 7494 10269 22554 5942 9851 23799 25693 10786
52,13194 22056 20199 2919 8268 24355 14767 25009 4502 11449
