user_id,item_list
0,25878 1447 13219 2607 25075 13884 16510 1560 5161 4927
1,19089 23600 12409 20095 19709 16630 3165 19480 8431 8894
2,14353 5566 19515 5923 25653 2824 9950 19881 4401 11764
3,16086 12462 22487 9087 10689 519 12157 16857 25476 13592
4,9243 1611 11384 18692 4927 19704 13427 11796 11067 10997
5,8097 16172 7494 17819 8322 4257 14706 7013 12214 25407
6,25044 24383 23906 4824 14020 17252 3382 13102 14356 15176
7,17332 4314 14682 8104 13840 12181 4228 3850 7238 21270
8,25407 2426 1583 15691 6734 10834 6878 23154 10594 13711
9,15782 17092 5741 9609 3699 25779 19792 12375 10132 13390
10,3556 12906 17557 18751 1302 4462 24567 22923 20168 12375
11,3220 4661 22956 7856 15586 16175 21262 12951 11726 8488
12,6235 19291 2823 2281 5447 1592 20211 24546 10380 8593
13,20969 11533 9992 4213 6446 11924 1770 23154 25407 3382
14,20644 3641 18499 18500 21541 11848 20918 16999 555 5109
15,21611 24546 12643 22817 5076 6 19563 5709 25766 17130
16,7913 4502 25585 17305 21416 12258 7787 14158 886 19874
17,19089 9438 17723 20146 5942 25675 16630 19480 12409 8894
18,18793 5032 12048 7267 20300 15778 19190 4936 9769 18649
19,2426 9555 15691 23154 10834 1583 12818 10594 7095 10981
20,6893 8606 23465 15398 14132 18021 5078 1630 25957 15234
21,23778 18788 3875 24366 16803 19198 4919 12344 600 4224
22,1668 6616 9487 17899 11597 17368 9824 7331 14583 23206
23,988 6200 16496 17836 11293 6454 16577 23562 21806 22680
24,14291 19480 13797 11730 19709 8935 14895 20108 13310 4095
25,12844 7405 7115 983 12385 10640 18574 290 20656 16844
26,23056 23711 11792 5717 21975 867 19781 20496 18692 13707
27,8158 5562 57 5044 17820 21527 23628 22270 14609 11706
28,7920 8742 9220 23835 6551 8673 21523 2233 17847 22881
29,14684 19874 5193 5078 25957 5765 24914 17668 7852 21428
30,8544 21552 24621 11384 3835 9243 25491 20496 5717 22511
