user_id,item_list
0,25878 1447 1560 4927 2607 15646 13219 20297 7143 5386
1,19089 23600 12409 19709 16630 20095 3165 19480 8431 8894
2,14353 5566 11764 19515 2824 14275 1410 25653 975 12684
3,22487 10689 3942 16857 12473 9087 16086 5412 24022 17820
4,9243 1611 867 13427 9295 19704 18692 4927 14271 973
5,8097 16172 17819 4257 12214 25407 7494 8322 14706 7013
6,24383 25044 4824 23906 17252 3382 14020 10745 11578 14356
7,17332 8104 14682 13840 4228 8499 12181 21270 11300 20620
8,25407 2426 15691 6878 14059 10834 6734 1583 10594 23154
9,9609 5741 19792 25779 15782 13390 12375 18875 10132 3699
10,3556 12906 24567 22923 17557 13775 19792 20168 11361 1302
11,3220 22956 4661 7856 15586 3935 12951 20876 8296 23403
12,6235 2823 2281 19291 1592 20211 24546 10380 5447 8593
13,20969 11533 9992 1770 25407 4213 23154 23880 6446 24727
14,20644 18499 3641 21541 555 25649 10914 12584 18500 11848
15,24546 25766 22817 12643 21611 5076 17130 12903 5709 8805
16,7913 25585 4502 21416 886 8400 12258 17514 12684 921
17,19089 20146 17723 9438 19480 16630 23600 12409 2665 5942
18,18793 5032 7267 20300 12048 15778 7448 18649 13609 4936
19,2426 9555 15691 23154 10834 6327 10981 10594 1583 12818
20,6893 8606 5078 18021 14132 14523 23465 16544 25957 15398
21,23778 3875 18788 16803 24366 13138 19198 4919 18901 12344
22,6616 1668 17899 9487 11597 23206 7331 17368 10005 14583
23,6200 988 16496 17836 11293 21806 16577 25018 6454 15
24,14291 19480 8935 13797 11179 11730 4431 19986 14895 19709
25,7115 7405 12844 983 10640 16844 18574 20656 290 14801
26,5633 21975 23056 23711 867 5717 20496 4055 15463 19781
27,5044 57 17820 8158 24484 21527 5562 22270 11706 14609
28,23835 2233 6551 19424 4179 8673 7920 8742 22881 15254
29,14684 13894 5078 19874 25645 25957 24914 14632 7708 8917
30,8544 21552 24621 3835 9243 11384 25491 2868 1863 4966
31,2001 13226 23651 16793 20913 23468 13593 6446 19340 13658
32,290 9620 1573 18574 10640 983 17884 4304 7115 22444
33,10269 25675 9438 12061 5942 22554 9851 10786 25260 23799
34,1959 1803 23324 19007 9520 13343 25839 7581 24546 3658
35,9620 9352 15325 3203 24445 19173 14826 6709 9782 8070
36,25407 2426 15691 6734 1583 16928 22848 17156 16906 9701
37,1008 3620 19480 24075 10009 10528 1639 9187 10952 3647
38,1863 8560 21062 13628 12061 4940 7266 8811 21552 24075
39,2220 23816 10134 2178 7321 25945 1812 16648 6139 21872
40,24075 25407 8097 5044 22554 15691 16630 20095 20146 19089
41,6599 17225 1682 8544 14266 24410 19189 1695 17322 14023
42,20553 6612 13663 7494 20544 24070 18512 15169 13870 4502
43,12696 23854 966 8256 15536 12770 4720 2900 552 8134
44,17470 5093 20520 7418 25185 22480 11576 17689 17374 441
45,19487 19089 11658 24128 7494 19525 17723 6827 8894 2665
46,23536 13541 11792 4620 6088 15459 18190 19114 23711 9029
47,19326 18852 4032 21912 4738 7993 6369 16124 6954 19281
48,13552 4781 24985 16893 5284 13178 13433 303 11737 14684
49,12585 25253 18549 5787 4302 23846 22757 24465 9646 15958
50,2426 9555 10594 1583 10834 6734 12818 7991 17156 23141
51,24075 25675 7494 561 22554 5942 10269 942 10845 4957
52,13194 22056 2919 6253 20626 23510 20948 22718 25009 3298
53,17874 11115 21008 10488 17697 11134 16790 1273 22126 17339
54,25675 3803 7202 19401 19564 18293 15564 20439 22554 12061
55,15562 17635 14158 12750 17121 2122 4064 15180 13842 20700
56,11741 11987 10384 2910 20933 5413 4638 8543 3348 12742
57,25656 6049 11378 24791 75 2390 2436 636 2301 7968
58,5930 306 16577 11705 11197 1259 17994 12943 22324 23618
59,8841 23950 8531 9005 11223 6544 19668 10803 2846 2253
60,3527 13810 25526 762 11774 175 6096 25458 2237 19507
61,14372 6619 6446 8914 8826 14378 9041 470 17346 6709
62,11527 12759 10311 16394 24138 8097 12214 5952 7350 3775
