user_id,item_list
0,25878 1560 1447 15646 4927 2607 5386 20297 7143 13859
1,19089 23600 12409 19709 16630 20095 3165 19480 8894 8431
2,5566 14353 1410 14275 12684 11764 25653 19515 975 17242
3,22487 10689 3942 16857 12473 9087 17024 5934 24022 5412
4,9243 867 9295 13427 1611 10997 14271 20799 973 17005
5,8097 16172 17819 4257 25407 8322 12214 7494 7013 14706
6,24383 25044 4824 23906 17252 3382 10745 14020 11578 5808
7,17332 8104 14682 13840 4228 20620 8499 21270 12181 11300
8,25407 2426 6878 14059 6734 15691 23154 10594 10834 1583
9,5741 19792 9609 25779 15782 12375 13390 18875 20959 10132
10,3556 12906 24567 22923 17557 1302 13775 19792 4462 20168
11,3220 22956 4661 7856 15586 3935 20876 12951 8296 23403
12,6235 19291 2823 2281 1592 20211 24546 10380 5447 8593
13,20969 11533 25407 9992 23154 4213 6446 1770 10594 24727
14,20644 18499 3641 21541 555 25649 12584 10914 5109 18500
15,24546 22817 12643 25766 5076 21611 22756 5709 12903 19563
16,25585 7913 4502 12258 17305 23647 921 17514 8400 21416
17,19089 20146 9438 17723 2665 23600 19480 16630 23844 5942
18,18793 5032 7267 20300 12048 13609 15778 7448 18649 4936
19,2426 15691 9555 23154 10834 10594 1583 12818 10981 6327
20,6893 8606 5078 18021 14132 14523 16544 25060 21547 15234
21,23778 3875 18788 16803 24366 13138 19198 4919 12344 4224
22,6616 1668 17899 9487 11597 23206 7331 17368 10005 14583
23,6200 988 16496 17836 11293 21806 25018 16577 6454 3547
24,19480 14291 8935 19986 11179 11730 4431 13797 19089 14895
25,7115 7405 12844 983 10640 16844 18574 24452 20656 290
26,5633 23056 15463 21975 10530 4055 25675 20496 16245 5717
27,57 17820 5044 24484 8158 21527 5562 22270 11706 14609
28,23835 2233 4179 19424 6551 15071 8673 15254 1049 8742
29,14684 13894 25645 5078 19874 14632 25957 7708 8917 4070
30,8544 21552 24621 3835 11384 9243 4966 8920 2868 1863
31,2001 13226 23651 20913 16793 23468 13593 6446 22226 13658
32,290 9620 1573 18574 10640 983 17884 4304 22444 7115
33,10269 25675 9438 12061 5942 22554 23799 9851 10786 25260
34,1959 1803 23324 19007 13343 9520 5762 25839 7581 3658
35,9620 9352 15325 3203 19173 24445 8186 6709 7699 8070
36,25407 2426 6734 15691 1583 16928 22848 9701 16906 17156
37,1008 3620 10009 24075 10528 1639 9187 19480 10952 7053
38,1863 8560 21062 4940 13628 7266 14385 12061 7108 13541
39,2220 23816 10134 25945 2178 7321 1812 4728 16648 6139
40,22554 24075 25407 8097 5044 20095 18293 16630 12923 10834
41,17225 6599 14266 1682 8544 1695 10336 19189 24410 14023
42,20553 6612 13663 24070 15169 20544 18512 13870 7494 12182
43,12696 23854 966 8256 15536 12770 4720 2900 552 8134
44,17470 7418 20520 5093 25185 22480 17689 11576 12018 16092
45,19487 19089 24128 11658 7494 19525 17723 6827 2665 7986
46,23536 13541 6088 4620 11792 18190 15459 19114 22359 23711
47,19326 18852 4032 21912 4738 6369 7993 16124 6954 14289
48,13552 4781 24985 16893 13178 5284 303 11737 13433 4115
49,12585 25253 18549 4302 5787 23846 22757 24465 9646 15958
50,2426 9555 10594 1583 10834 6734 12818 7991 23141 17156
51,24075 25675 7494 561 6573 6628 10845 5942 942 15429
52,13194 22056 6253 2919 20626 20948 23510 22718 18527 8301
53,17874 21008 10488 11115 11134 16790 17697 1273 22126 17339
54,25675 3803 7202 18293 19401 19564 15564 22554 12061 20439
55,15562 17635 14158 12750 17121 19536 15180 20700 13842 4064
56,11741 11987 10384 8543 3348 5413 2910 4638 20933 12742
57,25656 24791 11378 2436 6049 75 2390 636 2301 7968
58,5930 16577 306 11197 11705 12943 1259 17994 6047 22324
59,8841 23950 8531 9005 11223 6544 19668 10803 2846 2253
60,3527 13810 762 11774 25526 25458 6096 19507 175 14157
61,6619 14372 6446 8826 8914 9041 14378 765 470 22029
62,11527 12759 10311 16394 24138 8097 12214 7350 24999 12914
63,13502 21051 13231 8654 13424 557 24797 25327 3456 10540
64,23741 6111 6865 18925 5491 17723 388 1720 12117 12104
65,24628 22140 18959 16850 16259 19525 1628 17027 1974 2182
66,19089 24075 2533 19480 2097 7650 16083 25873 10269 12061
67,9615 13096 8590 9221 20749 14795 24401 16514 22057 19796
68,18190 6088 2333 5717 4620 11792 3983 23711 14373 9337
69,7583 25133 14660 2317 25932 3384 8860 12509 15169 19319
70,4390 14356 10162 3812 8990 22121 25407 10653 13226 16991
71,11064 17565 5094 13724 17751 18101 15537 17400 14684 1982
72,1863 2996 21552 22645 13541 8920 4940 24075 19094 23536
73,4502 18419 22128 22750 16439 343 5185 15915 18139 19874
74,1608 14104 8152 3834 24546 9520 25526 20374 7152 16481
75,20108 8251 9339 15490 11072 19910 7639 17101 11730 22511
76,25407 17877 2426 15903 15691 15196 9701 16577 10834 9555
77,7117 471 6865 13446 5491 4308 10448 18980 7147 4046
78,20431 2868 15327 5717 18190 6088 19114 25030 9029 8530
79,10269 9438 25675 22554 5942 12061 5284 24985 9851 13433
80,21652 21517 1001 12393 1449 11064 14733 11863 22838 921
81,24075 12061 25068 20532 9851 17192 22554 15323 18293 10786
82,10785 21092 17024 24075 9087 5412 12110 11153 23427 10959
83,2426 9555 23154 10594 16928 1583 10834 17156 23141 13711
84,20496 4620 24410 20148 9851 20818 23127 23711 141 7639
85,23774 2478 3580 11533 5952 8860 25596 13503 8984 20863
86,8955 6446 20500 16779 15161 3153 19498 13877 10504 10354
87,2001 6446 23468 2888 23651 18798 16577 202 21021 11820
88,9851 9438 10269 8811 22554 18293 19401 23711 3803 7202
89,11785 8070 21236 14826 3701 10215 1155 11557 19630 12611
90,4620 5717 19089 921 19480 18190 13764 23850 14978 23536
91,25044 8529 11848 22592 3175 18949 4824 16758 25419 24383
92,19480 12409 16630 20146 2665 7494 19709 17723 20095 23481
93,10269 25675 9438 2039 7550 4147 5763 13018 12061 25916
94,13541 3599 13030 14373 23127 21854 10788 24561 15587 11190
95,14413 9526 8593 5447 11339 19291 21264 24546 2281 229
96,8529 5218 19468 18644 12662 3613 17541 15673 18305 6698
97,12554 4502 19874 24355 20308 18419 13850 21428 17668 20553
98,19874 4502 24355 17668 20308 5581 4257 15234 7883 20553
99,11623 7839 17130 1959 9135 1745 19007 5877 25458 14684
100,512 20081 15207 22334 1258 3877 8772 24481 18523 22573
101,22554 25675 4201 21297 25407 11649 7564 2426 20973 8097
102,6136 22354 23378 9031 15842 14384 11848 9086 3585 22484
103,19781 867 8544 19704 9243 5717 17858 3348 11796 6547
104,10581 14684 19874 22653 24355 5756 11550 19089 19480 20308
105,22750 942 15790 22554 18293 2174 9375 23485 7202 13720
106,275 22356 23711 23299 3668 9851 8811 12061 13672 11174
107,1863 7266 8786 4940 8560 6422 20645 7108 13628 22645
108,22121 18544 24747 14378 14356 19089 22335 23858 3539 18317
109,7363 10162 13226 484 2679 2888 1303 7049 4664 970
110,15196 14554 5150 1095 17546 21633 5844 15234 17517 14309
111,24546 2005 24438 13343 1205 7839 5589 7846 11931 6
112,10269 17418 4525 12046 16790 16341 15619 8826 10673 14330
113,23723 16987 15563 5574 10328 17732 8558 9627 9241 9138
114,14100 4194 7455 3442 18953 16224 9125 11569 3292 23874
115,13831 22554 24075 13615 10688 25260 19792 12923 5154 7944
