user_id,item_list
0,4927 1447 13219 25878 6915 15708 5161 6548 1560 1611
1,19089 23600 12409 19709 6198 20095 16630 3165 12119 8431
2,14353 2824 5451 19515 5566 3164 25491 991 14275 24195
3,16857 22487 3942 20905 12473 7471 5412 16086 9087 17820
4,9243 13427 1611 10997 4927 22730 14271 25804 21975 19704
5,8097 16172 14706 19152 8322 17819 8089 21373 11527 21538
6,24383 25044 23906 4824 14020 11578 17252 15176 3382 4774
7,17332 14682 7646 13840 4314 12181 19189 8499 21270 24134
8,25407 15691 10834 2426 13711 6878 1583 23154 25138 10594
9,19792 9609 17092 15782 13390 10132 25779 811 25358 14978
10,3556 12906 19792 11361 9934 23361 12375 18751 22923 20168
11,3220 4661 22956 7856 15586 21262 16175 11726 12951 14310
12,2281 19291 6235 2823 5447 20211 10380 1592 7820 16212
13,20969 11533 9992 4213 25407 23154 1770 6446 10594 23430
14,3641 18499 20644 21541 18500 11848 23309 16999 25649 7115
15,24546 5076 19563 22817 12643 6 12661 5709 22622 175
16,7913 4502 17305 9018 8175 17514 8400 14137 921 21416
17,17723 19089 20146 23778 23600 12409 7030 6198 7245 2665
18,5032 18793 12048 7267 13609 20300 19190 4936 9769 7448
19,2426 15691 9555 23154 10834 6327 10594 12818 7095 1583
20,6893 8606 14132 5925 5078 25517 25957 18021 9633 2507
21,23778 18788 24366 3875 16803 13138 4224 19198 2646 18901
22,9487 1668 6616 11597 17368 23206 7331 17899 20163 13756
23,6200 16496 988 11293 17836 16577 6454 25018 14835 17143
24,13797 19480 14291 4095 1258 11730 8935 20108 19709 11179
25,7115 12844 7405 983 10640 18574 20656 290 12385 1573
26,23056 21975 867 16245 10530 21552 19781 4055 5633 15463
27,57 24484 17820 8158 21527 6760 5562 5044 11706 22270
28,23835 6551 2233 8742 23020 3123 15254 13424 7920 3687
29,5193 21428 23770 8667 5765 24914 25645 7852 25957 7030
30,8544 21552 22511 24621 9243 3835 4966 8920 11384 20108
31,2001 13226 23651 23468 10162 17013 16793 19340 22226 7363
32,18574 1573 9620 5966 7115 290 983 10640 2643 20656
33,10269 9438 25675 5942 17409 12061 22554 23799 25260 24894
34,1959 19007 23324 1803 16124 9520 3966 12230 21624 24546
35,9620 12844 823 983 5966 14826 8914 9352 13078 23430
36,25407 2426 6734 1583 16928 15691 22848 9701 16906 23141
37,10528 19480 21932 1008 1639 3620 3647 24075 10009 1656
38,1863 8560 21062 13628 4940 7266 12061 19822 1960 1151
39,2220 23816 2178 21872 5497 11743 16648 24524 7181 15187
40,22554 20095 5044 16630 8097 19709 15691 10834 20146 24075
41,14266 1682 17225 17322 9657 22100 19189 1041 21950 15309
42,24070 20553 13663 12182 18512 20321 1020 13870 20544 16904
43,23854 12696 15536 8256 966 12770 1184 7615 170 8366
44,17470 23324 25185 17374 11576 8475 16473 1413 20520 25209
45,19525 11658 19089 17723 19487 24128 2665 25873 7494 16948
46,23536 11792 13541 15459 3983 22359 18190 6088 4620 19114
47,19326 4032 16124 21912 18852 7993 4738 6369 19281 11194
48,4781 13552 16893 13178 24985 10626 303 5284 13170 4115
49,12585 25253 18549 4302 5787 24746 8904 3835 20220 23846
50,2426 9555 10594 1583 10834 7991 6734 12818 7727 23141
51,24075 10845 4957 6628 25675 16195 561 18432 1516 7964
52,13194 20199 22056 23510 11449 25009 14767 2507 20375 2919
53,17874 11115 17697 21008 11134 10488 1273 22126 17339 23761
54,3803 25675 7202 19564 19401 18293 22554 15564 12923 20439
55,15562 2122 11361 16218 4064 678 16241 16562 25182 14236
56,11741 11987 5413 10384 4638 3348 3668 21717 17079 14220
57,11378 25656 6049 2436 24791 75 2390 12922 23136 23424
58,5930 16577 1259 306 11197 10524 6047 10951 5495 12943
59,8841 11223 8531 23950 9005 6544 2846 10803 19668 21793
60,3527 13810 19281 2241 175 6096 12483 25458 11774 762
61,8826 6446 14378 9090 10653 8914 1282 4390 3646 22023
62,11527 12759 16394 10311 23895 3775 19150 4481 12914 7350
63,8654 13231 21051 13424 2760 557 13502 5905 3456 14315
64,23741 388 20458 17723 11323 6865 4272 5491 11979 24300
65,11674 16850 24628 18959 25013 1628 22140 1974 10538 3840
66,2533 7650 24075 19480 11091 25873 19089 16083 8431 17858
67,5966 4203 9615 18574 17451 17668 9822 18263 21973 11892
68,6088 2333 18190 3983 14373 4620 11792 5717 23457 9315
69,25932 2317 7583 13025 1005 16993 12509 15124 3264 18263
70,4390 14356 10653 10162 4588 3812 22121 9992 8990 3382
71,17565 11064 21085 17668 5094 21349 14684 17400 24070 17523
72,1863 2996 19094 22645 24340 4940 8920 21552 21859 23536
73,16439 22750 11923 15915 5185 343 3057 19086 22128 4502
74,14104 1608 7152 24546 22622 23624 16481 3834 8152 25526
75,20108 9339 8251 19910 8704 7639 14593 11730 22511 11072
76,17877 25407 15903 15196 16577 25585 6146 7583 17070 2426
77,10448 7117 18980 4272 1628 471 14753 1720 25778 4046
78,20431 2868 10530 15327 18190 25030 3337 6088 9029 19114
79,10269 9438 25675 5284 24985 5942 341 22554 13433 23799
80,21652 21517 1001 11064 4257 11863 1449 4093 24092 921
81,24075 9851 17192 12061 20532 15323 25068 22617 23799 19393
82,10785 17024 21092 7471 6626 23427 10959 12594 20023 22524
83,2426 9555 23154 16928 10834 10594 7727 1583 13711 23141
84,20496 24410 13219 20148 9851 141 23127 4620 10191 7639
85,23774 3580 11533 2478 5952 8860 6708 25596 8984 20863
86,6446 8955 15161 11951 16779 7564 14356 15196 13964 19498
87,23468 2001 6446 2888 23651 7049 18798 21021 1303 2877
88,9851 8811 10269 9438 22554 16268 18293 7202 19401 16321
89,11785 21236 8070 3701 22716 14835 10590 9352 25373 11830
90,4620 921 5717 3337 14978 11716 10887 18190 1447 12550
91,4824 25044 18949 13020 24383 16758 8529 22592 4649 25419
92,2665 12409 19480 16630 20146 19709 17723 7494 14291 20095
93,19152 10269 13018 6835 19864 9438 7583 5763 18715 17229
94,3599 13030 14373 22483 24561 11190 21854 772 15587 18545
95,14413 8593 5447 11339 9526 21264 2216 19291 6235 10380
96,8529 5218 2995 18305 19891 3613 12719 19526 19468 2715
97,12554 24355 19874 4502 19429 18419 20308 21428 15234 20553
98,24355 19874 4502 17668 20308 15234 8406 4257 5581 19879
99,9135 11623 19007 7839 12230 19281 25209 17130 5877 25458
100,15207 16241 5227 24481 8063 25479 18523 24014 14287 1258
101,21297 1994 4201 20325 25347 7564 7511 9297 22554 5218
102,19596 19193 11848 15842 22484 13057 16395 24615 16024 10956
103,19781 19704 867 9243 8544 17065 3348 11518 17858 6547
104,22653 19874 10581 14684 24355 11550 5756 19480 5284 23534
105,22750 23485 19620 22554 15790 25675 7202 942 12923 13720
106,8811 22356 23299 275 23711 12061 21238 13672 3668 10786
107,1863 7266 4940 8560 12801 8786 19049 1258 22645 18122
108,18544 22121 22335 14378 24747 14356 3539 25101 15963 23858
109,10162 7363 484 13226 7049 2888 2679 15402 4664 20688
