user_id,item_list
0,1447 25878 13219 4927 12543 9851 5161 15830 1560 20869
1,19089 23600 12409 19709 20095 16630 3165 19480 8894 8431
2,14353 2824 25693 3164 6662 16901 5566 5451 18790 991
3,22487 12473 20905 5412 18569 24093 17820 3942 16857 16086
4,9243 1611 11384 4927 13427 18692 11792 11796 11067 9295
5,8097 17819 16172 4257 12214 25407 14706 7013 8322 7494
6,25044 24383 23906 4824 14020 4774 13102 14356 17252 3382
7,13840 14682 17332 12181 3850 8499 11300 4314 21270 19189
8,25407 2426 15691 10834 1583 6878 10594 23154 6734 13711
9,9609 19792 10132 15782 25779 3699 17092 5741 11905 23600
10,3556 12906 19792 23361 18751 22923 17557 11361 20168 23026
11,3220 22956 7856 4661 12951 15586 20876 8296 11726 12788
12,2823 2281 1592 20211 24546 19291 10380 8593 5546 19114
13,20969 11533 23154 25407 1770 23880 6734 9992 2236 6446
14,20644 18499 3641 11848 18500 25407 18859 13887 21541 19336
15,24546 25766 12643 17130 22817 7839 12903 5709 4025 12230
16,7913 4502 886 21416 8400 17514 12684 921 17305 19874
17,19089 17723 20146 9438 2665 12409 16630 19480 5942 8894
18,18793 5032 7267 12048 20300 15778 9769 22385 4936 7448
19,2426 9555 15691 23154 10834 1583 10594 12818 10981 7095
20,8606 23465 15398 6893 5078 13616 25957 25517 14132 7197
21,23778 18788 3875 16803 24366 18901 4224 19198 13138 12344
22,6616 1668 11597 9487 17899 17368 23206 14583 10005 7331
23,6200 988 16496 11293 17836 21806 25018 22680 6454 16577
24,14291 19480 11730 19709 14895 8935 19089 20108 6551 11179
25,7115 12844 7405 983 10640 823 25674 12385 8131 17884
26,5717 867 23711 21975 11792 20496 19781 23056 4055 18692
27,5044 17820 8158 57 5562 21527 24484 16188 22270 24355
28,6551 2233 8742 8673 23835 9220 21523 8678 22881 10227
29,14684 5193 5078 19874 7852 24914 25957 23770 13485 12356
30,8544 21552 11384 3835 9243 24621 1863 25491 2868 23666
31,2001 13226 23651 19340 16793 7363 23593 6446 23468 13658
32,1573 9620 18574 290 10640 983 7115 23154 20656 2643
33,10269 25675 9438 5942 22554 12061 23799 17409 9851 20174
34,1803 1959 23324 21624 19007 21677 25839 24546 17323 17808
35,9620 14826 8914 15325 11830 11784 9352 5474 12844 24445
36,25407 2426 6734 15691 16928 1583 22848 16906 22651 23141
37,19480 1639 19524 1008 10009 14755 24075 21932 3647 3620
38,1863 8560 12061 13628 21062 2996 24075 180 8811 4940
39,2220 2178 7321 21872 20820 6139 16648 16871 5497 15187
