user_id,item_list
0,1447 4927 13219 15708 5161 25878 6548 1560 6915 12543
1,19089 23600 12409 20095 19709 16630 3165 6198 8431 12119
2,14353 5566 19515 2824 5451 25653 3164 13251 19881 14275
3,9087 3942 22487 16857 12462 7471 20905 5412 16086 3997
4,9243 1611 13427 4927 10997 433 22730 18692 14271 19704
5,8097 16172 14706 8322 17819 7494 7013 12214 11527 8089
6,25044 24383 4824 23906 14020 17252 11578 15176 3382 681
7,17332 4314 14682 7646 13840 12181 7238 3850 8104 21270
8,25407 15691 10834 1583 2426 13711 23154 6878 10594 6734
9,19792 9609 15782 17092 25779 5741 3699 13390 10132 811
10,3556 12906 11361 18751 17557 19792 9934 23361 20168 12375
11,3220 4661 22956 7856 21262 15586 16175 12951 8488 21385
12,19291 6235 2281 2823 5447 1592 20211 10380 8593 12494
13,20969 9992 4213 11533 1770 11924 6446 10467 823 19468
14,3641 18499 20644 21541 18500 20918 16999 23309 11848 21099
15,21611 24546 12643 5076 19563 22817 12661 6 5709 5360
16,7913 4502 17305 9018 8175 14137 8400 21416 17514 14684
17,17723 19089 9438 20146 12409 16630 23778 23600 17257 5942
18,18793 5032 12048 7267 20300 19190 13609 18649 4936 9769
19,2426 9555 15691 23154 10834 7095 12818 1583 10981 10594
20,6893 5925 8606 14132 5078 23465 25957 18021 15398 9633
21,23778 18788 24366 3875 16803 13138 19198 4919 4224 18901
22,1668 9487 6616 17899 11597 17368 9824 7331 13494 256
23,6200 988 16496 17836 11293 6454 16577 14835 9017 23562
24,14291 19480 13797 4095 8935 1258 11730 525 6551 20108
25,12844 7115 983 7405 10640 20656 18574 290 10848 12385
26,867 23056 21975 19781 21552 23711 10530 16245 13236 15463
27,8158 57 5562 17820 5044 24484 11706 21527 6760 14609
28,7920 8742 23835 6551 2233 9220 22881 3123 21523 15254
29,5193 5765 25957 21428 19874 8667 24914 14684 7030 23770
30,8544 21552 22511 24621 9243 3835 8920 11384 4966 20496
31,2001 13226 23651 23468 17013 19340 10162 16793 22226 6446
32,18574 1573 9620 5966 290 983 7115 10640 2643 20656
33,10269 9438 25675 5942 12061 22554 25260 10786 9851 23799
34,1959 1803 19007 23324 16124 9520 3966 12230 21677 24546
35,9620 823 12844 983 5966 9352 13078 9085 23430 8914
36,25407 2426 6734 1583 15691 16928 22848 9701 23141 16906
37,10528 19480 1008 3647 3620 1639 21932 24075 1504 10009
38,1863 8560 13628 21062 12061 4940 19822 2996 180 1960
39,2220 23816 2178 21872 11743 5497 7181 7321 10590 24122
40,24075 5044 20095 22554 15691 8097 16630 10834 25407 19709
41,14266 17225 1682 17322 19189 1041 19560 22100 17305 6599
