user_id,item_list
0,1447 25878 4927 13219 13884 2607 10698 1560 5161 16510
1,19089 23600 12409 19709 16630 20095 6198 3165 12119 19480
2,14353 5566 2824 19515 5451 11764 14275 5923 975 25653
3,22487 16857 16086 3942 10689 12473 1651 9087 17820 519
4,9243 1611 11384 13427 19704 9295 4927 10997 14715 18692
5,8097 16172 17819 14706 19152 21373 8322 4257 12214 7013
6,25044 24383 23906 4824 14020 3382 17252 5808 24801 19119
7,17332 14682 13840 12181 8499 4314 8104 3850 21270 4228
8,25407 2426 10834 15691 6878 1583 6734 10594 23154 13711
9,15782 19792 9609 17092 3699 5741 25779 10132 13390 12375
10,3556 12906 19792 17557 22923 20168 12375 1302 11361 18751
11,3220 22956 4661 7856 15586 12951 16175 11726 21262 8488
12,19291 6235 2823 2281 5447 1592 20211 24546 10380 8593
13,20969 11533 23154 25407 9992 1770 4213 10594 23880 24727
14,3641 20644 18499 21541 11848 555 25649 18500 16999 23309
15,24546 5076 12643 22817 19563 25766 5709 6 175 12661
16,7913 4502 25585 21416 886 8400 17514 12684 921 17305
17,19089 17723 20146 9438 16630 19480 23600 2665 12409 8894
18,18793 5032 12048 7267 20300 19190 13609 15778 7448 4936
19,2426 9555 15691 23154 6327 10834 10981 10594 1583 12818
20,8606 6893 5078 23465 14132 18021 25957 25517 15398 1630
21,23778 18788 3875 16803 24366 18901 19198 13138 4224 2646
22,1668 6616 9487 11597 17899 23206 17368 7331 14583 9824
23,6200 988 16496 11293 17836 16577 6454 17143 14835 23562
24,13797 14291 19480 11730 8935 11179 9664 1613 4095 9025
25,7405 7115 12844 983 10640 12385 18574 16844 290 20656
26,23056 20496 21975 23711 867 5717 4055 16245 19781 5633
27,5044 17820 57 8158 24484 5562 21527 22270 11706 6760
28,23835 2233 6551 8673 8742 9220 8678 22881 17847 19424
29,14684 5078 5193 19874 16538 23770 24914 25957 5765 12356
30,8544 21552 24621 11384 3835 9243 25491 1863 4966 2868
31,2001 13226 23651 16793 19340 23468 13593 6446 7363 23593
32,1573 9620 18574 290 10640 983 7115 20656 5966 2643
33,10269 25675 9438 17409 12061 5942 22554 23799 9851 10786
34,1959 19007 1803 23324 21624 3966 24546 9520 25839 17808
35,9620 14826 15325 8914 9352 24445 9782 11830 873 8070
36,25407 2426 15691 6734 1583 16928 22848 16906 17156 9701
37,19480 1639 1008 24075 3620 3647 21932 10528 14755 19524
38,1863 8560 21062 7266 12061 13628 4940 1151 8811 21552
39,23816 2178 2220 7321 21872 7181 24524 15187 24122 20820
40,24075 25407 8097 5044 22554 20095 16630 15691 19709 20146
41,17225 17322 14266 1682 6599 19189 14989 230 22100 15309
42,20553 24070 20321 1020 6612 12182 13663 18512 20544 7494
43,23854 12696 15536 8256 966 1184 12770 7615 8366 11155
44,17470 5093 20520 23324 25185 17374 11576 7418 441 8077
45,19089 19525 17723 19487 7494 11658 16948 24128 6827 8894
46,23536 11792 13541 15459 4620 18190 6088 23711 19114 9029
47,19326 4032 18852 21912 4738 7993 16124 19281 6369 11194
48,4781 13552 24985 16893 13178 5284 10626 303 4115 13433
49,12585 25253 18549 5787 4302 8904 23846 9646 24664 23262
50,2426 9555 10594 1583 10834 7991 6734 12818 7727 17156
51,24075 25675 7494 561 10845 22554 5942 942 4957 10269
52,13194 20199 22056 11449 14767 25009 23510 2919 8268 3298
53,17874 11115 17697 11134 10488 21008 22126 1273 16790 17339
54,25675 3803 7202 19401 19564 18293 20439 15564 22554 12061
55,15562 2122 16197 678 4064 18131 14009 13842 11361 22816
56,11987 11741 5413 3348 4638 20933 2910 10384 3668 6267
57,25656 11378 6049 24791 75 2390 2436 23136 636 17703
58,1259 5930 306 10524 16577 10951 11197 17994 22324 11705
59,8841 8531 11223 23950 9005 6544 19668 2846 10803 12026
60,3527 25526 13810 762 175 5101 2241 25458 6096 11774
61,14378 9090 8914 8826 6446 3646 1282 6709 17346 24747
62,11527 12759 10311 16394 3775 5952 23895 12214 19150 24138
63,8654 21051 13231 13424 557 5905 13502 3456 7940 13729
64,23741 388 6865 12561 5491 20458 24300 6206 24285 15350
65,16850 11674 24628 22140 18959 10538 19525 1628 2182 14951
66,24075 19089 2533 19480 7650 12061 10786 10269 9851 8431
67,9615 4203 17451 22057 17668 19796 5966 9822 18462 18844
68,6088 2333 18190 5717 4620 11792 23711 3983 14373 23457
69,25133 7583 16993 14407 12509 25932 14660 2317 25769 16291
70,4390 8990 4588 22121 14356 25407 3812 10162 10653 12254
71,17565 11064 5094 24070 13724 14684 17400 21349 12331 18101
72,1863 2996 21552 13541 24075 23536 8920 22645 4940 19094
73,4502 11923 18419 15915 22750 16439 5185 22128 18139 19086
74,14104 1608 24546 8152 25526 16481 7152 20374 3834 23624
75,20108 8251 9339 19910 11072 7639 22511 8704 11730 19480
76,25407 17877 2426 15903 16577 15691 10834 15196 9555 23154
77,7117 18980 10448 4272 25387 1720 1628 4046 471 14753
78,20431 2868 15327 5717 18190 19114 6088 9029 25030 10530
79,10269 9438 25675 5284 24985 22554 341 5942 13433 12061
80,21652 11064 21517 1001 1449 12393 11863 21232 22838 21783
81,24075 12061 9851 25068 20532 10786 17192 15323 5717 19114
82,10785 21092 17024 7471 23427 24075 19502 10959 9087 11153
83,2426 9555 23154 10594 10834 16928 1583 7727 17156 9446
84,20496 4620 24410 9851 7639 23711 23127 13219 20148 141
85,23774 3580 11533 2478 5952 8860 13503 8984 20863 25596
86,6446 8955 15161 16779 11951 20500 13964 19498 23039 12601
87,23468 2001 6446 2888 16577 18798 7049 23651 21021 14356
88,9851 8811 9438 10269 22554 23711 18293 19401 11792 21854
89,11785 21236 22716 8070 3701 11557 25373 14826 1155 9407
90,4620 5717 921 18190 19089 19480 9851 3337 2665 13541
91,16248 14129 4824 25044 13020 11848 8529 20573 10203 7229
92,2665 12409 19480 16630 20146 19709 17723 7494 23481 20095
93,10269 19152 25675 9438 6835 19864 13018 5763 4147 7583
94,3599 13030 14373 23127 21854 24561 11190 13541 11792 10788
95,14413 9526 5447 8593 11339 21264 2281 19291 24546 10380
96,8529 5218 2995 19468 18305 19891 18644 23331 3613 15960
97,12554 4502 24355 19874 18419 20308 19429 13850 20553 17668
98,19874 24355 4502 17668 20308 8406 5581 4257 19879 15234
99,7839 11623 9135 19007 5877 17130 24546 1959 25209 23285
100,15207 11112 16241 5227 19355 2169 1318 25479 18523 1185
101,22554 21297 1994 4201 8097 25675 25407 20325 7511 25347
102,15842 9031 19193 19596 13057 22484 6136 22354 25945 23378
103,19781 19704 867 8544 9243 5717 11067 6547 3348 11796
104,22653 10581 19874 14684 24355 19480 19089 12409 5756 11550
105,22750 15790 942 9375 13720 22554 18293 7202 19620 23485
106,275 23299 23711 12061 22356 9851 8811 10786 3668 13672
107,1863 7266 8786 4940 8560 21552 24970 12801 2267 4638
108,22121 18544 14378 24747 19089 14356 18317 22335 23189 9438
109,10162 484 7363 13226 7049 2679 2888 4664 970 20688
110,15196 14554 1095 3975 5150 17546 946 17218 21619 22209
111,24546 2005 1205 5589 6 11931 23284 24545 7839 5421
112,17418 5292 12046 10269 8671 14568 16341 16268 18377 429
113,23723 16987 15563 5574 10328 6365 13424 9241 24655 8558
114,14100 25880 7455 4194 23033 9125 17317 12042 3292 3442
115,13615 24075 22554 13831 19792 10688 7944 9438 5154 25779
116,11820 14356 5044 15196 15903 6297 20146 6076 7715 25575
117,17803 25863 2017 1250 2259 3073 25331 8773 15821 17759
118,23086 11527 10311 1151 12162 12759 19150 25484 19823 18334
119,4502 19874 15124 13070 20308 1714 18419 6450 14104 24292
120,10996 24481 24014 1258 2040 16241 18987 15207 1185 24355
