user_id,item_list
0,1447 25878 13219 4927 13884 2607 5161 1560 12543 16510
1,19089 23600 12409 19709 20095 16630 3165 19480 8431 6198
2,14353 5566 2824 19515 5451 11764 3164 5923 4401 16901
3,22487 16086 16857 519 10689 3942 12462 17820 5412 12473
4,9243 1611 11384 19704 18692 13427 4927 11796 10997 11067
5,8097 16172 17819 14706 8322 12214 7013 4257 21373 16394
6,24383 25044 23906 4824 14020 3382 17252 14356 13102 4774
7,17332 14682 13840 12181 4314 8104 21270 8499 3850 7646
8,25407 2426 15691 1583 10834 6878 6734 10594 23154 13711
9,9609 19792 15782 17092 3699 5741 25779 10132 13390 12375
10,3556 12906 19792 22923 17557 20168 12375 23361 18751 11361
11,3220 4661 22956 7856 15586 12951 16175 11726 20876 3935
12,2281 2823 19291 6235 1592 5447 24546 20211 10380 5546
13,20969 11533 23154 1770 25407 4213 9992 6446 10594 23880
14,20644 18499 3641 21541 11848 18500 25649 555 18859 13887
15,24546 12643 5076 6 22817 25766 17130 21611 19563 5709
16,7913 4502 25585 17305 21416 886 8400 17514 12684 921
17,19089 17723 20146 9438 16630 19480 12409 2665 5942 23600
18,18793 5032 12048 7267 20300 15778 19190 4936 9769 7448
19,2426 9555 15691 23154 10834 6327 10594 1583 10981 12818
20,8606 6893 23465 5078 14132 25957 15398 18021 25517 13616
21,23778 18788 3875 24366 16803 19198 18901 4224 4919 2646
22,6616 1668 9487 11597 17899 17368 7331 23206 9824 14583
23,6200 988 16496 11293 17836 6454 16577 17143 23562 21806
24,13797 14291 19480 11730 19709 8935 9664 11179 14895 20108
25,7115 7405 12844 983 10640 12385 18574 16844 17884 20656
26,23711 21975 867 5717 20496 11792 23056 19781 9029 10530
27,8158 17820 57 5044 5562 21527 24484 23628 22270 6760
28,23835 6551 7920 2233 9220 8673 8742 22881 19424 17847
29,14684 5193 5078 19874 25957 23770 24914 7852 5765 12356
30,8544 21552 24621 11384 3835 9243 25491 20496 19781 22511
31,2001 13226 23651 19340 16793 23468 6446 13593 22226 7363
32,1573 9620 290 18574 10640 983 7115 20656 2643 5966
33,10269 25675 9438 5942 12061 17409 22554 23799 9851 25260
34,1959 1803 19007 21624 23324 24546 25839 21677 17808 16124
35,9620 14826 15325 9352 8914 24445 11830 19630 873 12844
36,25407 2426 15691 6734 1583 16928 22848 23141 9701 16906
37,19480 1008 1639 3647 3620 14755 10009 19524 10528 21932
38,1863 8560 12061 13628 21062 4940 8811 21552 2996 7266
39,23816 2220 2178 21872 7321 7181 24122 15187 16648 24524
40,25407 8097 5044 24075 15691 20095 16630 20146 19709 19089
41,1682 17225 17322 14266 8524 6599 8544 1041 17305 15309
42,20553 6612 24070 12182 20321 1020 13663 11533 18512 7494
43,12696 23854 15536 966 8256 12770 7615 11155 552 8366
44,17470 23324 20520 5093 25185 17374 11576 8475 7418 8077
45,19089 19525 11658 17723 7494 19487 16948 24128 8894 25873
46,11792 23536 13541 23711 15459 18190 4620 19114 6088 9029
47,19326 4032 18852 21912 4738 16124 7993 19281 6369 14289
48,4781 13552 24985 16893 13178 5284 10626 303 14684 4115
49,12585 25253 18549 5787 4302 8904 23846 9646 24746 24664
50,2426 9555 10594 1583 10834 7991 6734 12818 7727 17156
51,24075 25675 561 7494 22554 5942 10845 942 4957 7964
52,13194 20199 22056 11449 25009 14767 23510 2919 7223 8268
53,17874 11115 17697 10488 11134 21008 22126 1273 17339 16790
54,3803 25675 7202 19401 19564 18293 15564 20439 22554 12061
55,15562 2122 16197 4064 18131 678 11361 14009 17635 22816
56,11741 11987 3348 5413 10384 20933 4638 2910 12742 13764
