user_id,item_list
0,1447 25878 4927 13219 12543 9851 5161 15830 20869 20761
1,19089 23600 12409 19709 20095 16630 3165 19480 8894 8431
2,14353 2824 5566 3164 6662 25693 16901 5923 19515 18790
3,22487 17820 5412 18569 24093 16086 3942 12473 20905 519
4,9243 1611 11384 4927 11796 18692 11792 11067 13427 19704
5,8097 25407 4257 12214 17819 16172 14706 7494 8322 5952
6,25044 24383 23906 4824 14356 14020 13102 17252 24994 4774
7,13840 4314 12181 17332 21270 11300 8499 3850 14682 8104
8,25407 2426 15691 1583 23154 10834 6734 6878 10594 13711
9,9609 19792 10132 25779 3699 23600 19089 11905 15782 9591
10,3556 12906 19792 22923 17557 18751 11361 20168 660 23361
11,3220 22956 7856 4661 15586 8296 12951 20876 3935 11726
12,2823 2281 1592 20211 24546 19114 19291 23711 8593 5546
13,20969 25407 11533 23154 1770 9992 6734 10834 6446 2236
14,18499 20644 11848 18500 3641 25407 18859 13887 681 7115
15,24546 25766 12643 17130 21611 7839 13433 8805 12230 19281
16,7913 4502 19874 17305 21416 886 8400 17514 12684 921
17,19089 17723 20146 9438 19480 2665 12409 16630 5942 8894
18,18793 5032 7267 12048 20300 15778 9769 22385 4936 18649
19,2426 9555 15691 23154 10834 1583 10594 12818 7095 10981
20,5078 6893 8606 23465 25957 15398 13616 15234 5925 13228
21,23778 18788 3875 16803 24366 18901 13138 19198 2646 12344
22,6616 1668 9487 17899 11597 17368 9824 14583 10005 23206
23,6200 16496 988 17836 11293 16577 6454 23562 17143 21806
24,14291 19480 19709 11730 19089 14895 20108 16630 4209 13797
25,7115 12844 983 7405 823 10640 8131 25674 12385 18684
26,5717 21975 867 23711 11792 20496 19781 9029 18692 13707
27,5044 17820 8158 57 5562 24484 16188 24355 3572 23628
28,6551 7920 2233 23835 8673 9220 22881 8742 17847 23056
29,14684 5078 19874 25957 17668 5193 8667 7852 24914 21428
30,8544 21552 11384 24621 9243 3835 5717 1863 2868 4966
31,2001 13226 23651 16793 6446 19340 23468 10162 13593 17013
32,1573 9620 290 23154 18574 10640 7115 983 2643 5966
33,10269 25675 9438 5942 22554 12061 25260 9851 23799 10786
34,1803 1959 23324 21677 19007 24546 17323 21624 5446 9520
35,9620 14826 15325 9352 11830 12844 19630 24445 823 8914
36,25407 2426 15691 6734 1583 16928 22848 23141 9701 16906
37,19480 10009 1639 24075 3647 19524 19709 1158 14755 10528
38,1863 8560 12061 24075 21552 13628 6088 21062 2996 180
39,2220 2178 7321 21872 23816 15187 6139 20820 16648 16871
40,25407 5044 24075 8097 20146 15691 20095 16630 10834 19709
41,8544 8524 17322 24410 19189 11317 7639 6599 14023 11408
42,20553 6612 7494 4502 13663 25407 20544 11533 18512 20095
43,12696 3469 610 966 8256 15536 23854 780 25491 7507
44,17470 5093 23324 8475 25209 11576 16473 24839 8077 1205
45,19089 7494 11658 19525 17723 8894 24128 19487 8431 16630
46,23536 11792 13541 19114 4620 23711 18190 6088 15459 9029
47,18852 19326 4032 21912 4738 7993 19281 16124 6369 1700
48,13552 24985 4781 5284 14684 19874 13433 16893 10626 13178
49,12585 25253 18549 5787 4302 8904 23846 1738 22757 9646
50,2426 9555 10594 1583 10834 6734 7991 12818 17156 23141
51,24075 25675 7494 5942 561 942 10269 19089 22554 25693
52,13194 22056 2919 11449 4502 24355 25009 20199 8268 14767
53,17874 11115 17697 10488 11134 21008 22126 17339 16790 1273
54,25675 3803 7202 18293 19401 19564 12061 24075 15564 22554
55,15562 2122 13138 16197 9243 3058 4064 678 19854 16218
56,11741 12742 3348 2910 20933 13764 10384 11987 20401 4638
57,11378 25656 75 6049 24791 2436 2390 23136 18076 21362
58,5930 16577 11197 625 12601 22121 17994 306 12943 22324
59,8531 8841 11223 9005 23950 6544 19668 10803 2846 12026
60,3527 762 16843 13810 6096 175 21611 25526 2237 12454
61,6446 8914 14378 8826 3646 6619 9090 470 17346 4390
62,11527 16394 5952 10311 8097 12759 12214 8675 19948 12914
63,13424 13231 8654 3456 21051 557 14488 13502 7940 5905
64,23741 388 24285 6865 11605 24300 2427 5491 12347 12886
65,16850 19525 2182 18959 22140 25255 8587 24628 8081 11674
66,24075 19089 10269 19480 2533 12061 7494 9851 8431 10786
67,9822 9615 5966 18574 6212 18462 91 22057 19796 18263
68,2333 6088 18190 5717 23711 11792 4620 3983 9284 19114
69,7583 15124 25932 10919 2317 5952 3264 4541 19633 12214
70,4390 8990 25407 22121 14356 3812 15691 5044 10162 10653
71,11064 17565 14684 21085 5094 17400 20857 1959 19007 24070
72,1863 24075 2996 21552 13541 8920 22645 23536 18190 12061
73,4502 18419 15915 16394 19874 22128 10073 18139 11923 14684
74,14104 24546 21611 1608 16843 9520 8152 20374 25526 20837
75,20108 8251 9339 19910 22511 11072 11730 23481 8704 7639
76,25407 17877 2426 15691 10834 16577 15903 9555 15196 23154
77,7117 25387 1720 10448 24075 4046 18980 4272 19089 15377
78,5717 2868 15327 6088 19114 20431 18190 2333 9029 23536
79,9438 10269 5284 25675 24985 22554 341 24546 13433 5942
80,21652 21517 11064 1001 4257 1449 11863 12393 189 11764
81,24075 12061 9851 10786 5717 23711 11792 10269 19114 25068
82,24075 10785 19502 24472 8311 12110 1535 7471 5825 23427
83,2426 9555 23154 10594 10834 1583 16928 17156 18392 23141
84,20496 9851 4620 23711 24410 7639 12061 23127 141 10191
85,11533 23774 3580 5952 25596 13503 6708 2478 19875 20863
86,6446 8955 16779 15161 11951 12601 8249 15196 19498 9992
