user_id,item_list
0,1447 25878 4927 13219 12543 5161 13884 7639 20869 20451
1,19089 23600 12409 19709 20095 16630 3165 8431 19480 17257
2,14353 2824 5566 3164 4401 5923 6662 4842 19515 8877
3,22487 16086 519 5412 13592 18569 24093 17820 16857 20905
4,9243 1611 18692 4927 11384 11796 19704 9007 11067 11792
5,8097 4257 12214 14706 17819 16172 16394 8322 5952 21373
6,25044 24383 23906 4824 13102 14020 14356 4774 15130 18173
7,17332 13840 4314 8104 11300 12181 14682 21270 8499 3850
8,25407 2426 1583 15691 10834 6734 6878 23154 10594 14059
9,9609 10132 19792 25779 15782 3699 5741 5045 20666 11024
10,3556 12906 11361 20168 17557 22923 23361 12375 18751 19792
11,3220 22956 7856 12951 15586 4661 11726 20876 12788 8296
12,2823 2281 1592 20211 24546 19291 10380 6235 8593 7796
13,11533 20969 1770 23154 23880 15304 2236 9992 6734 11924
14,20644 18499 3641 11848 18500 18859 13887 19336 13169 18644
15,24546 12643 25766 17130 21611 6 22817 12230 12903 7839
16,7913 886 4502 21416 8400 17514 25585 12684 921 17305
17,17723 19089 20146 12409 19480 16630 9438 2665 8894 5942
18,18793 7267 5032 12048 20300 15778 22385 7448 9769 4936
19,9555 2426 15691 23154 10834 1583 10594 7991 12818 7095
20,23465 15398 8606 13616 6893 5078 25957 24785 7197 14132
21,23778 18788 3875 24366 16803 18901 13138 19198 4919 600
22,6616 1668 11597 17899 9487 17368 7331 23206 14583 10005
23,6200 988 11293 17836 16496 6454 23562 16577 14835 9017
24,14291 8935 11179 14804 19709 19480 6551 11117 14895 18440
25,7115 12844 7405 12385 983 18684 25674 10640 8131 17257
26,867 5717 11792 20496 23711 21975 9029 19781 4055 18692
27,5044 8158 22270 57 17820 5562 16188 3711 21527 19357
28,7920 6551 8673 2233 9220 23835 19424 22881 15620 17847
29,5078 5193 14684 7852 24914 19874 25957 23770 13894 13485
30,8544 21552 11384 9243 24621 3835 25491 20496 5717 19781
31,2001 13226 23651 16793 19340 23468 6446 13081 10162 13593
32,1573 9620 290 10640 18574 983 23154 7115 2643 6878
33,10269 9438 25675 5942 22554 20174 25260 23485 20204 7763
34,1803 1959 21677 23324 17323 24546 21624 25839 19007 17808
35,9620 14826 15325 9352 19630 24445 8914 6709 9782 11784
36,25407 2426 15691 6734 1583 22848 16928 23141 9701 624
37,19480 1008 12061 3620 14755 21998 3647 24075 3165 12543
38,1863 8560 12061 13628 21062 180 2996 6088 21552 25736
39,2220 2178 1114 23816 7321 7181 24799 1812 21872 8526
40,8097 5044 20146 25407 15691 20095 19709 16630 22445 8894
41,8524 17322 11317 8544 11408 1017 24410 7639 1682 17305
42,20553 6612 20544 4502 11533 7494 13663 722 19874 18512
43,12696 23854 966 15536 8256 610 3469 552 4720 12770
44,17470 5093 23324 11576 25355 8475 20520 8077 25185 24839
45,19487 19089 7494 17723 11658 16948 19525 6827 24128 8894
46,11792 23711 19114 23536 15459 4620 13541 18190 6088 11067
47,18852 19326 4032 21912 4738 7993 19281 16124 1700 6954
48,4781 13552 24985 5284 13178 16893 4115 14684 10626 13433
49,12585 25253 18549 5787 4302 1738 8904 23846 22757 9646
50,2426 9555 10594 1583 10834 7991 12818 6734 23141 17156
51,24075 561 942 13661 7494 25675 5942 1516 5543 10845
52,13194 22056 2919 11449 25009 20199 14767 23510 6253 9291
53,17874 11115 17697 10488 11134 21008 22126 1273 16790 17339
54,3803 25675 7202 20439 18293 19401 19564 15564 16420 12061
55,15562 2122 16197 4064 675 13138 14236 17635 1868 18131
56,11741 10384 3348 12742 20933 20401 2910 11987 13764 7229
57,6049 25656 75 11378 2390 24791 2436 636 10562 17703
58,5930 11197 16577 17994 625 22324 23618 11705 1259 22121
59,8531 8841 9005 11223 23950 10803 6544 19668 2846 12026
60,3527 762 6096 13810 25526 175 12454 16843 2237 377
61,8914 3646 14378 14372 470 6619 9090 9041 6446 6709
62,11527 5952 12759 8097 16394 10311 12214 19948 8675 24138
63,8654 21051 13424 13231 557 3456 13502 5905 25327 13729
64,23741 6865 6206 24285 2427 12347 8212 25877 14401 11605
65,16850 18959 22140 8587 2182 24628 16416 10538 25255 19525
66,2720 19089 24075 2533 17858 19480 10269 7650 8431 13352
67,9615 10070 9822 22057 14565 18462 91 5966 18574 6212
68,2333 6088 18190 23711 5717 11792 4620 14373 3983 9284
69,7583 23143 12228 12509 25133 14660 25932 3264 19633 3495
70,4390 8990 14356 12254 3812 22121 10653 10162 4588 16793
71,11064 17565 5094 21085 17400 20857 1959 1621 2940 18778
72,1863 2996 13541 22645 8920 21552 24340 19094 24075 23536
73,15915 4502 22128 18419 18139 11923 16439 5185 22750 18293
74,1608 24546 21611 14104 16843 23285 25526 8152 20837 20374
75,20108 9339 8251 19910 11072 8704 15830 22511 7639 15490
76,17877 25407 16577 2426 11748 15196 15903 6146 10834 25585
77,7117 25387 1720 10448 15377 471 18980 21069 4081 13446
78,2868 5717 20431 15327 19114 6088 18190 9029 2333 23711
79,5284 9438 24985 24546 10269 341 24199 10335 13433 11702
80,21652 11064 21517 1001 12393 11863 1449 21783 21232 22838
81,9851 12061 24075 25491 10786 25068 19393 20532 5717 12313
82,10785 19502 12110 10959 8311 23427 1535 9087 7471 5825
83,2426 9555 23154 10594 10834 16928 1583 17156 7991 18392
84,20496 9851 10191 7639 4620 24410 13219 23711 9029 10009
85,23774 3580 11533 5952 13503 6708 2478 13953 8984 18566
86,6446 8955 16779 15161 11951 10354 5479 19498 12601 20500
87,2001 6446 23468 16577 2888 3812 20052 23651 19852 7049
88,9851 8811 10269 23711 9438 13661 16268 20582 25071 16321
89,11785 21236 22716 8070 3701 9496 4683 14193 14835 17866
90,5717 4620 921 3337 9851 1447 18190 10887 22003 9029
91,25044 8529 10203 11848 13910 16248 7229 14129 2745 13020
92,12409 19480 16630 20146 17723 7494 2665 19709 18317 8894
93,13018 7583 6835 19152 19864 19890 4147 7550 2039 10889
94,13030 14373 3599 24561 22483 21854 11792 23127 19180 18545
95,14413 9526 8593 5447 21264 2281 11339 24546 229 10380
96,8529 5218 19468 17229 3812 2995 17541 19891 20281 15960
97,12554 13850 19874 4502 24355 20308 25809 5157 1486 18512
98,19874 24355 4502 17668 8406 20308 4257 16228 7740 5581
99,19007 7839 11623 5915 9135 18547 1745 17130 19281 24546
100,4766 24481 24355 512 6329 11112 5464 19839 18886 24359
101,21297 22554 7511 4201 11649 1994 9297 16772 20325 25675
102,6136 22354 25530 17373 6102 25945 11259 3118 23378 9031
103,19781 867 19704 11518 8544 5717 6547 17065 11067 11796
104,10581 19874 19480 14684 24355 12409 19089 5756 5284 19709
105,22750 7202 15790 23485 22554 19620 25675 18293 5380 18804
106,12061 23711 23299 9851 22356 10786 8811 3668 20496 275
107,1863 8786 2668 8560 20629 20136 11745 13666 10996 2840
108,22121 18544 19089 24747 23189 18317 14356 25101 23858 20146
109,10162 484 7363 13226 7049 2679 4664 24862 2888 20688
110,14554 15196 5150 17218 20841 946 12142 17546 14309 15642
111,24546 2005 11931 5589 5915 21248 17823 6 21505 7839
112,17418 12046 16341 8671 16268 14568 5292 2526 23352 16191
113,23723 15563 16987 5574 10328 6365 24655 6724 13424 6920
114,25880 4194 7455 3442 18953 3292 14100 11260 17856 16224
115,13615 19792 13831 25779 10688 7944 2210 5154 811 13923
116,11820 14356 5044 20146 15196 964 9152 7715 15903 6297
117,25863 1250 17803 2017 3073 2259 25331 8773 15821 24972
118,23086 11527 12162 10311 25484 16246 19823 15183 5362 20508
119,4502 20308 18419 19874 13070 21085 1714 14104 15124 10418
120,10996 18987 2040 11979 1258 24355 21035 24014 25165 1185
121,25675 5942 24075 22554 561 25858 16295 24127 18995 16923
122,16203 15739 22024 14626 7846 11737 5950 23802 933 8675
123,21061 4147 1869 25407 8337 13887 15572 19769 7550 8986
124,2333 22646 23536 5717 13541 2868 2090 23711 4620 18190
125,6502 4257 828 25484 24330 19476 7753 25 23221 11477
126,19434 7702 14317 3702 2581 22140 8587 14437 21011 3024
127,16570 18211 10085 10859 8926 8541 18226 18415 3218 132
128,9851 10786 25675 9029 15034 10269 13118 23711 8811 9438
129,14045 861 17011 19190 15611 22293 4619 5210 9315 9441
130,24546 8805 25766 3527 175 25526 7839 12230 16124 7818
131,5713 24585 25878 20297 18190 18114 14688 4099 10698 4707
132,12597 341 11701 16187 21567 5284 20719 8712 11285 9657
133,11159 23155 21631 22862 11536 6770 22965 5415 489 12435
134,21042 22731 22121 16577 14328 19035 11295 12830 21037 1022
135,16447 4302 6579 9614 1738 9646 23846 15471 23567 25440
136,3911 18288 13433 19480 11550 24546 9529 8660 22429 17915
137,16726 3579 21409 15733 4184 13373 20963 23405 7053 7016
138,22523 20737 3223 18100 5331 999 25226 6588 5489 1028
139,10391 9347 4463 21064 7012 22102 2491 18837 8472 17800
140,13433 17180 158 21153 7124 24546 9045 3176 9940 8626
141,5078 17637 20308 14684 21857 1205 12230 17400 16124 20212
142,19480 9851 13118 20146 8544 20496 14012 5717 16630 23666
143,11584 2939 177 1975 9708 1478 24645 11814 15746 15187
144,19089 12409 7494 17723 20146 19709 16630 19480 2665 7539
145,9591 22845 7202 18119 25682 9345 25675 4100 3943 20679
146,24075 25675 5942 10786 22554 13118 12061 8538 1888 19308
