user_id,item_list
0,1447 25878 13219 4927 12543 7639 5161 9851 1560 15708
1,19089 23600 12409 19709 20095 3165 16630 8431 19480 8894
2,14353 5566 2824 3164 19515 11764 5451 16901 5923 991
3,22487 12473 3942 17820 16086 24093 5412 20905 16857 18569
4,9243 1611 13427 11384 19704 4927 18692 11796 11792 11067
5,8097 16172 14706 17819 4257 12214 7494 7013 25407 8322
6,25044 24383 23906 4824 14020 3382 17252 13102 14356 24994
7,13840 14682 17332 12181 8104 3850 4314 8499 7646 21270
8,25407 2426 15691 1583 10834 6878 23154 10594 6734 13711
9,19792 9609 25779 3699 15782 17092 10132 12375 14978 13390
10,3556 12906 19792 17557 22923 18751 23361 11361 20168 12375
11,3220 4661 7856 22956 12951 16175 15586 20876 3935 8488
12,2823 2281 1592 19291 20211 24546 19114 6235 10380 5546
13,20969 11533 23154 25407 9992 1770 6446 10594 4213 23880
14,20644 18499 3641 11848 18500 18859 25407 13887 21541 16999
15,24546 12643 25766 17130 22817 6 5709 5076 8805 12230
16,7913 4502 17305 21416 886 8400 17514 12684 921 19874
17,19089 17723 20146 9438 12409 16630 19480 2665 23600 5942
18,18793 5032 12048 7267 20300 15778 4936 19190 7448 22385
19,2426 9555 15691 23154 10834 1583 10594 12818 7095 10981
20,8606 6893 5078 23465 15398 25957 14132 13616 19907 18021
21,23778 18788 3875 24366 16803 19198 4224 18901 2646 12344
22,6616 1668 9487 11597 17899 17368 7331 23206 14583 9824
23,6200 988 16496 11293 17836 21806 6454 17143 16577 25018
24,14291 19480 19709 11730 13797 14895 20108 13310 4209 19910
25,7115 12844 983 7405 10640 823 12385 25674 8131 18684
26,23711 867 5717 11792 21975 20496 19781 23056 9029 10530
27,8158 5044 17820 57 5562 21527 23628 24484 6760 14609
28,6551 7920 23835 2233 8742 9220 8673 21523 3687 22881
29,14684 5078 19874 25957 5193 7852 24914 17668 13485 5765
30,8544 21552 24621 3835 11384 9243 19781 25491 20496 21975
31,2001 13226 23651 19340 16793 22226 23593 23468 6446 13593
32,1573 9620 18574 290 10640 7115 983 23154 2643 20656
33,10269 25675 9438 5942 12061 22554 17409 9851 25260 23799
34,1803 1959 23324 19007 21624 21677 17808 5446 3966 24546
35,9620 12844 14826 8914 15325 9352 11830 24445 22023 5474
36,25407 2426 15691 6734 1583 16928 17156 16906 22848 23141
37,19480 3647 3620 10009 1639 10528 19524 22404 1158 24873
38,1863 8560 12061 13628 21062 21552 4940 2996 6088 14385
39,2220 2178 7321 23816 21872 20820 16648 6139 15187 7181
