user_id,item_list
0,1447 25878 13219 4927 12543 5161 2607 1560 7639 15708
1,19089 23600 12409 19709 20095 3165 16630 8431 19480 8894
2,14353 5566 2824 5923 3164 19515 4401 11764 5451 16901
3,22487 16086 519 13592 10689 5412 12157 16857 17820 24093
4,9243 1611 18692 11384 4927 19704 13427 11796 11067 11792
5,8097 4257 17819 16172 14706 7494 12214 25407 7013 19874
6,25044 24383 23906 4824 14020 13102 14356 17252 3382 4774
7,17332 13840 14682 4314 12181 8104 11300 21270 8499 3850
8,25407 2426 15691 1583 10834 6878 23154 10594 6734 18392
9,9609 25779 19792 3699 15782 10132 17092 13390 5741 12375
10,3556 12906 17557 19792 22923 20168 18751 12375 23361 11361
11,3220 4661 7856 22956 15586 12951 16175 20876 3935 8296
12,2823 2281 1592 20211 19291 5546 19114 24546 6235 7796
13,20969 11533 23154 6446 1770 9992 25407 4213 2236 23880
14,20644 18499 3641 11848 18500 18859 13887 21541 25407 7115
15,24546 12643 25766 17130 21611 22817 6 8805 5076 5709
16,7913 4502 17305 19874 14158 25585 9018 21416 14137 886
17,19089 17723 20146 9438 12409 16630 19480 23600 5942 8894
18,18793 5032 12048 7267 20300 15778 9769 4936 7448 22385
19,2426 9555 15691 23154 10834 1583 10594 12818 7095 10981
20,6893 8606 23465 15398 5078 25957 13616 14132 15234 18021
21,23778 18788 3875 24366 16803 19198 18901 4224 4919 2646
22,6616 1668 9487 11597 17899 17368 7331 9824 14583 23206
23,6200 988 16496 11293 17836 16577 21806 6454 17143 25018
24,14291 19480 19709 11730 13797 14895 13310 20108 10786 9664
25,7115 12844 983 7405 10640 12385 823 8131 18684 7494
26,23711 867 5717 11792 21975 20496 19781 23056 9029 18692
27,8158 57 5044 17820 5562 21527 23628 14609 16188 24484
28,6551 7920 9220 8673 2233 23835 8742 21523 22881 17847
29,14684 5078 19874 25957 5193 17668 21428 7852 24914 5765
30,8544 21552 24621 3835 11384 9243 20496 25491 5717 19781
31,2001 13226 23651 19340 16793 23468 22226 6446 13593 13081
32,1573 9620 18574 290 10640 983 7115 23154 2643 20656
33,10269 25675 9438 5942 12061 22554 25260 17409 9851 23799
34,1803 1959 21677 19007 21624 17323 24546 23324 25839 17808
35,9620 14826 15325 9352 12844 8914 24445 19630 23430 823
36,25407 2426 15691 6734 1583 16928 22848 17156 23141 16906
37,19480 3647 10009 1639 3620 19524 10528 14755 1008 3165
38,1863 8560 12061 13628 21062 21552 6088 2996 4940 180
39,2220 2178 23816 1114 7321 7181 21872 8550 15187 24799
40,5044 25407 8097 20146 24075 15691 16630 20095 19709 8894
41,17322 6599 8544 14266 24410 8524 14023 19189 6480 1682
42,20553 6612 13663 11533 7494 4502 19874 24070 15169 18512
43,12696 23854 3469 15536 966 610 8256 12770 552 780
44,17470 5093 23324 8475 25185 20520 11576 8077 16473 17374
45,11658 19089 19525 17723 7494 19487 8894 24128 16948 8431
46,11792 13541 23536 23711 15459 18190 4620 19114 6088 3983
47,18852 19326 4032 21912 4738 19281 7993 16124 6369 6954
48,13552 4781 24985 5284 14684 19874 16893 13178 13433 10626
49,12585 25253 18549 5787 4302 8904 23846 9646 24746 22757
50,2426 9555 10594 1583 7991 10834 12818 6734 23141 7727
51,24075 25675 561 22554 5942 7494 942 10845 16195 7964
52,13194 22056 25009 11449 20199 14767 2919 4502 8268 23510
53,17874 11115 17697 11134 10488 21008 22126 17339 1273 16790
54,3803 25675 7202 19401 19564 15564 18293 22554 20439 12061
55,15562 2122 16197 18131 17635 4064 678 14009 11361 3058
56,11741 11987 10384 3348 12742 2910 20933 4638 20401 13764
57,25656 11378 6049 75 24791 2390 2436 23136 18076 636
58,5930 11197 16577 625 306 12601 12943 17994 22324 11705
59,8531 8841 11223 9005 23950 6544 19668 10803 2846 12026
60,3527 13810 762 25526 16843 6096 175 2237 7805 19281
61,8914 14378 9090 3646 470 6446 8826 6619 6709 14372
62,11527 16394 12759 10311 8097 5952 3775 12214 19948 12914
63,8654 21051 13231 13424 557 3456 13502 5905 25327 7940
64,23741 388 24285 6865 11605 5810 15350 5491 20458 8212
65,16850 22140 18959 11674 19525 24628 8587 14951 2182 25255
66,24075 19089 2533 19480 10786 10269 12061 2720 17858 7494
67,9615 9822 18462 91 5966 18574 10070 22057 6212 14565
68,2333 6088 18190 5717 23711 11792 4620 3983 19114 23457
69,7583 12509 25133 25932 2317 14660 10919 3264 15124 19633
70,4390 8990 14356 10653 10162 12254 3812 4588 22121 16793
71,11064 17565 5094 21085 17400 14684 20857 1621 24070 1959
72,1863 2996 21552 13541 24075 23536 22645 8920 19114 18190
73,4502 18419 16394 15915 22750 19874 22128 5185 10073 11923
74,14104 1608 24546 21611 16843 25526 8152 20374 22622 7152
75,20108 8251 9339 21552 19910 11072 8704 7639 15830 22511
76,25407 17877 2426 16577 10834 15691 15903 15196 9555 23154
77,7117 10448 25387 24075 18980 1720 7494 20146 21069 471
78,2868 5717 20431 15327 19114 6088 18190 2333 3337 9029
79,10269 9438 5284 24985 25675 341 22554 13433 5942 24546
80,21652 11064 21517 1001 1449 12393 11863 1754 21783 21232
81,24075 9851 12061 10786 5717 11792 19114 23711 18719 23127
82,10785 24075 19502 8311 12110 24472 10959 7471 21092 23427
83,2426 9555 23154 10594 16928 10834 1583 17156 7727 23141
