user_id,item_list
0,1447 25878 4927 13219 9851 15830 15708 5161 6915 7639
1,19089 23600 12409 20095 19709 16630 3165 19480 8894 8431
2,14353 2824 991 3164 5451 11764 19515 13782 20928 5566
3,22487 12473 3942 24075 16857 17820 24093 20905 12462 5412
4,9243 1611 13427 4927 11384 10997 14715 9295 17733 9023
5,8097 16172 19152 17819 9301 15150 14706 7494 7013 8322
6,25044 23906 24383 4824 14020 14356 4774 17252 681 10745
7,17332 14682 13840 12181 3850 7646 4314 8499 4228 24134
8,25407 2426 23154 1583 6734 6878 10594 13711 10834 15691
9,19792 15782 9609 17092 10132 3699 5741 25779 20959 11905
10,3556 12906 1302 19792 23361 13280 10045 11361 17557 12375
11,3220 4661 22956 14310 15586 7856 21262 16175 12951 19415
12,2823 19291 2281 1592 2016 5447 6235 10380 8593 20211
13,20969 25407 11533 23154 6446 9992 4213 11924 19468 16535
14,3641 18499 20644 21541 18500 25407 11848 16999 20918 16793
15,24546 22817 5709 12643 8702 13810 12903 4025 9463 9976
16,7913 4502 17305 19874 14158 9018 14137 21909 9769 14684
17,23778 23844 7245 7030 15241 18788 15635 24604 24402 19577
18,5032 18793 12048 20300 7267 13609 9769 15778 19190 4936
19,2426 15691 9555 23154 10834 10594 12818 1583 7095 6734
20,15234 8606 6893 25517 5925 14132 25957 23465 1630 18021
21,23778 18788 24366 3875 16803 19198 4224 4919 12344 2646
22,9487 1668 6616 11597 23206 20163 17368 13756 7331 256
23,6200 988 16496 17836 11293 16577 6454 23562 14835 17143
24,14291 19480 11730 13797 14895 20108 19089 19709 19910 9339
25,7115 12844 983 10640 7405 823 12385 18574 16295 290
26,23056 4927 18692 10530 16245 21552 10997 9591 11792 8544
27,17820 57 5044 8158 5562 21527 24484 6208 14609 6760
28,6551 23835 9220 2233 8678 8742 8673 18864 10227 6300
29,25957 5193 21428 14684 12356 5078 17668 23770 16538 5765
30,8544 21552 24621 11384 5717 3835 4966 9243 4927 22511
31,2001 13226 23651 16793 23468 6446 13593 19340 13081 22226
32,1573 18574 9620 10640 23154 290 7115 6878 5966 983
33,10269 25675 9438 12061 5942 22554 9851 23799 10786 13118
34,1803 19007 1959 21677 21624 5446 12230 9520 3966 1700
35,9620 23430 12844 823 12719 9863 7355 13078 22121 1895
36,25407 2426 1583 6734 15691 16928 22848 9701 16906 23141
37,3647 10009 19480 3620 5119 1639 14755 19957 1008 25709
