user_id,item_list
0,1447 25878 4927 13219 9851 15830 23481 12543 6548 8544
1,19089 23600 12409 20095 19709 3165 16630 19480 8431 8894
2,2824 3164 991 5451 16901 25693 5566 11764 4842 18790
3,22487 12473 24075 20905 3942 24093 5412 18569 17820 16857
4,1611 9243 13427 10997 14715 9578 4927 11384 11076 10979
5,8097 14706 7494 7013 16172 17819 21538 15150 19152 23086
6,25044 23906 24383 4824 24994 17252 14020 14356 3382 4774
7,13840 17332 8499 3850 7646 14682 24134 4209 12181 21019
8,25407 6878 2426 23154 1583 6734 10594 13711 10834 25138
9,9609 10132 19792 25779 3699 11905 13390 8877 16375 15782
10,3556 12906 11361 19792 18751 23361 22923 23026 12375 17557
11,3220 4661 22956 7856 20876 8296 3935 12951 21266 12890
12,2823 2281 19291 1592 20211 10380 24546 5447 8593 2016
13,20969 25407 11533 6446 9992 23154 11924 19468 16535 4213
14,3641 18499 20644 18500 25407 11848 20918 16999 7115 16793
15,22817 5709 12643 24546 4025 17130 19563 12903 25766 6
16,7913 4502 17305 14158 9018 19874 21909 14137 12214 8400
17,20404 20146 17723 23844 7030 23778 16651 19577 2665 15635
18,5032 18793 12048 20300 7267 15778 9769 13609 18649 22385
19,2426 15691 9555 23154 10834 12818 10594 1583 7095 6734
20,15234 15398 25957 25517 13616 5078 23465 5925 8606 19907
21,18788 23778 16803 24366 3875 4224 2646 18901 21786 12344
22,9487 6616 1668 11597 17899 17368 20911 20163 14583 7331
23,6200 16496 988 17836 11293 16577 6454 23562 14835 17143
24,14291 19480 11730 14895 20108 13797 19709 19910 13310 16630
25,7115 983 12844 10640 823 7405 18574 290 1573 9446
26,23056 4927 16245 18692 10530 13707 10997 477 9591 21975
27,5044 17820 57 8158 5562 14609 21527 6760 24484 6208
28,6551 23056 2233 13424 23127 8742 23835 12511 19898 17043
29,5078 25957 14684 5193 21428 17668 8667 5765 23770 19874
30,8544 21552 24621 11384 3835 5717 9243 4966 8920 25662
31,2001 13226 23651 19340 16793 13593 22226 23468 6446 13081
32,1573 18574 9620 7115 10640 23154 290 5671 20087 22010
33,10269 25675 9438 12061 5942 22554 9851 23799 10786 13118
34,1803 1959 3966 21677 5446 21624 19007 377 17808 15354
35,9620 12844 23430 823 12719 7355 22121 9863 13078 24295
36,25407 2426 1583 6734 15691 22848 9701 16928 16906 23141
37,19480 10528 19524 10009 3647 24075 1639 8439 19922 24748
38,1863 8560 4940 21062 14385 25846 13628 21552 19822 18122
39,2178 7321 2220 6139 21872 20820 5497 16871 15666 16648
40,22554 24075 5044 25407 12923 20146 8097 9438 10834 22445
41,17322 14023 6599 8544 19674 20079 1682 11453 24410 3417
42,20553 6612 13663 24070 24209 13870 11091 16630 15169 20095
43,15536 1184 170 20040 23854 7615 12770 12696 13680 552
44,17470 5093 8475 23324 25209 16473 1205 9438 11576 3214
45,19089 11658 7494 19525 17723 21049 16630 8431 8894 25873
46,23536 3983 13541 4620 6088 15459 19114 22359 11792 22356
47,4032 21912 19326 19281 18852 16124 4738 6369 7993 11514
48,4781 13552 16893 24985 13178 5284 14867 19874 303 14684
49,12585 25253 5787 18549 4302 24940 13970 24141 9646 13409
50,2426 9555 10594 1583 10834 12818 6734 23141 13711 7991
51,24075 25675 5942 7964 10269 16195 7494 1516 4957 23799
52,24355 13194 20553 8268 4502 20199 14767 25009 11449 5467
53,18499 11115 17874 17627 8529 20497 23761 22126 14396 21008
54,25675 3803 7202 19401 18293 22554 20439 19564 15564 9438
55,15562 3058 9243 10910 10601 4064 19854 16218 4809 13081
56,3668 11741 10384 5413 11987 12742 4083 21717 20401 3348
57,25656 11378 24791 2436 6049 2390 75 18076 18026 1412
58,5930 16577 11197 306 12601 625 12943 10524 22324 6047
59,11223 8841 8531 9005 6544 23950 10803 19668 12026 23042
60,13810 3527 762 12454 6096 2237 8002 25458 12483 4229
61,8826 6446 24747 14378 9782 4390 7115 20334 18499 870
62,10311 11527 16394 19150 24378 12914 12759 23895 8675 7350
63,21051 13231 8654 13424 3456 7940 5905 13502 24797 974
64,23741 20458 388 17723 15350 24300 5810 17821 851 21106
