user_id,item_list
0,1447 25878 4927 13219 9851 15830 12543 23481 454 7639
1,19089 23600 12409 19709 3165 20095 12119 8431 16630 6198
2,14353 2824 3164 25693 991 16901 5451 4842 18790 5566
3,22487 12473 5412 20905 18569 24093 17820 16086 16857 519
4,1611 9243 13427 11384 4927 10997 19704 18692 9578 11076
5,8097 7494 17819 16172 14706 7013 12214 4257 11535 21538
6,25044 24383 4824 23906 24994 14356 3382 14020 17252 13102
7,4209 13840 8499 17332 7646 3850 19189 14682 17322 11300
8,6878 1583 21123 2426 25407 18392 13711 25138 23154 15691
9,9609 25779 19792 3699 10132 15782 11905 13390 23600 16375
10,3556 12906 22923 19792 23361 23026 17557 18751 11361 660
11,3220 22956 7856 4661 8296 20876 3935 12788 12951 12890
12,2823 2281 1592 20211 19291 24546 10380 6235 8593 5447
13,20969 11533 6446 25407 17229 1770 9992 2236 19468 3382
14,20644 18499 3641 11848 25407 18500 7115 18859 21375 13887
15,12643 24546 25766 17130 22817 12903 4025 7839 6 5709
16,7913 4502 17305 9018 14158 12214 21909 14137 19874 11680
17,20146 9438 17723 19089 20404 23844 7030 13118 16651 2665
18,18793 5032 12048 20300 13609 15778 7267 9769 23697 19190
19,2426 9555 15691 6327 10834 23154 12818 10981 16928 7095
20,15234 6893 8606 15398 5078 23465 25957 13616 25517 14132
21,18788 23778 3875 16803 24366 18901 13138 2646 4224 19198
22,6616 11597 17899 9487 1668 10005 9824 17368 7331 23206
23,6200 988 16496 17836 11293 16577 25018 21806 17143 8574
24,14291 13310 19480 13797 11730 20108 16630 19709 19910 14895
25,7115 12844 983 823 10640 7405 8131 12385 18574 23430
26,23056 10530 21975 4927 13707 477 9602 18692 23711 16245
27,8158 5044 17820 57 23628 21527 5562 14609 16188 3572
28,6551 2233 7920 23056 8673 8742 22881 7534 9220 23835
29,14684 5078 17668 19874 25957 5193 13485 21428 2835 8667
30,8544 21552 11384 24621 3835 9243 25491 1398 2868 20109
31,2001 13226 19340 23651 16793 22226 6446 17013 10162 13593
32,1573 290 9620 18574 10640 23154 7115 983 5671 6878
33,10269 9438 25675 17409 5942 9851 22554 12061 23799 20174
34,1803 1959 21677 21624 5446 3966 17808 17323 377 4168
35,9620 12844 823 14826 22121 8914 15325 23430 7355 11830
36,2426 25407 6734 15691 1583 16928 22848 16906 23133 22651
37,19480 3647 19524 10009 1639 10528 1008 14163 24075 25709
38,1863 8560 7266 25846 13628 21062 14385 4940 19822 1151
39,2220 2178 1114 7321 23816 15187 21872 24524 6139 20820
40,24075 22554 5044 8097 10035 16630 9438 8894 20146 19709
41,17322 8544 14023 19189 6599 24410 8524 1682 6480 14846
42,20553 6612 13663 20095 11533 16630 24209 20321 11091 7494
43,3469 610 780 12696 21153 3835 5466 11987 12770 7507
44,17470 23324 8475 16473 25209 5093 11576 20520 24839 1205
45,19525 11658 7494 19089 17723 25873 21049 19487 24128 16948
46,23536 13541 3983 4620 6088 15459 19114 11792 18190 9029
47,18852 4032 21912 19326 19281 4738 16124 6369 7993 6954
48,13552 4781 19874 24985 5284 14684 16893 13178 303 13433
49,12585 25253 18549 5787 4302 24746 8904 9646 22757 23846
50,2426 9555 10594 7991 1583 12818 6734 10834 7727 7494
51,24075 25675 7494 21773 20022 942 4957 5942 10269 7964
52,13194 24355 4502 20553 11449 20199 25009 8268 14767 6329
53,17874 11115 21008 10488 17697 11134 17339 22126 19632 16790
54,3803 25675 7202 19401 19564 18293 20439 15564 22554 13463
55,15562 2122 9243 678 4064 14009 16197 17635 19854 7934
56,11741 10384 12742 11987 4083 5413 3668 20401 20933 21717
57,25656 11378 24791 75 2390 2436 6049 18076 12922 23136
58,5930 16577 11197 12601 306 625 1259 22324 12943 22121
59,8531 8841 9005 11223 23950 6544 10803 19668 12026 23042
60,13810 762 16843 6096 12483 2237 3527 8002 25458 19007
61,8826 6446 14378 8914 4390 17346 7115 24747 1282 9364
62,16394 10311 11527 12759 12914 19150 8097 8675 12214 24138
63,13231 3456 13424 8654 21051 13502 7940 557 14488 5905
64,23741 17723 388 20458 24300 12347 6865 24285 11605 5810
65,16850 19525 25013 25255 11674 2182 18959 22140 8081 8587
66,19089 2533 16083 8431 7650 17858 24075 19480 21799 10269
67,9615 9822 18574 5966 18462 91 6212 10070 20146 12158
68,18190 2333 6088 3983 23711 11792 5717 4620 9029 2090
69,7583 10919 15124 25932 2317 3264 2546 12509 1005 19633
70,4390 8990 3812 10162 14356 4588 22121 10653 15691 12254
71,11064 21085 17565 14684 17400 20857 19007 1959 1621 24070
72,1863 2996 21552 24075 22645 4940 19094 24340 8920 25675
73,18419 4502 16394 19874 4209 10073 22128 15915 14684 11923
74,14104 24546 1608 9520 22622 8152 11576 19007 21505 20837
75,20108 11072 19910 9339 8704 8251 21552 22511 23481 19480
76,17877 25407 15903 16577 15196 17070 8249 4257 2426 9701
77,7117 25387 471 20083 8610 15377 21108 1720 15379 24075
78,20431 2868 15327 5717 19114 3337 772 6588 16805 6088
79,10269 9438 25675 5284 24985 341 14964 23067 11268 22554
80,21652 4257 21517 1001 11863 11064 24092 1449 6990 4093
81,24075 9851 18719 22554 19393 17192 20532 12061 12568 10786
82,24075 19502 10785 22524 8311 7471 1535 20023 23427 24472
83,2426 9555 16928 9446 7727 23154 1583 17156 10834 6327
84,141 20496 4620 20148 23127 7639 21552 24410 10191 13219
85,3580 23774 5952 11533 20863 2478 4366 13503 24278 25596
86,6446 8955 11951 12601 8249 12945 19498 13964 15196 20500
87,23468 6446 2001 2888 16577 21021 23651 18798 1303 3812
88,9851 9438 10269 8811 22554 21854 13363 1439 16975 16321
89,11785 8070 21236 3701 22716 14826 7686 9782 13514 6619
90,4620 921 19480 3337 19089 1863 18190 5717 8285 3348
91,25044 4824 16758 24994 22592 13020 16248 14356 4649 8529
92,12409 19480 2665 16630 20146 19709 17723 7494 14291 23481
93,10269 9438 25675 19152 13018 6835 19864 9851 10812 12061
94,14373 13030 3599 14016 3983 24561 22483 10788 23127 11451
95,14413 9526 8593 21264 5447 11339 2281 24546 2216 19291
96,8529 5218 19891 17229 3812 2995 19468 23331 17717 17920
97,12554 24355 4502 19874 18419 20308 10418 20553 17668 13850
98,24355 19874 4502 17668 5581 15234 4257 10418 20308 19879
99,18512 20308 7839 14684 11623 9135 17130 17723 18547 19007
100,24481 1552 4766 24355 1409 1258 13696 512 11112 6002
101,16772 19468 22554 5044 25407 2426 8097 25675 7511 4201
102,22484 13057 19596 19193 996 16395 6208 19495 24615 22357
103,19781 867 19704 17065 3348 11518 6547 8544 21717 11796
104,19874 14684 10581 24355 22653 19480 19709 23534 12409 5581
105,22750 7202 23485 22554 9375 15790 19620 3803 942 10490
106,23299 23711 9851 22356 8811 12061 4254 17707 275 3668
107,1863 7266 8560 4940 21552 22645 20711 18122 8786 16552
108,22121 18544 14378 24747 23189 19089 18317 14356 3539 10537
109,10162 484 7363 13226 7049 2679 20688 14356 4664 3812
110,15196 5150 14554 17218 20841 15642 12142 17546 21633 14309
111,24546 1205 19007 5589 2005 6 11931 12230 13343 2237
112,10269 17418 16790 5292 23352 2526 14330 20587 16191 598
113,23723 16987 15563 5574 10328 24655 13424 12158 9241 16834
114,3442 25880 14100 4194 3292 11260 9125 7455 18953 23033
115,24075 22554 13615 19792 9438 13831 25779 5154 10688 25260
116,11820 5044 15196 14356 15903 7313 20146 24577 15691 9152
117,25863 17803 1250 25331 8773 15821 2017 3073 2259 23625
118,23086 11527 12162 10311 25484 16246 19150 19823 20508 24138
119,4502 19874 13070 8712 20308 18419 3562 6952 11253 18541
