user_id,item_list
0,1447 4927 5085 25878 637 15830 8486 19062 1789 19197
1,19089 23600 12409 19709 20095 3165 16630 19480 8431 17257
2,25693 3164 18790 1876 16901 6662 19899 13144 13658 1007
3,12473 22487 20905 18569 5412 17820 24093 4175 18374 25892
4,1611 9243 11384 19704 9007 18692 11067 4927 11796 13427
5,8097 7494 19709 12214 4257 11535 22121 17819 20095 8322
6,24383 25044 23906 4824 14356 13102 24994 1848 18173 15130
7,4209 19189 22862 23155 11159 9081 21582 5665 1532 1467
8,25407 1583 6878 15691 23154 2426 10834 18392 21123 10594
9,9609 23600 19089 15562 13615 20897 13944 25779 19346 8785
10,3556 22923 23361 23026 18751 3070 23919 21278 14150 12375
11,22956 7856 3220 12788 12890 23403 17540 22571 5833 1817
12,2823 18790 5546 2173 7796 24007 1592 20211 2281 12494
13,20969 25407 6446 17229 22121 19468 12601 6734 16772 15691
14,11848 20644 18499 18859 13887 13169 16728 18500 21747 681
15,25766 17130 12230 12643 24546 7839 19281 1205 12903 17323
16,7913 4502 9018 12214 19874 14684 17305 14158 21909 14137
17,9438 20146 19089 5942 25675 17723 8894 13118 19480 12061
18,18793 5032 12048 15778 7267 20300 9769 22385 4936 22548
19,2426 15691 9555 23154 10834 1583 12818 5044 10594 16928
20,15234 25957 13616 23465 15398 5078 814 7450 13228 11871
21,3875 23778 18788 24038 18901 13138 612 25224 2811 233
22,11597 6616 3689 10005 17899 10235 23206 7331 18306 2126
23,16496 17836 11293 6200 988 16577 6454 17143 9017 23562
24,14291 19480 13310 11730 16630 20108 19910 14895 19089 19709
25,7115 823 983 12844 8131 17884 18684 10640 4066 139
26,21975 10530 11067 13707 18692 4927 19781 22588 1611 6108
27,8158 5044 23628 5562 4502 14684 3572 17820 24355 18419
28,6551 21975 23056 19114 18692 3376 25736 12511 433 20729
29,14684 17668 19874 5078 24355 4502 10418 25957 6329 21697
30,11384 8544 21552 24621 3835 2868 25491 9243 4927 1863
31,2001 13226 23651 16793 19340 6446 22226 17013 10162 11121
32,1573 23154 9620 18574 10640 290 11130 983 7115 2643
33,10269 9438 25675 5942 22554 9851 12061 10786 23799 25260
34,1803 21677 21624 3177 5446 17808 12230 17323 1205 21505
35,9620 22121 823 23430 7355 12844 17884 24577 3921 9863
36,25407 2426 15691 1583 6734 22848 23141 9701 16906 18392
37,19480 24075 19524 14163 3165 5562 19089 10528 6239 3934
38,1863 8560 13628 14385 180 12061 24075 4940 21552 19822
39,7321 2178 6139 21872 20820 5497 16871 16648 2220 21326
40,24075 22554 9438 5044 8097 25407 10786 15691 10834 20146
41,17322 17305 8524 19189 8544 7639 24410 21998 1017 14023
42,13663 7494 6612 11533 20095 20553 16630 11091 24209 22464
43,3469 610 780 4320 5466 16957 3835 25491 1876 21468
44,8475 17470 23324 20239 24839 16473 9520 1205 13170 11084
45,19525 11658 7494 19089 25873 24128 8894 21049 17723 25013
46,23536 13541 4620 15459 9029 18190 11792 6088 23711 24075
47,18852 21912 4032 4738 19326 7993 19281 16124 1144 6369
48,14684 19874 24355 5284 10418 4781 24985 13552 4257 5581
49,5787 12585 18549 25253 17320 17316 17317 17314 17318 17322
50,2426 9555 10594 1583 10834 6734 12818 23141 5044 8097
51,24075 25675 10269 7494 22554 5942 7964 10786 23799 25693
52,24355 4502 20553 25013 6329 10418 8268 14684 18512 25009
53,8529 18499 25407 5763 18404 14396 23398 19005 18721 6014
54,3803 25675 7202 18293 19564 19401 15564 20439 22554 18804
55,15562 9243 19854 13138 3058 4809 13081 7853 10910 2638
56,12742 10384 20401 3348 20933 4083 11741 13764 21717 7229
57,24791 2436 6049 11378 2390 25656 75 12923 15081 10324
58,16577 11197 5930 12601 625 12943 22731 17877 23996 306
59,8841 11223 8531 9005 19668 10803 12026 23950 6544 23042
60,762 13810 6096 2237 12087 19007 175 19281 3658 15485
61,8826 7115 9129 870 24189 9364 19254 23682 2280 9190
62,16394 12214 11527 8675 10311 12759 19948 7350 7946 15749
63,3456 13231 14488 8654 21051 7940 5905 1009 13729 10931
64,23741 25877 14401 12347 12886 15710 6206 17262 25193 23655
65,16850 3840 16416 4156 18959 8081 11873 17148 19525 7552
66,19089 2533 8431 16083 3165 8894 12061 19480 17858 24075
67,9822 18574 18462 91 5966 21813 15615 7094 22010 19796
68,2333 18190 6088 23711 5717 11792 4620 3983 19114 9029
69,7583 10919 15124 3264 12509 19633 4541 23086 25133 19875
70,4390 8990 3812 15691 14356 22121 25044 10162 25407 10653
71,18778 20857 19007 17400 2940 1959 21085 21052 25924 20368
72,1863 24075 2996 21552 22645 25675 19094 10269 22554 4940
73,4502 19874 18419 16394 14684 10073 24355 15844 6691 10418
74,1745 8687 22622 17130 1959 11107 24546 19089 11702 731
75,20108 19910 9339 8251 11072 11730 22511 8704 12968 15830
76,17877 25407 2426 8249 10834 17070 9701 22010 4257 16577
77,24075 25675 14684 5942 25387 10269 7494 22554 15377 23799
78,2868 15327 5717 20431 772 3337 19114 6588 18190 18872
79,10269 9438 25675 22554 9851 12061 5942 10786 5284 23799
80,4257 16659 24978 4093 12035 24092 17480 11546 6361 15541
81,24075 22554 12061 10786 9851 10269 5942 15564 19401 18293
82,10785 1535 19502 12110 23427 8311 10959 5825 24075 5686
83,2426 9555 23154 10834 10594 1583 16928 23141 8097 5044
84,23711 4620 20496 23127 9284 12061 9851 13541 21552 24410
85,3580 5952 11533 13503 4366 16854 25596 18566 24278 13663
86,6446 8955 11951 12601 8249 15196 12945 21747 9992 2551
87,6446 2001 16577 22121 16793 3812 8249 13081 23468 14356
88,9438 9851 10269 22554 8811 18293 19401 7202 3803 19564
89,11785 3701 9782 3742 25373 11297 23340 9086 873 16366
90,4620 18190 19480 19089 5717 3337 8285 2333 921 2868
91,25044 16758 8331 14356 13102 13020 19315 18949 1848 18173
92,12409 19480 16630 7494 20146 19709 2665 23481 17723 8894
93,10269 9438 25675 9851 12061 22554 5942 10786 23799 13118
94,22602 13030 14373 14016 24561 15587 25314 11451 20750 12172
95,9526 14413 8593 2281 21264 5447 229 10380 11339 2823
96,8529 17229 3812 12839 5218 11848 8990 17717 4909 20281
97,4502 19874 24355 18419 20308 12554 17668 10418 4257 5581
98,19874 24355 4502 20308 4257 5581 17668 15234 10418 24070
99,14684 20308 18512 12409 24355 19089 20146 19480 7839 23600
100,24355 24481 1863 4766 6500 19879 25634 10796 5464 18886
101,25407 5044 16772 19468 2426 8097 22554 17229 6446 4878
102,22484 19596 13057 19495 6208 16395 24615 22357 6952 15152
103,19781 867 17065 19704 3348 6547 11518 11796 11067 15333
104,19874 14684 24355 19709 10418 20553 19480 20308 20146 6612
105,22750 15790 22554 7202 19620 5380 3803 23485 25046 18804
106,23299 23711 12061 9851 8811 22356 15034 23127 11818 12639
107,1863 21552 8560 20711 22645 18122 4940 6088 11549 13628
108,22121 23189 9438 18544 18317 24747 19089 14356 10537 25101
109,484 13226 22121 3812 14356 7363 20688 16793 12601 10162
110,15196 5150 15642 17546 9511 7568 17517 5044 19010 24075
111,24546 7839 6 5915 11931 5589 17823 2005 2237 15485
112,16191 23352 16790 598 20320 25950 17418 20587 10028 2526
113,23723 10328 24655 13424 15563 5574 16987 9241 1928 11804
114,11260 22040 14100 23033 10151 8699 25092 18054 25522 73
115,24075 22554 9438 10786 18293 12061 25260 19792 9851 13615
116,11820 15196 3711 7313 13845 4491 14356 17093 9438 24274
117,25863 25331 17803 1250 8773 15821 22166 20457 2193 17464
118,23086 12162 25484 11527 20508 8675 16246 10311 19823 23763
119,4502 19874 18419 5581 14104 1714 10418 14137 21085 19007
120,18987 11979 9934 10996 21035 1258 24481 19524 24355 10585
121,25693 16195 24075 16295 24093 6950 12530 11397 18340 7395
122,12886 2427 15739 2570 8675 23324 14401 21897 15080 6338
123,21061 4147 25407 1869 13887 7550 8337 6164 13294 8986
124,2333 2868 13541 23536 22646 23711 4620 2090 5717 18190
125,14684 17668 4257 19874 24355 4502 10418 6329 21697 18512
126,22140 14437 9330 1092 23986 8459 2666 4981 20411 21039
127,18211 10085 20158 23531 22821 23226 7926 18329 6728 25552
128,9851 10269 9438 25675 10786 1863 8811 18293 8538 9029
129,861 18708 14045 4884 2165 7944 13099 24316 1454 20926
130,24546 25766 16124 8805 12230 24075 7818 7839 18343 13433
131,9905 25878 9851 308 23700 7459 18176 5020 15302 1167
132,341 20719 21567 7109 11701 5284 7030 4694 18137 17059
133,23155 11159 21631 22862 22880 22965 11536 6770 5415 14266
