user_id,item_list
0,25878 1447 13884 4927 13219 2607 16510 1560 10698 5161
1,19089 23600 12409 19709 20095 16630 3165 6198 8431 19480
2,14353 5566 2824 19515 5923 4401 5451 3164 11764 5593
3,22487 16086 519 16857 13592 10689 12157 3942 9087 12462
4,9243 1611 11384 13427 4927 19704 11796 18692 10997 6108
5,8097 16172 17819 14706 8322 4257 7494 7013 21373 25407
6,25044 24383 23906 4824 14020 3382 24801 17252 13102 19119
7,17332 4314 14682 13840 12181 8104 21270 8499 7646 4228
8,25407 2426 15691 10834 6878 1583 6734 10594 23154 13711
9,9609 15782 17092 19792 3699 5741 10132 25779 13390 12375
10,3556 12906 17557 19792 22923 20168 1302 12375 18751 23361
11,3220 4661 22956 7856 15586 16175 12951 11726 21262 20876
12,2823 2281 19291 6235 1592 20211 24546 5546 5447 19114
13,20969 11533 1770 23154 4213 9992 6446 23880 10594 25407
14,20644 18499 3641 21541 11848 18500 555 16999 25649 20918
15,24546 5076 12643 22817 6 17130 25766 5709 21611 12230
16,7913 4502 25585 17305 19874 15015 12258 21416 18481 886
17,19089 17723 20146 9438 16630 23600 12409 2665 23778 19480
18,18793 5032 12048 7267 20300 19190 13609 15778 4936 18649
19,2426 9555 15691 23154 10834 10981 7095 10594 12818 1583
20,8606 6893 14132 23465 18021 15398 5078 25517 1630 25957
21,23778 18788 3875 24366 16803 19198 4919 4224 18901 12344
22,6616 1668 9487 11597 17899 17368 7331 23206 9824 14583
23,6200 988 16496 11293 17836 25018 21806 17143 6454 22680
24,14291 19480 13797 11730 19709 14895 9664 20108 10786 13310
25,7115 7405 12844 983 10640 12385 18574 823 20656 17884
26,23711 23056 867 21975 5717 20496 11792 4055 19781 16245
27,57 8158 17820 5562 21527 5044 22270 24484 23628 14609
28,7920 23835 6551 9220 8673 8742 2233 17847 19424 22881
29,14684 5078 5193 19874 25957 24914 5765 23770 21428 7852
30,8544 21552 24621 11384 3835 9243 20496 5717 22511 25491
31,2001 13226 23651 15489 19340 7363 23593 16793 13658 24887
32,1573 18574 9620 290 10640 983 7115 20656 2643 5966
33,10269 25675 9438 5942 12061 17409 22554 23799 25260 9851
34,1803 1959 19007 21624 24546 21677 25839 23324 3966 17808
35,9620 14826 9352 15325 8914 19630 24445 12844 11830 873
36,25407 2426 6734 15691 16928 1583 22848 16906 17156 22651
37,3647 1639 1008 19480 14755 3620 21215 10528 19957 22404
38,1863 8560 12061 21062 13628 4940 14385 21552 8811 180
39,2178 23816 2220 7321 1114 1812 7181 8550 15187 24122
40,8097 25407 22554 24075 5044 16630 20095 19709 20146 19089
41,14266 17322 17225 6599 1682 19189 15309 14989 21950 8544
42,20553 6612 24070 13663 11533 4502 7494 13870 18512 12182
43,12696 23854 15536 3469 966 8256 610 12770 7615 11155
44,17470 5093 23324 20520 25185 8475 17374 8077 11576 7418
45,19089 19525 11658 19487 17723 7494 16948 24128 8894 25873
46,23536 11792 13541 4620 15459 19114 18190 23711 6088 3983
47,19326 4032 18852 21912 4738 6369 19281 7993 16124 6954
48,13552 4781 24985 5284 16893 14684 13178 19874 13433 10626
49,12585 25253 18549 4302 5787 8904 23846 9646 24746 24664
50,2426 9555 10594 7991 1583 10834 6734 12818 7727 23141
51,24075 25675 22554 10845 561 942 5942 4957 6628 7494
52,13194 20199 22056 23510 11449 25009 14767 7223 2919 8268
53,17874 11115 17697 10488 11134 21008 22126 17339 1273 16790
54,3803 25675 19401 7202 19564 20439 22554 15564 18293 12923
55,15562 2122 16197 18131 17635 678 4064 14009 11361 22816
56,11741 11987 10384 5413 3348 20933 2910 4638 3668 12742
57,25656 11378 6049 24791 75 2390 2436 23136 636 17703
58,5930 11197 16577 306 625 12943 1259 22324 17994 12601
59,8531 8841 11223 9005 23950 6544 2846 19668 10803 12026
60,3527 25526 13810 762 175 5101 2241 11774 6096 25458
61,8914 14378 9090 3646 10653 24747 6709 9041 6619 1282
62,11527 12759 16394 10311 8097 3775 23895 5952 12214 19948
63,8654 21051 13231 13424 557 13502 5905 25327 3456 13729
64,23741 388 12561 8212 15350 6865 24285 11605 5491 1814
65,11674 16850 24628 22140 10538 18959 1628 14951 8587 1974
66,24075 19089 19480 2533 7650 12061 10786 10269 17858 9851
67,9615 9822 5966 10070 18462 4203 14565 18574 91 10480
68,6088 18190 2333 5717 4620 11792 3983 23711 14373 9284
69,7583 25932 2317 12509 25133 14660 3264 16291 910 6073
70,4390 4588 14356 8990 3812 10653 22121 10162 12254 6913
71,11064 17565 5094 17400 21085 1621 14684 24070 20857 18101
72,1863 2996 21552 24075 23536 13541 22645 8920 24340 4940
73,4502 18419 11923 16439 22750 5185 22128 15915 16394 19874
74,14104 24546 22622 1608 25526 8152 7152 16843 16481 20374
75,20108 8251 9339 19910 21552 4927 11072 7639 8704 19480
76,17877 25407 2426 15903 16577 10834 15691 23154 6146 15196
77,7117 10448 18980 24075 4272 471 1720 1628 25387 4046
78,20431 2868 19114 15327 5717 18190 6088 9029 3337 25030
79,10269 9438 5284 24985 341 25675 13433 5942 11702 22554
80,21652 11064 21517 1001 1449 12393 11863 21783 21232 22838
81,24075 9851 12061 17192 18719 10786 15323 20532 5717 11792
82,10785 21092 17024 7471 24075 23427 20023 19502 12110 10959
83,2426 9555 23154 10594 16928 10834 7727 1583 9446 17156
84,20496 4620 7639 24410 13219 23127 9851 15327 141 20148
85,23774 3580 11533 5952 2478 25596 13503 8984 8860 20863
86,6446 8955 20500 15161 11951 16779 13964 19498 23039 11545
87,23468 2001 6446 2888 7049 18798 23651 16577 21021 1303
88,9851 8811 10269 9438 22554 23711 15772 21854 1439 18293
89,11785 21236 22716 8070 3701 14826 11557 25373 1155 10215
90,4620 5717 921 9851 18190 3337 19089 19480 1863 3348
91,25044 16248 4824 14129 13020 562 10203 21871 20573 13910
92,12409 2665 19480 16630 20146 19709 17723 7494 14291 23481
93,10269 19152 25675 9438 13018 6835 7583 19864 2039 4147
94,13030 3599 14373 21854 11792 23127 24561 3983 19180 15459
95,14413 5447 11339 8593 21264 9526 19291 2281 229 10380
96,8529 5218 19468 2995 19891 3812 17541 15960 17229 18305
97,12554 4502 24355 19874 13850 18419 19429 10728 20308 21428
98,19874 24355 4502 17668 8406 20308 4257 5581 17838 19879
99,11623 7839 9135 19007 24546 17130 5877 1959 14684 23285
100,11112 15207 16241 19355 8542 5227 18523 8063 2169 25479
101,1994 21297 22554 4201 25675 2426 8097 7511 9297 20325
102,6136 15842 25945 22354 19193 9031 23378 3673 11848 14480
103,19781 19704 867 9243 8544 11067 17065 5717 3348 6547
104,19874 10581 14684 24355 22653 19480 12409 19089 19709 24075
105,22750 22554 7202 15790 942 23485 25675 18293 19620 9375
106,23299 12061 22356 9851 23711 275 8811 10786 25675 13672
107,1863 7266 8560 4940 8786 22645 21552 18122 1947 13628
108,22121 18544 14378 19089 14356 24747 18317 23189 22335 3539
109,10162 7363 484 13226 7049 2679 5044 4664 2888 20688
110,15196 14554 5150 17546 17218 20841 946 3975 12142 15642
111,24546 2005 1205 6 21248 11931 24438 24545 5589 19007
112,17418 5292 12046 14568 8671 429 16341 15619 23564 18377
113,23723 16987 15563 6365 5574 10328 8558 16834 9241 557
114,25880 14100 7455 4194 3442 3292 18953 9125 17317 17856
115,13615 22554 13831 24075 19792 10688 5154 7944 21260 25779
116,14356 11820 5044 15196 6297 15903 15364 2814 7715 25575
117,17803 25863 2017 1250 2259 3073 25331 8773 15821 24972
118,23086 11527 12162 10311 25484 19150 19823 1151 12759 25834
119,4502 19874 20308 13070 18419 15124 1714 18541 678 5907
120,10996 18987 2040 24014 1258 24355 24481 1185 15207 16241
121,25675 24075 22554 5942 25858 11153 2536 17281 18995 357
122,16203 22024 15739 5950 14626 23802 22969 25317 11737 7846
123,21061 4147 15572 8337 25407 1869 13887 19769 681 13294
124,22646 2333 5717 2868 2090 23536 13541 18190 10450 14373
125,6502 4257 25484 24330 17668 19476 828 9471 25 20964
126,19434 7702 14317 3702 3024 20273 17931 17027 2895 8587
127,16570 18211 10085 10859 18226 8541 8926 18415 1378 132
128,9851 25675 10786 10269 9438 1863 8811 15034 13118 23711
129,14045 861 4619 17011 13440 15611 22293 18708 1772 16955
130,24546 8805 3527 175 25526 12230 16124 9463 21248 7839
131,5713 24585 25878 20297 1167 5020 3469 22804 12734 9851
132,11701 12597 16187 341 11285 8712 21927 21567 6291 20719
133,11536 21631 11159 6770 22862 23155 14571 22864 22965 5415
134,21042 22121 3497 14328 11295 22731 12830 16577 19035 13294
135,16447 4302 6579 25440 9646 20220 23846 9614 8730 17287
136,3911 18288 13433 11550 19480 9529 24546 24909 13319 8660
137,16726 3579 21409 13373 15733 4184 20963 23405 7016 7053
