user_id,item_list
0,25878 1447 13219 4927 15708 6919 1560 5161 6915 12543
1,19089 23600 12409 20095 19709 16630 3165 19480 8894 6198
2,14353 19515 5566 2824 5451 11764 3164 16901 991 19881
3,22487 16857 12473 3942 17820 24093 16086 1651 20905 12462
4,9243 1611 11384 13427 4927 19704 21552 14715 11792 11796
5,8097 7494 17819 16172 12214 8322 4257 19874 7013 19709
6,25044 23906 24383 4824 14020 14356 4774 17252 681 18173
7,17332 14682 12181 13840 3850 7646 8499 4314 24134 4228
8,25407 2426 23154 1583 6734 6878 10594 13711 10834 15691
9,19792 9609 15782 17092 10132 3699 25779 5741 11905 20959
10,3556 12906 19792 23361 18751 17557 12375 11361 22923 23026
11,3220 22956 4661 7856 15586 12951 20876 3935 21262 16175
12,2823 19291 2281 1592 5447 2016 6235 10380 8593 20211
13,20969 11533 23154 25407 6446 10594 9992 1770 25133 4213
14,3641 18499 20644 21541 18500 25407 11848 16999 20918 16793
15,22817 24546 5709 12643 9976 12903 8702 9463 5360 5076
16,7913 4502 17514 886 8400 921 21416 12684 25585 19874
17,9438 20146 17723 19089 25675 5942 19480 8894 12409 16630
18,18793 5032 12048 7267 20300 13609 9769 15778 19190 7448
19,2426 9555 15691 23154 10834 10594 1583 12818 6327 7095
20,8606 6893 5078 23465 15234 15398 25957 25517 13616 5925
21,23778 18788 3875 24366 16803 19198 4224 4919 12344 2646
22,9487 1668 6616 11597 23206 17899 7331 17368 14583 9824
23,6200 988 16496 11293 17836 16577 6454 23562 17143 14835
24,14291 19480 13797 11730 14895 20108 19089 19709 19910 9339
25,7115 7405 12844 983 10640 16295 12385 25674 17884 823
26,23711 20496 23056 5717 867 16245 21975 9029 11792 25675
27,5044 17820 8158 57 21527 24484 5562 6760 24355 11706
28,23835 6551 2233 13424 9220 23127 8678 8742 8673 18864
29,14684 19874 5193 12356 23770 25957 5078 16538 17668 5765
30,8544 21552 3835 24621 11384 20496 5717 9243 1863 22511
31,2001 13226 23651 16793 23468 6446 13593 19340 22226 13081
32,1573 18574 9620 290 10640 983 7115 23154 16295 5966
33,10269 25675 9438 12061 5942 22554 9851 23799 10786 13118
34,1803 19007 1959 21624 21677 5446 12230 3966 1700 17808
35,9620 23430 12844 823 12719 9863 7355 13078 22121 139
36,25407 2426 15691 1583 6734 16928 16906 22848 17156 9701
