user_id,item_list
0,1447 25878 4927 13219 12543 23481 7639 9851 15830 6915
1,19089 23600 12409 20095 19709 16630 19480 3165 8894 8431
2,25693 6662 2824 4842 3164 18790 25491 1876 16901 991
3,22487 12473 24093 20905 3942 24075 17820 5412 18569 19572
4,9243 1611 4927 11384 21552 11792 8544 11796 18692 14271
5,8097 25407 4257 12214 7494 15691 19089 14706 20095 19874
6,25044 24383 23906 4824 2426 1282 10745 14356 17252 16443
7,4209 16257 19189 22862 341 1358 21582 23155 23267 11159
8,25407 2426 1583 23154 15691 6734 10594 10834 6878 13711
9,10132 9609 19792 8877 1863 9591 23600 19089 20666 13944
10,3556 19792 11361 12906 660 23026 23361 22923 18751 3070
11,22956 7856 3220 2957 12788 21630 16099 8296 11726 16264
12,2823 2281 1592 20211 24546 10380 19007 20496 19114 9526
13,20969 25407 11533 23154 6446 9992 1770 11924 6734 2236
14,18499 18500 11848 25407 7115 20644 13887 18859 16999 20918
15,24546 25766 17130 13433 12643 12230 7839 19281 8805 1205
16,4502 7913 21416 886 8400 12684 17514 921 19874 17305
17,19089 17723 9438 20146 19480 16630 20404 22121 2665 5942
18,5032 18793 7267 12048 15778 20300 9769 22385 22548 18649
19,2426 9555 15691 23154 10834 1583 10594 12818 7095 6734
20,5078 15234 25957 13616 23465 15398 5925 9018 19876 25446
21,3875 18901 23778 18788 16803 13138 6298 2646 24366 21139
22,6616 11597 10005 17899 3689 10235 7331 23206 9487 22582
23,16496 17836 6200 11293 988 16577 6454 14835 23562 15457
24,14291 19480 11730 19089 14895 20108 4209 19709 16630 19910
25,7115 12844 983 823 7494 25674 17257 8131 10640 18574
26,23711 5717 20496 867 9029 21975 11792 25675 23056 19781
27,5044 8158 57 17820 5562 24355 24484 14609 3572 8064
28,13424 6551 23127 21327 615 1393 23020 4411 23056 18246
29,14684 5078 19874 25957 17668 4502 24355 21428 16688 8667
30,8544 21552 24621 11384 3835 9243 5717 1863 4966 20496
31,2001 13226 23651 16793 6446 23468 13593 19340 13081 10162
32,1573 9620 18574 23154 7115 10640 6878 290 983 2643
33,10269 25675 9438 12061 5942 22554 9851 10786 19089 23799
34,1803 1959 23324 9520 21677 24546 17323 19007 3477 5446
35,9620 23430 823 24445 873 1290 13514 11785 24948 11784
36,25407 2426 15691 1583 6734 22848 23141 9701 18392 16928
37,24075 19480 10528 8439 7494 10182 2932 14163 19524 3165
38,1863 8560 6088 12061 13628 24075 4940 21062 13541 21552
39,7321 2178 20820 21872 6139 16648 16871 5497 2220 13934
40,24075 25407 5044 8097 22554 15691 9438 20146 19089 10834
41,8544 8524 24410 19189 14023 17322 11408 7639 7883 11317
42,20553 6612 7494 4502 11533 20544 13663 20095 24209 25407
43,3469 21153 610 780 3835 2312 20230 25314 5466 1252
44,17470 5093 8475 25209 1205 23324 24839 9438 7836 14678
45,19089 17723 7494 11658 19525 8894 24128 2665 12409 8431
46,19114 11792 21975 11067 3983 18190 22359 6088 454 15459
47,18852 21912 4032 4738 19326 19281 6369 1700 7993 16124
48,24985 13552 5284 13433 14684 19874 4781 10626 11388 18419
49,18549 5787 25253 12585 17320 17316 17317 17314 17318 17322
50,2426 9555 10594 1583 10834 6734 12818 23141 18392 5044
51,24075 25675 22554 7494 5942 19089 10269 25693 12061 561
52,24355 4502 20375 2919 8268 20553 2072 22056 17668 2665
53,8529 4147 14396 19166 18499 5763 23398 14354 3497 6164
54,25675 3803 7202 18293 24075 22554 19401 12061 15564 19564
55,15562 3058 13138 9243 16562 10601 10910 16218 19854 24967
56,12742 3348 11741 13764 20933 2910 10384 20401 11987 4638
57,2390 6049 75 24791 11378 2436 25656 12421 12922 16413
58,16577 5930 11197 625 22121 12601 12943 17994 306 23996
59,8841 10803 8531 11223 9005 19668 6544 21793 23042 12026
60,3527 6096 2237 175 762 12454 19007 16843 13810 19281
61,6446 8826 14378 24948 18499 7115 22081 12552 16932 6397
62,8097 16394 12214 5952 25407 11527 24577 20863 10311 8675
63,13424 13231 3456 14488 8709 8654 21051 7940 5905 13789
64,23741 17723 2427 24300 20458 12886 1628 14401 339 12347
65,16850 19525 2182 25255 3840 16416 8587 24147 4156 11873
66,19089 24075 10269 19480 2533 12061 9851 25693 8431 3165
67,19796 22057 9822 18574 5966 18263 6212 18462 91 17451
68,2333 6088 18190 5717 4620 23711 11792 3983 19114 9284
69,7583 2317 25932 15124 10919 5952 3264 4541 12214 12759
70,4390 8990 25407 22121 14356 3812 10162 10653 15691 5044
71,14684 21085 1621 17668 1959 19007 20857 17400 18778 20553
72,1863 24075 2996 21552 25675 13541 22645 8920 23536 19114
73,4502 18419 19874 16394 15915 22128 10073 22750 14684 25046
74,24546 14104 13552 11710 21505 22622 19007 13433 25209 24945
75,8251 20108 9339 19910 11072 8704 22511 7639 23481 15830
76,25407 17877 2426 15691 10834 16577 15903 23154 9555 15196
77,25387 19332 15379 7117 7494 12187 15377 7540 2356 2972
78,5717 2868 6088 15327 19114 18190 2333 23711 9029 13541
79,10269 9438 25675 22554 12061 5942 5284 9851 10786 13433
80,4257 6699 21516 4314 14626 11546 6990 24978 7883 551
81,24075 12061 9851 10786 23799 25068 22554 5934 22617 5942
82,24075 10785 19502 8311 1535 24472 12110 23427 8304 14915
83,2426 9555 23154 10594 10834 1583 16928 23141 13711 6734
84,20496 9851 4620 23711 12061 24410 2333 13541 9029 20148
85,11533 3580 5952 25596 13503 6708 8984 20863 19875 4366
86,6446 16779 15161 8955 11951 25407 12601 8249 2426 7564
87,2001 6446 16577 18798 23468 3812 5044 2888 23651 16793
88,9851 9438 8811 10269 22554 23711 18293 19401 7202 16268
89,11785 17866 7816 8164 14835 301 9496 8037 4683 14193
90,4620 5717 921 19480 19089 14978 18190 1863 3337 22003
91,25044 11848 18949 8529 24383 15468 16758 4824 4649 19315
92,19480 12409 16630 20146 7494 19709 17723 2665 23481 8894
93,10269 25675 9438 12061 9851 22554 10786 5942 14684 13018
94,13030 23127 14373 24561 21854 10788 20750 11792 3804 22483
95,14413 9526 8593 24546 2281 2216 10380 2823 19061 5447
96,8529 3812 5218 19468 17229 2995 17717 20281 25407 19237
97,12554 4502 19874 24355 20308 18419 20553 18512 19429 17668
98,19874 24355 4502 17668 20308 4257 5581 15234 10418 20553
99,20308 14684 24355 19007 19089 7839 11623 4502 1745 23600
100,24481 4766 24355 20290 6760 18886 19839 5464 24075 1258
101,25407 22554 25675 16772 2426 19468 8097 5044 11649 4878
102,19596 22484 13057 20695 19495 16395 24355 22357 15152 6952
103,19781 867 5717 8544 3348 19704 11067 11796 17858 9243
104,19874 14684 24355 19480 19089 20308 19709 12409 5284 20553
105,22750 7202 18293 22554 25675 23485 15790 15564 25046 18804
106,12061 9851 23711 22356 8811 10786 23299 3668 275 5717
107,1863 21552 8560 22645 18122 4940 20711 10269 2267 4638
108,22121 19089 18544 23189 18317 9438 14356 25101 10537 20146
109,484 13226 7363 25407 15691 20688 10162 14356 5044 12601
110,15196 5150 17546 1095 8432 15234 9511 24075 15642 17517
111,24546 1205 19007 21505 7839 2005 5589 5915 12230 11931
112,10269 14330 16268 25950 20587 16191 2526 598 16790 10028
113,23723 15563 5574 10328 16987 13424 24655 9241 3550 1928
114,14100 2426 11260 22040 13017 8316 18054 18227 8699 25092
