user_id,item_list
0,25878 13219 4518 1256 1447 6919 6548 1560 10191 24497
1,19089 23600 12409 20095 19709 16630 19480 3165 8894 8431
2,5566 14353 14275 19515 13782 11764 5451 2824 7849 19881
3,22487 16857 12473 9087 23128 16086 1651 21888 12462 25476
4,9243 1611 4927 11384 21552 11792 11796 18692 8544 11067
5,8097 7494 17819 16172 12214 14706 7013 11535 19709 4257
6,25044 24383 4824 23906 14356 24994 426 13102 17252 3382
7,4209 13840 8499 17332 7646 3850 19189 14682 17322 11300
8,6878 1583 21123 18392 2426 24670 6734 15691 23154 13711
9,10132 9609 19792 23600 19089 8877 9591 1863 13615 13944
10,3556 19792 12906 11361 22923 23361 23026 660 18751 3070
11,3220 4661 7856 22956 16175 20876 3935 12951 8296 12890
12,2823 2281 1592 20211 24546 10380 8593 7796 19007 19291
13,20969 11533 18179 25407 13776 18088 11838 23430 20068 4878
14,20644 18499 11848 25407 18500 18859 7115 21375 13887 16728
15,12643 24546 25766 17130 22817 12903 4025 7839 6 5709
16,7913 19217 12752 4502 10769 25499 23717 19500 25585 12268
17,20146 9438 17723 19089 23844 5942 23778 9301 20404 12409
18,18793 5032 12048 20300 13609 15778 7267 9769 23697 19190
19,2426 9555 15691 23154 10834 10594 1583 16928 12818 7991
20,5078 15234 25957 15398 13616 23465 9018 5925 8606 25446
21,18788 23778 3875 16803 24366 18901 13138 2646 4224 19198
22,6616 9487 1668 11597 17899 9824 17368 10005 7331 14583
23,16496 6200 988 17836 11293 16577 6454 23562 14835 9017
24,14291 13310 19480 11730 16630 20108 19709 19910 14895 16179
25,7115 12844 983 823 7494 17257 8131 25674 10640 18684
26,23711 5717 20496 867 21975 9029 11792 25675 19781 23056
27,5044 8158 17820 57 5562 24355 24484 3572 14609 4502
28,6551 13424 23127 23056 4411 1393 21327 615 23020 3668
29,14684 5078 17668 19874 25957 5193 13485 21428 2835 8667
30,8544 21552 24621 3835 11384 20496 5717 9243 1863 22511
31,2001 13226 23651 16793 19340 22226 17013 10162 6446 11121
32,1573 9620 18574 290 7115 10640 983 24739 17226 20656
33,10269 9438 25675 5942 9851 22554 12061 23799 13424 25260
34,1803 21677 17323 5446 1959 21624 17808 23324 12230 7581
35,9620 823 14826 22121 15325 7355 23430 12844 9352 19630
36,2426 25407 6734 15691 1583 16928 22848 16906 23133 22651
37,19480 3647 19524 10009 1639 10528 1008 14163 24075 25709
38,1863 12061 8560 21552 6088 13628 25675 4940 24075 2996
39,23816 2220 24122 2178 7321 6139 5497 16871 20820 21872
40,24075 25407 5044 8097 9438 22554 15691 20146 19089 20095
