user_id,item_list
0,25878 13219 1447 4927 1256 4518 6548 25582 1560 6919
1,19089 23600 12409 19709 16630 20095 3165 6198 12119 19480
2,14353 5566 16901 3164 2824 5451 25693 19515 11764 991
3,22487 17820 12473 10689 16086 9087 16857 3942 1651 5412
4,9243 1611 11384 13427 19704 11796 18692 4927 6108 867
5,8097 4257 17819 16172 14706 7494 12214 25407 7013 19874
6,25044 24383 23906 14020 4824 3382 5126 5808 17252 16617
7,17332 14682 13840 12181 8104 8499 21270 4314 3850 7646
8,25407 6878 2426 25138 10834 1583 21123 15691 13711 10594
9,9609 19792 15782 17092 3699 5741 25779 10132 13390 14978
10,3556 12906 19792 22923 17557 12375 23361 20168 18751 11361
11,3220 4661 7856 22956 16175 12951 20876 3935 8488 12890
12,2281 2823 19291 1592 20211 5447 24546 6235 10380 8593
13,20969 11533 6446 3382 4213 9992 23880 1770 13293 23430
14,3641 20644 18499 21541 11848 18500 25407 16999 25649 7115
15,24546 12643 5076 6 25766 17130 22817 12230 5709 19563
16,7913 4502 19217 17305 12752 10769 9018 25585 12268 20888
17,17723 20146 19089 9438 23778 12409 9301 23844 12119 15150
18,18793 5032 12048 7267 20300 19190 13609 15778 4936 9769
19,2426 9555 15691 6327 10834 23154 10981 7095 12818 16928
20,8606 6893 5078 14132 23465 18021 25957 25517 15398 1630
21,23778 18788 3875 16803 24366 19198 18901 4224 13138 4919
22,6616 1668 9487 11597 17899 17368 7331 9824 23206 14583
23,6200 988 16496 11293 17836 25018 21806 17143 20691 22680
24,14291 19480 13797 11730 20108 13310 14895 19709 16630 19910
25,7115 12844 7405 983 10640 12385 18574 823 25674 17884
26,23711 21975 20496 23056 867 5717 4055 19781 16245 11792
27,17820 8158 57 5044 21527 5562 24484 22270 6760 23628
28,23835 6551 2233 8742 7920 9220 8673 17847 22881 8678
29,14684 5193 23770 12356 5078 24914 16538 19874 7852 5765
30,8544 21552 24621 11384 3835 9243 20496 22511 5717 21975
31,2001 13226 15489 23593 7363 17688 24887 19340 5225 23651
32,1573 18574 9620 290 7115 10640 983 5671 23154 22010
33,10269 25675 9438 17409 5942 12061 22554 23799 9851 23485
34,1959 1803 19007 21624 23324 3966 24546 9520 12230 17808
35,9620 9352 8914 14826 15325 16844 11830 873 24445 22182
36,25407 2426 6734 15691 16928 1583 22848 17156 16906 22651
37,1639 1008 3647 3620 19480 14755 19957 21215 25709 22404
38,1863 8560 12061 13628 21062 4940 6088 21552 8811 7266
39,2220 2178 7321 23816 21872 1114 7181 15187 24524 24736
40,22554 25407 8097 24075 5044 16630 20095 19089 19709 15691
41,17225 1682 17322 14266 6599 15309 19189 14989 1041 230
42,20553 6612 13663 24070 7494 20544 4502 11533 18512 13870
43,12696 23854 15536 7615 17365 552 1184 12770 780 610
44,17470 23324 5093 20520 8475 17374 25185 11576 16473 25209
45,19525 19089 11658 17723 16948 19487 7494 24128 25873 21049
46,23536 13541 11792 3983 4620 18190 15459 22356 6088 14271
47,19326 4032 18852 21912 4738 16124 7993 19281 6369 14289
48,13552 4781 24985 5284 14684 19874 16893 13178 13433 10626
49,12585 25253 18549 4302 5787 8904 23846 9646 24664 24746
50,2426 9555 10594 7991 1583 10834 6734 7727 12818 17156
51,24075 25675 10845 561 22554 4957 7494 942 6628 416
52,13194 20199 22056 11449 14767 25009 23510 2919 7223 8268
53,17874 11115 17697 10488 11134 21008 22126 1273 17339 16790
54,3803 25675 19401 19564 20439 7202 15564 22554 18293 12923
55,15562 2122 678 14009 13842 7934 22816 10258 4064 17570
56,11987 11741 5413 10384 3668 4638 3348 20933 6267 17079
57,25656 11378 6049 75 24791 2390 2436 23136 18076 636
58,5930 11197 16577 12601 306 625 12943 22324 1259 10524
59,11223 8531 8841 9005 23950 6544 10803 19668 2846 23042
60,25526 13810 3527 762 5101 175 2241 25458 16843 24546
61,14378 8914 9090 3646 10653 24747 14162 6709 9782 13514
62,11527 10311 12759 16394 24378 12914 23895 3775 21542 19150
63,8654 21051 13231 13424 557 5905 3456 13502 7940 13729
64,23741 388 12561 6865 15350 8212 5491 1814 24285 11605
65,16850 24628 22140 18959 11674 10538 1628 14951 19525 1974
66,24075 19089 2533 19480 10269 7650 12061 10786 9851 8431
67,9822 9615 18462 18574 5966 91 4203 17668 10480 6212
68,2333 18190 6088 3983 11792 9315 23457 23711 9029 5717
69,7583 25133 12509 7371 25932 24874 2317 1005 16993 13025
70,4390 14356 10653 4588 10162 8990 3382 3812 6913 22121
71,11064 17565 21085 17400 5094 24070 14684 20857 19007 1959
72,1863 2996 21552 13541 23536 24075 22645 8920 19114 24340
73,4502 18419 16394 15915 22128 22750 19874 5185 10073 18293
74,14104 1608 7152 16481 24945 22172 8152 16843 23624 24546
75,20108 8251 9339 21552 11072 19910 7639 8704 15830 22511
76,17877 25407 2426 15903 16577 15691 6146 23154 10834 15196
77,13263 3941 21108 4272 20373 18980 10448 7117 9302 10784
78,20431 2868 15327 18190 19114 5717 10530 25030 6437 25748
79,10269 24985 9438 5284 341 25675 4781 913 3150 7323
80,21652 21517 11064 1001 1449 4257 11863 12393 4093 921
81,24075 9851 2289 922 18719 22617 22554 20532 19393 14115
82,10785 19502 24075 12110 8311 10959 7471 21092 23427 1535
83,2426 9555 23154 10594 10834 16928 7727 1583 9446 17156
