user_id,item_list
0,2607 13884 20552 4518 12884 25878 9843 1560 24146 6089
1,6198 12119 10829 2519 18554 14895 6430 10179 19709 3165
2,14353 19515 13782 5566 14275 19881 25653 12684 4376 5451
3,10689 16086 17024 1651 17483 23128 21888 25368 9087 25476
4,17733 12587 21101 14715 20577 25220 7281 8133 1428 10000
5,15150 22517 16172 19152 9301 17819 18882 5028 14706 22451
6,5808 24801 4166 14020 10838 10355 11281 19282 5126 11393
7,17332 13840 8499 4314 4228 14682 13360 12181 3850 24134
8,1014 25138 23857 13345 12050 11991 22651 14059 14210 6538
9,15782 17092 5741 3699 19792 14191 12375 20959 10263 22732
10,3556 10045 1302 4462 12906 24567 9878 20036 4599 14320
11,3220 4661 22956 21262 16175 23231 14310 13582 24799 12951
12,6235 19291 5447 1150 24153 5527 16212 61 14561 11410
13,11838 11837 20969 18331 16993 11997 5184 12129 24727 19153
14,3641 21541 20644 18499 555 5109 8923 6263 10536 10914
15,19466 12065 22817 16365 3582 12565 8702 22756 5360 19631
16,25585 19622 12258 17468 15015 20103 25499 7787 19165 18481
17,15150 24604 9301 23778 23844 12119 23341 24402 14033 15241
18,19190 23697 13609 20333 23328 13783 18793 12316 5764 17412
19,6327 24316 2426 19299 6568 23545 14558 10792 812 8310
20,8606 6893 9633 8648 21547 14132 1630 19209 18582 4348
21,18788 24366 23778 16803 12344 19198 4224 3875 25189 12052
22,9487 1668 22739 14583 17368 20163 24144 6616 9824 20231
23,25018 22680 12765 2997 7340 3547 6125 7307 22696 21405
24,13797 4095 9025 1613 25695 25520 8935 8486 436 19358
25,7405 12385 16844 13792 7115 12844 3923 8810 7564 4304
26,5633 12745 24286 8807 9426 16245 17665 15463 6677 24480
27,22270 18778 11706 24346 20383 21527 5649 15190 5832 3458
28,8742 8673 9220 21523 8678 18864 1673 2233 17205 10227
29,16538 12356 24914 23770 7065 13485 21691 3848 5193 21286
30,8409 9368 18146 15426 25454 18301 25915 7756 6681 22889
31,24887 5225 15489 6249 2502 25956 3578 8530 163 2185
32,13868 290 5715 4304 9620 2352 9792 11748 17884 24739
33,17409 1024 3637 23485 1603 8667 3956 22294 20174 7826
34,13343 19007 21671 18012 15306 12869 3658 8881 22400 19717
35,6050 16844 8186 22959 9352 12630 9620 2675 10918 18062
36,16928 4604 22651 22557 9592 23133 8316 18148 11991 17543
37,11036 14755 19957 1639 22404 24873 7370 25709 21563 10236
38,7266 1151 25216 11893 2906 5616 12609 25846 1461 7108
39,23816 24122 4554 18372 23050 25239 9221 10134 9025 24162
40,3783 12703 14950 16885 2163 22028 10381 20204 21720 5612
41,9047 3862 10336 11790 12820 4499 25437 24422 16563 11832
42,24070 12182 1020 20321 18930 971 4280 18512 20153 4941
43,12696 8256 23854 966 170 20040 8366 552 1184 12770
44,20520 17470 25185 7418 24653 16092 23324 20352 17689 17855
45,16948 19487 3856 7896 21049 6813 2659 7986 25873 12704
46,21275 23162 13206 12170 14271 24760 8552 16992 10647 982
47,19326 16124 7993 14521 5205 17010 18634 14123 12241 14633
48,16893 4781 13178 13108 3150 14867 13552 22653 13170 25365
49,4302 12585 8904 23846 9646 24664 14638 24940 23262 24746
50,6327 7727 7991 4604 22557 9592 24316 2426 23001 11975
51,20022 25638 13827 24013 9961 7136 2471 16565 12321 21773
52,23510 13194 7223 24270 9237 18418 8301 25392 2507 20199
53,17874 11115 10488 17697 11134 22126 1273 17627 21008 16790
54,7793 19077 2690 10238 1962 25939 5791 17525 2340 1861
55,2122 22816 13842 678 14009 19786 10096 967 6017 14158
56,11987 8543 5413 3140 8565 3668 7203 19154 55 6267
57,23136 18076 636 10562 17703 9674 2287 10861 10340 16305
58,1259 10951 10524 306 18022 7705 6412 6047 25092 2375
59,2846 23950 11223 6544 8531 11867 2253 8841 9005 838
60,2241 5101 14314 20352 1551 20013 23277 19507 2799 21983
61,14162 8914 13710 9830 19586 3756 4782 15146 2840 14635
62,11527 10311 12714 1151 12759 7823 9128 22079 21770 15800
63,8654 24256 21051 2760 5982 9223 8321 82 5905 5258
64,388 23741 8212 15350 12561 5431 4272 10710 10246 14954
65,1628 22235 479 13254 7444 7918 17043 2848 4766 9931
66,20044 12389 20807 6955 17865 17388 2097 22732 3256 7650
67,17668 7832 4299 9615 14203 1017 22674 570 12109 10172
68,1834 9337 20395 13297 15706 11685 5435 20393 14912 14373
69,16993 14407 25769 7371 24637 14666 20016 19313 11739 14905
70,11281 14338 25545 18222 24616 20635 4828 551 11749 10962
71,17565 11064 5094 13724 4280 2269 12331 5075 5121 18101
72,1863 7266 7108 24970 16373 13173 5468 9883 16363 8783
73,21052 11253 11923 11064 22218 1449 5838 7232 4923 6628
74,22172 1608 16481 7152 23624 18734 20374 20837 8152 18502
75,23642 7969 21594 7459 10036 17936 2818 20315 1080 6609
76,24776 946 3373 22561 941 9683 7973 19919 18419 13025
77,10295 14753 4046 13263 10448 48 21069 3429 16909 947
78,11521 20431 25030 15648 19059 23670 11556 19156 2016 10530
79,11268 11709 23067 24294 24985 417 4781 913 5284 7323
80,21652 11064 1449 21517 1001 14733 13724 13052 22939 1754
81,18719 24879 12568 25929 14280 22287 19751 5135 17192 20532
82,5934 16183 8930 8055 707 105 20420 6524 11922 24601
83,6327 9446 7727 2426 24316 8310 23545 2293 19299 10792
84,11637 4051 6480 13270 2332 7554 19497 22512 18150 19496
85,23774 2478 6995 15976 18182 14407 15756 22972 18397 495
86,20500 13964 22207 4860 5479 1091 24343 19347 8955 10354
87,14378 23468 2888 2679 20400 7049 4664 1303 21021 13563
88,1439 3533 5445 204 10565 21549 4933 293 6654 18781
89,22716 11557 21236 8070 679 3701 23920 11785 4506 6140
90,2665 12389 20437 23870 19368 161 4807 6059 11606 1450
91,12494 16248 24561 12544 21871 24841 19078 20573 16976 3518
92,11618 2665 10026 26 518 12864 4807 7227 17723 12907
93,19152 3513 6835 15251 25113 13294 19864 9039 7725 5763
94,3599 12366 15731 9337 1867 11190 22833 10115 6588 11458
95,6235 22387 14413 3150 11339 5447 14561 61 214 21264
96,18305 19891 2046 3867 11707 12700 18333 2012 5218 25692
97,10728 13850 9680 15938 20576 16394 605 12554 6824 3331
98,17838 16394 23205 8406 19879 17312 17020 10819 12537 6761
99,6718 7989 5421 12720 6 4738 25458 9135 22116 7278
100,11112 5227 12935 23542 9583 20081 8542 16408 23884 13002
101,16925 10901 15703 4201 18890 6245 7511 10156 5543 1966
102,15842 9031 3585 22354 3673 25945 10140 7202 10956 15532
103,17203 8964 24497 18100 25833 3248 12269 6059 22705 5828
104,22653 10581 14436 25909 18394 13346 4485 13624 23054 17535
105,6815 9375 1623 2352 2174 10171 12753 19521 18384 18034
106,20160 24499 10694 21727 3674 13672 2845 14237 2223 20831
107,7266 24970 13666 2668 7108 2040 11634 24900 18716 14534
108,14378 10408 20402 20774 14095 5301 3539 3076 16810 8758
109,10162 7049 7363 202 2679 16483 4664 10075 21405 1303
110,3975 946 5765 14554 19975 14309 3145 8699 10037 1523
111,11650 18016 20228 12887 6600 15122 1521 24546 4343 23284
112,23474 5292 12046 14568 429 8112 19264 24162 11203 16022
113,4371 16834 20604 23723 1705 12158 453 14215 22223 735
114,25880 7455 4194 6763 17317 17856 12042 23033 14764 8597
115,12708 13615 18624 12375 7058 3711 10688 5154 21260 10630
116,15364 4038 16620 12721 18076 1065 7715 21038 15897 23838
117,2017 2259 17803 15926 3073 13931 1392 25557 12950 24623
118,1151 18334 11527 2167 18899 23086 12714 24550 15628 10311
119,13070 14236 5907 17565 21052 13039 16187 21927 3562 678
120,9692 21629 5886 8022 14576 3503 494 20463 13740 18180
121,8557 9751 16607 5250 2536 2926 357 11153 24101 4766
122,16203 22969 23802 5950 22024 17963 25317 6253 3541 9822
123,15572 7677 2293 2352 19735 17261 16651 2079 1384 10345
124,14373 16709 1834 22646 8261 5873 15706 2601 10912 20393
125,6502 25484 16538 9923 20964 7192 22488 9904 24330 22501
126,19434 14317 7702 9931 17931 2895 3702 479 16954 25972
127,16570 18211 10085 18226 10859 17576 16182 24387 843 1496
128,7266 7108 25887 20645 5468 23533 6414 13370 1465 21185
129,14045 13284 4619 22293 1181 11027 16258 13140 12377 17011
130,11055 1760 19563 24140 20228 5658 9463 1926 21248 11702
131,5713 15723 24585 3916 22890 21829 24782 12373 21936 3469
132,16187 21927 9008 8712 8863 12597 11701 4235 11285 9260
133,14571 1217 23434 23617 11536 22864 22135 19629 1969 9722
134,12830 19035 4468 24513 1303 870 9878 5806 25881 7831
135,4302 24940 9646 24141 20220 14638 11105 24664 23846 23262
136,3911 18288 9529 25909 18468 16981 13319 11226 18265 17827
137,21409 25709 13373 12381 9294 16726 4184 7053 15224 7300
138,10980 22754 4587 14397 4350 15473 14864 22672 10667 5484
139,22102 4463 18837 8472 6157 10391 2491 8747 14372 11151
140,6 12887 15076 22844 24710 8152 25595 4937 7278 417
141,21857 25162 17565 5266 15781 9079 11083 9772 5017 17662
142,19355 16241 24014 23054 890 3488 5207 18598 11618 6531
143,14889 24891 1629 4166 7668 1975 25533 13524 767 14514
144,19631 2854 16365 20191 1033 20569 7385 19569 13015 6291
145,25682 8587 3045 25782 5255 22845 1465 24346 6170 18192
146,22896 8749 20172 15413 21239 22260 1089 25949 7995 6900
147,19070 24391 13453 8986 21843 24610 14141 5930 17207 10524
148,25407 459 9319 23618 2426 7333 19222 3322 625 12711
149,24503 2987 21164 14283 8046 5972 6445 14165 14566 12389
150,6198 13294 247 26 6496 12864 8207 13124 518 2912
151,6546 16524 10494 23214 18037 13712 6326 12985 10555 11418
152,16669 11933 8652 12834 10019 25358 3019 7640 25676 8224
153,22684 13434 15182 16845 2057 540 20566 8467 18426 24235
154,3554 19961 18575 21986 18663 7524 8550 4559 25945 22261
155,15720 2694 24694 11327 15492 7554 14857 25196 25710 18823
156,1271 3230 18054 9446 13345 2492 20367 21067 20949 11669
157,24687 7585 11701 11285 9209 20411 4143 9928 4976 16308
158,16501 13546 24297 8674 18651 910 3988 15069 601 1131
159,22885 22151 3987 24076 23648 16345 9293 4447 8815 1092
160,6047 10951 19498 10524 21395 10120 17606 1368 306 3913
161,17488 3827 16978 11544 11292 1395 21984 25922 3007 20946
162,866 3415 16585 12001 11037 10727 611 24290 12086 15834
163,5907 15982 9650 1792 16200 800 6796 10687 2184 20798
164,4549 15150 9301 22517 17819 17070 10563 8719 7486 14706
165,141 24362 22922 7909 3252 7330 24086 24342 10116 5823
166,13008 12553 19014 16075 18175 20858 20474 22091 24419 6622
167,10908 22651 20765 17967 19299 25138 13017 23857 11991 2352
168,3030 22092 24025 25418 13823 18138 18826 6363 24987 2515
169,17543 9867 9733 8835 10533 8917 14265 16906 8619 3049
170,17951 22688 20863 19160 15259 20070 20145 18589 3384 11099
171,9680 17419 11073 11364 14804 1027 10301 2857 8907 4977
172,16992 15070 22830 2344 10758 15149 19950 4665 25646 24841
173,9322 11160 16518 11099 10690 25359 4980 13711 14558 25675
174,17511 6973 13404 14838 19273 17371 10004 1781 8820 2191
175,4827 4539 1237 15510 19038 18021 15209 13581 12099 3362
176,17292 22512 6004 19180 2900 22085 22365 19881 21621 8815
177,22187 25872 17143 18282 25407 6327 2635 14807 23760 25171
178,11436 18463 722 15328 7624 18661 4479 849 8044 5735
179,4284 19786 20977 16954 5805 23109 10005 25770 20140 25128
180,14876 6291 12621 13015 22028 20382 6863 19579 24255 11526
181,13797 12801 15207 12409 9634 14721 24689 14312 10407 21589
182,17517 9092 14917 17315 5272 8427 658 532 591 20313
183,11618 6198 4807 10611 11658 13294 23627 14950 14721 11091
184,7823 16588 22567 9904 2400 20749 24814 23851 22501 15255
185,4198 653 23201 7574 20273 16064 19430 24961 2625 18470
186,12102 6355 19072 19682 17621 23670 2105 6743 6006 16229
187,8106 9870 8432 1254 2825 10703 18515 19757 4072 7304
188,7460 11823 6165 17837 21084 15883 11892 1022 16545 11776
189,16282 15794 25187 5535 12578 22406 15126 7443 11989 20284
190,7406 9597 6734 23001 2635 25872 25171 15770 20630 9122
191,18806 6897 23698 6081 11228 25892 19608 21430 22487 18195
192,24601 10810 7623 24042 6246 8533 4803 19178 23416 22706
193,25541 4909 1272 24243 6789 4470 7435 14551 32 9155
194,24753 14605 11426 9022 18914 1110 473 25199 15029 14594
195,10020 14723 2667 8790 307 956 23648 9293 6145 399
196,10917 12790 2537 2632 3744 11191 18887 22942 14105 11697
197,18758 9092 20313 19778 17315 18149 8427 22944 5272 6960
198,8261 643 12801 6088 15303 4324 19228 14504 13918 19312
199,6859 15234 24829 7228 6663 7450 25781 5698 23282 17429
200,23244 7540 1432 5491 2659 24912 3677 23320 11869 6865
201,19089 17760 12119 22082 4112 392 11980 16282 16482 1634
202,4341 25063 23935 18218 23414 14172 10175 3090 20811 15052
203,24444 19161 8987 19003 19705 14253 3968 6925 13867 8457
204,21972 1960 9851 14209 17225 12061 7097 13363 23708 2642
205,15303 3747 20578 8565 25289 24488 13029 19228 12366 23536
206,13003 13688 16163 7706 20000 14618 25749 20229 25158 17289
207,18927 12499 6239 23628 6760 13044 23956 5851 10979 6592
208,12559 471 15566 1739 6111 1432 18803 7540 11854 4487
209,19355 12413 16538 890 15982 24014 1792 21424 13090 14298
210,9500 8392 17908 2798 20915 14190 9636 12093 7016 19567
211,18979 7836 6380 21260 13051 5154 24865 10688 12708 3699
212,18374 6143 6552 2902 18973 13453 16375 7720 16533 41
213,5674 2720 24515 5232 7303 19915 20893 24348 11847 2459
214,11516 4844 2778 22739 9401 8531 16520 13445 1865 1120
215,15925 8676 7709 1479 1038 24735 11858 6149 23280 4581
216,18644 15194 17697 17874 10488 21008 25151 2715 19352 18777
217,16966 24005 1387 11441 8374 12494 16248 24561 16901 9282
218,11334 9602 21730 5286 13428 9987 311 25247 7857 14969
219,13609 20333 23328 11506 1654 12265 17412 4936 2009 7739
220,12703 21720 9322 11340 17465 10301 13711 22189 15877 11918
221,19178 4729 3495 6669 7623 812 22862 3470 15988 18215
222,240 12794 6583 15146 375 19288 23973 18419 19879 18935
223,9003 13562 7167 5191 10455 22190 17149 5834 8982 18332
224,698 13962 693 21722 2679 16903 7045 2122 13959 24217
225,23255 1272 23414 32 4208 24724 14549 13457 17742 6789
226,769 8193 22717 23506 16799 14585 21483 17040 7200 2590
227,19631 2854 15124 20191 2412 9260 17880 15633 19638 20569
228,19631 2854 16365 20191 1033 20569 10563 7385 8719 9301
229,22662 5317 17076 20637 20613 16222 23997 16674 12083 10188
230,711 24771 24424 2250 7946 9904 843 23302 14398 23061
231,11441 10757 12703 24005 6523 21738 13265 21720 9322 16901
232,1457 20166 7405 9533 18316 22060 11942 4684 20703 8223
233,6938 24098 19961 17721 20898 9901 25871 17199 16645 24335
234,10951 3644 20987 17843 8481 14142 9109 18022 1902 25348
235,23496 24921 16655 13795 13280 13245 7632 12729 13618 6047
236,12801 17794 19273 13987 13297 20802 9142 20112 19375 24853
237,14969 17857 8959 18797 6598 9346 25488 11339 9496 19007
238,19859 20797 13647 901 22615 19664 23338 12603 8566 10590
239,25281 8753 22739 15127 7166 13756 21447 9618 19177 20231
