user_id,item_list
0,1447 5085 25878 637 4927 22850 13657 5209 8486 909
1,19089 23600 12409 19709 8894 16630 19480 20095 3165 8431
2,25693 3164 1876 18790 16901 6662 25491 5717 15427 14031
3,22487 24093 25892 17793 12473 20905 16857 9187 57 4175
4,1611 11792 9243 9007 12061 11384 21552 11067 23127 20496
5,8097 7494 19089 25407 15691 12214 19709 4257 5952 19874
6,25044 24383 13102 4824 14356 2426 23906 18173 681 18880
7,4209 16257 12056 7639 9081 22862 3377 341 17305 17322
8,25407 2426 15691 1583 10834 18392 23154 6878 6734 21123
9,23600 19089 9609 9637 13615 19792 15562 19480 20897 10132
10,3556 19792 22923 23361 23026 18751 3070 660 23919 12375
11,22956 7856 8296 3220 11726 12788 17540 20001 23403 12890
12,19114 25693 2173 5546 19255 18790 19079 14373 20750 25491
13,25407 20969 6446 17229 23154 22121 15691 2236 11533 8990
14,25407 11848 20644 18859 13887 18499 21747 13169 16728 19336
15,24546 25766 17130 12643 7839 19281 12230 8805 18547 5915
16,7913 4502 12214 9018 19874 14684 4417 4571 20695 5362
17,9438 19089 20146 25675 5942 12061 17723 10786 19480 8894
18,18793 5032 15778 7267 9769 12048 20300 4936 22385 9662
19,2426 15691 9555 23154 10834 10594 1583 12818 5044 7991
20,15234 5078 23465 15398 13616 25957 13228 18399 18645 2819
21,3875 18788 23778 24038 16803 18901 612 233 25224 2811
22,6616 11597 3689 10005 17899 10235 7331 23206 1418 4217
23,16496 988 6200 17836 11293 16577 6454 17143 9017 23562
24,14291 19480 19709 13310 11730 16630 19089 19910 19524 20108
25,20146 17257 7115 18684 8131 17884 12844 823 23600 23154
26,23711 20496 11792 21975 5717 11067 8544 19781 477 867
27,14684 5044 24355 4502 8158 5562 23628 21527 3572 24075
28,6551 19114 5906 18692 21975 3376 10789 18246 23056 21464
29,14684 19874 17668 5078 24355 4502 10418 6329 21697 18512
30,8544 21552 11384 5717 25491 20496 2868 12061 9243 3835
31,2001 13226 23651 19340 16793 10162 6446 7292 11121 23468
32,1573 23154 9620 18574 10640 290 983 2643 11130 7115
33,10269 9438 25675 22554 5942 12061 9851 10786 23799 15564
34,1803 21677 17323 3177 21624 21505 24546 4127 25839 24154
35,9620 22121 823 24075 17884 12844 23430 7355 3921 24577
36,25407 2426 15691 1583 6734 18392 22848 23141 9701 16928
37,19480 24075 19524 3165 19709 7494 9284 12061 20496 4620
38,1863 12061 11792 24075 21552 25675 6088 2996 8560 21854
39,6139 7181 10067 23674 22533 21872 20820 2220 16648 24524
40,24075 9438 22554 25407 15691 8097 5044 10786 12061 19089
41,7639 20496 13219 24410 9842 8524 10191 10786 8544 6480
42,7494 11533 19089 13663 16630 24209 20095 6612 9769 11091
43,25491 3469 610 7507 9556 780 5717 2300 4320 25693
44,17470 20239 23324 8475 11084 16473 13170 24839 17313 9520
45,19089 7494 11658 19525 17723 8894 12409 16630 20146 24128
46,11792 23536 23711 12061 18190 13541 19114 9029 4620 6088
47,18852 21912 19281 19326 4032 4738 25200 158 7839 19007
48,14684 19874 24355 5284 10418 13552 18419 24985 4257 11737
49,18549 5787 25253 12585 25974 8660 8651 8652 8653 8654
50,2426 9555 10594 10834 1583 6734 8097 12818 23141 18392
51,24075 25675 5942 10269 22554 561 12061 19089 7494 25693
52,4502 24355 6329 20553 19874 25013 14684 10418 18512 7494
53,8529 19166 5763 18404 18499 25407 19005 14396 16443 16758
54,25675 3803 18293 7202 22554 12061 15564 24075 19564 10786
55,15562 19854 13138 6329 9243 4064 603 13683 8965 675
56,12742 11741 7229 2910 3348 11987 10384 20933 20401 21717
57,25656 75 2390 6049 11378 24791 2436 10324 15081 12923
58,16577 22121 5930 11197 12601 625 25133 12943 22731 17877
59,9005 19668 10803 8841 11223 8531 23950 23042 12026 6544
60,762 16843 13810 24546 19007 22429 16742 11710 175 2005
61,6446 18499 8826 7115 19254 9364 16305 2280 870 23682
62,16394 8097 5952 12214 19948 12759 11527 8675 24577 20863
63,3456 13424 13231 14488 7940 21051 8654 13789 8709 18955
64,25877 2427 24300 14401 17262 15710 6206 339 23655 12886
65,16850 19525 2182 16416 22140 17148 11873 8081 18959 4156
66,24075 12061 17858 19089 10786 25693 10269 19480 2533 23127
67,15615 91 18462 9822 21813 6212 18574 18263 5966 7094
68,2333 18190 5717 6088 11792 23711 12061 19114 9029 9284
69,7583 12509 19633 3264 12759 10919 23086 25133 15124 4541
70,8990 15691 4390 3812 25407 22121 25044 14356 5044 10162
71,11064 2940 21281 21052 18778 17400 20368 15285 20857 6443
72,24075 12061 1863 21552 25675 19114 2996 11792 9851 13541
73,4502 18419 19874 16394 14684 24355 18293 10073 22128 10418
74,24546 11710 25209 23285 19007 21248 17823 18343 762 20403
75,20108 15830 9339 19910 23481 22511 8251 21552 8544 19480
76,25407 2426 17877 15691 10834 16577 9555 23154 1583 5044
77,24075 7494 19089 5942 20146 10269 16195 8894 12061 25675
78,5717 2868 15327 2333 19114 18190 23536 23711 6088 9029
79,10269 9438 25675 12061 22554 9851 5942 10786 13118 23799
80,23258 4257 12592 15847 23053 11546 676 6361 15541 15189
81,24075 12061 10786 9851 11792 5717 10269 22554 23127 23711
82,24075 10785 19502 12110 10959 8311 8304 15764 5825 3825
83,2426 9555 23154 10834 10594 1583 16928 23141 18392 8097
84,20496 12061 9851 23127 4620 23711 10786 9029 25693 2333
85,11533 3580 5952 13503 25596 18566 16854 4837 4366 13663
86,6446 11951 8955 8249 12601 15196 2426 25407 12945 2551
87,6446 16577 22121 2001 15691 3812 5044 14356 8990 8249
88,9851 10269 9438 22554 8811 18293 25071 11792 23711 21854
89,11785 7183 9407 7874 19897 3452 3568 6709 9782 8070
90,5717 9851 4620 18190 11792 2333 12061 9029 454 20496
91,25044 8529 11848 8331 19315 13020 16758 16732 13102 24383
92,12409 19480 7494 20146 16630 19709 17723 2665 8894 23481
93,10269 9438 25675 12061 9851 22554 10786 5942 13118 25407
94,13030 24561 23127 3804 22602 11792 21854 22483 780 14373
95,9526 14413 2281 8593 24546 867 21264 5447 229 10380
96,8529 25407 17229 11848 19468 12839 5763 3812 16772 8990
97,4502 19874 24355 20308 18419 10418 4257 17668 20553 5581
98,19874 24355 4502 4257 20308 5581 17668 10418 15234 24070
99,24355 20308 17723 12409 19089 14684 7839 5915 19007 23600
100,24355 7494 24481 20146 4766 1258 1863 25634 21629 15207
101,25407 5044 16772 19468 2426 25675 22554 8097 22121 4878
102,17438 22907 2749 19102 22063 6364 11031 10956 18726 500
103,19781 867 5717 8544 11067 19114 11792 17858 19704 10786
104,19874 24355 14684 19089 19480 19709 7494 20146 24075 12409
