SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 728, 'shrink': 783, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0623461, PRECISION: 0.0125683, PRECISION_RECALL_MIN_DEN: 0.0474396, RECALL: 0.0462817, MAP: 0.0194542, MRR: 0.0425494, NDCG: 0.0311407, F1: 0.0197671, HIT_RATE: 0.1256833, ARHR: 0.0463187, NOVELTY: 0.0047479, AVERAGE_POPULARITY: 0.0170047, DIVERSITY_MEAN_INTER_LIST: 0.9966646, DIVERSITY_HERFINDAHL: 0.9996461, COVERAGE_ITEM: 0.6167007, COVERAGE_ITEM_CORRECT: 0.0222599, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0643513, DIVERSITY_GINI: 0.3203725, SHANNON_ENTROPY: 13.1620100, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 101, 'shrink': 551, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0543296, PRECISION: 0.0105366, PRECISION_RECALL_MIN_DEN: 0.0397959, RECALL: 0.0388634, MAP: 0.0175853, MRR: 0.0379452, NDCG: 0.0273005, F1: 0.0165779, HIT_RATE: 0.1053655, ARHR: 0.0409295, NOVELTY: 0.0047251, AVERAGE_POPULARITY: 0.0152013, DIVERSITY_MEAN_INTER_LIST: 0.9953795, DIVERSITY_HERFINDAHL: 0.9995176, COVERAGE_ITEM: 0.5055245, COVERAGE_ITEM_CORRECT: 0.0186333, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0549138, DIVERSITY_GINI: 0.2407011, SHANNON_ENTROPY: 12.7407015, 
SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 774, 'shrink': 598, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0724481, PRECISION: 0.0146330, PRECISION_RECALL_MIN_DEN: 0.0570304, RECALL: 0.0557319, MAP: 0.0239165, MRR: 0.0494081, NDCG: 0.0375247, F1: 0.0231793, HIT_RATE: 0.1463302, ARHR: 0.0537349, NOVELTY: 0.0047560, AVERAGE_POPULARITY: 0.0167557, DIVERSITY_MEAN_INTER_LIST: 0.9965382, DIVERSITY_HERFINDAHL: 0.9996335, COVERAGE_ITEM: 0.5850318, COVERAGE_ITEM_CORRECT: 0.0255861, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0752234, DIVERSITY_GINI: 0.2995668, SHANNON_ENTROPY: 13.0727299, 
SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 765, 'shrink': 557, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0726110, PRECISION: 0.0146001, PRECISION_RECALL_MIN_DEN: 0.0569179, RECALL: 0.0556289, MAP: 0.0240190, MRR: 0.0495174, NDCG: 0.0375761, F1: 0.0231292, HIT_RATE: 0.1460014, ARHR: 0.0538513, NOVELTY: 0.0047566, AVERAGE_POPULARITY: 0.0167680, DIVERSITY_MEAN_INTER_LIST: 0.9965461, DIVERSITY_HERFINDAHL: 0.9996342, COVERAGE_ITEM: 0.5866179, COVERAGE_ITEM_CORRECT: 0.0255322, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0751227, DIVERSITY_GINI: 0.3007583, SHANNON_ENTROPY: 13.0781651, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 533, 'shrink': 976, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0562587, PRECISION: 0.0108436, PRECISION_RECALL_MIN_DEN: 0.0414855, RECALL: 0.0405946, MAP: 0.0179158, MRR: 0.0383657, NDCG: 0.0280471, F1: 0.0171144, HIT_RATE: 0.1084363, ARHR: 0.0411500, NOVELTY: 0.0047401, AVERAGE_POPULARITY: 0.0154378, DIVERSITY_MEAN_INTER_LIST: 0.9957277, DIVERSITY_HERFINDAHL: 0.9995524, COVERAGE_ITEM: 0.4871607, COVERAGE_ITEM_CORRECT: 0.0189798, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0575060, DIVERSITY_GINI: 0.2261100, SHANNON_ENTROPY: 12.6731911, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 115, 'shrink': 110, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0545291, PRECISION: 0.0106228, PRECISION_RECALL_MIN_DEN: 0.0403518, RECALL: 0.0394216, MAP: 0.0175889, MRR: 0.0378476, NDCG: 0.0274372, F1: 0.0167352, HIT_RATE: 0.1062277, ARHR: 0.0408194, NOVELTY: 0.0047265, AVERAGE_POPULARITY: 0.0152141, DIVERSITY_MEAN_INTER_LIST: 0.9954032, DIVERSITY_HERFINDAHL: 0.9995200, COVERAGE_ITEM: 0.5019288, COVERAGE_ITEM_CORRECT: 0.0188104, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0555430, DIVERSITY_GINI: 0.2381500, SHANNON_ENTROPY: 12.7273443, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 163, 'shrink': 905, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0551403, PRECISION: 0.0105571, PRECISION_RECALL_MIN_DEN: 0.0402007, RECALL: 0.0393159, MAP: 0.0176728, MRR: 0.0380317, NDCG: 0.0274848, F1: 0.0166444, HIT_RATE: 0.1055713, ARHR: 0.0409206, NOVELTY: 0.0047294, AVERAGE_POPULARITY: 0.0152801, DIVERSITY_MEAN_INTER_LIST: 0.9955575, DIVERSITY_HERFINDAHL: 0.9995354, COVERAGE_ITEM: 0.4990645, COVERAGE_ITEM_CORRECT: 0.0185640, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0554423, DIVERSITY_GINI: 0.2360984, SHANNON_ENTROPY: 12.7224414, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 522, 'shrink': 680, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0719267, PRECISION: 0.0145021, PRECISION_RECALL_MIN_DEN: 0.0566073, RECALL: 0.0553494, MAP: 0.0237568, MRR: 0.0490591, NDCG: 0.0372716, F1: 0.0229821, HIT_RATE: 0.1450214, ARHR: 0.0533795, NOVELTY: 0.0047536, AVERAGE_POPULARITY: 0.0167067, DIVERSITY_MEAN_INTER_LIST: 0.9965428, DIVERSITY_HERFINDAHL: 0.9996339, COVERAGE_ITEM: 0.5847469, COVERAGE_ITEM_CORRECT: 0.0253090, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0745439, DIVERSITY_GINI: 0.2997819, SHANNON_ENTROPY: 13.0742743, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 799, 'shrink': 318, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0562405, PRECISION: 0.0108638, PRECISION_RECALL_MIN_DEN: 0.0416080, RECALL: 0.0407000, MAP: 0.0180311, MRR: 0.0382645, NDCG: 0.0281305, F1: 0.0171488, HIT_RATE: 0.1086384, ARHR: 0.0410693, NOVELTY: 0.0047444, AVERAGE_POPULARITY: 0.0154573, DIVERSITY_MEAN_INTER_LIST: 0.9956508, DIVERSITY_HERFINDAHL: 0.9995447, COVERAGE_ITEM: 0.4858210, COVERAGE_ITEM_CORRECT: 0.0190183, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0574556, DIVERSITY_GINI: 0.2240330, SHANNON_ENTROPY: 12.6547823, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 480, 'shrink': 625, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0615881, PRECISION: 0.0124949, PRECISION_RECALL_MIN_DEN: 0.0468539, RECALL: 0.0456663, MAP: 0.0192657, MRR: 0.0420826, NDCG: 0.0307804, F1: 0.0196195, HIT_RATE: 0.1249491, ARHR: 0.0458627, NOVELTY: 0.0047436, AVERAGE_POPULARITY: 0.0167015, DIVERSITY_MEAN_INTER_LIST: 0.9966828, DIVERSITY_HERFINDAHL: 0.9996479, COVERAGE_ITEM: 0.6112031, COVERAGE_ITEM_CORRECT: 0.0221675, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0639487, DIVERSITY_GINI: 0.3180271, SHANNON_ENTROPY: 13.1573168, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 23, 'shrink': 547, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0518124, PRECISION: 0.0097528, PRECISION_RECALL_MIN_DEN: 0.0383150, RECALL: 0.0374962, MAP: 0.0164292, MRR: 0.0354111, NDCG: 0.0257306, F1: 0.0154791, HIT_RATE: 0.0975278, ARHR: 0.0379451, NOVELTY: 0.0047282, AVERAGE_POPULARITY: 0.0162903, DIVERSITY_MEAN_INTER_LIST: 0.9963511, DIVERSITY_HERFINDAHL: 0.9996147, COVERAGE_ITEM: 0.6025948, COVERAGE_ITEM_CORRECT: 0.0175014, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0517428, DIVERSITY_GINI: 0.3094102, SHANNON_ENTROPY: 13.1089289, 
