SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 734, 'shrink': 796, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0720029, PRECISION: 0.0142883, PRECISION_RECALL_MIN_DEN: 0.0594847, RECALL: 0.0582852, MAP: 0.0239553, MRR: 0.0473247, NDCG: 0.0377123, F1: 0.0229493, HIT_RATE: 0.1428829, ARHR: 0.0510903, NOVELTY: 0.0048207, AVERAGE_POPULARITY: 0.0186342, DIVERSITY_MEAN_INTER_LIST: 0.9953999, DIVERSITY_HERFINDAHL: 0.9995196, COVERAGE_ITEM: 0.4754803, COVERAGE_ITEM_CORRECT: 0.0244158, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0752737, DIVERSITY_GINI: 0.2069271, SHANNON_ENTROPY: 12.5354377, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 296, 'shrink': 424, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0735073, PRECISION: 0.0146928, PRECISION_RECALL_MIN_DEN: 0.0611828, RECALL: 0.0599638, MAP: 0.0248203, MRR: 0.0489351, NDCG: 0.0389283, F1: 0.0235999, HIT_RATE: 0.1469279, ARHR: 0.0530015, NOVELTY: 0.0048116, AVERAGE_POPULARITY: 0.0185758, DIVERSITY_MEAN_INTER_LIST: 0.9958858, DIVERSITY_HERFINDAHL: 0.9995682, COVERAGE_ITEM: 0.5070260, COVERAGE_ITEM_CORRECT: 0.0252782, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0767082, DIVERSITY_GINI: 0.2335138, SHANNON_ENTROPY: 12.7238195, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 434, 'shrink': 821, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0729464, PRECISION: 0.0146068, PRECISION_RECALL_MIN_DEN: 0.0606828, RECALL: 0.0594867, MAP: 0.0244644, MRR: 0.0482692, NDCG: 0.0385111, F1: 0.0234514, HIT_RATE: 0.1460676, ARHR: 0.0522639, NOVELTY: 0.0048141, AVERAGE_POPULARITY: 0.0185472, DIVERSITY_MEAN_INTER_LIST: 0.9956819, DIVERSITY_HERFINDAHL: 0.9995478, COVERAGE_ITEM: 0.4925967, COVERAGE_ITEM_CORRECT: 0.0250010, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0766327, DIVERSITY_GINI: 0.2213504, SHANNON_ENTROPY: 12.6400050, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 450, 'shrink': 485, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0733140, PRECISION: 0.0146148, PRECISION_RECALL_MIN_DEN: 0.0606354, RECALL: 0.0594354, MAP: 0.0245009, MRR: 0.0482821, NDCG: 0.0385356, F1: 0.0234579, HIT_RATE: 0.1461479, ARHR: 0.0522996, NOVELTY: 0.0048122, AVERAGE_POPULARITY: 0.0185942, DIVERSITY_MEAN_INTER_LIST: 0.9957204, DIVERSITY_HERFINDAHL: 0.9995517, COVERAGE_ITEM: 0.4922040, COVERAGE_ITEM_CORRECT: 0.0250703, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0765572, DIVERSITY_GINI: 0.2219183, SHANNON_ENTROPY: 12.6479164, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 268, 'shrink': 678, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0739328, PRECISION: 0.0147625, PRECISION_RECALL_MIN_DEN: 0.0612681, RECALL: 0.0600314, MAP: 0.0247072, MRR: 0.0489455, NDCG: 0.0389129, F1: 0.0236966, HIT_RATE: 0.1476250, ARHR: 0.0529802, NOVELTY: 0.0048103, AVERAGE_POPULARITY: 0.0186188, DIVERSITY_MEAN_INTER_LIST: 0.9959038, DIVERSITY_HERFINDAHL: 0.9995700, COVERAGE_ITEM: 0.5084119, COVERAGE_ITEM_CORRECT: 0.0253628, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0769347, DIVERSITY_GINI: 0.2346591, SHANNON_ENTROPY: 12.7303495, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 467, 'shrink': 518, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0732829, PRECISION: 0.0146394, PRECISION_RECALL_MIN_DEN: 0.0605955, RECALL: 0.0594055, MAP: 0.0245535, MRR: 0.0484569, NDCG: 0.0385955, F1: 0.0234872, HIT_RATE: 0.1463945, ARHR: 0.0524773, NOVELTY: 0.0048141, AVERAGE_POPULARITY: 0.0185877, DIVERSITY_MEAN_INTER_LIST: 0.9957001, DIVERSITY_HERFINDAHL: 0.9995497, COVERAGE_ITEM: 0.4909259, COVERAGE_ITEM_CORRECT: 0.0251242, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0766075, DIVERSITY_GINI: 0.2207335, SHANNON_ENTROPY: 12.6396053, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 320, 'shrink': 867, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0727360, PRECISION: 0.0145913, PRECISION_RECALL_MIN_DEN: 0.0606395, RECALL: 0.0594261, MAP: 0.0246229, MRR: 0.0484966, NDCG: 0.0386032, F1: 0.0234277, HIT_RATE: 0.1459128, ARHR: 0.0525298, NOVELTY: 0.0048128, AVERAGE_POPULARITY: 0.0185551, DIVERSITY_MEAN_INTER_LIST: 0.9958146, DIVERSITY_HERFINDAHL: 0.9995611, COVERAGE_ITEM: 0.5024755, COVERAGE_ITEM_CORRECT: 0.0250318, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0760790, DIVERSITY_GINI: 0.2294166, SHANNON_ENTROPY: 12.6947253, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 973, 'shrink': 612, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0706832, PRECISION: 0.0141618, PRECISION_RECALL_MIN_DEN: 0.0589715, RECALL: 0.0578528, MAP: 0.0236116, MRR: 0.0465677, NDCG: 0.0373199, F1: 0.0227519, HIT_RATE: 0.1416175, ARHR: 0.0501630, NOVELTY: 0.0048200, AVERAGE_POPULARITY: 0.0186626, DIVERSITY_MEAN_INTER_LIST: 0.9952516, DIVERSITY_HERFINDAHL: 0.9995048, COVERAGE_ITEM: 0.4672416, COVERAGE_ITEM_CORRECT: 0.0241617, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0749969, DIVERSITY_GINI: 0.2004741, SHANNON_ENTROPY: 12.4854493, 
SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 520, 'shrink': 128, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0751318, PRECISION: 0.0149340, PRECISION_RECALL_MIN_DEN: 0.0616555, RECALL: 0.0604654, MAP: 0.0253008, MRR: 0.0502732, NDCG: 0.0395589, F1: 0.0239497, HIT_RATE: 0.1493400, ARHR: 0.0543643, NOVELTY: 0.0048094, AVERAGE_POPULARITY: 0.0185737, DIVERSITY_MEAN_INTER_LIST: 0.9958618, DIVERSITY_HERFINDAHL: 0.9995658, COVERAGE_ITEM: 0.4999115, COVERAGE_ITEM_CORRECT: 0.0256169, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0782937, DIVERSITY_GINI: 0.2303296, SHANNON_ENTROPY: 12.7089106, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 855, 'shrink': 748, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0711128, PRECISION: 0.0142599, PRECISION_RECALL_MIN_DEN: 0.0591667, RECALL: 0.0580141, MAP: 0.0237140, MRR: 0.0468482, NDCG: 0.0374686, F1: 0.0228910, HIT_RATE: 0.1425986, ARHR: 0.0505154, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.0186395, DIVERSITY_MEAN_INTER_LIST: 0.9953008, DIVERSITY_HERFINDAHL: 0.9995097, COVERAGE_ITEM: 0.4707680, COVERAGE_ITEM_CORRECT: 0.0243311, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0751982, DIVERSITY_GINI: 0.2029127, SHANNON_ENTROPY: 12.5035642, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 836, 'shrink': 299, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0724756, PRECISION: 0.0143373, PRECISION_RECALL_MIN_DEN: 0.0593847, RECALL: 0.0582297, MAP: 0.0241647, MRR: 0.0479208, NDCG: 0.0379706, F1: 0.0230076, HIT_RATE: 0.1433734, ARHR: 0.0516168, NOVELTY: 0.0048179, AVERAGE_POPULARITY: 0.0186593, DIVERSITY_MEAN_INTER_LIST: 0.9954843, DIVERSITY_HERFINDAHL: 0.9995281, COVERAGE_ITEM: 0.4756112, COVERAGE_ITEM_CORRECT: 0.0244928, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0757519, DIVERSITY_GINI: 0.2081547, SHANNON_ENTROPY: 12.5528465, 
