SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 56, 'shrink': 100, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2528200250940458, 'tversky_beta': 1.2449034044931075} - results: ROC_AUC: 0.0778437, PRECISION: 0.0154652, PRECISION_RECALL_MIN_DEN: 0.0631707, RECALL: 0.0618525, MAP: 0.0261163, MRR: 0.0518936, NDCG: 0.0407557, F1: 0.0247430, HIT_RATE: 0.1546520, ARHR: 0.0565182, NOVELTY: 0.0047913, AVERAGE_POPULARITY: 0.0187716, DIVERSITY_MEAN_INTER_LIST: 0.9963650, DIVERSITY_HERFINDAHL: 0.9996161, COVERAGE_ITEM: 0.5695553, COVERAGE_ITEM_CORRECT: 0.0270491, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0803322, DIVERSITY_GINI: 0.2860379, SHANNON_ENTROPY: 13.0167541, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 568, 'shrink': 478, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.29984266472794846, 'tversky_beta': 1.8264374089226527} - results: ROC_AUC: 0.0720339, PRECISION: 0.0142961, PRECISION_RECALL_MIN_DEN: 0.0595180, RECALL: 0.0583525, MAP: 0.0239404, MRR: 0.0470464, NDCG: 0.0377178, F1: 0.0229640, HIT_RATE: 0.1429613, ARHR: 0.0508565, NOVELTY: 0.0048195, AVERAGE_POPULARITY: 0.0185953, DIVERSITY_MEAN_INTER_LIST: 0.9954059, DIVERSITY_HERFINDAHL: 0.9995202, COVERAGE_ITEM: 0.4749182, COVERAGE_ITEM_CORRECT: 0.0244235, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0752737, DIVERSITY_GINI: 0.2077869, SHANNON_ENTROPY: 12.5420226, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 259, 'shrink': 614, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9007299023866135, 'tversky_beta': 0.5035050356995262} - results: ROC_AUC: 0.0744853, PRECISION: 0.0148363, PRECISION_RECALL_MIN_DEN: 0.0614760, RECALL: 0.0602268, MAP: 0.0250192, MRR: 0.0495665, NDCG: 0.0392300, F1: 0.0238067, HIT_RATE: 0.1483627, ARHR: 0.0536686, NOVELTY: 0.0048067, AVERAGE_POPULARITY: 0.0186667, DIVERSITY_MEAN_INTER_LIST: 0.9959583, DIVERSITY_HERFINDAHL: 0.9995755, COVERAGE_ITEM: 0.5112069, COVERAGE_ITEM_CORRECT: 0.0255861, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0772870, DIVERSITY_GINI: 0.2375986, SHANNON_ENTROPY: 12.7520555, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 824, 'shrink': 108, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0231081794357662, 'tversky_beta': 0.8228209191105866} - results: ROC_AUC: 0.0744814, PRECISION: 0.0147505, PRECISION_RECALL_MIN_DEN: 0.0612803, RECALL: 0.0600720, MAP: 0.0250273, MRR: 0.0496660, NDCG: 0.0391912, F1: 0.0236819, HIT_RATE: 0.1475048, ARHR: 0.0535983, NOVELTY: 0.0048161, AVERAGE_POPULARITY: 0.0186728, DIVERSITY_MEAN_INTER_LIST: 0.9956979, DIVERSITY_HERFINDAHL: 0.9995494, COVERAGE_ITEM: 0.4893244, COVERAGE_ITEM_CORRECT: 0.0251396, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0776645, DIVERSITY_GINI: 0.2206931, SHANNON_ENTROPY: 12.6432506, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 704, 'shrink': 5, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.4522927557885569, 'tversky_beta': 1.4251313794849396} - results: ROC_AUC: 0.0763542, PRECISION: 0.0150568, PRECISION_RECALL_MIN_DEN: 0.0625778, RECALL: 0.0613964, MAP: 0.0256595, MRR: 0.0508851, NDCG: 0.0401385, F1: 0.0241799, HIT_RATE: 0.1505676, ARHR: 0.0550615, NOVELTY: 0.0048093, AVERAGE_POPULARITY: 0.0193196, DIVERSITY_MEAN_INTER_LIST: 0.9959542, DIVERSITY_HERFINDAHL: 0.9995751, COVERAGE_ITEM: 0.5217247, COVERAGE_ITEM_CORRECT: 0.0258633, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0789732, DIVERSITY_GINI: 0.2441236, SHANNON_ENTROPY: 12.7818747, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 974, 'shrink': 39, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.29035955076876, 'tversky_beta': 1.3745760002763456} - results: ROC_AUC: 0.0731817, PRECISION: 0.0143950, PRECISION_RECALL_MIN_DEN: 0.0599914, RECALL: 0.0588733, MAP: 0.0243349, MRR: 0.0484442, NDCG: 0.0382896, F1: 0.0231318, HIT_RATE: 0.1439504, ARHR: 0.0521228, NOVELTY: 0.0048184, AVERAGE_POPULARITY: 0.0187896, DIVERSITY_MEAN_INTER_LIST: 0.9954946, DIVERSITY_HERFINDAHL: 0.9995291, COVERAGE_ITEM: 0.4744408, COVERAGE_ITEM_CORRECT: 0.0245621, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0764062, DIVERSITY_GINI: 0.2088159, SHANNON_ENTROPY: 12.5599539, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 125, 'shrink': 533, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.315365255289849, 'tversky_beta': 1.844890781831042} - results: ROC_AUC: 0.0746464, PRECISION: 0.0150499, PRECISION_RECALL_MIN_DEN: 0.0616344, RECALL: 0.0603522, MAP: 0.0248876, MRR: 0.0496776, NDCG: 0.0392174, F1: 0.0240894, HIT_RATE: 0.1504989, ARHR: 0.0538766, NOVELTY: 0.0048039, AVERAGE_POPULARITY: 0.0187718, DIVERSITY_MEAN_INTER_LIST: 0.9961237, DIVERSITY_HERFINDAHL: 0.9995920, COVERAGE_ITEM: 0.5260674, COVERAGE_ITEM_CORRECT: 0.0261867, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0785202, DIVERSITY_GINI: 0.2500112, SHANNON_ENTROPY: 12.8283731, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 635, 'shrink': 224, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.07650087309602417, 'tversky_beta': 1.856316865992931} - results: ROC_AUC: 0.0710093, PRECISION: 0.0141540, PRECISION_RECALL_MIN_DEN: 0.0589429, RECALL: 0.0577926, MAP: 0.0234322, MRR: 0.0463881, NDCG: 0.0371259, F1: 0.0227378, HIT_RATE: 0.1415403, ARHR: 0.0500933, NOVELTY: 0.0048204, AVERAGE_POPULARITY: 0.0186262, DIVERSITY_MEAN_INTER_LIST: 0.9952274, DIVERSITY_HERFINDAHL: 0.9995024, COVERAGE_ITEM: 0.4671184, COVERAGE_ITEM_CORRECT: 0.0241386, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0748207, DIVERSITY_GINI: 0.2012977, SHANNON_ENTROPY: 12.4911514, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 444, 'shrink': 252, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.11388510195756421, 'tversky_beta': 1.6121594479658807} - results: ROC_AUC: 0.0720196, PRECISION: 0.0144720, PRECISION_RECALL_MIN_DEN: 0.0599209, RECALL: 0.0587263, MAP: 0.0238935, MRR: 0.0472996, NDCG: 0.0378330, F1: 0.0232191, HIT_RATE: 0.1447201, ARHR: 0.0512127, NOVELTY: 0.0048162, AVERAGE_POPULARITY: 0.0185912, DIVERSITY_MEAN_INTER_LIST: 0.9955126, DIVERSITY_HERFINDAHL: 0.9995309, COVERAGE_ITEM: 0.4806468, COVERAGE_ITEM_CORRECT: 0.0247315, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0760035, DIVERSITY_GINI: 0.2128233, SHANNON_ENTROPY: 12.5801686, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 365, 'shrink': 223, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7437337169812774, 'tversky_beta': 0.6300270497921031} - results: ROC_AUC: 0.0747065, PRECISION: 0.0150407, PRECISION_RECALL_MIN_DEN: 0.0624657, RECALL: 0.0612445, MAP: 0.0253601, MRR: 0.0498539, NDCG: 0.0397473, F1: 0.0241474, HIT_RATE: 0.1504072, ARHR: 0.0540491, NOVELTY: 0.0048099, AVERAGE_POPULARITY: 0.0186200, DIVERSITY_MEAN_INTER_LIST: 0.9959473, DIVERSITY_HERFINDAHL: 0.9995744, COVERAGE_ITEM: 0.5096131, COVERAGE_ITEM_CORRECT: 0.0258787, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0785454, DIVERSITY_GINI: 0.2378012, SHANNON_ENTROPY: 12.7533369, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 81, 'shrink': 990, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5967669891063431, 'tversky_beta': 0.6401219919829307} - results: ROC_AUC: 0.0749488, PRECISION: 0.0153469, PRECISION_RECALL_MIN_DEN: 0.0627182, RECALL: 0.0614327, MAP: 0.0252249, MRR: 0.0503430, NDCG: 0.0398501, F1: 0.0245566, HIT_RATE: 0.1534686, ARHR: 0.0547038, NOVELTY: 0.0047964, AVERAGE_POPULARITY: 0.0186553, DIVERSITY_MEAN_INTER_LIST: 0.9962532, DIVERSITY_HERFINDAHL: 0.9996050, COVERAGE_ITEM: 0.5456323, COVERAGE_ITEM_CORRECT: 0.0268181, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0796275, DIVERSITY_GINI: 0.2657316, SHANNON_ENTROPY: 12.9139160, 
