SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 682, 'shrink': 922, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.011512913624770695, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0562061, PRECISION: 0.0108559, PRECISION_RECALL_MIN_DEN: 0.0414242, RECALL: 0.0404971, MAP: 0.0179561, MRR: 0.0382412, NDCG: 0.0280240, F1: 0.0171210, HIT_RATE: 0.1085586, ARHR: 0.0410500, NOVELTY: 0.0047440, AVERAGE_POPULARITY: 0.0154023, DIVERSITY_MEAN_INTER_LIST: 0.9956252, DIVERSITY_HERFINDAHL: 0.9995422, COVERAGE_ITEM: 0.4838884, COVERAGE_ITEM_CORRECT: 0.0190568, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0574053, DIVERSITY_GINI: 0.2229025, SHANNON_ENTROPY: 12.6473987, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 807, 'shrink': 496, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1278785265601425, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0618978, PRECISION: 0.0125312, PRECISION_RECALL_MIN_DEN: 0.0471966, RECALL: 0.0460238, MAP: 0.0190623, MRR: 0.0414992, NDCG: 0.0307150, F1: 0.0196977, HIT_RATE: 0.1253122, ARHR: 0.0452037, NOVELTY: 0.0047546, AVERAGE_POPULARITY: 0.0172960, DIVERSITY_MEAN_INTER_LIST: 0.9966163, DIVERSITY_HERFINDAHL: 0.9996413, COVERAGE_ITEM: 0.6196574, COVERAGE_ITEM_CORRECT: 0.0221367, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0643262, DIVERSITY_GINI: 0.3194205, SHANNON_ENTROPY: 13.1517789, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 261, 'shrink': 918, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8863280768262902, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0567539, PRECISION: 0.0108916, PRECISION_RECALL_MIN_DEN: 0.0413607, RECALL: 0.0404198, MAP: 0.0180501, MRR: 0.0387605, NDCG: 0.0281551, F1: 0.0171589, HIT_RATE: 0.1089160, ARHR: 0.0417021, NOVELTY: 0.0047311, AVERAGE_POPULARITY: 0.0154070, DIVERSITY_MEAN_INTER_LIST: 0.9959185, DIVERSITY_HERFINDAHL: 0.9995715, COVERAGE_ITEM: 0.5026910, COVERAGE_ITEM_CORRECT: 0.0190645, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0573550, DIVERSITY_GINI: 0.2407698, SHANNON_ENTROPY: 12.7731898, 
SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 697, 'shrink': 389, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1368524875006718, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0707966, PRECISION: 0.0142604, PRECISION_RECALL_MIN_DEN: 0.0557935, RECALL: 0.0545335, MAP: 0.0231326, MRR: 0.0482060, NDCG: 0.0364856, F1: 0.0226082, HIT_RATE: 0.1426043, ARHR: 0.0524769, NOVELTY: 0.0047596, AVERAGE_POPULARITY: 0.0171831, DIVERSITY_MEAN_INTER_LIST: 0.9965803, DIVERSITY_HERFINDAHL: 0.9996377, COVERAGE_ITEM: 0.6095707, COVERAGE_ITEM_CORRECT: 0.0249779, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0732100, DIVERSITY_GINI: 0.3151108, SHANNON_ENTROPY: 13.1368331, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 11, 'shrink': 415, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3815682415836688, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0471112, PRECISION: 0.0084612, PRECISION_RECALL_MIN_DEN: 0.0326398, RECALL: 0.0319138, MAP: 0.0149862, MRR: 0.0321499, NDCG: 0.0229181, F1: 0.0133735, HIT_RATE: 0.0846116, ARHR: 0.0342050, NOVELTY: 0.0046895, AVERAGE_POPULARITY: 0.0153189, DIVERSITY_MEAN_INTER_LIST: 0.9879042, DIVERSITY_HERFINDAHL: 0.9987702, COVERAGE_ITEM: 0.5543253, COVERAGE_ITEM_CORRECT: 0.0150837, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0455518, DIVERSITY_GINI: 0.2644902, SHANNON_ENTROPY: 12.6339991, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 116, 'shrink': 804, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.910576312105019, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0702597, PRECISION: 0.0139584, PRECISION_RECALL_MIN_DEN: 0.0543548, RECALL: 0.0531043, MAP: 0.0231158, MRR: 0.0480082, NDCG: 0.0360652, F1: 0.0221053, HIT_RATE: 0.1395838, ARHR: 0.0522316, NOVELTY: 0.0047410, AVERAGE_POPULARITY: 0.0166739, DIVERSITY_MEAN_INTER_LIST: 0.9964304, DIVERSITY_HERFINDAHL: 0.9996227, COVERAGE_ITEM: 0.6082541, COVERAGE_ITEM_CORRECT: 0.0245929, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0715993, DIVERSITY_GINI: 0.3185762, SHANNON_ENTROPY: 13.1413529, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 431, 'shrink': 294, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.17757769922717673, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0561597, PRECISION: 0.0108925, PRECISION_RECALL_MIN_DEN: 0.0415219, RECALL: 0.0406008, MAP: 0.0178559, MRR: 0.0383017, NDCG: 0.0280083, F1: 0.0171760, HIT_RATE: 0.1089248, ARHR: 0.0411459, NOVELTY: 0.0047396, AVERAGE_POPULARITY: 0.0154361, DIVERSITY_MEAN_INTER_LIST: 0.9957462, DIVERSITY_HERFINDAHL: 0.9995543, COVERAGE_ITEM: 0.4891011, COVERAGE_ITEM_CORRECT: 0.0190876, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0574808, DIVERSITY_GINI: 0.2278046, SHANNON_ENTROPY: 12.6845234, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 563, 'shrink': 83, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8153656605943207, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0669567, PRECISION: 0.0135779, PRECISION_RECALL_MIN_DEN: 0.0535809, RECALL: 0.0523964, MAP: 0.0212278, MRR: 0.0455871, NDCG: 0.0342361, F1: 0.0215668, HIT_RATE: 0.1357788, ARHR: 0.0494575, NOVELTY: 0.0047601, AVERAGE_POPULARITY: 0.0178219, DIVERSITY_MEAN_INTER_LIST: 0.9963319, DIVERSITY_HERFINDAHL: 0.9996128, COVERAGE_ITEM: 0.5882733, COVERAGE_ITEM_CORRECT: 0.0237844, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0702907, DIVERSITY_GINI: 0.2925001, SHANNON_ENTROPY: 13.0206990, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 298, 'shrink': 913, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.675974577080864, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0569608, PRECISION: 0.0110020, PRECISION_RECALL_MIN_DEN: 0.0416354, RECALL: 0.0406774, MAP: 0.0180449, MRR: 0.0388563, NDCG: 0.0282354, F1: 0.0173188, HIT_RATE: 0.1100205, ARHR: 0.0417874, NOVELTY: 0.0047309, AVERAGE_POPULARITY: 0.0154179, DIVERSITY_MEAN_INTER_LIST: 0.9959242, DIVERSITY_HERFINDAHL: 0.9995721, COVERAGE_ITEM: 0.4998884, COVERAGE_ITEM_CORRECT: 0.0193109, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0580093, DIVERSITY_GINI: 0.2381699, SHANNON_ENTROPY: 12.7586597, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 556, 'shrink': 498, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.964679702580223, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0598903, PRECISION: 0.0121432, PRECISION_RECALL_MIN_DEN: 0.0459024, RECALL: 0.0447840, MAP: 0.0182960, MRR: 0.0399223, NDCG: 0.0296505, F1: 0.0191049, HIT_RATE: 0.1214318, ARHR: 0.0433870, NOVELTY: 0.0047594, AVERAGE_POPULARITY: 0.0174169, DIVERSITY_MEAN_INTER_LIST: 0.9965341, DIVERSITY_HERFINDAHL: 0.9996330, COVERAGE_ITEM: 0.6140828, COVERAGE_ITEM_CORRECT: 0.0214360, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0627155, DIVERSITY_GINI: 0.3132281, SHANNON_ENTROPY: 13.1203564, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 50, 'shrink': 30, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3404814632181068, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0443185, PRECISION: 0.0090081, PRECISION_RECALL_MIN_DEN: 0.0350582, RECALL: 0.0342907, MAP: 0.0127975, MRR: 0.0290620, NDCG: 0.0216373, F1: 0.0142663, HIT_RATE: 0.0900809, ARHR: 0.0310239, NOVELTY: 0.0047309, AVERAGE_POPULARITY: 0.0175270, DIVERSITY_MEAN_INTER_LIST: 0.9957153, DIVERSITY_HERFINDAHL: 0.9995512, COVERAGE_ITEM: 0.5103831, COVERAGE_ITEM_CORRECT: 0.0158306, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0480936, DIVERSITY_GINI: 0.2305626, SHANNON_ENTROPY: 12.6955491, 
