SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 846, 'shrink': 4, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0752685, PRECISION: 0.0149961, PRECISION_RECALL_MIN_DEN: 0.0632027, RECALL: 0.0620776, MAP: 0.0252142, MRR: 0.0501299, NDCG: 0.0399350, F1: 0.0241538, HIT_RATE: 0.1499608, ARHR: 0.0540897, NOVELTY: 0.0047980, AVERAGE_POPULARITY: 0.0194797, DIVERSITY_MEAN_INTER_LIST: 0.9958657, DIVERSITY_HERFINDAHL: 0.9995662, COVERAGE_ITEM: 0.5211165, COVERAGE_ITEM_CORRECT: 0.0258325, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0791494, DIVERSITY_GINI: 0.2398294, SHANNON_ENTROPY: 12.7457750, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 287, 'shrink': 517, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0735875, PRECISION: 0.0146189, PRECISION_RECALL_MIN_DEN: 0.0611021, RECALL: 0.0599112, MAP: 0.0247034, MRR: 0.0487367, NDCG: 0.0388125, F1: 0.0235015, HIT_RATE: 0.1461888, ARHR: 0.0527458, NOVELTY: 0.0048122, AVERAGE_POPULARITY: 0.0186265, DIVERSITY_MEAN_INTER_LIST: 0.9958785, DIVERSITY_HERFINDAHL: 0.9995675, COVERAGE_ITEM: 0.5056323, COVERAGE_ITEM_CORRECT: 0.0251858, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0763810, DIVERSITY_GINI: 0.2325681, SHANNON_ENTROPY: 12.7181038, 
SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 178, 'shrink': 100, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0770052, PRECISION: 0.0154131, PRECISION_RECALL_MIN_DEN: 0.0635129, RECALL: 0.0622211, MAP: 0.0258054, MRR: 0.0514090, NDCG: 0.0405020, F1: 0.0247035, HIT_RATE: 0.1541313, ARHR: 0.0558726, NOVELTY: 0.0047989, AVERAGE_POPULARITY: 0.0188593, DIVERSITY_MEAN_INTER_LIST: 0.9961909, DIVERSITY_HERFINDAHL: 0.9995987, COVERAGE_ITEM: 0.5333436, COVERAGE_ITEM_CORRECT: 0.0266487, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0800302, DIVERSITY_GINI: 0.2577099, SHANNON_ENTROPY: 12.8727179, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 609, 'shrink': 739, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0725432, PRECISION: 0.0144188, PRECISION_RECALL_MIN_DEN: 0.0600721, RECALL: 0.0588910, MAP: 0.0240805, MRR: 0.0473896, NDCG: 0.0379838, F1: 0.0231645, HIT_RATE: 0.1441884, ARHR: 0.0512231, NOVELTY: 0.0048177, AVERAGE_POPULARITY: 0.0186341, DIVERSITY_MEAN_INTER_LIST: 0.9954995, DIVERSITY_HERFINDAHL: 0.9995296, COVERAGE_ITEM: 0.4802464, COVERAGE_ITEM_CORRECT: 0.0245775, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0760035, DIVERSITY_GINI: 0.2114021, SHANNON_ENTROPY: 12.5693328, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 803, 'shrink': 227, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0730928, PRECISION: 0.0144149, PRECISION_RECALL_MIN_DEN: 0.0599141, RECALL: 0.0587590, MAP: 0.0242734, MRR: 0.0482313, NDCG: 0.0381835, F1: 0.0231491, HIT_RATE: 0.1441486, ARHR: 0.0519611, NOVELTY: 0.0048184, AVERAGE_POPULARITY: 0.0186873, DIVERSITY_MEAN_INTER_LIST: 0.9955371, DIVERSITY_HERFINDAHL: 0.9995334, COVERAGE_ITEM: 0.4774745, COVERAGE_ITEM_CORRECT: 0.0246160, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0762552, DIVERSITY_GINI: 0.2104293, SHANNON_ENTROPY: 12.5716749, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 372, 'shrink': 196, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0742929, PRECISION: 0.0148888, PRECISION_RECALL_MIN_DEN: 0.0619782, RECALL: 0.0607861, MAP: 0.0250034, MRR: 0.0493504, NDCG: 0.0393214, F1: 0.0239161, HIT_RATE: 0.1488884, ARHR: 0.0534590, NOVELTY: 0.0048082, AVERAGE_POPULARITY: 0.0186147, DIVERSITY_MEAN_INTER_LIST: 0.9958790, DIVERSITY_HERFINDAHL: 0.9995676, COVERAGE_ITEM: 0.5026141, COVERAGE_ITEM_CORRECT: 0.0256246, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0780420, DIVERSITY_GINI: 0.2316301, SHANNON_ENTROPY: 12.7156442, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 102, 'shrink': 129, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0765800, PRECISION: 0.0154162, PRECISION_RECALL_MIN_DEN: 0.0632403, RECALL: 0.0619363, MAP: 0.0255849, MRR: 0.0510117, NDCG: 0.0402735, F1: 0.0246853, HIT_RATE: 0.1541624, ARHR: 0.0554617, NOVELTY: 0.0047953, AVERAGE_POPULARITY: 0.0188113, DIVERSITY_MEAN_INTER_LIST: 0.9963141, DIVERSITY_HERFINDAHL: 0.9996111, COVERAGE_ITEM: 0.5467873, COVERAGE_ITEM_CORRECT: 0.0269413, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0799547, DIVERSITY_GINI: 0.2684034, SHANNON_ENTROPY: 12.9338844, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 580, 'shrink': 559, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0725559, PRECISION: 0.0144598, PRECISION_RECALL_MIN_DEN: 0.0601813, RECALL: 0.0590279, MAP: 0.0241666, MRR: 0.0475165, NDCG: 0.0381070, F1: 0.0232274, HIT_RATE: 0.1445984, ARHR: 0.0513694, NOVELTY: 0.0048168, AVERAGE_POPULARITY: 0.0186361, DIVERSITY_MEAN_INTER_LIST: 0.9955643, DIVERSITY_HERFINDAHL: 0.9995361, COVERAGE_ITEM: 0.4824716, COVERAGE_ITEM_CORRECT: 0.0246160, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0762552, DIVERSITY_GINI: 0.2136799, SHANNON_ENTROPY: 12.5887077, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 149, 'shrink': 781, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0750304, PRECISION: 0.0149841, PRECISION_RECALL_MIN_DEN: 0.0616028, RECALL: 0.0603491, MAP: 0.0249091, MRR: 0.0497444, NDCG: 0.0392510, F1: 0.0240045, HIT_RATE: 0.1498409, ARHR: 0.0539589, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.0188269, DIVERSITY_MEAN_INTER_LIST: 0.9961098, DIVERSITY_HERFINDAHL: 0.9995906, COVERAGE_ITEM: 0.5261752, COVERAGE_ITEM_CORRECT: 0.0259480, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0782434, DIVERSITY_GINI: 0.2498525, SHANNON_ENTROPY: 12.8249397, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 37, 'shrink': 462, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0761921, PRECISION: 0.0153218, PRECISION_RECALL_MIN_DEN: 0.0622744, RECALL: 0.0609891, MAP: 0.0255232, MRR: 0.0504419, NDCG: 0.0400233, F1: 0.0244887, HIT_RATE: 0.1532184, ARHR: 0.0548478, NOVELTY: 0.0047890, AVERAGE_POPULARITY: 0.0188751, DIVERSITY_MEAN_INTER_LIST: 0.9961167, DIVERSITY_HERFINDAHL: 0.9995913, COVERAGE_ITEM: 0.5735515, COVERAGE_ITEM_CORRECT: 0.0268874, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0797030, DIVERSITY_GINI: 0.2852539, SHANNON_ENTROPY: 12.9961129, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 412, 'shrink': 378, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0734705, PRECISION: 0.0146560, PRECISION_RECALL_MIN_DEN: 0.0608407, RECALL: 0.0596483, MAP: 0.0246432, MRR: 0.0487302, NDCG: 0.0387241, F1: 0.0235273, HIT_RATE: 0.1465603, ARHR: 0.0527674, NOVELTY: 0.0048117, AVERAGE_POPULARITY: 0.0185893, DIVERSITY_MEAN_INTER_LIST: 0.9957690, DIVERSITY_HERFINDAHL: 0.9995565, COVERAGE_ITEM: 0.4949759, COVERAGE_ITEM_CORRECT: 0.0251319, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0767837, DIVERSITY_GINI: 0.2243450, SHANNON_ENTROPY: 12.6662419, 
