
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 157, 'shrink': 71, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6978878753982184, 'tversky_beta': 1.4700049449073567, 'icm_weight': 6.764423848332919} - results: ROC_AUC: 0.1095167, PRECISION: 0.0221259, PRECISION_RECALL_MIN_DEN: 0.0903508, RECALL: 0.0885430, MAP: 0.0374584, MRR: 0.0745003, NDCG: 0.0584053, F1: 0.0354021, HIT_RATE: 0.2212591, ARHR: 0.0817000, NOVELTY: 0.0047518, AVERAGE_POPULARITY: 0.0440584, DIVERSITY_MEAN_INTER_LIST: 0.9953675, DIVERSITY_HERFINDAHL: 0.9995164, COVERAGE_ITEM: 0.5248277, COVERAGE_ITEM_CORRECT: 0.0327931, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1125959, DIVERSITY_GINI: 0.2431955, SHANNON_ENTROPY: 12.7162739, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 949, 'shrink': 346, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5694076090415382, 'tversky_beta': 1.323321912585874, 'icm_weight': 7.334556185758444} - results: ROC_AUC: 0.1088469, PRECISION: 0.0217194, PRECISION_RECALL_MIN_DEN: 0.0887455, RECALL: 0.0870809, MAP: 0.0370561, MRR: 0.0739067, NDCG: 0.0578220, F1: 0.0347661, HIT_RATE: 0.2171943, ARHR: 0.0805620, NOVELTY: 0.0047269, AVERAGE_POPULARITY: 0.0578809, DIVERSITY_MEAN_INTER_LIST: 0.9929096, DIVERSITY_HERFINDAHL: 0.9992707, COVERAGE_ITEM: 0.4456054, COVERAGE_ITEM_CORRECT: 0.0293975, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114634, DIVERSITY_GINI: 0.1755884, SHANNON_ENTROPY: 12.1540338, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 357, 'shrink': 145, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2670387162556762, 'tversky_beta': 0.2780510451091796, 'icm_weight': 12.412715532369816} - results: ROC_AUC: 0.1065089, PRECISION: 0.0212587, PRECISION_RECALL_MIN_DEN: 0.0867412, RECALL: 0.0850333, MAP: 0.0359275, MRR: 0.0718200, NDCG: 0.0561492, F1: 0.0340129, HIT_RATE: 0.2125874, ARHR: 0.0785034, NOVELTY: 0.0047460, AVERAGE_POPULARITY: 0.0457113, DIVERSITY_MEAN_INTER_LIST: 0.9948697, DIVERSITY_HERFINDAHL: 0.9994666, COVERAGE_ITEM: 0.4962464, COVERAGE_ITEM_CORRECT: 0.0311607, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1091481, DIVERSITY_GINI: 0.2180414, SHANNON_ENTROPY: 12.5426590, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 55, 'shrink': 885, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3468417177188448, 'tversky_beta': 0.18323395989548888, 'icm_weight': 3.8035800267616233} - results: ROC_AUC: 0.1120914, PRECISION: 0.0227061, PRECISION_RECALL_MIN_DEN: 0.0909903, RECALL: 0.0891347, MAP: 0.0378208, MRR: 0.0763297, NDCG: 0.0591988, F1: 0.0361900, HIT_RATE: 0.2270614, ARHR: 0.0841423, NOVELTY: 0.0046819, AVERAGE_POPULARITY: 0.0617587, DIVERSITY_MEAN_INTER_LIST: 0.9929040, DIVERSITY_HERFINDAHL: 0.9992701, COVERAGE_ITEM: 0.5278999, COVERAGE_ITEM_CORRECT: 0.0309759, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1147351, DIVERSITY_GINI: 0.2310910, SHANNON_ENTROPY: 12.4647471, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 224, 'shrink': 99, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5885065055557935, 'tversky_beta': 1.078046128058285, 'icm_weight': 10.543065291255077} - results: ROC_AUC: 0.1103961, PRECISION: 0.0222398, PRECISION_RECALL_MIN_DEN: 0.0903842, RECALL: 0.0885715, MAP: 0.0375409, MRR: 0.0750714, NDCG: 0.0586078, F1: 0.0355509, HIT_RATE: 0.2223977, ARHR: 0.0823419, NOVELTY: 0.0047364, AVERAGE_POPULARITY: 0.0486171, DIVERSITY_MEAN_INTER_LIST: 0.9947708, DIVERSITY_HERFINDAHL: 0.9994567, COVERAGE_ITEM: 0.5034302, COVERAGE_ITEM_CORRECT: 0.0321232, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1127218, DIVERSITY_GINI: 0.2236980, SHANNON_ENTROPY: 12.5687395, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 831, 'shrink': 370, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5868664422867773, 'tversky_beta': 0.5206663258564771, 'icm_weight': 17.10611248046911} - results: ROC_AUC: 0.1075465, PRECISION: 0.0215806, PRECISION_RECALL_MIN_DEN: 0.0882558, RECALL: 0.0865792, MAP: 0.0364226, MRR: 0.0725871, NDCG: 0.0570685, F1: 0.0345471, HIT_RATE: 0.2158061, ARHR: 0.0791540, NOVELTY: 0.0047347, AVERAGE_POPULARITY: 0.0526305, DIVERSITY_MEAN_INTER_LIST: 0.9937664, DIVERSITY_HERFINDAHL: 0.9993563, COVERAGE_ITEM: 0.4586179, COVERAGE_ITEM_CORRECT: 0.0301213, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1108594, DIVERSITY_GINI: 0.1871357, SHANNON_ENTROPY: 12.2838802, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 599, 'shrink': 121, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.129397760824376, 'tversky_beta': 0.7327262187890028, 'icm_weight': 5.980388017322759} - results: ROC_AUC: 0.1061249, PRECISION: 0.0211846, PRECISION_RECALL_MIN_DEN: 0.0865368, RECALL: 0.0848734, MAP: 0.0362730, MRR: 0.0713993, NDCG: 0.0563484, F1: 0.0339048, HIT_RATE: 0.2118455, ARHR: 0.0781255, NOVELTY: 0.0047608, AVERAGE_POPULARITY: 0.0439001, DIVERSITY_MEAN_INTER_LIST: 0.9949648, DIVERSITY_HERFINDAHL: 0.9994761, COVERAGE_ITEM: 0.4850972, COVERAGE_ITEM_CORRECT: 0.0310914, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1085944, DIVERSITY_GINI: 0.2106116, SHANNON_ENTROPY: 12.5127435, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 544, 'shrink': 460, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.44119958307744034, 'tversky_beta': 0.04032619632859836, 'icm_weight': 2.245022708746295} - results: ROC_AUC: 0.1110562, PRECISION: 0.0221002, PRECISION_RECALL_MIN_DEN: 0.0894423, RECALL: 0.0876622, MAP: 0.0376433, MRR: 0.0755559, NDCG: 0.0585702, F1: 0.0352991, HIT_RATE: 0.2210020, ARHR: 0.0827041, NOVELTY: 0.0047046, AVERAGE_POPULARITY: 0.0625506, DIVERSITY_MEAN_INTER_LIST: 0.9924144, DIVERSITY_HERFINDAHL: 0.9992212, COVERAGE_ITEM: 0.4588720, COVERAGE_ITEM_CORRECT: 0.0295130, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1124701, DIVERSITY_GINI: 0.1831868, SHANNON_ENTROPY: 12.1731766, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 737, 'shrink': 395, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2841305319020602, 'tversky_beta': 0.9052065922958539, 'icm_weight': 15.563099810870254} - results: ROC_AUC: 0.1089386, PRECISION: 0.0217038, PRECISION_RECALL_MIN_DEN: 0.0886134, RECALL: 0.0869086, MAP: 0.0369630, MRR: 0.0736267, NDCG: 0.0576443, F1: 0.0347324, HIT_RATE: 0.2170383, ARHR: 0.0803367, NOVELTY: 0.0047298, AVERAGE_POPULARITY: 0.0545436, DIVERSITY_MEAN_INTER_LIST: 0.9935576, DIVERSITY_HERFINDAHL: 0.9993355, COVERAGE_ITEM: 0.4575553, COVERAGE_ITEM_CORRECT: 0.0299673, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1111866, DIVERSITY_GINI: 0.1855440, SHANNON_ENTROPY: 12.2602262, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 825, 'shrink': 9, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.10852447302881488, 'tversky_beta': 1.632751967038919, 'icm_weight': 9.06364811871559} - results: ROC_AUC: 0.1062569, PRECISION: 0.0211769, PRECISION_RECALL_MIN_DEN: 0.0866390, RECALL: 0.0849665, MAP: 0.0363932, MRR: 0.0720649, NDCG: 0.0565463, F1: 0.0339023, HIT_RATE: 0.2117690, ARHR: 0.0786529, NOVELTY: 0.0047780, AVERAGE_POPULARITY: 0.0420928, DIVERSITY_MEAN_INTER_LIST: 0.9951390, DIVERSITY_HERFINDAHL: 0.9994936, COVERAGE_ITEM: 0.4876150, COVERAGE_ITEM_CORRECT: 0.0310375, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1084434, DIVERSITY_GINI: 0.2142492, SHANNON_ENTROPY: 12.5525455, 
