SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 976, 'shrink': 426, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.553731385809306, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0914014, PRECISION: 0.0177709, PRECISION_RECALL_MIN_DEN: 0.0676287, RECALL: 0.0660852, MAP: 0.0288775, MRR: 0.0633586, NDCG: 0.0455347, F1: 0.0280077, HIT_RATE: 0.1777094, ARHR: 0.0688738, NOVELTY: 0.0048143, AVERAGE_POPULARITY: 0.1040683, DIVERSITY_MEAN_INTER_LIST: 0.9790493, DIVERSITY_HERFINDAHL: 0.9978849, COVERAGE_ITEM: 0.3882425, COVERAGE_ITEM_CORRECT: 0.0178248, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0919592, DIVERSITY_GINI: 0.1182426, SHANNON_ENTROPY: 11.0372955, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 428, 'shrink': 612, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2741077755924928, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0931560, PRECISION: 0.0179265, PRECISION_RECALL_MIN_DEN: 0.0680103, RECALL: 0.0664333, MAP: 0.0294497, MRR: 0.0642462, NDCG: 0.0461855, F1: 0.0282321, HIT_RATE: 0.1792648, ARHR: 0.0697906, NOVELTY: 0.0048109, AVERAGE_POPULARITY: 0.1108668, DIVERSITY_MEAN_INTER_LIST: 0.9771509, DIVERSITY_HERFINDAHL: 0.9976951, COVERAGE_ITEM: 0.3961347, COVERAGE_ITEM_CORRECT: 0.0174629, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0924374, DIVERSITY_GINI: 0.1222547, SHANNON_ENTROPY: 11.0208237, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 471, 'shrink': 279, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8415356162584229, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0458132, PRECISION: 0.0088844, PRECISION_RECALL_MIN_DEN: 0.0349604, RECALL: 0.0341526, MAP: 0.0146221, MRR: 0.0302487, NDCG: 0.0228980, F1: 0.0140988, HIT_RATE: 0.0888441, ARHR: 0.0325270, NOVELTY: 0.0057422, AVERAGE_POPULARITY: 0.0109417, DIVERSITY_MEAN_INTER_LIST: 0.9932449, DIVERSITY_HERFINDAHL: 0.9993042, COVERAGE_ITEM: 0.6192801, COVERAGE_ITEM_CORRECT: 0.0162849, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0473386, DIVERSITY_GINI: 0.3620395, SHANNON_ENTROPY: 13.2324928, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 468, 'shrink': 582, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1300603386793975, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0468305, PRECISION: 0.0090931, PRECISION_RECALL_MIN_DEN: 0.0356846, RECALL: 0.0348748, MAP: 0.0149041, MRR: 0.0310281, NDCG: 0.0233765, F1: 0.0144229, HIT_RATE: 0.0909305, ARHR: 0.0333263, NOVELTY: 0.0057312, AVERAGE_POPULARITY: 0.0111014, DIVERSITY_MEAN_INTER_LIST: 0.9932743, DIVERSITY_HERFINDAHL: 0.9993071, COVERAGE_ITEM: 0.6240077, COVERAGE_ITEM_CORRECT: 0.0166853, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0484208, DIVERSITY_GINI: 0.3680812, SHANNON_ENTROPY: 13.2530050, 
SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 725, 'shrink': 928, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4822288469587156, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1025828, PRECISION: 0.0201138, PRECISION_RECALL_MIN_DEN: 0.0766772, RECALL: 0.0749740, MAP: 0.0329262, MRR: 0.0710790, NDCG: 0.0516622, F1: 0.0317166, HIT_RATE: 0.2011376, ARHR: 0.0774671, NOVELTY: 0.0049421, AVERAGE_POPULARITY: 0.0756923, DIVERSITY_MEAN_INTER_LIST: 0.9876064, DIVERSITY_HERFINDAHL: 0.9987405, COVERAGE_ITEM: 0.4411935, COVERAGE_ITEM_CORRECT: 0.0240308, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1033094, DIVERSITY_GINI: 0.1587705, SHANNON_ENTROPY: 11.7670519, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 796, 'shrink': 71, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6395564275064379, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0433202, PRECISION: 0.0083327, PRECISION_RECALL_MIN_DEN: 0.0333640, RECALL: 0.0326677, MAP: 0.0138995, MRR: 0.0291041, NDCG: 0.0218580, F1: 0.0132745, HIT_RATE: 0.0833272, ARHR: 0.0310812, NOVELTY: 0.0057635, AVERAGE_POPULARITY: 0.0108156, DIVERSITY_MEAN_INTER_LIST: 0.9932017, DIVERSITY_HERFINDAHL: 0.9992999, COVERAGE_ITEM: 0.6049124, COVERAGE_ITEM_CORRECT: 0.0153224, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0448723, DIVERSITY_GINI: 0.3443385, SHANNON_ENTROPY: 13.1706662, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 654, 'shrink': 78, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.730114148079753, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0916612, PRECISION: 0.0175708, PRECISION_RECALL_MIN_DEN: 0.0672086, RECALL: 0.0657077, MAP: 0.0289851, MRR: 0.0634250, NDCG: 0.0455048, F1: 0.0277258, HIT_RATE: 0.1757083, ARHR: 0.0686809, NOVELTY: 0.0048740, AVERAGE_POPULARITY: 0.0930062, DIVERSITY_MEAN_INTER_LIST: 0.9829280, DIVERSITY_HERFINDAHL: 0.9982727, COVERAGE_ITEM: 0.4057055, COVERAGE_ITEM_CORRECT: 0.0187796, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0914056, DIVERSITY_GINI: 0.1305009, SHANNON_ENTROPY: 11.2967550, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 950, 'shrink': 253, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2301937469700248, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0518251, PRECISION: 0.0099043, PRECISION_RECALL_MIN_DEN: 0.0384513, RECALL: 0.0375599, MAP: 0.0160398, MRR: 0.0345880, NDCG: 0.0253857, F1: 0.0156680, HIT_RATE: 0.0990425, ARHR: 0.0368425, NOVELTY: 0.0054684, AVERAGE_POPULARITY: 0.0190546, DIVERSITY_MEAN_INTER_LIST: 0.9918901, DIVERSITY_HERFINDAHL: 0.9991687, COVERAGE_ITEM: 0.5267372, COVERAGE_ITEM_CORRECT: 0.0175168, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0535548, DIVERSITY_GINI: 0.2462470, SHANNON_ENTROPY: 12.6154872, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 826, 'shrink': 344, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.760845739914512, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0544826, PRECISION: 0.0105248, PRECISION_RECALL_MIN_DEN: 0.0408032, RECALL: 0.0398471, MAP: 0.0166214, MRR: 0.0359725, NDCG: 0.0265835, F1: 0.0166451, HIT_RATE: 0.1052483, ARHR: 0.0384100, NOVELTY: 0.0053477, AVERAGE_POPULARITY: 0.0252579, DIVERSITY_MEAN_INTER_LIST: 0.9910411, DIVERSITY_HERFINDAHL: 0.9990839, COVERAGE_ITEM: 0.5107988, COVERAGE_ITEM_CORRECT: 0.0181251, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0567510, DIVERSITY_GINI: 0.2244543, SHANNON_ENTROPY: 12.4249976, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 393, 'shrink': 633, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5383396330825811, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0657591, PRECISION: 0.0129293, PRECISION_RECALL_MIN_DEN: 0.0497949, RECALL: 0.0485911, MAP: 0.0205104, MRR: 0.0442049, NDCG: 0.0325880, F1: 0.0204198, HIT_RATE: 0.1292926, ARHR: 0.0476206, NOVELTY: 0.0052430, AVERAGE_POPULARITY: 0.0325877, DIVERSITY_MEAN_INTER_LIST: 0.9906517, DIVERSITY_HERFINDAHL: 0.9990449, COVERAGE_ITEM: 0.4990799, COVERAGE_ITEM_CORRECT: 0.0212127, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0687303, DIVERSITY_GINI: 0.2123972, SHANNON_ENTROPY: 12.3351988, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 408, 'shrink': 881, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4099259207942524, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0482327, PRECISION: 0.0093217, PRECISION_RECALL_MIN_DEN: 0.0363839, RECALL: 0.0355010, MAP: 0.0151997, MRR: 0.0321408, NDCG: 0.0238748, F1: 0.0147652, HIT_RATE: 0.0932174, ARHR: 0.0345366, NOVELTY: 0.0057157, AVERAGE_POPULARITY: 0.0112616, DIVERSITY_MEAN_INTER_LIST: 0.9932514, DIVERSITY_HERFINDAHL: 0.9993048, COVERAGE_ITEM: 0.6281578, COVERAGE_ITEM_CORRECT: 0.0170703, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0496791, DIVERSITY_GINI: 0.3747384, SHANNON_ENTROPY: 13.2724340, 
