SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 938, 'shrink': 200, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0464222, PRECISION: 0.0089739, PRECISION_RECALL_MIN_DEN: 0.0353606, RECALL: 0.0345806, MAP: 0.0148269, MRR: 0.0308304, NDCG: 0.0232744, F1: 0.0142484, HIT_RATE: 0.0897394, ARHR: 0.0331082, NOVELTY: 0.0057287, AVERAGE_POPULARITY: 0.0111704, DIVERSITY_MEAN_INTER_LIST: 0.9932646, DIVERSITY_HERFINDAHL: 0.9993062, COVERAGE_ITEM: 0.6244158, COVERAGE_ITEM_CORRECT: 0.0164620, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0478923, DIVERSITY_GINI: 0.3670907, SHANNON_ENTROPY: 13.2493822, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 399, 'shrink': 797, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0481058, PRECISION: 0.0092848, PRECISION_RECALL_MIN_DEN: 0.0362238, RECALL: 0.0353555, MAP: 0.0150881, MRR: 0.0318922, NDCG: 0.0237360, F1: 0.0147060, HIT_RATE: 0.0928477, ARHR: 0.0342804, NOVELTY: 0.0057180, AVERAGE_POPULARITY: 0.0112231, DIVERSITY_MEAN_INTER_LIST: 0.9932195, DIVERSITY_HERFINDAHL: 0.9993016, COVERAGE_ITEM: 0.6273802, COVERAGE_ITEM_CORRECT: 0.0169933, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0495785, DIVERSITY_GINI: 0.3735280, SHANNON_ENTROPY: 13.2676781, 
SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 858, 'shrink': 262, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0485391, PRECISION: 0.0093905, PRECISION_RECALL_MIN_DEN: 0.0365047, RECALL: 0.0356345, MAP: 0.0153504, MRR: 0.0320115, NDCG: 0.0240525, F1: 0.0148630, HIT_RATE: 0.0939051, ARHR: 0.0343640, NOVELTY: 0.0057004, AVERAGE_POPULARITY: 0.0115783, DIVERSITY_MEAN_INTER_LIST: 0.9932995, DIVERSITY_HERFINDAHL: 0.9993096, COVERAGE_ITEM: 0.6352724, COVERAGE_ITEM_CORRECT: 0.0172320, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0504341, DIVERSITY_GINI: 0.3821532, SHANNON_ENTROPY: 13.2970129, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 914, 'shrink': 520, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0475114, PRECISION: 0.0091417, PRECISION_RECALL_MIN_DEN: 0.0356946, RECALL: 0.0348848, MAP: 0.0150726, MRR: 0.0315860, NDCG: 0.0236073, F1: 0.0144860, HIT_RATE: 0.0914167, ARHR: 0.0338546, NOVELTY: 0.0057145, AVERAGE_POPULARITY: 0.0113693, DIVERSITY_MEAN_INTER_LIST: 0.9932866, DIVERSITY_HERFINDAHL: 0.9993084, COVERAGE_ITEM: 0.6301598, COVERAGE_ITEM_CORRECT: 0.0167777, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0488486, DIVERSITY_GINI: 0.3749656, SHANNON_ENTROPY: 13.2748105, 
SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 222, 'shrink': 72, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0925026, PRECISION: 0.0178537, PRECISION_RECALL_MIN_DEN: 0.0678684, RECALL: 0.0662812, MAP: 0.0293475, MRR: 0.0640231, NDCG: 0.0460204, F1: 0.0281285, HIT_RATE: 0.1785365, ARHR: 0.0693778, NOVELTY: 0.0048885, AVERAGE_POPULARITY: 0.0955886, DIVERSITY_MEAN_INTER_LIST: 0.9824705, DIVERSITY_HERFINDAHL: 0.9982270, COVERAGE_ITEM: 0.4188181, COVERAGE_ITEM_CORRECT: 0.0191107, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925129, DIVERSITY_GINI: 0.1393262, SHANNON_ENTROPY: 11.3702835, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 37, 'shrink': 471, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0890939, PRECISION: 0.0170123, PRECISION_RECALL_MIN_DEN: 0.0652735, RECALL: 0.0637948, MAP: 0.0286498, MRR: 0.0616458, NDCG: 0.0445335, F1: 0.0268582, HIT_RATE: 0.1701232, ARHR: 0.0667494, NOVELTY: 0.0047979, AVERAGE_POPULARITY: 0.1066563, DIVERSITY_MEAN_INTER_LIST: 0.9784963, DIVERSITY_HERFINDAHL: 0.9978296, COVERAGE_ITEM: 0.4066526, COVERAGE_ITEM_CORRECT: 0.0170164, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0884107, DIVERSITY_GINI: 0.1305944, SHANNON_ENTROPY: 11.1849560, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 142, 'shrink': 248, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0457739, PRECISION: 0.0088231, PRECISION_RECALL_MIN_DEN: 0.0351438, RECALL: 0.0343614, MAP: 0.0147135, MRR: 0.0308576, NDCG: 0.0230316, F1: 0.0140391, HIT_RATE: 0.0882310, ARHR: 0.0331601, NOVELTY: 0.0057554, AVERAGE_POPULARITY: 0.0104238, DIVERSITY_MEAN_INTER_LIST: 0.9929864, DIVERSITY_HERFINDAHL: 0.9992783, COVERAGE_ITEM: 0.6082541, COVERAGE_ITEM_CORRECT: 0.0162310, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0470366, DIVERSITY_GINI: 0.3564842, SHANNON_ENTROPY: 13.2032120, 
SearchBayesianSkopt-CV: New best config found. Config 7: {'topK': 429, 'shrink': 129, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0924616, PRECISION: 0.0178328, PRECISION_RECALL_MIN_DEN: 0.0681201, RECALL: 0.0665685, MAP: 0.0294361, MRR: 0.0645765, NDCG: 0.0461945, F1: 0.0281279, HIT_RATE: 0.1783283, ARHR: 0.0700775, NOVELTY: 0.0046447, AVERAGE_POPULARITY: 0.1320653, DIVERSITY_MEAN_INTER_LIST: 0.9717822, DIVERSITY_HERFINDAHL: 0.9971584, COVERAGE_ITEM: 0.3322810, COVERAGE_ITEM_CORRECT: 0.0163773, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0921354, DIVERSITY_GINI: 0.0893959, SHANNON_ENTROPY: 10.5985648, 
SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 112, 'shrink': 442, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0940394, PRECISION: 0.0178826, PRECISION_RECALL_MIN_DEN: 0.0677804, RECALL: 0.0662282, MAP: 0.0300891, MRR: 0.0656856, NDCG: 0.0466940, F1: 0.0281556, HIT_RATE: 0.1788259, ARHR: 0.0713032, NOVELTY: 0.0048572, AVERAGE_POPULARITY: 0.1091713, DIVERSITY_MEAN_INTER_LIST: 0.9784739, DIVERSITY_HERFINDAHL: 0.9978274, COVERAGE_ITEM: 0.4188335, COVERAGE_ITEM_CORRECT: 0.0178556, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0923871, DIVERSITY_GINI: 0.1381518, SHANNON_ENTROPY: 11.2131163, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 339, 'shrink': 56, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0438690, PRECISION: 0.0084475, PRECISION_RECALL_MIN_DEN: 0.0340158, RECALL: 0.0333030, MAP: 0.0141319, MRR: 0.0293266, NDCG: 0.0221763, F1: 0.0134742, HIT_RATE: 0.0844748, ARHR: 0.0313309, NOVELTY: 0.0057687, AVERAGE_POPULARITY: 0.0105290, DIVERSITY_MEAN_INTER_LIST: 0.9930109, DIVERSITY_HERFINDAHL: 0.9992808, COVERAGE_ITEM: 0.6019788, COVERAGE_ITEM_CORRECT: 0.0154995, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0455266, DIVERSITY_GINI: 0.3439585, SHANNON_ENTROPY: 13.1628166, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 403, 'shrink': 620, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0475683, PRECISION: 0.0092521, PRECISION_RECALL_MIN_DEN: 0.0361478, RECALL: 0.0352708, MAP: 0.0150149, MRR: 0.0316833, NDCG: 0.0236172, F1: 0.0146576, HIT_RATE: 0.0925210, ARHR: 0.0340565, NOVELTY: 0.0057209, AVERAGE_POPULARITY: 0.0111797, DIVERSITY_MEAN_INTER_LIST: 0.9932484, DIVERSITY_HERFINDAHL: 0.9993045, COVERAGE_ITEM: 0.6268412, COVERAGE_ITEM_CORRECT: 0.0169317, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0492261, DIVERSITY_GINI: 0.3730085, SHANNON_ENTROPY: 13.2668916, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 802, 'shrink': 35, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0484108, PRECISION: 0.0093951, PRECISION_RECALL_MIN_DEN: 0.0364422, RECALL: 0.0355642, MAP: 0.0153476, MRR: 0.0320603, NDCG: 0.0240211, F1: 0.0148623, HIT_RATE: 0.0939508, ARHR: 0.0344622, NOVELTY: 0.0057008, AVERAGE_POPULARITY: 0.0115611, DIVERSITY_MEAN_INTER_LIST: 0.9933003, DIVERSITY_HERFINDAHL: 0.9993097, COVERAGE_ITEM: 0.6347334, COVERAGE_ITEM_CORRECT: 0.0172397, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0501825, DIVERSITY_GINI: 0.3818832, SHANNON_ENTROPY: 13.2960741, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 865, 'shrink': 541, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0929562, PRECISION: 0.0178699, PRECISION_RECALL_MIN_DEN: 0.0689728, RECALL: 0.0674261, MAP: 0.0290904, MRR: 0.0641524, NDCG: 0.0460958, F1: 0.0282510, HIT_RATE: 0.1786995, ARHR: 0.0694592, NOVELTY: 0.0046057, AVERAGE_POPULARITY: 0.1400450, DIVERSITY_MEAN_INTER_LIST: 0.9683827, DIVERSITY_HERFINDAHL: 0.9968185, COVERAGE_ITEM: 0.3164966, COVERAGE_ITEM_CORRECT: 0.0161078, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0928149, DIVERSITY_GINI: 0.0813899, SHANNON_ENTROPY: 10.4181337, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 274, 'shrink': 32, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0427015, PRECISION: 0.0081938, PRECISION_RECALL_MIN_DEN: 0.0333033, RECALL: 0.0326028, MAP: 0.0139214, MRR: 0.0285067, NDCG: 0.0217214, F1: 0.0130949, HIT_RATE: 0.0819377, ARHR: 0.0305156, NOVELTY: 0.0057839, AVERAGE_POPULARITY: 0.0103339, DIVERSITY_MEAN_INTER_LIST: 0.9929621, DIVERSITY_HERFINDAHL: 0.9992759, COVERAGE_ITEM: 0.5901521, COVERAGE_ITEM_CORRECT: 0.0150375, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0437901, DIVERSITY_GINI: 0.3322240, SHANNON_ENTROPY: 13.1194299, 
