SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 263, 'shrink': 871, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0942115, PRECISION: 0.0181031, PRECISION_RECALL_MIN_DEN: 0.0686265, RECALL: 0.0670707, MAP: 0.0299480, MRR: 0.0653196, NDCG: 0.0468347, F1: 0.0285080, HIT_RATE: 0.1810310, ARHR: 0.0709498, NOVELTY: 0.0048243, AVERAGE_POPULARITY: 0.1126308, DIVERSITY_MEAN_INTER_LIST: 0.9775250, DIVERSITY_HERFINDAHL: 0.9977325, COVERAGE_ITEM: 0.4132743, COVERAGE_ITEM_CORRECT: 0.0179018, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0934189, DIVERSITY_GINI: 0.1319694, SHANNON_ENTROPY: 11.1340390, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 528, 'shrink': 977, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0949522, PRECISION: 0.0182095, PRECISION_RECALL_MIN_DEN: 0.0696474, RECALL: 0.0681112, MAP: 0.0301935, MRR: 0.0658083, NDCG: 0.0473166, F1: 0.0287328, HIT_RATE: 0.1820947, ARHR: 0.0714333, NOVELTY: 0.0047979, AVERAGE_POPULARITY: 0.1159826, DIVERSITY_MEAN_INTER_LIST: 0.9765335, DIVERSITY_HERFINDAHL: 0.9976334, COVERAGE_ITEM: 0.4052512, COVERAGE_ITEM_CORRECT: 0.0178556, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0941739, DIVERSITY_GINI: 0.1252452, SHANNON_ENTROPY: 11.0281326, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 179, 'shrink': 449, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0945187, PRECISION: 0.0181849, PRECISION_RECALL_MIN_DEN: 0.0685912, RECALL: 0.0669688, MAP: 0.0299928, MRR: 0.0656569, NDCG: 0.0468540, F1: 0.0285990, HIT_RATE: 0.1818489, ARHR: 0.0713258, NOVELTY: 0.0048475, AVERAGE_POPULARITY: 0.1065567, DIVERSITY_MEAN_INTER_LIST: 0.9790797, DIVERSITY_HERFINDAHL: 0.9978880, COVERAGE_ITEM: 0.4160308, COVERAGE_ITEM_CORRECT: 0.0184716, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0939474, DIVERSITY_GINI: 0.1356664, SHANNON_ENTROPY: 11.2071402, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 820, 'shrink': 682, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0946585, PRECISION: 0.0179264, PRECISION_RECALL_MIN_DEN: 0.0687155, RECALL: 0.0672139, MAP: 0.0299771, MRR: 0.0653470, NDCG: 0.0468561, F1: 0.0283013, HIT_RATE: 0.1792640, ARHR: 0.0708646, NOVELTY: 0.0047811, AVERAGE_POPULARITY: 0.1183757, DIVERSITY_MEAN_INTER_LIST: 0.9753582, DIVERSITY_HERFINDAHL: 0.9975159, COVERAGE_ITEM: 0.3993147, COVERAGE_ITEM_CORRECT: 0.0173628, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0929659, DIVERSITY_GINI: 0.1215687, SHANNON_ENTROPY: 10.9597861, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 845, 'shrink': 39, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0877696, PRECISION: 0.0170111, PRECISION_RECALL_MIN_DEN: 0.0652833, RECALL: 0.0638434, MAP: 0.0280861, MRR: 0.0607746, NDCG: 0.0440669, F1: 0.0268631, HIT_RATE: 0.1701106, ARHR: 0.0658655, NOVELTY: 0.0049904, AVERAGE_POPULARITY: 0.0698228, DIVERSITY_MEAN_INTER_LIST: 0.9878362, DIVERSITY_HERFINDAHL: 0.9987634, COVERAGE_ITEM: 0.4307064, COVERAGE_ITEM_CORRECT: 0.0211049, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0884107, DIVERSITY_GINI: 0.1538957, SHANNON_ENTROPY: 11.7571679, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 493, 'shrink': 644, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0947409, PRECISION: 0.0181358, PRECISION_RECALL_MIN_DEN: 0.0692245, RECALL: 0.0676859, MAP: 0.0299633, MRR: 0.0652278, NDCG: 0.0469873, F1: 0.0286040, HIT_RATE: 0.1813584, ARHR: 0.0708490, NOVELTY: 0.0048052, AVERAGE_POPULARITY: 0.1134690, DIVERSITY_MEAN_INTER_LIST: 0.9772888, DIVERSITY_HERFINDAHL: 0.9977089, COVERAGE_ITEM: 0.4061521, COVERAGE_ITEM_CORRECT: 0.0179095, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0936202, DIVERSITY_GINI: 0.1260223, SHANNON_ENTROPY: 11.0576122, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 196, 'shrink': 988, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0943226, PRECISION: 0.0180502, PRECISION_RECALL_MIN_DEN: 0.0685112, RECALL: 0.0669266, MAP: 0.0298670, MRR: 0.0653732, NDCG: 0.0467088, F1: 0.0284284, HIT_RATE: 0.1805020, ARHR: 0.0709269, NOVELTY: 0.0048338, AVERAGE_POPULARITY: 0.1113360, DIVERSITY_MEAN_INTER_LIST: 0.9778035, DIVERSITY_HERFINDAHL: 0.9977604, COVERAGE_ITEM: 0.4151222, COVERAGE_ITEM_CORRECT: 0.0179018, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0933686, DIVERSITY_GINI: 0.1343260, SHANNON_ENTROPY: 11.1581472, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 376, 'shrink': 229, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0949440, PRECISION: 0.0180369, PRECISION_RECALL_MIN_DEN: 0.0688585, RECALL: 0.0673214, MAP: 0.0298856, MRR: 0.0652312, NDCG: 0.0468320, F1: 0.0284491, HIT_RATE: 0.1803692, ARHR: 0.0706677, NOVELTY: 0.0048445, AVERAGE_POPULARITY: 0.1023585, DIVERSITY_MEAN_INTER_LIST: 0.9803805, DIVERSITY_HERFINDAHL: 0.9980180, COVERAGE_ITEM: 0.4114880, COVERAGE_ITEM_CORRECT: 0.0188181, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0937712, DIVERSITY_GINI: 0.1311943, SHANNON_ENTROPY: 11.2168942, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 259, 'shrink': 517, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0937414, PRECISION: 0.0180414, PRECISION_RECALL_MIN_DEN: 0.0683180, RECALL: 0.0667515, MAP: 0.0297536, MRR: 0.0650383, NDCG: 0.0465755, F1: 0.0284027, HIT_RATE: 0.1804139, ARHR: 0.0706531, NOVELTY: 0.0048321, AVERAGE_POPULARITY: 0.1095089, DIVERSITY_MEAN_INTER_LIST: 0.9784087, DIVERSITY_HERFINDAHL: 0.9978209, COVERAGE_ITEM: 0.4142368, COVERAGE_ITEM_CORRECT: 0.0180250, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0929659, DIVERSITY_GINI: 0.1327523, SHANNON_ENTROPY: 11.1646107, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 902, 'shrink': 581, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0948531, PRECISION: 0.0180039, PRECISION_RECALL_MIN_DEN: 0.0690011, RECALL: 0.0675082, MAP: 0.0300049, MRR: 0.0656389, NDCG: 0.0469792, F1: 0.0284242, HIT_RATE: 0.1800394, ARHR: 0.0711267, NOVELTY: 0.0047805, AVERAGE_POPULARITY: 0.1176588, DIVERSITY_MEAN_INTER_LIST: 0.9754746, DIVERSITY_HERFINDAHL: 0.9975275, COVERAGE_ITEM: 0.3980982, COVERAGE_ITEM_CORRECT: 0.0175322, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0935196, DIVERSITY_GINI: 0.1207955, SHANNON_ENTROPY: 10.9571913, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 464, 'shrink': 888, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0951409, PRECISION: 0.0181398, PRECISION_RECALL_MIN_DEN: 0.0692967, RECALL: 0.0677625, MAP: 0.0300103, MRR: 0.0654411, NDCG: 0.0470708, F1: 0.0286150, HIT_RATE: 0.1813982, ARHR: 0.0710439, NOVELTY: 0.0048037, AVERAGE_POPULARITY: 0.1148641, DIVERSITY_MEAN_INTER_LIST: 0.9768804, DIVERSITY_HERFINDAHL: 0.9976681, COVERAGE_ITEM: 0.4073224, COVERAGE_ITEM_CORRECT: 0.0180096, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0938971, DIVERSITY_GINI: 0.1265041, SHANNON_ENTROPY: 11.0537641, 
