
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 728, 'shrink': 783, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'icm_weight': 2.8373497350140093} - results: ROC_AUC: 0.1081232, PRECISION: 0.0220938, PRECISION_RECALL_MIN_DEN: 0.0868569, RECALL: 0.0850081, MAP: 0.0366570, MRR: 0.0743996, NDCG: 0.0571838, F1: 0.0350717, HIT_RATE: 0.2209377, ARHR: 0.0818216, NOVELTY: 0.0047527, AVERAGE_POPULARITY: 0.0297725, DIVERSITY_MEAN_INTER_LIST: 0.9966338, DIVERSITY_HERFINDAHL: 0.9996430, COVERAGE_ITEM: 0.6462984, COVERAGE_ITEM_CORRECT: 0.0353956, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1111363, DIVERSITY_GINI: 0.3378851, SHANNON_ENTROPY: 13.2109231, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 553, 'shrink': 686, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 12.360457128680913} - results: ROC_AUC: 0.0818462, PRECISION: 0.0168846, PRECISION_RECALL_MIN_DEN: 0.0663512, RECALL: 0.0649410, MAP: 0.0268723, MRR: 0.0558066, NDCG: 0.0427872, F1: 0.0267983, HIT_RATE: 0.1688461, ARHR: 0.0609357, NOVELTY: 0.0047270, AVERAGE_POPULARITY: 0.0211581, DIVERSITY_MEAN_INTER_LIST: 0.9967152, DIVERSITY_HERFINDAHL: 0.9996512, COVERAGE_ITEM: 0.6320000, COVERAGE_ITEM_CORRECT: 0.0284042, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0862715, DIVERSITY_GINI: 0.3308820, SHANNON_ENTROPY: 13.2034690, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 878, 'shrink': 450, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 16.74300196013632} - results: ROC_AUC: 0.1099567, PRECISION: 0.0225113, PRECISION_RECALL_MIN_DEN: 0.0917963, RECALL: 0.0900650, MAP: 0.0372093, MRR: 0.0737834, NDCG: 0.0586625, F1: 0.0360184, HIT_RATE: 0.2251134, ARHR: 0.0810271, NOVELTY: 0.0047246, AVERAGE_POPULARITY: 0.0401249, DIVERSITY_MEAN_INTER_LIST: 0.9955215, DIVERSITY_HERFINDAHL: 0.9995318, COVERAGE_ITEM: 0.5470183, COVERAGE_ITEM_CORRECT: 0.0336554, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1144331, DIVERSITY_GINI: 0.2574135, SHANNON_ENTROPY: 12.7884682, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 296, 'shrink': 767, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 3.281991223761942} - results: ROC_AUC: 0.1101039, PRECISION: 0.0228832, PRECISION_RECALL_MIN_DEN: 0.0890640, RECALL: 0.0871595, MAP: 0.0373324, MRR: 0.0759181, NDCG: 0.0584863, F1: 0.0362486, HIT_RATE: 0.2288317, ARHR: 0.0837826, NOVELTY: 0.0047502, AVERAGE_POPULARITY: 0.0323197, DIVERSITY_MEAN_INTER_LIST: 0.9964791, DIVERSITY_HERFINDAHL: 0.9996275, COVERAGE_ITEM: 0.6279192, COVERAGE_ITEM_CORRECT: 0.0359500, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1143073, DIVERSITY_GINI: 0.3242645, SHANNON_ENTROPY: 13.1456402, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 24, 'shrink': 110, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 5.091130937568723} - results: ROC_AUC: 0.0761178, PRECISION: 0.0149477, PRECISION_RECALL_MIN_DEN: 0.0602169, RECALL: 0.0590651, MAP: 0.0253634, MRR: 0.0517697, NDCG: 0.0396062, F1: 0.0238564, HIT_RATE: 0.1494772, ARHR: 0.0560946, NOVELTY: 0.0046378, AVERAGE_POPULARITY: 0.0204369, DIVERSITY_MEAN_INTER_LIST: 0.9966857, DIVERSITY_HERFINDAHL: 0.9996482, COVERAGE_ITEM: 0.6596035, COVERAGE_ITEM_CORRECT: 0.0254167, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0775387, DIVERSITY_GINI: 0.3609416, SHANNON_ENTROPY: 13.3307124, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 163, 'shrink': 905, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'icm_weight': 10.880403357807563} - results: ROC_AUC: 0.0587236, PRECISION: 0.0113907, PRECISION_RECALL_MIN_DEN: 0.0433672, RECALL: 0.0423993, MAP: 0.0192155, MRR: 0.0407437, NDCG: 0.0297091, F1: 0.0179562, HIT_RATE: 0.1139071, ARHR: 0.0440248, NOVELTY: 0.0047485, AVERAGE_POPULARITY: 0.0163722, DIVERSITY_MEAN_INTER_LIST: 0.9960356, DIVERSITY_HERFINDAHL: 0.9995832, COVERAGE_ITEM: 0.5475111, COVERAGE_ITEM_CORRECT: 0.0199423, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0593180, DIVERSITY_GINI: 0.2722734, SHANNON_ENTROPY: 12.9246103, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 682, 'shrink': 605, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'icm_weight': 7.042281670121376} - results: ROC_AUC: 0.1010711, PRECISION: 0.0208679, PRECISION_RECALL_MIN_DEN: 0.0805876, RECALL: 0.0788285, MAP: 0.0324796, MRR: 0.0678891, NDCG: 0.0519980, F1: 0.0329984, HIT_RATE: 0.2086792, ARHR: 0.0745829, NOVELTY: 0.0046608, AVERAGE_POPULARITY: 0.0529749, DIVERSITY_MEAN_INTER_LIST: 0.9936951, DIVERSITY_HERFINDAHL: 0.9993492, COVERAGE_ITEM: 0.5174206, COVERAGE_ITEM_CORRECT: 0.0283041, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1060526, DIVERSITY_GINI: 0.2324897, SHANNON_ENTROPY: 12.5338635, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 964, 'shrink': 166, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'icm_weight': 7.742565357172818} - results: ROC_AUC: 0.0977632, PRECISION: 0.0198522, PRECISION_RECALL_MIN_DEN: 0.0812215, RECALL: 0.0797175, MAP: 0.0332735, MRR: 0.0667215, NDCG: 0.0523325, F1: 0.0317871, HIT_RATE: 0.1985218, ARHR: 0.0727892, NOVELTY: 0.0046881, AVERAGE_POPULARITY: 0.0234635, DIVERSITY_MEAN_INTER_LIST: 0.9966504, DIVERSITY_HERFINDAHL: 0.9996447, COVERAGE_ITEM: 0.6214052, COVERAGE_ITEM_CORRECT: 0.0331319, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1022021, DIVERSITY_GINI: 0.3189165, SHANNON_ENTROPY: 13.1519938, 

