
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 494, 'shrink': 272, 'similarity': 'dice', 'normalize': True, 'icm_weight': 17.82647986640317} - results: ROC_AUC: 0.1098090, PRECISION: 0.0216956, PRECISION_RECALL_MIN_DEN: 0.0887498, RECALL: 0.0870396, MAP: 0.0372838, MRR: 0.0744280, NDCG: 0.0579550, F1: 0.0347311, HIT_RATE: 0.2169561, ARHR: 0.0813984, NOVELTY: 0.0047301, AVERAGE_POPULARITY: 0.0533535, DIVERSITY_MEAN_INTER_LIST: 0.9938787, DIVERSITY_HERFINDAHL: 0.9993676, COVERAGE_ITEM: 0.4708989, COVERAGE_ITEM_CORRECT: 0.0302522, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1109349, DIVERSITY_GINI: 0.1964647, SHANNON_ENTROPY: 12.3509707, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 437, 'shrink': 458, 'similarity': 'dice', 'normalize': True, 'icm_weight': 3.963748746069151} - results: ROC_AUC: 0.1103038, PRECISION: 0.0219282, PRECISION_RECALL_MIN_DEN: 0.0892270, RECALL: 0.0874488, MAP: 0.0375526, MRR: 0.0750590, NDCG: 0.0583322, F1: 0.0350607, HIT_RATE: 0.2192820, ARHR: 0.0821653, NOVELTY: 0.0047146, AVERAGE_POPULARITY: 0.0576163, DIVERSITY_MEAN_INTER_LIST: 0.9933150, DIVERSITY_HERFINDAHL: 0.9993112, COVERAGE_ITEM: 0.4686198, COVERAGE_ITEM_CORRECT: 0.0298441, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1117906, DIVERSITY_GINI: 0.1926203, SHANNON_ENTROPY: 12.2883499, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 515, 'shrink': 50, 'similarity': 'dice', 'normalize': False, 'icm_weight': 12.262241252755283} - results: ROC_AUC: 0.1040069, PRECISION: 0.0207910, PRECISION_RECALL_MIN_DEN: 0.0851412, RECALL: 0.0835062, MAP: 0.0358149, MRR: 0.0706751, NDCG: 0.0555181, F1: 0.0332909, HIT_RATE: 0.2079099, ARHR: 0.0772411, NOVELTY: 0.0047740, AVERAGE_POPULARITY: 0.0365106, DIVERSITY_MEAN_INTER_LIST: 0.9957550, DIVERSITY_HERFINDAHL: 0.9995552, COVERAGE_ITEM: 0.5159808, COVERAGE_ITEM_CORRECT: 0.0320231, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1064049, DIVERSITY_GINI: 0.2374399, SHANNON_ENTROPY: 12.7231778, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 934, 'shrink': 936, 'similarity': 'dice', 'normalize': False, 'icm_weight': 14.678650015989003} - results: ROC_AUC: 0.1094127, PRECISION: 0.0217847, PRECISION_RECALL_MIN_DEN: 0.0887299, RECALL: 0.0870554, MAP: 0.0370456, MRR: 0.0743704, NDCG: 0.0578947, F1: 0.0348473, HIT_RATE: 0.2178472, ARHR: 0.0810631, NOVELTY: 0.0047148, AVERAGE_POPULARITY: 0.0613571, DIVERSITY_MEAN_INTER_LIST: 0.9923272, DIVERSITY_HERFINDAHL: 0.9992124, COVERAGE_ITEM: 0.4447045, COVERAGE_ITEM_CORRECT: 0.0288970, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116648, DIVERSITY_GINI: 0.1731617, SHANNON_ENTROPY: 12.0996308, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 294, 'shrink': 775, 'similarity': 'dice', 'normalize': False, 'icm_weight': 6.001918222404002} - results: ROC_AUC: 0.1116011, PRECISION: 0.0222846, PRECISION_RECALL_MIN_DEN: 0.0901520, RECALL: 0.0883251, MAP: 0.0378599, MRR: 0.0765327, NDCG: 0.0589890, F1: 0.0355884, HIT_RATE: 0.2228462, ARHR: 0.0837068, NOVELTY: 0.0047024, AVERAGE_POPULARITY: 0.0609274, DIVERSITY_MEAN_INTER_LIST: 0.9929342, DIVERSITY_HERFINDAHL: 0.9992731, COVERAGE_ITEM: 0.4765120, COVERAGE_ITEM_CORRECT: 0.0299365, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1133258, DIVERSITY_GINI: 0.1969356, SHANNON_ENTROPY: 12.2891583, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 520, 'shrink': 521, 'similarity': 'dice', 'normalize': True, 'icm_weight': 17.581351053009286} - results: ROC_AUC: 0.1105232, PRECISION: 0.0220143, PRECISION_RECALL_MIN_DEN: 0.0894085, RECALL: 0.0876364, MAP: 0.0375385, MRR: 0.0751958, NDCG: 0.0584249, F1: 0.0351865, HIT_RATE: 0.2201426, ARHR: 0.0822636, NOVELTY: 0.0047148, AVERAGE_POPULARITY: 0.0583385, DIVERSITY_MEAN_INTER_LIST: 0.9931251, DIVERSITY_HERFINDAHL: 0.9992922, COVERAGE_ITEM: 0.4630914, COVERAGE_ITEM_CORRECT: 0.0299519, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1122688, DIVERSITY_GINI: 0.1880913, SHANNON_ENTROPY: 12.2484952, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 717, 'shrink': 688, 'similarity': 'dice', 'normalize': True, 'icm_weight': 7.061528002929036} - results: ROC_AUC: 0.1099839, PRECISION: 0.0219206, PRECISION_RECALL_MIN_DEN: 0.0893571, RECALL: 0.0876381, MAP: 0.0371015, MRR: 0.0744093, NDCG: 0.0580539, F1: 0.0350686, HIT_RATE: 0.2192060, ARHR: 0.0811999, NOVELTY: 0.0047163, AVERAGE_POPULARITY: 0.0597318, DIVERSITY_MEAN_INTER_LIST: 0.9927832, DIVERSITY_HERFINDAHL: 0.9992580, COVERAGE_ITEM: 0.4520115, COVERAGE_ITEM_CORRECT: 0.0295746, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1124198, DIVERSITY_GINI: 0.1793635, SHANNON_ENTROPY: 12.1697553, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 76, 'shrink': 131, 'similarity': 'dice', 'normalize': False, 'icm_weight': 10.913806551556394} - results: ROC_AUC: 0.1094859, PRECISION: 0.0222269, PRECISION_RECALL_MIN_DEN: 0.0896896, RECALL: 0.0878289, MAP: 0.0371387, MRR: 0.0748337, NDCG: 0.0580908, F1: 0.0354746, HIT_RATE: 0.2222685, ARHR: 0.0821902, NOVELTY: 0.0047293, AVERAGE_POPULARITY: 0.0476418, DIVERSITY_MEAN_INTER_LIST: 0.9949798, DIVERSITY_HERFINDAHL: 0.9994777, COVERAGE_ITEM: 0.5400500, COVERAGE_ITEM_CORRECT: 0.0323850, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1129986, DIVERSITY_GINI: 0.2503411, SHANNON_ENTROPY: 12.7118203, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 586, 'shrink': 497, 'similarity': 'dice', 'normalize': True, 'icm_weight': 13.953200025161312} - results: ROC_AUC: 0.1103579, PRECISION: 0.0219290, PRECISION_RECALL_MIN_DEN: 0.0892664, RECALL: 0.0875155, MAP: 0.0373722, MRR: 0.0749754, NDCG: 0.0582513, F1: 0.0350685, HIT_RATE: 0.2192896, ARHR: 0.0820410, NOVELTY: 0.0047195, AVERAGE_POPULARITY: 0.0579373, DIVERSITY_MEAN_INTER_LIST: 0.9931542, DIVERSITY_HERFINDAHL: 0.9992951, COVERAGE_ITEM: 0.4600423, COVERAGE_ITEM_CORRECT: 0.0299981, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1117151, DIVERSITY_GINI: 0.1858995, SHANNON_ENTROPY: 12.2363613, 
