SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 274, 'alpha': 1.7200123773560023, 'normalize_similarity': False} - results: ROC_AUC: 0.0546540, PRECISION: 0.0105235, PRECISION_RECALL_MIN_DEN: 0.0487686, RECALL: 0.0482751, MAP: 0.0187878, MRR: 0.0354529, NDCG: 0.0299846, F1: 0.0172732, HIT_RATE: 0.1052347, ARHR: 0.0368508, NOVELTY: 0.0051888, AVERAGE_POPULARITY: 0.0457019, DIVERSITY_MEAN_INTER_LIST: 0.9920761, DIVERSITY_HERFINDAHL: 0.9991873, COVERAGE_ITEM: 0.4717382, COVERAGE_ITEM_CORRECT: 0.0170934, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0599975, DIVERSITY_GINI: 0.2263910, SHANNON_ENTROPY: 12.5583464, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 10, 'alpha': 0.0594671632650179, 'normalize_similarity': False} - results: ROC_AUC: 0.0888854, PRECISION: 0.0163658, PRECISION_RECALL_MIN_DEN: 0.0648170, RECALL: 0.0634797, MAP: 0.0287390, MRR: 0.0603199, NDCG: 0.0443166, F1: 0.0260180, HIT_RATE: 0.1636582, ARHR: 0.0648323, NOVELTY: 0.0047553, AVERAGE_POPULARITY: 0.0973555, DIVERSITY_MEAN_INTER_LIST: 0.9675728, DIVERSITY_HERFINDAHL: 0.9967375, COVERAGE_ITEM: 0.3725890, COVERAGE_ITEM_CORRECT: 0.0167084, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0865232, DIVERSITY_GINI: 0.1113122, SHANNON_ENTROPY: 10.8377511, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 106, 'alpha': 1.012115412394698, 'normalize_similarity': False} - results: ROC_AUC: 0.0661425, PRECISION: 0.0127429, PRECISION_RECALL_MIN_DEN: 0.0536764, RECALL: 0.0526996, MAP: 0.0218117, MRR: 0.0441027, NDCG: 0.0343670, F1: 0.0205186, HIT_RATE: 0.1274290, ARHR: 0.0467791, NOVELTY: 0.0051947, AVERAGE_POPULARITY: 0.0415884, DIVERSITY_MEAN_INTER_LIST: 0.9921512, DIVERSITY_HERFINDAHL: 0.9991948, COVERAGE_ITEM: 0.4792916, COVERAGE_ITEM_CORRECT: 0.0206198, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0692588, DIVERSITY_GINI: 0.2290005, SHANNON_ENTROPY: 12.5838464, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 938, 'alpha': 1.9046740782226779, 'normalize_similarity': False} - results: ROC_AUC: 0.0555736, PRECISION: 0.0106503, PRECISION_RECALL_MIN_DEN: 0.0507706, RECALL: 0.0503041, MAP: 0.0194442, MRR: 0.0362302, NDCG: 0.0309688, F1: 0.0175736, HIT_RATE: 0.1065029, ARHR: 0.0376070, NOVELTY: 0.0051644, AVERAGE_POPULARITY: 0.0514348, DIVERSITY_MEAN_INTER_LIST: 0.9916812, DIVERSITY_HERFINDAHL: 0.9991479, COVERAGE_ITEM: 0.4642772, COVERAGE_ITEM_CORRECT: 0.0167084, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0606770, DIVERSITY_GINI: 0.2201882, SHANNON_ENTROPY: 12.4944083, 
SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 206, 'alpha': 0.49826835321278196, 'normalize_similarity': False} - results: ROC_AUC: 0.1070991, PRECISION: 0.0212552, PRECISION_RECALL_MIN_DEN: 0.0819483, RECALL: 0.0801582, MAP: 0.0349445, MRR: 0.0749384, NDCG: 0.0548386, F1: 0.0335981, HIT_RATE: 0.2125516, ARHR: 0.0818590, NOVELTY: 0.0048744, AVERAGE_POPULARITY: 0.0886929, DIVERSITY_MEAN_INTER_LIST: 0.9857488, DIVERSITY_HERFINDAHL: 0.9985547, COVERAGE_ITEM: 0.4166622, COVERAGE_ITEM_CORRECT: 0.0245544, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1084183, DIVERSITY_GINI: 0.1473981, SHANNON_ENTROPY: 11.6173129, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 652, 'alpha': 0.13943079665950367, 'normalize_similarity': True} - results: ROC_AUC: 0.0908617, PRECISION: 0.0180820, PRECISION_RECALL_MIN_DEN: 0.0677042, RECALL: 0.0659595, MAP: 0.0286253, MRR: 0.0630083, NDCG: 0.0452141, F1: 0.0283824, HIT_RATE: 0.1808198, ARHR: 0.0689216, NOVELTY: 0.0049518, AVERAGE_POPULARITY: 0.0747200, DIVERSITY_MEAN_INTER_LIST: 0.9884970, DIVERSITY_HERFINDAHL: 0.9988295, COVERAGE_ITEM: 0.4414167, COVERAGE_ITEM_CORRECT: 0.0229759, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0927142, DIVERSITY_GINI: 0.1699945, SHANNON_ENTROPY: 11.9266163, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 837, 'alpha': 1.811702501342818, 'normalize_similarity': False} - results: ROC_AUC: 0.0558759, PRECISION: 0.0107526, PRECISION_RECALL_MIN_DEN: 0.0507746, RECALL: 0.0502932, MAP: 0.0194794, MRR: 0.0363802, NDCG: 0.0310431, F1: 0.0177118, HIT_RATE: 0.1075264, ARHR: 0.0377825, NOVELTY: 0.0051626, AVERAGE_POPULARITY: 0.0515540, DIVERSITY_MEAN_INTER_LIST: 0.9916621, DIVERSITY_HERFINDAHL: 0.9991459, COVERAGE_ITEM: 0.4645852, COVERAGE_ITEM_CORRECT: 0.0167931, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0613062, DIVERSITY_GINI: 0.2199870, SHANNON_ENTROPY: 12.4908650, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 680, 'alpha': 0.9228135539823534, 'normalize_similarity': True} - results: ROC_AUC: 0.0846989, PRECISION: 0.0171918, PRECISION_RECALL_MIN_DEN: 0.0687491, RECALL: 0.0671134, MAP: 0.0273447, MRR: 0.0571300, NDCG: 0.0436435, F1: 0.0273699, HIT_RATE: 0.1719180, ARHR: 0.0619551, NOVELTY: 0.0050336, AVERAGE_POPULARITY: 0.0702021, DIVERSITY_MEAN_INTER_LIST: 0.9893381, DIVERSITY_HERFINDAHL: 0.9989136, COVERAGE_ITEM: 0.4506487, COVERAGE_ITEM_CORRECT: 0.0215284, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0896942, DIVERSITY_GINI: 0.1903639, SHANNON_ENTROPY: 12.1345518, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 499, 'alpha': 0.042583375150091925, 'normalize_similarity': False} - results: ROC_AUC: 0.0991282, PRECISION: 0.0190963, PRECISION_RECALL_MIN_DEN: 0.0752071, RECALL: 0.0736584, MAP: 0.0318948, MRR: 0.0685066, NDCG: 0.0501712, F1: 0.0303234, HIT_RATE: 0.1909631, ARHR: 0.0742364, NOVELTY: 0.0046250, AVERAGE_POPULARITY: 0.1341775, DIVERSITY_MEAN_INTER_LIST: 0.9718405, DIVERSITY_HERFINDAHL: 0.9971642, COVERAGE_ITEM: 0.3297170, COVERAGE_ITEM_CORRECT: 0.0182714, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0991066, DIVERSITY_GINI: 0.0874726, SHANNON_ENTROPY: 10.5696403, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 575, 'alpha': 1.7236675091222142, 'normalize_similarity': True} - results: ROC_AUC: 0.0664909, PRECISION: 0.0128690, PRECISION_RECALL_MIN_DEN: 0.0571461, RECALL: 0.0562703, MAP: 0.0216692, MRR: 0.0422559, NDCG: 0.0348978, F1: 0.0209422, HIT_RATE: 0.1286904, ARHR: 0.0444347, NOVELTY: 0.0051082, AVERAGE_POPULARITY: 0.0599680, DIVERSITY_MEAN_INTER_LIST: 0.9906659, DIVERSITY_HERFINDAHL: 0.9990463, COVERAGE_ITEM: 0.4326083, COVERAGE_ITEM_CORRECT: 0.0177247, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0716748, DIVERSITY_GINI: 0.1916967, SHANNON_ENTROPY: 12.2638733, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 463, 'alpha': 0.9848910760480967, 'normalize_similarity': True} - results: ROC_AUC: 0.0818229, PRECISION: 0.0164474, PRECISION_RECALL_MIN_DEN: 0.0665424, RECALL: 0.0650561, MAP: 0.0266130, MRR: 0.0548036, NDCG: 0.0423121, F1: 0.0262545, HIT_RATE: 0.1644740, ARHR: 0.0591248, NOVELTY: 0.0050563, AVERAGE_POPULARITY: 0.0654490, DIVERSITY_MEAN_INTER_LIST: 0.9899879, DIVERSITY_HERFINDAHL: 0.9989786, COVERAGE_ITEM: 0.4520654, COVERAGE_ITEM_CORRECT: 0.0211896, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0867497, DIVERSITY_GINI: 0.1941638, SHANNON_ENTROPY: 12.1999877, 
