SearchBayesianSkopt-CV: New best config found. Config 0: {'beta': 0.7264021416277086, 'topK': 784, 'l1_ratio': 0.6619933153159729, 'alpha': 0.249450119559034} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341,
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'beta': 0.7885114620806535, 'topK': 639, 'l1_ratio': 0.22766015409725862, 'alpha': 0.8103077667447894} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'beta': 0.0819631563733846, 'topK': 262, 'l1_ratio': 0.08552026107055669, 'alpha': 0.05516293260502355} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'beta': 0.7454715731258824, 'topK': 681, 'l1_ratio': 0.006342780199990566, 'alpha': 0.6529290891661932} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'beta': 0.08050872550196887, 'topK': 691, 'l1_ratio': 0.0004862915513295055, 'alpha': 0.676873746457743} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045726, AVERAGE_POPULARITY: 0.0139594, DIVERSITY_MEAN_INTER_LIST: 0.2976238, DIVERSITY_HERFINDAHL: 0.9297563, COVERAGE_ITEM: 0.0042656, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005544, SHANNON_ENTROPY: 4.0892197, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'beta': 0.23002900246443708, 'topK': 741, 'l1_ratio': 6.33752694784132e-05, 'alpha': 0.46971927754470644} - results: ROC_AUC: 0.0239337, PRECISION: 0.0033752, PRECISION_RECALL_MIN_DEN: 0.0109615, RECALL: 0.0105833, MAP: 0.0072233, MRR: 0.0180551, NDCG: 0.0100929, F1: 0.0051120, HIT_RATE: 0.0337517, ARHR: 0.0188193, NOVELTY: 0.0045936, AVERAGE_POPULARITY: 0.0214578, DIVERSITY_MEAN_INTER_LIST: 0.4938958, DIVERSITY_HERFINDAHL: 0.9493795, COVERAGE_ITEM: 0.0574937, COVERAGE_ITEM_CORRECT: 0.0048200, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0187492, DIVERSITY_GINI: 0.0042719, SHANNON_ENTROPY: 5.5227614, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'beta': 0.4890002416695244, 'topK': 584, 'l1_ratio': 0.003591873269444783, 'alpha': 0.5742685950758871} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'beta': 0.22151606585059685, 'topK': 21, 'l1_ratio': 0.0019160387265085969, 'alpha': 0.8212566211189691} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'beta': 0.3605377217254297, 'topK': 889, 'l1_ratio': 0.7049085032764854, 'alpha': 0.05586247541163998} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'beta': 0.7417093890718331, 'topK': 42, 'l1_ratio': 0.061854589713173064, 'alpha': 0.1985128434905203} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'beta': 0.16209535788017762, 'topK': 162, 'l1_ratio': 0.09429998731043497, 'alpha': 0.6489774777598268} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'beta': 0.051644861146453405, 'topK': 820, 'l1_ratio': 0.9562187113645971, 'alpha': 0.048945671767353274} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'beta': 0.8948519902995787, 'topK': 861, 'l1_ratio': 1.1059815991788057e-05, 'alpha': 0.4634984892808054} - results: ROC_AUC: 0.0997116, PRECISION: 0.0188306, PRECISION_RECALL_MIN_DEN: 0.0750891, RECALL: 0.0735990, MAP: 0.0327991, MRR: 0.0692289, NDCG: 0.0507894, F1: 0.0299852, HIT_RATE: 0.1883061, ARHR: 0.0747762, NOVELTY: 0.0046230, AVERAGE_POPULARITY: 0.1382929, DIVERSITY_MEAN_INTER_LIST: 0.9691647, DIVERSITY_HERFINDAHL: 0.9968967, COVERAGE_ITEM: 0.3277074, COVERAGE_ITEM_CORRECT: 0.0176939, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0984019, DIVERSITY_GINI: 0.0864627, SHANNON_ENTROPY: 10.4953740, 
