
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 936, 'shrink': 306, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1578207319001266, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0109763, PRECISION: 0.0020724, PRECISION_RECALL_MIN_DEN: 0.0078941, RECALL: 0.0076046, MAP: 0.0028065, MRR: 0.0071061, NDCG: 0.0047700, F1: 0.0032561, HIT_RATE: 0.0207244, ARHR: 0.0072054, NOVELTY: 0.0047919, AVERAGE_POPULARITY: 0.0131175, DIVERSITY_MEAN_INTER_LIST: 0.9437505, DIVERSITY_HERFINDAHL: 0.9943558, COVERAGE_ITEM: 0.0754572, COVERAGE_ITEM_CORRECT: 0.0033109, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0123317, DIVERSITY_GINI: 0.0116515, SHANNON_ENTROPY: 8.4391894, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 330, 'shrink': 69, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0994326347858492, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0079624, PRECISION: 0.0015090, PRECISION_RECALL_MIN_DEN: 0.0070459, RECALL: 0.0068892, MAP: 0.0022522, MRR: 0.0051116, NDCG: 0.0038706, F1: 0.0024746, HIT_RATE: 0.0150903, ARHR: 0.0051501, NOVELTY: 0.0047839, AVERAGE_POPULARITY: 0.0122090, DIVERSITY_MEAN_INTER_LIST: 0.9573085, DIVERSITY_HERFINDAHL: 0.9957113, COVERAGE_ITEM: 0.1229490, COVERAGE_ITEM_CORRECT: 0.0025332, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0091104, DIVERSITY_GINI: 0.0208705, SHANNON_ENTROPY: 9.0567325, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 347, 'shrink': 46, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.467731685359831, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0083528, PRECISION: 0.0015619, PRECISION_RECALL_MIN_DEN: 0.0069772, RECALL: 0.0067813, MAP: 0.0022989, MRR: 0.0054350, NDCG: 0.0039129, F1: 0.0025380, HIT_RATE: 0.0156189, ARHR: 0.0054613, NOVELTY: 0.0047600, AVERAGE_POPULARITY: 0.0124535, DIVERSITY_MEAN_INTER_LIST: 0.9605264, DIVERSITY_HERFINDAHL: 0.9960330, COVERAGE_ITEM: 0.1187834, COVERAGE_ITEM_CORRECT: 0.0026179, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0094879, DIVERSITY_GINI: 0.0198183, SHANNON_ENTROPY: 9.0554873, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 78, 'shrink': 668, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4116537736163012, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0768670, PRECISION: 0.0155966, PRECISION_RECALL_MIN_DEN: 0.0642422, RECALL: 0.0630484, MAP: 0.0252775, MRR: 0.0510145, NDCG: 0.0404440, F1: 0.0250047, HIT_RATE: 0.1559662, ARHR: 0.0552789, NOVELTY: 0.0047587, AVERAGE_POPULARITY: 0.0189574, DIVERSITY_MEAN_INTER_LIST: 0.9962701, DIVERSITY_HERFINDAHL: 0.9996067, COVERAGE_ITEM: 0.5846545, COVERAGE_ITEM_CORRECT: 0.0272570, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0812885, DIVERSITY_GINI: 0.2921515, SHANNON_ENTROPY: 13.0175424, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 667, 'shrink': 476, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.57690206547449, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0672461, PRECISION: 0.0139596, PRECISION_RECALL_MIN_DEN: 0.0587307, RECALL: 0.0576217, MAP: 0.0219181, MRR: 0.0436634, NDCG: 0.0357450, F1: 0.0224717, HIT_RATE: 0.1395963, ARHR: 0.0471660, NOVELTY: 0.0047326, AVERAGE_POPULARITY: 0.0180592, DIVERSITY_MEAN_INTER_LIST: 0.9940268, DIVERSITY_HERFINDAHL: 0.9993824, COVERAGE_ITEM: 0.4503561, COVERAGE_ITEM_CORRECT: 0.0240847, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0739650, DIVERSITY_GINI: 0.1769457, SHANNON_ENTROPY: 12.2182194, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 490, 'shrink': 611, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7662710481891206, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0107532, PRECISION: 0.0018683, PRECISION_RECALL_MIN_DEN: 0.0066728, RECALL: 0.0063340, MAP: 0.0026661, MRR: 0.0069564, NDCG: 0.0043237, F1: 0.0028811, HIT_RATE: 0.0186830, ARHR: 0.0070925, NOVELTY: 0.0047032, AVERAGE_POPULARITY: 0.0113405, DIVERSITY_MEAN_INTER_LIST: 0.9688634, DIVERSITY_HERFINDAHL: 0.9968665, COVERAGE_ITEM: 0.0942060, COVERAGE_ITEM_CORRECT: 0.0030491, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0109475, DIVERSITY_GINI: 0.0176767, SHANNON_ENTROPY: 9.1272976, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 764, 'shrink': 254, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7569069021045365, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0353830, PRECISION: 0.0068829, PRECISION_RECALL_MIN_DEN: 0.0259241, RECALL: 0.0251155, MAP: 0.0098430, MRR: 0.0229053, NDCG: 0.0163155, F1: 0.0107995, HIT_RATE: 0.0688292, ARHR: 0.0239478, NOVELTY: 0.0046630, AVERAGE_POPULARITY: 0.0162353, DIVERSITY_MEAN_INTER_LIST: 0.9915298, DIVERSITY_HERFINDAHL: 0.9991327, COVERAGE_ITEM: 0.2067064, COVERAGE_ITEM_CORRECT: 0.0113879, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0387316, DIVERSITY_GINI: 0.0733304, SHANNON_ENTROPY: 11.1884093, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 223, 'shrink': 255, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.35083047926743244, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0680701, PRECISION: 0.0132853, PRECISION_RECALL_MIN_DEN: 0.0534552, RECALL: 0.0522871, MAP: 0.0216768, MRR: 0.0453724, NDCG: 0.0343847, F1: 0.0211866, HIT_RATE: 0.1328533, ARHR: 0.0487558, NOVELTY: 0.0047648, AVERAGE_POPULARITY: 0.0183188, DIVERSITY_MEAN_INTER_LIST: 0.9959797, DIVERSITY_HERFINDAHL: 0.9995776, COVERAGE_ITEM: 0.4834880, COVERAGE_ITEM_CORRECT: 0.0228758, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0700893, DIVERSITY_GINI: 0.2256745, SHANNON_ENTROPY: 12.7047762, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 138, 'shrink': 583, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8047675257015356, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0193673, PRECISION: 0.0040182, PRECISION_RECALL_MIN_DEN: 0.0170326, RECALL: 0.0166450, MAP: 0.0053772, MRR: 0.0118222, NDCG: 0.0094676, F1: 0.0064735, HIT_RATE: 0.0401821, ARHR: 0.0122061, NOVELTY: 0.0047562, AVERAGE_POPULARITY: 0.0131256, DIVERSITY_MEAN_INTER_LIST: 0.9797446, DIVERSITY_HERFINDAHL: 0.9979544, COVERAGE_ITEM: 0.1796805, COVERAGE_ITEM_CORRECT: 0.0067372, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0234302, DIVERSITY_GINI: 0.0395535, SHANNON_ENTROPY: 10.1045593, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 377, 'shrink': 54, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2231920737573925, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0247689, PRECISION: 0.0052598, PRECISION_RECALL_MIN_DEN: 0.0209218, RECALL: 0.0203998, MAP: 0.0066655, MRR: 0.0154024, NDCG: 0.0119005, F1: 0.0083577, HIT_RATE: 0.0525983, ARHR: 0.0160667, NOVELTY: 0.0045881, AVERAGE_POPULARITY: 0.0141168, DIVERSITY_MEAN_INTER_LIST: 0.9846824, DIVERSITY_HERFINDAHL: 0.9984481, COVERAGE_ITEM: 0.1672146, COVERAGE_ITEM_CORRECT: 0.0087854, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0299736, DIVERSITY_GINI: 0.0411401, SHANNON_ENTROPY: 10.2986436, 
