
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 839, 'shrink': 808, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0712565, PRECISION: 0.0142313, PRECISION_RECALL_MIN_DEN: 0.0591917, RECALL: 0.0580356, MAP: 0.0236869, MRR: 0.0468216, NDCG: 0.0374417, F1: 0.0228556, HIT_RATE: 0.1423127, ARHR: 0.0504672, NOVELTY: 0.0048218, AVERAGE_POPULARITY: 0.0186490, DIVERSITY_MEAN_INTER_LIST: 0.9952988, DIVERSITY_HERFINDAHL: 0.9995095, COVERAGE_ITEM: 0.4709220, COVERAGE_ITEM_CORRECT: 0.0243003, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0751227, DIVERSITY_GINI: 0.2029700, SHANNON_ENTROPY: 12.5036523, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 489, 'shrink': 4, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0770044, PRECISION: 0.0151880, PRECISION_RECALL_MIN_DEN: 0.0630971, RECALL: 0.0619028, MAP: 0.0257593, MRR: 0.0515689, NDCG: 0.0404373, F1: 0.0243880, HIT_RATE: 0.1518804, ARHR: 0.0557971, NOVELTY: 0.0047960, AVERAGE_POPULARITY: 0.0190874, DIVERSITY_MEAN_INTER_LIST: 0.9961689, DIVERSITY_HERFINDAHL: 0.9995965, COVERAGE_ITEM: 0.5425063, COVERAGE_ITEM_CORRECT: 0.0264331, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0797030, DIVERSITY_GINI: 0.2584071, SHANNON_ENTROPY: 12.8653274, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 876, 'shrink': 773, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0708141, PRECISION: 0.0142107, PRECISION_RECALL_MIN_DEN: 0.0589874, RECALL: 0.0578421, MAP: 0.0236805, MRR: 0.0468037, NDCG: 0.0373924, F1: 0.0228143, HIT_RATE: 0.1421066, ARHR: 0.0504785, NOVELTY: 0.0048239, AVERAGE_POPULARITY: 0.0186458, DIVERSITY_MEAN_INTER_LIST: 0.9952764, DIVERSITY_HERFINDAHL: 0.9995073, COVERAGE_ITEM: 0.4702522, COVERAGE_ITEM_CORRECT: 0.0242464, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0749214, DIVERSITY_GINI: 0.2023311, SHANNON_ENTROPY: 12.4980376, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 727, 'shrink': 712, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0721864, PRECISION: 0.0143332, PRECISION_RECALL_MIN_DEN: 0.0596085, RECALL: 0.0584027, MAP: 0.0239768, MRR: 0.0473344, NDCG: 0.0377664, F1: 0.0230162, HIT_RATE: 0.1433324, ARHR: 0.0511098, NOVELTY: 0.0048201, AVERAGE_POPULARITY: 0.0186030, DIVERSITY_MEAN_INTER_LIST: 0.9954269, DIVERSITY_HERFINDAHL: 0.9995223, COVERAGE_ITEM: 0.4761732, COVERAGE_ITEM_CORRECT: 0.0244620, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0755002, DIVERSITY_GINI: 0.2075927, SHANNON_ENTROPY: 12.5417612, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 94, 'shrink': 252, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0755959, PRECISION: 0.0154695, PRECISION_RECALL_MIN_DEN: 0.0629215, RECALL: 0.0615768, MAP: 0.0254044, MRR: 0.0505998, NDCG: 0.0400361, F1: 0.0247250, HIT_RATE: 0.1546948, ARHR: 0.0551441, NOVELTY: 0.0047956, AVERAGE_POPULARITY: 0.0187748, DIVERSITY_MEAN_INTER_LIST: 0.9963027, DIVERSITY_HERFINDAHL: 0.9996099, COVERAGE_ITEM: 0.5462637, COVERAGE_ITEM_CORRECT: 0.0271184, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0795520, DIVERSITY_GINI: 0.2671163, SHANNON_ENTROPY: 12.9259082, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 665, 'shrink': 140, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0745701, PRECISION: 0.0146397, PRECISION_RECALL_MIN_DEN: 0.0608051, RECALL: 0.0596193, MAP: 0.0250031, MRR: 0.0495072, NDCG: 0.0390361, F1: 0.0235049, HIT_RATE: 0.1463973, ARHR: 0.0534691, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.0185734, DIVERSITY_MEAN_INTER_LIST: 0.9957566, DIVERSITY_HERFINDAHL: 0.9995553, COVERAGE_ITEM: 0.4911723, COVERAGE_ITEM_CORRECT: 0.0250241, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0772367, DIVERSITY_GINI: 0.2225867, SHANNON_ENTROPY: 12.6586185, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 713, 'shrink': 909, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0718352, PRECISION: 0.0142393, PRECISION_RECALL_MIN_DEN: 0.0594238, RECALL: 0.0582453, MAP: 0.0238869, MRR: 0.0470757, NDCG: 0.0376259, F1: 0.0228831, HIT_RATE: 0.1423926, ARHR: 0.0508203, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.0186032, DIVERSITY_MEAN_INTER_LIST: 0.9953911, DIVERSITY_HERFINDAHL: 0.9995188, COVERAGE_ITEM: 0.4762579, COVERAGE_ITEM_CORRECT: 0.0243619, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0750724, DIVERSITY_GINI: 0.2073710, SHANNON_ENTROPY: 12.5371236, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 943, 'shrink': 242, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0723795, PRECISION: 0.0143212, PRECISION_RECALL_MIN_DEN: 0.0596623, RECALL: 0.0585657, MAP: 0.0241670, MRR: 0.0478904, NDCG: 0.0380348, F1: 0.0230123, HIT_RATE: 0.1432119, ARHR: 0.0515242, NOVELTY: 0.0048160, AVERAGE_POPULARITY: 0.0186333, DIVERSITY_MEAN_INTER_LIST: 0.9954661, DIVERSITY_HERFINDAHL: 0.9995263, COVERAGE_ITEM: 0.4735014, COVERAGE_ITEM_CORRECT: 0.0244004, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0760287, DIVERSITY_GINI: 0.2069411, SHANNON_ENTROPY: 12.5453701, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 396, 'shrink': 482, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0731797, PRECISION: 0.0146844, PRECISION_RECALL_MIN_DEN: 0.0612752, RECALL: 0.0600893, MAP: 0.0246443, MRR: 0.0486188, NDCG: 0.0388012, F1: 0.0235986, HIT_RATE: 0.1468440, ARHR: 0.0526427, NOVELTY: 0.0048115, AVERAGE_POPULARITY: 0.0185130, DIVERSITY_MEAN_INTER_LIST: 0.9957773, DIVERSITY_HERFINDAHL: 0.9995574, COVERAGE_ITEM: 0.4962926, COVERAGE_ITEM_CORRECT: 0.0252089, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0769347, DIVERSITY_GINI: 0.2251591, SHANNON_ENTROPY: 12.6701330, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 273, 'shrink': 715, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0737456, PRECISION: 0.0147503, PRECISION_RECALL_MIN_DEN: 0.0612343, RECALL: 0.0599943, MAP: 0.0246426, MRR: 0.0488956, NDCG: 0.0388361, F1: 0.0236779, HIT_RATE: 0.1475028, ARHR: 0.0529286, NOVELTY: 0.0048123, AVERAGE_POPULARITY: 0.0186038, DIVERSITY_MEAN_INTER_LIST: 0.9958956, DIVERSITY_HERFINDAHL: 0.9995692, COVERAGE_ITEM: 0.5076343, COVERAGE_ITEM_CORRECT: 0.0253321, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0769599, DIVERSITY_GINI: 0.2339436, SHANNON_ENTROPY: 12.7257535, 
