
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 879, 'shrink': 375, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0716578, PRECISION: 0.0142597, PRECISION_RECALL_MIN_DEN: 0.0593727, RECALL: 0.0582260, MAP: 0.0240100, MRR: 0.0473801, NDCG: 0.0377779, F1: 0.0229070, HIT_RATE: 0.1425974, ARHR: 0.0511107, NOVELTY: 0.0048200, AVERAGE_POPULARITY: 0.0186980, DIVERSITY_MEAN_INTER_LIST: 0.9954003, DIVERSITY_HERFINDAHL: 0.9995197, COVERAGE_ITEM: 0.4718537, COVERAGE_ITEM_CORRECT: 0.0243157, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0751479, DIVERSITY_GINI: 0.2047152, SHANNON_ENTROPY: 12.5248621, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 47, 'shrink': 606, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0759717, PRECISION: 0.0152403, PRECISION_RECALL_MIN_DEN: 0.0622501, RECALL: 0.0609740, MAP: 0.0253822, MRR: 0.0502785, NDCG: 0.0398337, F1: 0.0243849, HIT_RATE: 0.1524026, ARHR: 0.0547219, NOVELTY: 0.0047912, AVERAGE_POPULARITY: 0.0187176, DIVERSITY_MEAN_INTER_LIST: 0.9962201, DIVERSITY_HERFINDAHL: 0.9996016, COVERAGE_ITEM: 0.5650972, COVERAGE_ITEM_CORRECT: 0.0266872, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0792752, DIVERSITY_GINI: 0.2795786, SHANNON_ENTROPY: 12.9763296, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 547, 'shrink': 852, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0723881, PRECISION: 0.0144473, PRECISION_RECALL_MIN_DEN: 0.0600132, RECALL: 0.0588288, MAP: 0.0241211, MRR: 0.0474365, NDCG: 0.0380162, F1: 0.0231960, HIT_RATE: 0.1444733, ARHR: 0.0513445, NOVELTY: 0.0048171, AVERAGE_POPULARITY: 0.0186199, DIVERSITY_MEAN_INTER_LIST: 0.9955423, DIVERSITY_HERFINDAHL: 0.9995339, COVERAGE_ITEM: 0.4830876, COVERAGE_ITEM_CORRECT: 0.0246930, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0758274, DIVERSITY_GINI: 0.2139811, SHANNON_ENTROPY: 12.5873060, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 68, 'shrink': 972, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0759701, PRECISION: 0.0153468, PRECISION_RECALL_MIN_DEN: 0.0624943, RECALL: 0.0611688, MAP: 0.0253678, MRR: 0.0505088, NDCG: 0.0399185, F1: 0.0245361, HIT_RATE: 0.1534684, ARHR: 0.0550169, NOVELTY: 0.0047974, AVERAGE_POPULARITY: 0.0186122, DIVERSITY_MEAN_INTER_LIST: 0.9962736, DIVERSITY_HERFINDAHL: 0.9996070, COVERAGE_ITEM: 0.5523696, COVERAGE_ITEM_CORRECT: 0.0267334, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0795269, DIVERSITY_GINI: 0.2707292, SHANNON_ENTROPY: 12.9392729, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 787, 'shrink': 368, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0725457, PRECISION: 0.0143130, PRECISION_RECALL_MIN_DEN: 0.0596465, RECALL: 0.0584807, MAP: 0.0241334, MRR: 0.0477050, NDCG: 0.0379401, F1: 0.0229957, HIT_RATE: 0.1431298, ARHR: 0.0514323, NOVELTY: 0.0048192, AVERAGE_POPULARITY: 0.0186759, DIVERSITY_MEAN_INTER_LIST: 0.9954595, DIVERSITY_HERFINDAHL: 0.9995256, COVERAGE_ITEM: 0.4746718, COVERAGE_ITEM_CORRECT: 0.0244158, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0756260, DIVERSITY_GINI: 0.2072981, SHANNON_ENTROPY: 12.5450623, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 588, 'shrink': 570, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0724709, PRECISION: 0.0144269, PRECISION_RECALL_MIN_DEN: 0.0599598, RECALL: 0.0587926, MAP: 0.0241658, MRR: 0.0475695, NDCG: 0.0380490, F1: 0.0231667, HIT_RATE: 0.1442687, ARHR: 0.0514398, NOVELTY: 0.0048173, AVERAGE_POPULARITY: 0.0186366, DIVERSITY_MEAN_INTER_LIST: 0.9955535, DIVERSITY_HERFINDAHL: 0.9995350, COVERAGE_ITEM: 0.4819326, COVERAGE_ITEM_CORRECT: 0.0245390, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0760539, DIVERSITY_GINI: 0.2132122, SHANNON_ENTROPY: 12.5851732, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 458, 'shrink': 792, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0729831, PRECISION: 0.0145984, PRECISION_RECALL_MIN_DEN: 0.0605519, RECALL: 0.0593630, MAP: 0.0243078, MRR: 0.0480711, NDCG: 0.0383744, F1: 0.0234308, HIT_RATE: 0.1459842, ARHR: 0.0520334, NOVELTY: 0.0048140, AVERAGE_POPULARITY: 0.0186191, DIVERSITY_MEAN_INTER_LIST: 0.9956475, DIVERSITY_HERFINDAHL: 0.9995444, COVERAGE_ITEM: 0.4893090, COVERAGE_ITEM_CORRECT: 0.0250087, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0764565, DIVERSITY_GINI: 0.2190070, SHANNON_ENTROPY: 12.6243890, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 238, 'shrink': 525, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0742536, PRECISION: 0.0149508, PRECISION_RECALL_MIN_DEN: 0.0616229, RECALL: 0.0603380, MAP: 0.0249546, MRR: 0.0493818, NDCG: 0.0392032, F1: 0.0239624, HIT_RATE: 0.1495075, ARHR: 0.0535390, NOVELTY: 0.0048080, AVERAGE_POPULARITY: 0.0186709, DIVERSITY_MEAN_INTER_LIST: 0.9959503, DIVERSITY_HERFINDAHL: 0.9995747, COVERAGE_ITEM: 0.5109528, COVERAGE_ITEM_CORRECT: 0.0257940, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0777904, DIVERSITY_GINI: 0.2374446, SHANNON_ENTROPY: 12.7501203, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 992, 'shrink': 689, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0707479, PRECISION: 0.0141821, PRECISION_RECALL_MIN_DEN: 0.0589506, RECALL: 0.0578043, MAP: 0.0235900, MRR: 0.0466799, NDCG: 0.0372984, F1: 0.0227746, HIT_RATE: 0.1418213, ARHR: 0.0502656, NOVELTY: 0.0048211, AVERAGE_POPULARITY: 0.0186844, DIVERSITY_MEAN_INTER_LIST: 0.9951941, DIVERSITY_HERFINDAHL: 0.9994991, COVERAGE_ITEM: 0.4656708, COVERAGE_ITEM_CORRECT: 0.0241078, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0751479, DIVERSITY_GINI: 0.1990431, SHANNON_ENTROPY: 12.4720293, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 403, 'shrink': 297, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0737446, PRECISION: 0.0147462, PRECISION_RECALL_MIN_DEN: 0.0612050, RECALL: 0.0600217, MAP: 0.0247836, MRR: 0.0489093, NDCG: 0.0389403, F1: 0.0236734, HIT_RATE: 0.1474622, ARHR: 0.0529514, NOVELTY: 0.0048100, AVERAGE_POPULARITY: 0.0186064, DIVERSITY_MEAN_INTER_LIST: 0.9957991, DIVERSITY_HERFINDAHL: 0.9995596, COVERAGE_ITEM: 0.4969009, COVERAGE_ITEM_CORRECT: 0.0253244, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0772619, DIVERSITY_GINI: 0.2261890, SHANNON_ENTROPY: 12.6791816, 
