SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 265, 'shrink': 88, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0484079, PRECISION: 0.0094517, PRECISION_RECALL_MIN_DEN: 0.0367313, RECALL: 0.0358425, MAP: 0.0153475, MRR: 0.0320265, NDCG: 0.0240865, F1: 0.0149579, HIT_RATE: 0.0945174, ARHR: 0.0344531, NOVELTY: 0.0057038, AVERAGE_POPULARITY: 0.0114997, DIVERSITY_MEAN_INTER_LIST: 0.9932967, DIVERSITY_HERFINDAHL: 0.9993094, COVERAGE_ITEM: 0.6352878, COVERAGE_ITEM_CORRECT: 0.0173628, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0504845, DIVERSITY_GINI: 0.3824278, SHANNON_ENTROPY: 13.2977522, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 934, 'shrink': 222, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0485734, PRECISION: 0.0094111, PRECISION_RECALL_MIN_DEN: 0.0363585, RECALL: 0.0354729, MAP: 0.0152830, MRR: 0.0322039, NDCG: 0.0239782, F1: 0.0148747, HIT_RATE: 0.0941107, ARHR: 0.0346203, NOVELTY: 0.0056974, AVERAGE_POPULARITY: 0.0116750, DIVERSITY_MEAN_INTER_LIST: 0.9933035, DIVERSITY_HERFINDAHL: 0.9993100, COVERAGE_ITEM: 0.6364119, COVERAGE_ITEM_CORRECT: 0.0172782, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0501825, DIVERSITY_GINI: 0.3831117, SHANNON_ENTROPY: 13.3001765, 
SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 981, 'shrink': 862, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0969646, PRECISION: 0.0186873, PRECISION_RECALL_MIN_DEN: 0.0739976, RECALL: 0.0724857, MAP: 0.0314803, MRR: 0.0674069, NDCG: 0.0494194, F1: 0.0297105, HIT_RATE: 0.1868735, ARHR: 0.0727862, NOVELTY: 0.0045469, AVERAGE_POPULARITY: 0.1560939, DIVERSITY_MEAN_INTER_LIST: 0.9608000, DIVERSITY_HERFINDAHL: 0.9960604, COVERAGE_ITEM: 0.3078499, COVERAGE_ITEM_CORRECT: 0.0167161, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0976217, DIVERSITY_GINI: 0.0747408, SHANNON_ENTROPY: 10.1706902, 
SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 766, 'shrink': 742, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1043729, PRECISION: 0.0200820, PRECISION_RECALL_MIN_DEN: 0.0799053, RECALL: 0.0783882, MAP: 0.0338881, MRR: 0.0719961, NDCG: 0.0532279, F1: 0.0319705, HIT_RATE: 0.2008201, ARHR: 0.0779704, NOVELTY: 0.0045948, AVERAGE_POPULARITY: 0.1486756, DIVERSITY_MEAN_INTER_LIST: 0.9658547, DIVERSITY_HERFINDAHL: 0.9965657, COVERAGE_ITEM: 0.3287931, COVERAGE_ITEM_CORRECT: 0.0181559, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1043161, DIVERSITY_GINI: 0.0854977, SHANNON_ENTROPY: 10.4044810, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 934, 'shrink': 78, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1036005, PRECISION: 0.0201598, PRECISION_RECALL_MIN_DEN: 0.0804576, RECALL: 0.0789159, MAP: 0.0337459, MRR: 0.0713761, NDCG: 0.0531578, F1: 0.0321118, HIT_RATE: 0.2015979, ARHR: 0.0774190, NOVELTY: 0.0046380, AVERAGE_POPULARITY: 0.1425415, DIVERSITY_MEAN_INTER_LIST: 0.9683880, DIVERSITY_HERFINDAHL: 0.9968190, COVERAGE_ITEM: 0.3433917, COVERAGE_ITEM_CORRECT: 0.0184023, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1044923, DIVERSITY_GINI: 0.0947352, SHANNON_ENTROPY: 10.5787308, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 275, 'shrink': 406, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0519889, PRECISION: 0.0102574, PRECISION_RECALL_MIN_DEN: 0.0388539, RECALL: 0.0376674, MAP: 0.0163109, MRR: 0.0348869, NDCG: 0.0254729, F1: 0.0161232, HIT_RATE: 0.1025742, ARHR: 0.0377566, NOVELTY: 0.0056611, AVERAGE_POPULARITY: 0.0126160, DIVERSITY_MEAN_INTER_LIST: 0.9932879, DIVERSITY_HERFINDAHL: 0.9993085, COVERAGE_ITEM: 0.6308450, COVERAGE_ITEM_CORRECT: 0.0187950, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0538568, DIVERSITY_GINI: 0.3841279, SHANNON_ENTROPY: 13.3001190, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 619, 'shrink': 783, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1027657, PRECISION: 0.0197460, PRECISION_RECALL_MIN_DEN: 0.0783426, RECALL: 0.0768102, MAP: 0.0333694, MRR: 0.0711445, NDCG: 0.0523378, F1: 0.0314143, HIT_RATE: 0.1974596, ARHR: 0.0769686, NOVELTY: 0.0045710, AVERAGE_POPULARITY: 0.1510278, DIVERSITY_MEAN_INTER_LIST: 0.9646653, DIVERSITY_HERFINDAHL: 0.9964468, COVERAGE_ITEM: 0.3166198, COVERAGE_ITEM_CORRECT: 0.0177324, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1025796, DIVERSITY_GINI: 0.0793733, SHANNON_ENTROPY: 10.3010140, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 509, 'shrink': 957, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0933628, PRECISION: 0.0178291, PRECISION_RECALL_MIN_DEN: 0.0692594, RECALL: 0.0677623, MAP: 0.0295595, MRR: 0.0647724, NDCG: 0.0465882, F1: 0.0282286, HIT_RATE: 0.1782907, ARHR: 0.0699987, NOVELTY: 0.0045949, AVERAGE_POPULARITY: 0.1434435, DIVERSITY_MEAN_INTER_LIST: 0.9669444, DIVERSITY_HERFINDAHL: 0.9966747, COVERAGE_ITEM: 0.3157806, COVERAGE_ITEM_CORRECT: 0.0156997, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0928652, DIVERSITY_GINI: 0.0802734, SHANNON_ENTROPY: 10.3702181, 
SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 577, 'shrink': 582, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1047222, PRECISION: 0.0202743, PRECISION_RECALL_MIN_DEN: 0.0808600, RECALL: 0.0793176, MAP: 0.0341875, MRR: 0.0723854, NDCG: 0.0536931, F1: 0.0322913, HIT_RATE: 0.2027427, ARHR: 0.0784517, NOVELTY: 0.0046055, AVERAGE_POPULARITY: 0.1460170, DIVERSITY_MEAN_INTER_LIST: 0.9671052, DIVERSITY_HERFINDAHL: 0.9966908, COVERAGE_ITEM: 0.3316651, COVERAGE_ITEM_CORRECT: 0.0184331, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1052976, DIVERSITY_GINI: 0.0872222, SHANNON_ENTROPY: 10.4503002, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 889, 'shrink': 593, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0514481, PRECISION: 0.0101754, PRECISION_RECALL_MIN_DEN: 0.0382897, RECALL: 0.0371056, MAP: 0.0160667, MRR: 0.0346159, NDCG: 0.0251353, F1: 0.0159706, HIT_RATE: 0.1017536, ARHR: 0.0374209, NOVELTY: 0.0056665, AVERAGE_POPULARITY: 0.0124904, DIVERSITY_MEAN_INTER_LIST: 0.9933046, DIVERSITY_HERFINDAHL: 0.9993102, COVERAGE_ITEM: 0.6333628, COVERAGE_ITEM_CORRECT: 0.0186641, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0534038, DIVERSITY_GINI: 0.3861101, SHANNON_ENTROPY: 13.3068604, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 476, 'shrink': 774, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0509700, PRECISION: 0.0100983, PRECISION_RECALL_MIN_DEN: 0.0381312, RECALL: 0.0369634, MAP: 0.0160254, MRR: 0.0344994, NDCG: 0.0250448, F1: 0.0158625, HIT_RATE: 0.1009830, ARHR: 0.0373189, NOVELTY: 0.0056724, AVERAGE_POPULARITY: 0.0123231, DIVERSITY_MEAN_INTER_LIST: 0.9933062, DIVERSITY_HERFINDAHL: 0.9993103, COVERAGE_ITEM: 0.6343253, COVERAGE_ITEM_CORRECT: 0.0185255, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0528753, DIVERSITY_GINI: 0.3861027, SHANNON_ENTROPY: 13.3074822, 
