SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 726, 'shrink': 191, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1000869, PRECISION: 0.0193948, PRECISION_RECALL_MIN_DEN: 0.0763797, RECALL: 0.0748491, MAP: 0.0323868, MRR: 0.0695985, NDCG: 0.0509743, F1: 0.0308040, HIT_RATE: 0.1939481, ARHR: 0.0753395, NOVELTY: 0.0045569, AVERAGE_POPULARITY: 0.1536454, DIVERSITY_MEAN_INTER_LIST: 0.9630039, DIVERSITY_HERFINDAHL: 0.9962807, COVERAGE_ITEM: 0.3112839, COVERAGE_ITEM_CORRECT: 0.0173474, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1006921, DIVERSITY_GINI: 0.0766135, SHANNON_ENTROPY: 10.2317459, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 571, 'shrink': 838, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0987014, PRECISION: 0.0191326, PRECISION_RECALL_MIN_DEN: 0.0753073, RECALL: 0.0737637, MAP: 0.0319660, MRR: 0.0687158, NDCG: 0.0502766, F1: 0.0303805, HIT_RATE: 0.1913255, ARHR: 0.0743582, NOVELTY: 0.0045686, AVERAGE_POPULARITY: 0.1499449, DIVERSITY_MEAN_INTER_LIST: 0.9646121, DIVERSITY_HERFINDAHL: 0.9964415, COVERAGE_ITEM: 0.3138633, COVERAGE_ITEM_CORRECT: 0.0172397, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0993079, DIVERSITY_GINI: 0.0780442, SHANNON_ENTROPY: 10.2813463, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 927, 'shrink': 210, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0997285, PRECISION: 0.0193214, PRECISION_RECALL_MIN_DEN: 0.0759333, RECALL: 0.0743944, MAP: 0.0321891, MRR: 0.0691087, NDCG: 0.0506742, F1: 0.0306727, HIT_RATE: 0.1932142, ARHR: 0.0748120, NOVELTY: 0.0045507, AVERAGE_POPULARITY: 0.1555975, DIVERSITY_MEAN_INTER_LIST: 0.9618765, DIVERSITY_HERFINDAHL: 0.9961680, COVERAGE_ITEM: 0.3102984, COVERAGE_ITEM_CORRECT: 0.0171858, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1005159, DIVERSITY_GINI: 0.0759319, SHANNON_ENTROPY: 10.2017795, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 21, 'shrink': 648, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0788334, PRECISION: 0.0150119, PRECISION_RECALL_MIN_DEN: 0.0564140, RECALL: 0.0549003, MAP: 0.0248701, MRR: 0.0546939, NDCG: 0.0385897, F1: 0.0235757, HIT_RATE: 0.1501190, ARHR: 0.0592583, NOVELTY: 0.0050713, AVERAGE_POPULARITY: 0.0518978, DIVERSITY_MEAN_INTER_LIST: 0.9838732, DIVERSITY_HERFINDAHL: 0.9983672, COVERAGE_ITEM: 0.4691588, COVERAGE_ITEM_CORRECT: 0.0219211, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0780924, DIVERSITY_GINI: 0.1990340, SHANNON_ENTROPY: 12.1512176, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 916, 'shrink': 931, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0976913, PRECISION: 0.0188878, PRECISION_RECALL_MIN_DEN: 0.0744563, RECALL: 0.0729351, MAP: 0.0315787, MRR: 0.0677547, NDCG: 0.0496700, F1: 0.0300023, HIT_RATE: 0.1888783, ARHR: 0.0732537, NOVELTY: 0.0045487, AVERAGE_POPULARITY: 0.1556751, DIVERSITY_MEAN_INTER_LIST: 0.9612127, DIVERSITY_HERFINDAHL: 0.9961016, COVERAGE_ITEM: 0.3089663, COVERAGE_ITEM_CORRECT: 0.0168316, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0985026, DIVERSITY_GINI: 0.0752276, SHANNON_ENTROPY: 10.1818238, 
SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 500, 'shrink': 228, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1005875, PRECISION: 0.0196277, PRECISION_RECALL_MIN_DEN: 0.0769407, RECALL: 0.0753612, MAP: 0.0325201, MRR: 0.0701191, NDCG: 0.0512706, F1: 0.0311416, HIT_RATE: 0.1962775, ARHR: 0.0760116, NOVELTY: 0.0045744, AVERAGE_POPULARITY: 0.1482663, DIVERSITY_MEAN_INTER_LIST: 0.9657278, DIVERSITY_HERFINDAHL: 0.9965530, COVERAGE_ITEM: 0.3147411, COVERAGE_ITEM_CORRECT: 0.0177247, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1015226, DIVERSITY_GINI: 0.0787617, SHANNON_ENTROPY: 10.3113747, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 42, 'shrink': 399, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0907629, PRECISION: 0.0173617, PRECISION_RECALL_MIN_DEN: 0.0674379, RECALL: 0.0658535, MAP: 0.0287301, MRR: 0.0623840, NDCG: 0.0450720, F1: 0.0274743, HIT_RATE: 0.1736168, ARHR: 0.0676974, NOVELTY: 0.0049613, AVERAGE_POPULARITY: 0.0680444, DIVERSITY_MEAN_INTER_LIST: 0.9861197, DIVERSITY_HERFINDAHL: 0.9985918, COVERAGE_ITEM: 0.4319923, COVERAGE_ITEM_CORRECT: 0.0223985, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0901472, DIVERSITY_GINI: 0.1635922, SHANNON_ENTROPY: 11.8799635, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 955, 'shrink': 397, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0984352, PRECISION: 0.0190841, PRECISION_RECALL_MIN_DEN: 0.0752238, RECALL: 0.0737031, MAP: 0.0318367, MRR: 0.0682154, NDCG: 0.0501186, F1: 0.0303150, HIT_RATE: 0.1908407, ARHR: 0.0738614, NOVELTY: 0.0045473, AVERAGE_POPULARITY: 0.1562316, DIVERSITY_MEAN_INTER_LIST: 0.9611981, DIVERSITY_HERFINDAHL: 0.9961002, COVERAGE_ITEM: 0.3088739, COVERAGE_ITEM_CORRECT: 0.0169240, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0991821, DIVERSITY_GINI: 0.0751736, SHANNON_ENTROPY: 10.1796387, 
SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 142, 'shrink': 190, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1017485, PRECISION: 0.0198018, PRECISION_RECALL_MIN_DEN: 0.0773922, RECALL: 0.0757754, MAP: 0.0326667, MRR: 0.0704784, NDCG: 0.0515071, F1: 0.0313956, HIT_RATE: 0.1980183, ARHR: 0.0766831, NOVELTY: 0.0047302, AVERAGE_POPULARITY: 0.1085244, DIVERSITY_MEAN_INTER_LIST: 0.9805588, DIVERSITY_HERFINDAHL: 0.9980358, COVERAGE_ITEM: 0.3549105, COVERAGE_ITEM_CORRECT: 0.0209817, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1021014, DIVERSITY_GINI: 0.1044919, SHANNON_ENTROPY: 11.0195840, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 312, 'shrink': 554, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1006813, PRECISION: 0.0196766, PRECISION_RECALL_MIN_DEN: 0.0774712, RECALL: 0.0758762, MAP: 0.0324078, MRR: 0.0698292, NDCG: 0.0512818, F1: 0.0312463, HIT_RATE: 0.1967661, ARHR: 0.0756646, NOVELTY: 0.0046182, AVERAGE_POPULARITY: 0.1356799, DIVERSITY_MEAN_INTER_LIST: 0.9715217, DIVERSITY_HERFINDAHL: 0.9971323, COVERAGE_ITEM: 0.3251511, COVERAGE_ITEM_CORRECT: 0.0184947, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1022524, DIVERSITY_GINI: 0.0850908, SHANNON_ENTROPY: 10.5205922, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 251, 'shrink': 363, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1015700, PRECISION: 0.0198644, PRECISION_RECALL_MIN_DEN: 0.0778278, RECALL: 0.0762335, MAP: 0.0326424, MRR: 0.0702085, NDCG: 0.0516086, F1: 0.0315151, HIT_RATE: 0.1986443, ARHR: 0.0761842, NOVELTY: 0.0046436, AVERAGE_POPULARITY: 0.1287404, DIVERSITY_MEAN_INTER_LIST: 0.9742106, DIVERSITY_HERFINDAHL: 0.9974011, COVERAGE_ITEM: 0.3315265, COVERAGE_ITEM_CORRECT: 0.0190568, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1029571, DIVERSITY_GINI: 0.0890532, SHANNON_ENTROPY: 10.6378866, 
