SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 504, 'shrink': 287, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0215962, PRECISION: 0.0043893, PRECISION_RECALL_MIN_DEN: 0.0159441, RECALL: 0.0153773, MAP: 0.0064696, MRR: 0.0146184, NDCG: 0.0103180, F1: 0.0068266, HIT_RATE: 0.0438934, ARHR: 0.0157846, NOVELTY: 0.0055510, AVERAGE_POPULARITY: 0.0121024, DIVERSITY_MEAN_INTER_LIST: 0.9570905, DIVERSITY_HERFINDAHL: 0.9956895, COVERAGE_ITEM: 0.4572936, COVERAGE_ITEM_CORRECT: 0.0079384, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0231282, DIVERSITY_GINI: 0.1831301, SHANNON_ENTROPY: 11.5647489, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 648, 'shrink': 645, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0210998, PRECISION: 0.0041321, PRECISION_RECALL_MIN_DEN: 0.0157453, RECALL: 0.0152898, MAP: 0.0063153, MRR: 0.0139480, NDCG: 0.0101289, F1: 0.0065034, HIT_RATE: 0.0413207, ARHR: 0.0148817, NOVELTY: 0.0055426, AVERAGE_POPULARITY: 0.0121671, DIVERSITY_MEAN_INTER_LIST: 0.9574612, DIVERSITY_HERFINDAHL: 0.9957266, COVERAGE_ITEM: 0.4593648, COVERAGE_ITEM_CORRECT: 0.0075611, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0222726, DIVERSITY_GINI: 0.1852352, SHANNON_ENTROPY: 11.5943704, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 418, 'shrink': 599, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 23, 'shrink': 638, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 747, 'shrink': 194, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0215614, PRECISION: 0.0044015, PRECISION_RECALL_MIN_DEN: 0.0160803, RECALL: 0.0155054, MAP: 0.0064777, MRR: 0.0146156, NDCG: 0.0103419, F1: 0.0068520, HIT_RATE: 0.0440146, ARHR: 0.0158577, NOVELTY: 0.0055510, AVERAGE_POPULARITY: 0.0121406, DIVERSITY_MEAN_INTER_LIST: 0.9573431, DIVERSITY_HERFINDAHL: 0.9957147, COVERAGE_ITEM: 0.4598499, COVERAGE_ITEM_CORRECT: 0.0079461, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0231282, DIVERSITY_GINI: 0.1835423, SHANNON_ENTROPY: 11.5679891, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 10, 'shrink': 631, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0261192, PRECISION: 0.0052309, PRECISION_RECALL_MIN_DEN: 0.0133072, RECALL: 0.0124017, MAP: 0.0055908, MRR: 0.0177893, NDCG: 0.0096159, F1: 0.0073513, HIT_RATE: 0.0523093, ARHR: 0.0197131, NOVELTY: 0.0048593, AVERAGE_POPULARITY: 0.0250539, DIVERSITY_MEAN_INTER_LIST: 0.6851203, DIVERSITY_HERFINDAHL: 0.9684980, COVERAGE_ITEM: 0.3050549, COVERAGE_ITEM_CORRECT: 0.0089240, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0264251, DIVERSITY_GINI: 0.0723716, SHANNON_ENTROPY: 8.0402999, 
SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 448, 'shrink': 811, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0499326, PRECISION: 0.0096941, PRECISION_RECALL_MIN_DEN: 0.0276883, RECALL: 0.0264047, MAP: 0.0115420, MRR: 0.0338854, NDCG: 0.0197138, F1: 0.0141800, HIT_RATE: 0.0969409, ARHR: 0.0368300, NOVELTY: 0.0046109, AVERAGE_POPULARITY: 0.0817363, DIVERSITY_MEAN_INTER_LIST: 0.7884466, DIVERSITY_HERFINDAHL: 0.9788285, COVERAGE_ITEM: 0.1990067, COVERAGE_ITEM_CORRECT: 0.0093628, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0502328, DIVERSITY_GINI: 0.0320067, SHANNON_ENTROPY: 8.0658150, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 155, 'shrink': 407, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0486194, PRECISION: 0.0095510, PRECISION_RECALL_MIN_DEN: 0.0267636, RECALL: 0.0254624, MAP: 0.0111493, MRR: 0.0330336, NDCG: 0.0190980, F1: 0.0138895, HIT_RATE: 0.0955102, ARHR: 0.0360036, NOVELTY: 0.0046454, AVERAGE_POPULARITY: 0.0741532, DIVERSITY_MEAN_INTER_LIST: 0.7883606, DIVERSITY_HERFINDAHL: 0.9788199, COVERAGE_ITEM: 0.2097093, COVERAGE_ITEM_CORRECT: 0.0096400, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0492010, DIVERSITY_GINI: 0.0360350, SHANNON_ENTROPY: 8.1986462, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 438, 'shrink': 957, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0208736, PRECISION: 0.0041200, PRECISION_RECALL_MIN_DEN: 0.0155377, RECALL: 0.0150763, MAP: 0.0062158, MRR: 0.0138305, NDCG: 0.0099993, F1: 0.0064685, HIT_RATE: 0.0411999, ARHR: 0.0147683, NOVELTY: 0.0055464, AVERAGE_POPULARITY: 0.0120545, DIVERSITY_MEAN_INTER_LIST: 0.9571308, DIVERSITY_HERFINDAHL: 0.9956935, COVERAGE_ITEM: 0.4582406, COVERAGE_ITEM_CORRECT: 0.0075457, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0221971, DIVERSITY_GINI: 0.1853723, SHANNON_ENTROPY: 11.5916342, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 361, 'shrink': 548, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0498246, PRECISION: 0.0097024, PRECISION_RECALL_MIN_DEN: 0.0277000, RECALL: 0.0264154, MAP: 0.0114638, MRR: 0.0337127, NDCG: 0.0196491, F1: 0.0141903, HIT_RATE: 0.0970243, ARHR: 0.0366756, NOVELTY: 0.0046123, AVERAGE_POPULARITY: 0.0813768, DIVERSITY_MEAN_INTER_LIST: 0.7883312, DIVERSITY_HERFINDAHL: 0.9788170, COVERAGE_ITEM: 0.1994379, COVERAGE_ITEM_CORRECT: 0.0093859, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0502580, DIVERSITY_GINI: 0.0321439, SHANNON_ENTROPY: 8.0700301, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 502, 'shrink': 845, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0216435, PRECISION: 0.0043037, PRECISION_RECALL_MIN_DEN: 0.0159469, RECALL: 0.0154218, MAP: 0.0064337, MRR: 0.0143628, NDCG: 0.0102902, F1: 0.0067269, HIT_RATE: 0.0430366, ARHR: 0.0154393, NOVELTY: 0.0055474, AVERAGE_POPULARITY: 0.0121213, DIVERSITY_MEAN_INTER_LIST: 0.9571946, DIVERSITY_HERFINDAHL: 0.9956999, COVERAGE_ITEM: 0.4584408, COVERAGE_ITEM_CORRECT: 0.0078460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0229017, DIVERSITY_GINI: 0.1846212, SHANNON_ENTROPY: 11.5818338, 
