
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.745252438039866, 'l1_ratio': 0.22217685005584692} - results: ROC_AUC: 0.1464280, PRECISION: 0.0308608, PRECISION_RECALL_MIN_DEN: 0.1131855, RECALL: 0.1102872, MAP: 0.0492892, MRR: 0.1041322, NDCG: 0.0765560, F1: 0.0482231, HIT_RATE: 0.3086085, ARHR: 0.1178135, NOVELTY: 0.0049045, AVERAGE_POPULARITY: 0.0608685, DIVERSITY_MEAN_INTER_LIST: 0.9943154, DIVERSITY_HERFINDAHL: 0.9994127, COVERAGE_ITEM: 0.5759461, COVERAGE_ITEM_CORRECT: 0.0426564, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1589027, DIVERSITY_GINI: 0.2573907, SHANNON_ENTROPY: 12.6639832, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.5348866677745742, 'l1_ratio': 0.5847933860397776} - results: ROC_AUC: 0.1200911, PRECISION: 0.0254720, PRECISION_RECALL_MIN_DEN: 0.0922307, RECALL: 0.0895323, MAP: 0.0390615, MRR: 0.0840736, NDCG: 0.0613695, F1: 0.0396566, HIT_RATE: 0.2547204, ARHR: 0.0948679, NOVELTY: 0.0049940, AVERAGE_POPULARITY: 0.0351227, DIVERSITY_MEAN_INTER_LIST: 0.9970867, DIVERSITY_HERFINDAHL: 0.9996898, COVERAGE_ITEM: 0.6088932, COVERAGE_ITEM_CORRECT: 0.0401309, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1321253, DIVERSITY_GINI: 0.2999673, SHANNON_ENTROPY: 13.0766022, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.45125650255414096, 'l1_ratio': 0.27985736740470074} - results: ROC_AUC: 0.1559972, PRECISION: 0.0327217, PRECISION_RECALL_MIN_DEN: 0.1218390, RECALL: 0.1188803, MAP: 0.0535916, MRR: 0.1111324, NDCG: 0.0826044, F1: 0.0513146, HIT_RATE: 0.3272174, ARHR: 0.1258910, NOVELTY: 0.0048664, AVERAGE_POPULARITY: 0.0700270, DIVERSITY_MEAN_INTER_LIST: 0.9928360, DIVERSITY_HERFINDAHL: 0.9992648, COVERAGE_ITEM: 0.5553186, COVERAGE_ITEM_CORRECT: 0.0442656, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1677363, DIVERSITY_GINI: 0.2373631, SHANNON_ENTROPY: 12.4715668, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.4152025217871358, 'l1_ratio': 0.39552220398424587} - results: ROC_AUC: 0.1474147, PRECISION: 0.0311986, PRECISION_RECALL_MIN_DEN: 0.1147823, RECALL: 0.1118544, MAP: 0.0496500, MRR: 0.1044835, NDCG: 0.0772603, F1: 0.0487858, HIT_RATE: 0.3119863, ARHR: 0.1183587, NOVELTY: 0.0049067, AVERAGE_POPULARITY: 0.0588812, DIVERSITY_MEAN_INTER_LIST: 0.9946084, DIVERSITY_HERFINDAHL: 0.9994420, COVERAGE_ITEM: 0.5767469, COVERAGE_ITEM_CORRECT: 0.0437883, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1598087, DIVERSITY_GINI: 0.2605445, SHANNON_ENTROPY: 12.7024764, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.996285949086855, 'l1_ratio': 0.35595525129973843} - results: ROC_AUC: 0.1124513, PRECISION: 0.0238917, PRECISION_RECALL_MIN_DEN: 0.0862597, RECALL: 0.0836587, MAP: 0.0365752, MRR: 0.0788052, NDCG: 0.0573647, F1: 0.0371630, HIT_RATE: 0.2389166, ARHR: 0.0887653, NOVELTY: 0.0050119, AVERAGE_POPULARITY: 0.0320493, DIVERSITY_MEAN_INTER_LIST: 0.9972513, DIVERSITY_HERFINDAHL: 0.9997062, COVERAGE_ITEM: 0.6123503, COVERAGE_ITEM_CORRECT: 0.0385833, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1246508, DIVERSITY_GINI: 0.3034310, SHANNON_ENTROPY: 13.1071805, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.07009442547942947, 'l1_ratio': 0.6748980281927442} - results: ROC_AUC: 0.1673508, PRECISION: 0.0350525, PRECISION_RECALL_MIN_DEN: 0.1345457, RECALL: 0.1316174, MAP: 0.0584760, MRR: 0.1186761, NDCG: 0.0901575, F1: 0.0553583, HIT_RATE: 0.3505252, ARHR: 0.1343742, NOVELTY: 0.0047848, AVERAGE_POPULARITY: 0.0912423, DIVERSITY_MEAN_INTER_LIST: 0.9885116, DIVERSITY_HERFINDAHL: 0.9988324, COVERAGE_ITEM: 0.4868065, COVERAGE_ITEM_CORRECT: 0.0452897, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1800428, DIVERSITY_GINI: 0.1793421, SHANNON_ENTROPY: 11.9094705, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9078531829484341, 'l1_ratio': 0.034487277168296034} - results: ROC_AUC: 0.1550577, PRECISION: 0.0315717, PRECISION_RECALL_MIN_DEN: 0.1199586, RECALL: 0.1172860, MAP: 0.0539872, MRR: 0.1110442, NDCG: 0.0823211, F1: 0.0497477, HIT_RATE: 0.3157169, ARHR: 0.1248586, NOVELTY: 0.0047468, AVERAGE_POPULARITY: 0.1118357, DIVERSITY_MEAN_INTER_LIST: 0.9830692, DIVERSITY_HERFINDAHL: 0.9982883, COVERAGE_ITEM: 0.4262175, COVERAGE_ITEM_CORRECT: 0.0363580, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1643136, DIVERSITY_GINI: 0.1329195, SHANNON_ENTROPY: 11.3262862, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5597452003891882, 'l1_ratio': 0.24101978803071927} - results: ROC_AUC: 0.1537436, PRECISION: 0.0323503, PRECISION_RECALL_MIN_DEN: 0.1198624, RECALL: 0.1169166, MAP: 0.0525720, MRR: 0.1095602, NDCG: 0.0812221, F1: 0.0506733, HIT_RATE: 0.3235034, ARHR: 0.1241574, NOVELTY: 0.0048735, AVERAGE_POPULARITY: 0.0683912, DIVERSITY_MEAN_INTER_LIST: 0.9931185, DIVERSITY_HERFINDAHL: 0.9992930, COVERAGE_ITEM: 0.5595534, COVERAGE_ITEM_CORRECT: 0.0439654, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1656474, DIVERSITY_GINI: 0.2411832, SHANNON_ENTROPY: 12.5078465, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.9492912654649074, 'l1_ratio': 0.25004306782710634} - results: ROC_AUC: 0.1298161, PRECISION: 0.0274692, PRECISION_RECALL_MIN_DEN: 0.0989028, RECALL: 0.0960730, MAP: 0.0427051, MRR: 0.0920912, NDCG: 0.0666840, F1: 0.0427197, HIT_RATE: 0.2746924, ARHR: 0.1042028, NOVELTY: 0.0049641, AVERAGE_POPULARITY: 0.0457845, DIVERSITY_MEAN_INTER_LIST: 0.9962016, DIVERSITY_HERFINDAHL: 0.9996013, COVERAGE_ITEM: 0.5981367, COVERAGE_ITEM_CORRECT: 0.0402926, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1412357, DIVERSITY_GINI: 0.2837058, SHANNON_ENTROPY: 12.9238830, 
