
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9720166931005583, 'l1_ratio': 0.5770755299168605} - results: ROC_AUC: 0.0969597, PRECISION: 0.0203628, PRECISION_RECALL_MIN_DEN: 0.0752160, RECALL: 0.0729944, MAP: 0.0315311, MRR: 0.0671941, NDCG: 0.0495102, F1: 0.0318384, HIT_RATE: 0.2036278, ARHR: 0.0749974, NOVELTY: 0.0050406, AVERAGE_POPULARITY: 0.0233625, DIVERSITY_MEAN_INTER_LIST: 0.9974985, DIVERSITY_HERFINDAHL: 0.9997309, COVERAGE_ITEM: 0.6182868, COVERAGE_ITEM_CORRECT: 0.0360808, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1079401, DIVERSITY_GINI: 0.3129803, SHANNON_ENTROPY: 13.1823520, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9446200402250878, 'l1_ratio': 0.14111677771259926} - results: ROC_AUC: 0.1545874, PRECISION: 0.0322025, PRECISION_RECALL_MIN_DEN: 0.1194602, RECALL: 0.1166142, MAP: 0.0529122, MRR: 0.1104663, NDCG: 0.0814965, F1: 0.0504645, HIT_RATE: 0.3220248, ARHR: 0.1250317, NOVELTY: 0.0048592, AVERAGE_POPULARITY: 0.0760844, DIVERSITY_MEAN_INTER_LIST: 0.9916523, DIVERSITY_HERFINDAHL: 0.9991464, COVERAGE_ITEM: 0.5454398, COVERAGE_ITEM_CORRECT: 0.0421020, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1654964, DIVERSITY_GINI: 0.2247602, SHANNON_ENTROPY: 12.3277022, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9495510502261486, 'l1_ratio': 0.9433104650688808} - results: ROC_AUC: 0.0889690, PRECISION: 0.0183457, PRECISION_RECALL_MIN_DEN: 0.0691609, RECALL: 0.0672419, MAP: 0.0289347, MRR: 0.0610079, NDCG: 0.0454137, F1: 0.0288224, HIT_RATE: 0.1834566, ARHR: 0.0676096, NOVELTY: 0.0050487, AVERAGE_POPULARITY: 0.0195574, DIVERSITY_MEAN_INTER_LIST: 0.9975856, DIVERSITY_HERFINDAHL: 0.9997397, COVERAGE_ITEM: 0.6207199, COVERAGE_ITEM_CORRECT: 0.0341020, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0984774, DIVERSITY_GINI: 0.3168931, SHANNON_ENTROPY: 13.2102311, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.9486116825428158, 'l1_ratio': 0.08133462254111536} - results: ROC_AUC: 0.1607773, PRECISION: 0.0328567, PRECISION_RECALL_MIN_DEN: 0.1246048, RECALL: 0.1218786, MAP: 0.0563950, MRR: 0.1156983, NDCG: 0.0857931, F1: 0.0517551, HIT_RATE: 0.3285673, ARHR: 0.1303712, NOVELTY: 0.0047946, AVERAGE_POPULARITY: 0.0976245, DIVERSITY_MEAN_INTER_LIST: 0.9868622, DIVERSITY_HERFINDAHL: 0.9986675, COVERAGE_ITEM: 0.4824639, COVERAGE_ITEM_CORRECT: 0.0403542, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1697999, DIVERSITY_GINI: 0.1702371, SHANNON_ENTROPY: 11.7531305, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8705057072890935, 'l1_ratio': 0.1617968862390882} - results: ROC_AUC: 0.1563705, PRECISION: 0.0325777, PRECISION_RECALL_MIN_DEN: 0.1209990, RECALL: 0.1181123, MAP: 0.0536231, MRR: 0.1119694, NDCG: 0.0825701, F1: 0.0510658, HIT_RATE: 0.3257775, ARHR: 0.1267018, NOVELTY: 0.0048631, AVERAGE_POPULARITY: 0.0764466, DIVERSITY_MEAN_INTER_LIST: 0.9916210, DIVERSITY_HERFINDAHL: 0.9991433, COVERAGE_ITEM: 0.5451550, COVERAGE_ITEM_CORRECT: 0.0426256, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1675853, DIVERSITY_GINI: 0.2243383, SHANNON_ENTROPY: 12.3233202, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.3190248017822131, 'l1_ratio': 0.06572383339049516} - results: ROC_AUC: 0.1474598, PRECISION: 0.0299660, PRECISION_RECALL_MIN_DEN: 0.1106383, RECALL: 0.1078849, MAP: 0.0501379, MRR: 0.1059591, NDCG: 0.0766474, F1: 0.0469024, HIT_RATE: 0.2996605, ARHR: 0.1191037, NOVELTY: 0.0048089, AVERAGE_POPULARITY: 0.1055800, DIVERSITY_MEAN_INTER_LIST: 0.9849933, DIVERSITY_HERFINDAHL: 0.9984807, COVERAGE_ITEM: 0.4524966, COVERAGE_ITEM_CORRECT: 0.0334321, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1557066, DIVERSITY_GINI: 0.1484378, SHANNON_ENTROPY: 11.5084079, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.8353311941727589, 'l1_ratio': 0.634877918759062} - results: ROC_AUC: 0.1038049, PRECISION: 0.0218221, PRECISION_RECALL_MIN_DEN: 0.0804514, RECALL: 0.0780592, MAP: 0.0339526, MRR: 0.0725591, NDCG: 0.0531908, F1: 0.0341028, HIT_RATE: 0.2182205, ARHR: 0.0811744, NOVELTY: 0.0050340, AVERAGE_POPULARITY: 0.0261900, DIVERSITY_MEAN_INTER_LIST: 0.9974121, DIVERSITY_HERFINDAHL: 0.9997223, COVERAGE_ITEM: 0.6165621, COVERAGE_ITEM_CORRECT: 0.0374052, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1152385, DIVERSITY_GINI: 0.3104344, SHANNON_ENTROPY: 13.1609034, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.11937917887018137, 'l1_ratio': 0.31624687078137487} - results: ROC_AUC: 0.1495406, PRECISION: 0.0304659, PRECISION_RECALL_MIN_DEN: 0.1124506, RECALL: 0.1096407, MAP: 0.0510252, MRR: 0.1075282, NDCG: 0.0779207, F1: 0.0476802, HIT_RATE: 0.3046595, ARHR: 0.1209860, NOVELTY: 0.0048228, AVERAGE_POPULARITY: 0.1035782, DIVERSITY_MEAN_INTER_LIST: 0.9855807, DIVERSITY_HERFINDAHL: 0.9985394, COVERAGE_ITEM: 0.4584331, COVERAGE_ITEM_CORRECT: 0.0347180, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1579716, DIVERSITY_GINI: 0.1531792, SHANNON_ENTROPY: 11.5701559, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.6795644006301982, 'l1_ratio': 0.16897463528047377} - results: ROC_AUC: 0.1630018, PRECISION: 0.0335961, PRECISION_RECALL_MIN_DEN: 0.1262800, RECALL: 0.1233863, MAP: 0.0569727, MRR: 0.1173391, NDCG: 0.0868556, F1: 0.0528052, HIT_RATE: 0.3359611, ARHR: 0.1325609, NOVELTY: 0.0048379, AVERAGE_POPULARITY: 0.0900299, DIVERSITY_MEAN_INTER_LIST: 0.9888625, DIVERSITY_HERFINDAHL: 0.9988675, COVERAGE_ITEM: 0.5076651, COVERAGE_ITEM_CORRECT: 0.0422791, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1723921, DIVERSITY_GINI: 0.1899554, SHANNON_ENTROPY: 11.9743549, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.4801618124556971, 'l1_ratio': 0.4982047314487379} - results: ROC_AUC: 0.1525667, PRECISION: 0.0319563, PRECISION_RECALL_MIN_DEN: 0.1174752, RECALL: 0.1145362, MAP: 0.0523665, MRR: 0.1093109, NDCG: 0.0804394, F1: 0.0499669, HIT_RATE: 0.3195628, ARHR: 0.1237886, NOVELTY: 0.0049167, AVERAGE_POPULARITY: 0.0656736, DIVERSITY_MEAN_INTER_LIST: 0.9935687, DIVERSITY_HERFINDAHL: 0.9993380, COVERAGE_ITEM: 0.5705640, COVERAGE_ITEM_CORRECT: 0.0437652, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1634327, DIVERSITY_GINI: 0.2503318, SHANNON_ENTROPY: 12.5808380, 
