
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.730763238414724, 'l1_ratio': 0.5962327750469733} - results: ROC_AUC: 0.1192724, PRECISION: 0.0246648, PRECISION_RECALL_MIN_DEN: 0.0910357, RECALL: 0.0884701, MAP: 0.0397089, MRR: 0.0841810, NDCG: 0.0613964, F1: 0.0385700, HIT_RATE: 0.2466476, ARHR: 0.0943663, NOVELTY: 0.0049948, AVERAGE_POPULARITY: 0.0372177, DIVERSITY_MEAN_INTER_LIST: 0.9969290, DIVERSITY_HERFINDAHL: 0.9996740, COVERAGE_ITEM: 0.6102714, COVERAGE_ITEM_CORRECT: 0.0385140, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1293067, DIVERSITY_GINI: 0.3002645, SHANNON_ENTROPY: 13.0661216, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9878060321621199, 'l1_ratio': 0.029930028175529373} - results: ROC_AUC: 0.1512536, PRECISION: 0.0305752, PRECISION_RECALL_MIN_DEN: 0.1154124, RECALL: 0.1127990, MAP: 0.0523921, MRR: 0.1086482, NDCG: 0.0797561, F1: 0.0481051, HIT_RATE: 0.3057519, ARHR: 0.1219163, NOVELTY: 0.0047458, AVERAGE_POPULARITY: 0.1140257, DIVERSITY_MEAN_INTER_LIST: 0.9823696, DIVERSITY_HERFINDAHL: 0.9982183, COVERAGE_ITEM: 0.4276035, COVERAGE_ITEM_CORRECT: 0.0343561, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1596074, DIVERSITY_GINI: 0.1319463, SHANNON_ENTROPY: 11.2838523, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.45232769802313066, 'l1_ratio': 0.4922520405173345} - results: ROC_AUC: 0.1556127, PRECISION: 0.0317893, PRECISION_RECALL_MIN_DEN: 0.1185616, RECALL: 0.1156796, MAP: 0.0532348, MRR: 0.1112826, NDCG: 0.0814177, F1: 0.0498698, HIT_RATE: 0.3178929, ARHR: 0.1253944, NOVELTY: 0.0048639, AVERAGE_POPULARITY: 0.0803088, DIVERSITY_MEAN_INTER_LIST: 0.9909105, DIVERSITY_HERFINDAHL: 0.9990723, COVERAGE_ITEM: 0.5563657, COVERAGE_ITEM_CORRECT: 0.0410934, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1643639, DIVERSITY_GINI: 0.2333550, SHANNON_ENTROPY: 12.3561760, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.5219476221113628, 'l1_ratio': 0.27051765843048164} - results: ROC_AUC: 0.1578220, PRECISION: 0.0322925, PRECISION_RECALL_MIN_DEN: 0.1212151, RECALL: 0.1183353, MAP: 0.0549812, MRR: 0.1136874, NDCG: 0.0835931, F1: 0.0507347, HIT_RATE: 0.3229248, ARHR: 0.1281420, NOVELTY: 0.0048294, AVERAGE_POPULARITY: 0.0947768, DIVERSITY_MEAN_INTER_LIST: 0.9877104, DIVERSITY_HERFINDAHL: 0.9987523, COVERAGE_ITEM: 0.5190529, COVERAGE_ITEM_CORRECT: 0.0398229, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1661256, DIVERSITY_GINI: 0.1990813, SHANNON_ENTROPY: 12.0022017, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.405532276368487, 'l1_ratio': 0.7291806127162961} - results: ROC_AUC: 0.1493194, PRECISION: 0.0307584, PRECISION_RECALL_MIN_DEN: 0.1142643, RECALL: 0.1113948, MAP: 0.0511213, MRR: 0.1064797, NDCG: 0.0782171, F1: 0.0482026, HIT_RATE: 0.3075839, ARHR: 0.1200899, NOVELTY: 0.0048939, AVERAGE_POPULARITY: 0.0692295, DIVERSITY_MEAN_INTER_LIST: 0.9929622, DIVERSITY_HERFINDAHL: 0.9992774, COVERAGE_ITEM: 0.5762002, COVERAGE_ITEM_CORRECT: 0.0413628, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1591544, DIVERSITY_GINI: 0.2552045, SHANNON_ENTROPY: 12.5862824, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.20281667521211316, 'l1_ratio': 0.30344959413224787} - results: ROC_AUC: 0.1409590, PRECISION: 0.0283578, PRECISION_RECALL_MIN_DEN: 0.1058898, RECALL: 0.1032536, MAP: 0.0474686, MRR: 0.1009647, NDCG: 0.0728239, F1: 0.0444914, HIT_RATE: 0.2835778, ARHR: 0.1126994, NOVELTY: 0.0048424, AVERAGE_POPULARITY: 0.1069215, DIVERSITY_MEAN_INTER_LIST: 0.9844271, DIVERSITY_HERFINDAHL: 0.9984241, COVERAGE_ITEM: 0.4657940, COVERAGE_ITEM_CORRECT: 0.0314841, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1492387, DIVERSITY_GINI: 0.1654851, SHANNON_ENTROPY: 11.6761491, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.6055744930921043, 'l1_ratio': 0.4656219126739466} - results: ROC_AUC: 0.1457058, PRECISION: 0.0302395, PRECISION_RECALL_MIN_DEN: 0.1113805, RECALL: 0.1084870, MAP: 0.0494965, MRR: 0.1039279, NDCG: 0.0760935, F1: 0.0472920, HIT_RATE: 0.3023951, ARHR: 0.1173375, NOVELTY: 0.0049094, AVERAGE_POPULARITY: 0.0624833, DIVERSITY_MEAN_INTER_LIST: 0.9940936, DIVERSITY_HERFINDAHL: 0.9993905, COVERAGE_ITEM: 0.5843465, COVERAGE_ITEM_CORRECT: 0.0414090, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1560086, DIVERSITY_GINI: 0.2649430, SHANNON_ENTROPY: 12.6984888, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5838169561251778, 'l1_ratio': 0.6459970339831824} - results: ROC_AUC: 0.1338175, PRECISION: 0.0277648, PRECISION_RECALL_MIN_DEN: 0.1027881, RECALL: 0.1000361, MAP: 0.0451793, MRR: 0.0951324, NDCG: 0.0696451, F1: 0.0434622, HIT_RATE: 0.2776479, ARHR: 0.1069114, NOVELTY: 0.0049514, AVERAGE_POPULARITY: 0.0496787, DIVERSITY_MEAN_INTER_LIST: 0.9957533, DIVERSITY_HERFINDAHL: 0.9995565, COVERAGE_ITEM: 0.5995688, COVERAGE_ITEM_CORRECT: 0.0403388, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1443815, DIVERSITY_GINI: 0.2851973, SHANNON_ENTROPY: 12.9081461, 
