
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.0016592494305653909, 'l1_ratio': 0.15820350240939843} - results: ROC_AUC: 0.1314809, PRECISION: 0.0260265, PRECISION_RECALL_MIN_DEN: 0.0965742, RECALL: 0.0940898, MAP: 0.0435273, MRR: 0.0937135, NDCG: 0.0668124, F1: 0.0407692, HIT_RATE: 0.2602647, ARHR: 0.1040345, NOVELTY: 0.0048415, AVERAGE_POPULARITY: 0.1091982, DIVERSITY_MEAN_INTER_LIST: 0.9837710, DIVERSITY_HERFINDAHL: 0.9983585, COVERAGE_ITEM: 0.4447353, COVERAGE_ITEM_CORRECT: 0.0274110, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1381653, DIVERSITY_GINI: 0.1551441, SHANNON_ENTROPY: 11.5980050, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.810591325956373, 'l1_ratio': 0.8594964880009826} - results: ROC_AUC: 0.0976126, PRECISION: 0.0202831, PRECISION_RECALL_MIN_DEN: 0.0759721, RECALL: 0.0738308, MAP: 0.0319472, MRR: 0.0673432, NDCG: 0.0500340, F1: 0.0318182, HIT_RATE: 0.2028307, ARHR: 0.0749246, NOVELTY: 0.0050364, AVERAGE_POPULARITY: 0.0232036, DIVERSITY_MEAN_INTER_LIST: 0.9976072, DIVERSITY_HERFINDAHL: 0.9997418, COVERAGE_ITEM: 0.6201732, COVERAGE_ITEM_CORRECT: 0.0360192, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1081163, DIVERSITY_GINI: 0.3153329, SHANNON_ENTROPY: 13.2001579, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.01510253060537248, 'l1_ratio': 0.7860304369607124} - results: ROC_AUC: 0.1323763, PRECISION: 0.0262655, PRECISION_RECALL_MIN_DEN: 0.0976310, RECALL: 0.0951271, MAP: 0.0438911, MRR: 0.0944471, NDCG: 0.0674142, F1: 0.0411594, HIT_RATE: 0.2626547, ARHR: 0.1049334, NOVELTY: 0.0048422, AVERAGE_POPULARITY: 0.1088885, DIVERSITY_MEAN_INTER_LIST: 0.9838731, DIVERSITY_HERFINDAHL: 0.9983687, COVERAGE_ITEM: 0.4451973, COVERAGE_ITEM_CORRECT: 0.0278499, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1392475, DIVERSITY_GINI: 0.1555628, SHANNON_ENTROPY: 11.6045669, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.2772677150709016, 'l1_ratio': 0.6214277451759652} - results: ROC_AUC: 0.1555530, PRECISION: 0.0317808, PRECISION_RECALL_MIN_DEN: 0.1192592, RECALL: 0.1163591, MAP: 0.0537830, MRR: 0.1117022, NDCG: 0.0819627, F1: 0.0499207, HIT_RATE: 0.3178081, ARHR: 0.1256935, NOVELTY: 0.0048425, AVERAGE_POPULARITY: 0.0927226, DIVERSITY_MEAN_INTER_LIST: 0.9881807, DIVERSITY_HERFINDAHL: 0.9987993, COVERAGE_ITEM: 0.5206391, COVERAGE_ITEM_CORRECT: 0.0394610, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1642129, DIVERSITY_GINI: 0.2027713, SHANNON_ENTROPY: 12.0590113, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8999847393965362, 'l1_ratio': 0.19145101270155912} - results: ROC_AUC: 0.1522009, PRECISION: 0.0321048, PRECISION_RECALL_MIN_DEN: 0.1187256, RECALL: 0.1157195, MAP: 0.0522717, MRR: 0.1086110, NDCG: 0.0805391, F1: 0.0502614, HIT_RATE: 0.3210481, ARHR: 0.1230131, NOVELTY: 0.0048906, AVERAGE_POPULARITY: 0.0632717, DIVERSITY_MEAN_INTER_LIST: 0.9939914, DIVERSITY_HERFINDAHL: 0.9993803, COVERAGE_ITEM: 0.5737363, COVERAGE_ITEM_CORRECT: 0.0444350, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1639361, DIVERSITY_GINI: 0.2562841, SHANNON_ENTROPY: 12.6449446, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.06458816024455662, 'l1_ratio': 0.027839938908948654} - results: ROC_AUC: 0.1321496, PRECISION: 0.0263528, PRECISION_RECALL_MIN_DEN: 0.0977045, RECALL: 0.0951906, MAP: 0.0438465, MRR: 0.0942996, NDCG: 0.0673962, F1: 0.0412728, HIT_RATE: 0.2635283, ARHR: 0.1048307, NOVELTY: 0.0048405, AVERAGE_POPULARITY: 0.1093734, DIVERSITY_MEAN_INTER_LIST: 0.9837460, DIVERSITY_HERFINDAHL: 0.9983560, COVERAGE_ITEM: 0.4432724, COVERAGE_ITEM_CORRECT: 0.0278114, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1396502, DIVERSITY_GINI: 0.1542845, SHANNON_ENTROPY: 11.5881860, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.17491980882234806, 'l1_ratio': 0.8937183642432758} - results: ROC_AUC: 0.1520618, PRECISION: 0.0308860, PRECISION_RECALL_MIN_DEN: 0.1155982, RECALL: 0.1127967, MAP: 0.0523170, MRR: 0.1091741, NDCG: 0.0797427, F1: 0.0484892, HIT_RATE: 0.3088596, ARHR: 0.1226282, NOVELTY: 0.0048428, AVERAGE_POPULARITY: 0.0968602, DIVERSITY_MEAN_INTER_LIST: 0.9871499, DIVERSITY_HERFINDAHL: 0.9986963, COVERAGE_ITEM: 0.5057555, COVERAGE_ITEM_CORRECT: 0.0374360, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1600101, DIVERSITY_GINI: 0.1916875, SHANNON_ENTROPY: 11.9523436, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.23315718533270663, 'l1_ratio': 0.9537700169450438} - results: ROC_AUC: 0.1548705, PRECISION: 0.0316415, PRECISION_RECALL_MIN_DEN: 0.1184889, RECALL: 0.1155892, MAP: 0.0532362, MRR: 0.1110920, NDCG: 0.0813169, F1: 0.0496788, HIT_RATE: 0.3164150, ARHR: 0.1249851, NOVELTY: 0.0048565, AVERAGE_POPULARITY: 0.0864363, DIVERSITY_MEAN_INTER_LIST: 0.9896053, DIVERSITY_HERFINDAHL: 0.9989418, COVERAGE_ITEM: 0.5402733, COVERAGE_ITEM_CORRECT: 0.0400385, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1639864, DIVERSITY_GINI: 0.2193575, SHANNON_ENTROPY: 12.2209583, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.6153882198068288, 'l1_ratio': 0.6168291413690604} - results: ROC_AUC: 0.1328278, PRECISION: 0.0276209, PRECISION_RECALL_MIN_DEN: 0.1027068, RECALL: 0.0999713, MAP: 0.0450500, MRR: 0.0944212, NDCG: 0.0694077, F1: 0.0432786, HIT_RATE: 0.2762086, ARHR: 0.1060550, NOVELTY: 0.0049554, AVERAGE_POPULARITY: 0.0474449, DIVERSITY_MEAN_INTER_LIST: 0.9960041, DIVERSITY_HERFINDAHL: 0.9995815, COVERAGE_ITEM: 0.6011627, COVERAGE_ITEM_CORRECT: 0.0406699, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1437020, DIVERSITY_GINI: 0.2881146, SHANNON_ENTROPY: 12.9401807, 
