
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.07311216120435439, 'l1_ratio': 0.5677899093293516} - results: ROC_AUC: 0.1682021, PRECISION: 0.0350444, PRECISION_RECALL_MIN_DEN: 0.1345291, RECALL: 0.1315837, MAP: 0.0589829, MRR: 0.1192844, NDCG: 0.0905707, F1: 0.0553451, HIT_RATE: 0.3504438, ARHR: 0.1350623, NOVELTY: 0.0047828, AVERAGE_POPULARITY: 0.0935112, DIVERSITY_MEAN_INTER_LIST: 0.9880079, DIVERSITY_HERFINDAHL: 0.9987821, COVERAGE_ITEM: 0.4782368, COVERAGE_ITEM_CORRECT: 0.0448200, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1803196, DIVERSITY_GINI: 0.1726711, SHANNON_ENTROPY: 11.8407846, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.5246414336825198, 'l1_ratio': 0.4703426941025721} - results: ROC_AUC: 0.1445545, PRECISION: 0.0304867, PRECISION_RECALL_MIN_DEN: 0.1123413, RECALL: 0.1094797, MAP: 0.0490445, MRR: 0.1027046, NDCG: 0.0759450, F1: 0.0476889, HIT_RATE: 0.3048665, ARHR: 0.1163153, NOVELTY: 0.0049396, AVERAGE_POPULARITY: 0.0538977, DIVERSITY_MEAN_INTER_LIST: 0.9953321, DIVERSITY_HERFINDAHL: 0.9995143, COVERAGE_ITEM: 0.5880885, COVERAGE_ITEM_CORRECT: 0.0437575, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1566126, DIVERSITY_GINI: 0.2727482, SHANNON_ENTROPY: 12.8118297, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.6591639175747147, 'l1_ratio': 0.5079138225231217} - results: ROC_AUC: 0.1321543, PRECISION: 0.0278828, PRECISION_RECALL_MIN_DEN: 0.1020399, RECALL: 0.0992500, MAP: 0.0442672, MRR: 0.0933510, NDCG: 0.0686908, F1: 0.0435318, HIT_RATE: 0.2788278, ARHR: 0.1055328, NOVELTY: 0.0049767, AVERAGE_POPULARITY: 0.0436139, DIVERSITY_MEAN_INTER_LIST: 0.9964403, DIVERSITY_HERFINDAHL: 0.9996251, COVERAGE_ITEM: 0.6022791, COVERAGE_ITEM_CORRECT: 0.0418402, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1437524, DIVERSITY_GINI: 0.2902259, SHANNON_ENTROPY: 12.9773425, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.009826406486225571, 'l1_ratio': 0.44850444043374804} - results: ROC_AUC: 0.1630534, PRECISION: 0.0339263, PRECISION_RECALL_MIN_DEN: 0.1290503, RECALL: 0.1261743, MAP: 0.0567966, MRR: 0.1162675, NDCG: 0.0873432, F1: 0.0534703, HIT_RATE: 0.3392628, ARHR: 0.1313285, NOVELTY: 0.0047568, AVERAGE_POPULARITY: 0.1009273, DIVERSITY_MEAN_INTER_LIST: 0.9861173, DIVERSITY_HERFINDAHL: 0.9985930, COVERAGE_ITEM: 0.4520423, COVERAGE_ITEM_CORRECT: 0.0419557, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1750094, DIVERSITY_GINI: 0.1531959, SHANNON_ENTROPY: 11.6183039, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.2958247100736296, 'l1_ratio': 0.3411337226382422} - results: ROC_AUC: 0.1671722, PRECISION: 0.0348820, PRECISION_RECALL_MIN_DEN: 0.1321427, RECALL: 0.1290988, MAP: 0.0583462, MRR: 0.1192942, NDCG: 0.0895446, F1: 0.0549196, HIT_RATE: 0.3488204, ARHR: 0.1350527, NOVELTY: 0.0048320, AVERAGE_POPULARITY: 0.0831594, DIVERSITY_MEAN_INTER_LIST: 0.9904122, DIVERSITY_HERFINDAHL: 0.9990224, COVERAGE_ITEM: 0.5189220, COVERAGE_ITEM_CORRECT: 0.0458210, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1789354, DIVERSITY_GINI: 0.2038459, SHANNON_ENTROPY: 12.1491092, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.24773920391986787, 'l1_ratio': 0.9612565299363328} - results: ROC_AUC: 0.1336381, PRECISION: 0.0283640, PRECISION_RECALL_MIN_DEN: 0.1033614, RECALL: 0.1004961, MAP: 0.0440725, MRR: 0.0938487, NDCG: 0.0690246, F1: 0.0442385, HIT_RATE: 0.2836403, ARHR: 0.1061576, NOVELTY: 0.0049587, AVERAGE_POPULARITY: 0.0439943, DIVERSITY_MEAN_INTER_LIST: 0.9963867, DIVERSITY_HERFINDAHL: 0.9996198, COVERAGE_ITEM: 0.5988450, COVERAGE_ITEM_CORRECT: 0.0425486, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1464452, DIVERSITY_GINI: 0.2874318, SHANNON_ENTROPY: 12.9605210, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9927474263900768, 'l1_ratio': 0.469159214483549} - results: ROC_AUC: 0.1232486, PRECISION: 0.0257419, PRECISION_RECALL_MIN_DEN: 0.0949116, RECALL: 0.0922924, MAP: 0.0412057, MRR: 0.0869454, NDCG: 0.0638538, F1: 0.0402509, HIT_RATE: 0.2574189, ARHR: 0.0978388, NOVELTY: 0.0050031, AVERAGE_POPULARITY: 0.0377471, DIVERSITY_MEAN_INTER_LIST: 0.9968995, DIVERSITY_HERFINDAHL: 0.9996711, COVERAGE_ITEM: 0.6096092, COVERAGE_ITEM_CORRECT: 0.0402541, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1341890, DIVERSITY_GINI: 0.2993427, SHANNON_ENTROPY: 13.0584207, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6121155861377133, 'l1_ratio': 0.7503701069699512} - results: ROC_AUC: 0.1103275, PRECISION: 0.0233003, PRECISION_RECALL_MIN_DEN: 0.0856081, RECALL: 0.0831056, MAP: 0.0362752, MRR: 0.0770419, NDCG: 0.0567441, F1: 0.0363913, HIT_RATE: 0.2330030, ARHR: 0.0865497, NOVELTY: 0.0050206, AVERAGE_POPULARITY: 0.0288983, DIVERSITY_MEAN_INTER_LIST: 0.9974199, DIVERSITY_HERFINDAHL: 0.9997231, COVERAGE_ITEM: 0.6152685, COVERAGE_ITEM_CORRECT: 0.0388296, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1219831, DIVERSITY_GINI: 0.3088405, SHANNON_ENTROPY: 13.1502533, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.833632113423351, 'l1_ratio': 0.33325126513069986} - results: ROC_AUC: 0.1482721, PRECISION: 0.0312752, PRECISION_RECALL_MIN_DEN: 0.1149145, RECALL: 0.1119437, MAP: 0.0508925, MRR: 0.1061925, NDCG: 0.0782748, F1: 0.0488866, HIT_RATE: 0.3127515, ARHR: 0.1203729, NOVELTY: 0.0049339, AVERAGE_POPULARITY: 0.0591300, DIVERSITY_MEAN_INTER_LIST: 0.9946520, DIVERSITY_HERFINDAHL: 0.9994463, COVERAGE_ITEM: 0.5813359, COVERAGE_ITEM_CORRECT: 0.0439423, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1597584, DIVERSITY_GINI: 0.2639994, SHANNON_ENTROPY: 12.7217423, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.024180021223733868, 'l1_ratio': 0.9159253961738226} - results: ROC_AUC: 0.1660754, PRECISION: 0.0346310, PRECISION_RECALL_MIN_DEN: 0.1325259, RECALL: 0.1295957, MAP: 0.0581847, MRR: 0.1177163, NDCG: 0.0893236, F1: 0.0546516, HIT_RATE: 0.3463098, ARHR: 0.1332714, NOVELTY: 0.0047664, AVERAGE_POPULARITY: 0.0973524, DIVERSITY_MEAN_INTER_LIST: 0.9870364, DIVERSITY_HERFINDAHL: 0.9986849, COVERAGE_ITEM: 0.4644774, COVERAGE_ITEM_CORRECT: 0.0436805, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1782559, DIVERSITY_GINI: 0.1624781, SHANNON_ENTROPY: 11.7270023, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.5446549637948801, 'l1_ratio': 0.7270090639282742} - results: ROC_AUC: 0.1170036, PRECISION: 0.0246762, PRECISION_RECALL_MIN_DEN: 0.0903493, RECALL: 0.0877008, MAP: 0.0385401, MRR: 0.0820049, NDCG: 0.0601483, F1: 0.0385104, HIT_RATE: 0.2467618, ARHR: 0.0923753, NOVELTY: 0.0050087, AVERAGE_POPULARITY: 0.0324526, DIVERSITY_MEAN_INTER_LIST: 0.9972510, DIVERSITY_HERFINDAHL: 0.9997062, COVERAGE_ITEM: 0.6126429, COVERAGE_ITEM_CORRECT: 0.0398306, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1284510, DIVERSITY_GINI: 0.3046516, SHANNON_ENTROPY: 13.1140462, 
