
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.46504373105064867, 'l1_ratio': 0.769305000580017} - results: ROC_AUC: 0.1434873, PRECISION: 0.0297014, PRECISION_RECALL_MIN_DEN: 0.1099154, RECALL: 0.1070418, MAP: 0.0489793, MRR: 0.1023086, NDCG: 0.0750752, F1: 0.0464968, HIT_RATE: 0.2970144, ARHR: 0.1153871, NOVELTY: 0.0049204, AVERAGE_POPULARITY: 0.0600754, DIVERSITY_MEAN_INTER_LIST: 0.9944046, DIVERSITY_HERFINDAHL: 0.9994216, COVERAGE_ITEM: 0.5876266, COVERAGE_ITEM_CORRECT: 0.0412782, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1533157, DIVERSITY_GINI: 0.2697329, SHANNON_ENTROPY: 12.7451137, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.1597931335828127, 'l1_ratio': 0.7806739764636341} - results: ROC_AUC: 0.1484731, PRECISION: 0.0302378, PRECISION_RECALL_MIN_DEN: 0.1132031, RECALL: 0.1104513, MAP: 0.0508818, MRR: 0.1067503, NDCG: 0.0778160, F1: 0.0474743, HIT_RATE: 0.3023776, ARHR: 0.1197070, NOVELTY: 0.0048358, AVERAGE_POPULARITY: 0.1012366, DIVERSITY_MEAN_INTER_LIST: 0.9860490, DIVERSITY_HERFINDAHL: 0.9985862, COVERAGE_ITEM: 0.4838422, COVERAGE_ITEM_CORRECT: 0.0356189, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1575186, DIVERSITY_GINI: 0.1774278, SHANNON_ENTROPY: 11.8202160, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.7022431966248123, 'l1_ratio': 0.7112107845074876} - results: ROC_AUC: 0.1219064, PRECISION: 0.0251915, PRECISION_RECALL_MIN_DEN: 0.0934089, RECALL: 0.0908349, MAP: 0.0409106, MRR: 0.0861301, NDCG: 0.0631070, F1: 0.0394386, HIT_RATE: 0.2519145, ARHR: 0.0965365, NOVELTY: 0.0049926, AVERAGE_POPULARITY: 0.0383660, DIVERSITY_MEAN_INTER_LIST: 0.9968212, DIVERSITY_HERFINDAHL: 0.9996632, COVERAGE_ITEM: 0.6094090, COVERAGE_ITEM_CORRECT: 0.0393301, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1320247, DIVERSITY_GINI: 0.2994818, SHANNON_ENTROPY: 13.0548349, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.10629454526506946, 'l1_ratio': 0.6783410574201035} - results: ROC_AUC: 0.1405998, PRECISION: 0.0284185, PRECISION_RECALL_MIN_DEN: 0.1062777, RECALL: 0.1036242, MAP: 0.0474432, MRR: 0.1008445, NDCG: 0.0728691, F1: 0.0446002, HIT_RATE: 0.2841847, ARHR: 0.1125984, NOVELTY: 0.0048328, AVERAGE_POPULARITY: 0.1063153, DIVERSITY_MEAN_INTER_LIST: 0.9846781, DIVERSITY_HERFINDAHL: 0.9984491, COVERAGE_ITEM: 0.4557382, COVERAGE_ITEM_CORRECT: 0.0317074, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1494904, DIVERSITY_GINI: 0.1611141, SHANNON_ENTROPY: 11.6657087, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.5300998721857431, 'l1_ratio': 0.684595932826197} - results: ROC_AUC: 0.1425868, PRECISION: 0.0295764, PRECISION_RECALL_MIN_DEN: 0.1098070, RECALL: 0.1069851, MAP: 0.0486274, MRR: 0.1017026, NDCG: 0.0747362, F1: 0.0463384, HIT_RATE: 0.2957643, ARHR: 0.1146664, NOVELTY: 0.0049272, AVERAGE_POPULARITY: 0.0580041, DIVERSITY_MEAN_INTER_LIST: 0.9947063, DIVERSITY_HERFINDAHL: 0.9994518, COVERAGE_ITEM: 0.5898441, COVERAGE_ITEM_CORRECT: 0.0414937, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1528375, DIVERSITY_GINI: 0.2723815, SHANNON_ENTROPY: 12.7756974, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.2723716281454653, 'l1_ratio': 0.6667422664956603} - results: ROC_AUC: 0.1548507, PRECISION: 0.0316519, PRECISION_RECALL_MIN_DEN: 0.1185532, RECALL: 0.1156661, MAP: 0.0533179, MRR: 0.1112855, NDCG: 0.0814303, F1: 0.0496970, HIT_RATE: 0.3165193, ARHR: 0.1253008, NOVELTY: 0.0048439, AVERAGE_POPULARITY: 0.0928024, DIVERSITY_MEAN_INTER_LIST: 0.9881870, DIVERSITY_HERFINDAHL: 0.9988000, COVERAGE_ITEM: 0.5181367, COVERAGE_ITEM_CORRECT: 0.0391838, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1635334, DIVERSITY_GINI: 0.2007442, SHANNON_ENTROPY: 12.0449918, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.69347378558168, 'l1_ratio': 0.16696049737767385} - results: ROC_AUC: 0.1585414, PRECISION: 0.0328118, PRECISION_RECALL_MIN_DEN: 0.1230058, RECALL: 0.1200412, MAP: 0.0552474, MRR: 0.1141909, NDCG: 0.0843008, F1: 0.0515336, HIT_RATE: 0.3281179, ARHR: 0.1289383, NOVELTY: 0.0048280, AVERAGE_POPULARITY: 0.0996411, DIVERSITY_MEAN_INTER_LIST: 0.9866986, DIVERSITY_HERFINDAHL: 0.9986512, COVERAGE_ITEM: 0.4768354, COVERAGE_ITEM_CORRECT: 0.0393532, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1687681, DIVERSITY_GINI: 0.1698435, SHANNON_ENTROPY: 11.7609984, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6592290247159217, 'l1_ratio': 0.3587294740541683} - results: ROC_AUC: 0.1587767, PRECISION: 0.0328734, PRECISION_RECALL_MIN_DEN: 0.1223950, RECALL: 0.1194123, MAP: 0.0551068, MRR: 0.1139450, NDCG: 0.0840752, F1: 0.0515490, HIT_RATE: 0.3287339, ARHR: 0.1289529, NOVELTY: 0.0048747, AVERAGE_POPULARITY: 0.0783990, DIVERSITY_MEAN_INTER_LIST: 0.9913550, DIVERSITY_HERFINDAHL: 0.9991167, COVERAGE_ITEM: 0.5528932, COVERAGE_ITEM_CORRECT: 0.0428720, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1682648, DIVERSITY_GINI: 0.2306667, SHANNON_ENTROPY: 12.3547478, 
