
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.21618785739919139, 'l1_ratio': 0.3873310669556129} - results: ROC_AUC: 0.1661765, PRECISION: 0.0345866, PRECISION_RECALL_MIN_DEN: 0.1310886, RECALL: 0.1280791, MAP: 0.0578900, MRR: 0.1184405, NDCG: 0.0888557, F1: 0.0544617, HIT_RATE: 0.3458656, ARHR: 0.1340797, NOVELTY: 0.0047949, AVERAGE_POPULARITY: 0.0879329, DIVERSITY_MEAN_INTER_LIST: 0.9891668, DIVERSITY_HERFINDAHL: 0.9988979, COVERAGE_ITEM: 0.5108912, COVERAGE_ITEM_CORRECT: 0.0448354, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1772744, DIVERSITY_GINI: 0.1966448, SHANNON_ENTROPY: 12.0476074, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.7882422644448868, 'l1_ratio': 0.43280310778650555} - results: ROC_AUC: 0.1319581, PRECISION: 0.0280568, PRECISION_RECALL_MIN_DEN: 0.1023732, RECALL: 0.0995723, MAP: 0.0440306, MRR: 0.0936741, NDCG: 0.0686856, F1: 0.0437749, HIT_RATE: 0.2805679, ARHR: 0.1059287, NOVELTY: 0.0049221, AVERAGE_POPULARITY: 0.0537507, DIVERSITY_MEAN_INTER_LIST: 0.9951314, DIVERSITY_HERFINDAHL: 0.9994943, COVERAGE_ITEM: 0.5946949, COVERAGE_ITEM_CORRECT: 0.0401463, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1443564, DIVERSITY_GINI: 0.2787574, SHANNON_ENTROPY: 12.8286772, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.24199225312828626, 'l1_ratio': 0.8222419038979359} - results: ROC_AUC: 0.1426814, PRECISION: 0.0303088, PRECISION_RECALL_MIN_DEN: 0.1115032, RECALL: 0.1085289, MAP: 0.0479091, MRR: 0.1009822, NDCG: 0.0746627, F1: 0.0473813, HIT_RATE: 0.3030884, ARHR: 0.1143283, NOVELTY: 0.0049238, AVERAGE_POPULARITY: 0.0530881, DIVERSITY_MEAN_INTER_LIST: 0.9953897, DIVERSITY_HERFINDAHL: 0.9995201, COVERAGE_ITEM: 0.5872955, COVERAGE_ITEM_CORRECT: 0.0434649, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1557317, DIVERSITY_GINI: 0.2730644, SHANNON_ENTROPY: 12.8178536, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.603044982231783, 'l1_ratio': 0.2157556958582521} - results: ROC_AUC: 0.1611250, PRECISION: 0.0333002, PRECISION_RECALL_MIN_DEN: 0.1250712, RECALL: 0.1220895, MAP: 0.0561708, MRR: 0.1155761, NDCG: 0.0856886, F1: 0.0523237, HIT_RATE: 0.3330024, ARHR: 0.1307080, NOVELTY: 0.0047853, AVERAGE_POPULARITY: 0.0916996, DIVERSITY_MEAN_INTER_LIST: 0.9879895, DIVERSITY_HERFINDAHL: 0.9987802, COVERAGE_ITEM: 0.5186833, COVERAGE_ITEM_CORRECT: 0.0426641, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1704794, DIVERSITY_GINI: 0.1995296, SHANNON_ENTROPY: 12.0079458, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.10411548498200332, 'l1_ratio': 0.5669818963584404} - results: ROC_AUC: 0.1674986, PRECISION: 0.0350563, PRECISION_RECALL_MIN_DEN: 0.1340829, RECALL: 0.1311245, MAP: 0.0585545, MRR: 0.1189997, NDCG: 0.0901406, F1: 0.0553181, HIT_RATE: 0.3505633, ARHR: 0.1347631, NOVELTY: 0.0047881, AVERAGE_POPULARITY: 0.0901479, DIVERSITY_MEAN_INTER_LIST: 0.9887314, DIVERSITY_HERFINDAHL: 0.9988544, COVERAGE_ITEM: 0.4952146, COVERAGE_ITEM_CORRECT: 0.0453744, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1799673, DIVERSITY_GINI: 0.1854168, SHANNON_ENTROPY: 11.9587879, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.081109814821429, 'l1_ratio': 0.861279329001141} - results: ROC_AUC: 0.1655853, PRECISION: 0.0347378, PRECISION_RECALL_MIN_DEN: 0.1316705, RECALL: 0.1286851, MAP: 0.0575799, MRR: 0.1175595, NDCG: 0.0887078, F1: 0.0547048, HIT_RATE: 0.3473783, ARHR: 0.1332240, NOVELTY: 0.0048028, AVERAGE_POPULARITY: 0.0848367, DIVERSITY_MEAN_INTER_LIST: 0.9899246, DIVERSITY_HERFINDAHL: 0.9989737, COVERAGE_ITEM: 0.5108989, COVERAGE_ITEM_CORRECT: 0.0455053, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1780546, DIVERSITY_GINI: 0.1982772, SHANNON_ENTROPY: 12.0970575, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.2601019006242313, 'l1_ratio': 0.14311696929486398} - results: ROC_AUC: 0.1661025, PRECISION: 0.0343800, PRECISION_RECALL_MIN_DEN: 0.1313421, RECALL: 0.1284309, MAP: 0.0582522, MRR: 0.1184166, NDCG: 0.0891223, F1: 0.0542356, HIT_RATE: 0.3437996, ARHR: 0.1340132, NOVELTY: 0.0047657, AVERAGE_POPULARITY: 0.1027611, DIVERSITY_MEAN_INTER_LIST: 0.9855533, DIVERSITY_HERFINDAHL: 0.9985367, COVERAGE_ITEM: 0.4576631, COVERAGE_ITEM_CORRECT: 0.0427026, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1768718, DIVERSITY_GINI: 0.1559984, SHANNON_ENTROPY: 11.6159988, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.20715201670951994, 'l1_ratio': 0.11360035015820383} - results: ROC_AUC: 0.1649950, PRECISION: 0.0339627, PRECISION_RECALL_MIN_DEN: 0.1295636, RECALL: 0.1266807, MAP: 0.0576483, MRR: 0.1176442, NDCG: 0.0881684, F1: 0.0535588, HIT_RATE: 0.3396269, ARHR: 0.1329302, NOVELTY: 0.0047619, AVERAGE_POPULARITY: 0.1040415, DIVERSITY_MEAN_INTER_LIST: 0.9852461, DIVERSITY_HERFINDAHL: 0.9985059, COVERAGE_ITEM: 0.4498864, COVERAGE_ITEM_CORRECT: 0.0418864, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1750346, DIVERSITY_GINI: 0.1510961, SHANNON_ENTROPY: 11.5674260, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5124329782008383, 'l1_ratio': 0.7557636414854785} - results: ROC_AUC: 0.1170004, PRECISION: 0.0246724, PRECISION_RECALL_MIN_DEN: 0.0901037, RECALL: 0.0874648, MAP: 0.0382337, MRR: 0.0815655, NDCG: 0.0598706, F1: 0.0384824, HIT_RATE: 0.2467235, ARHR: 0.0919173, NOVELTY: 0.0049961, AVERAGE_POPULARITY: 0.0342215, DIVERSITY_MEAN_INTER_LIST: 0.9971486, DIVERSITY_HERFINDAHL: 0.9996960, COVERAGE_ITEM: 0.6113109, COVERAGE_ITEM_CORRECT: 0.0392993, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1284258, DIVERSITY_GINI: 0.3028268, SHANNON_ENTROPY: 13.0950768, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.6359903993435082, 'l1_ratio': 0.8316638202184531} - results: ROC_AUC: 0.1032654, PRECISION: 0.0217351, PRECISION_RECALL_MIN_DEN: 0.0803232, RECALL: 0.0779662, MAP: 0.0337802, MRR: 0.0721319, NDCG: 0.0529833, F1: 0.0339881, HIT_RATE: 0.2173507, ARHR: 0.0806420, NOVELTY: 0.0050261, AVERAGE_POPULARITY: 0.0260476, DIVERSITY_MEAN_INTER_LIST: 0.9975273, DIVERSITY_HERFINDAHL: 0.9997338, COVERAGE_ITEM: 0.6171242, COVERAGE_ITEM_CORRECT: 0.0373205, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1147855, DIVERSITY_GINI: 0.3117506, SHANNON_ENTROPY: 13.1748129, 
