
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.47055534781739405, 'l1_ratio': 0.2507001149987775} - results: ROC_AUC: 0.1599800, PRECISION: 0.0330125, PRECISION_RECALL_MIN_DEN: 0.1242693, RECALL: 0.1213579, MAP: 0.0560305, MRR: 0.1153168, NDCG: 0.0853287, F1: 0.0519020, HIT_RATE: 0.3301248, ARHR: 0.1303205, NOVELTY: 0.0048240, AVERAGE_POPULARITY: 0.0990222, DIVERSITY_MEAN_INTER_LIST: 0.9864680, DIVERSITY_HERFINDAHL: 0.9986281, COVERAGE_ITEM: 0.4872531, COVERAGE_ITEM_CORRECT: 0.0405005, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1693721, DIVERSITY_GINI: 0.1726836, SHANNON_ENTROPY: 11.7536734, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9746056828854073, 'l1_ratio': 0.6001312129132436} - results: ROC_AUC: 0.1088791, PRECISION: 0.0227961, PRECISION_RECALL_MIN_DEN: 0.0842203, RECALL: 0.0818302, MAP: 0.0358161, MRR: 0.0764696, NDCG: 0.0560307, F1: 0.0356547, HIT_RATE: 0.2279612, ARHR: 0.0855971, NOVELTY: 0.0050039, AVERAGE_POPULARITY: 0.0326408, DIVERSITY_MEAN_INTER_LIST: 0.9970973, DIVERSITY_HERFINDAHL: 0.9996908, COVERAGE_ITEM: 0.6130279, COVERAGE_ITEM_CORRECT: 0.0371280, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1200453, DIVERSITY_GINI: 0.3048090, SHANNON_ENTROPY: 13.1028500, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9785344440135301, 'l1_ratio': 0.9289296353634214} - results: ROC_AUC: 0.0891575, PRECISION: 0.0183952, PRECISION_RECALL_MIN_DEN: 0.0694512, RECALL: 0.0675353, MAP: 0.0289834, MRR: 0.0610992, NDCG: 0.0455326, F1: 0.0289105, HIT_RATE: 0.1839524, ARHR: 0.0677114, NOVELTY: 0.0050458, AVERAGE_POPULARITY: 0.0197416, DIVERSITY_MEAN_INTER_LIST: 0.9975818, DIVERSITY_HERFINDAHL: 0.9997393, COVERAGE_ITEM: 0.6207815, COVERAGE_ITEM_CORRECT: 0.0341405, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0987794, DIVERSITY_GINI: 0.3168240, SHANNON_ENTROPY: 13.2093761, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.395409840672969, 'l1_ratio': 0.9155998967240542} - results: ROC_AUC: 0.1389228, PRECISION: 0.0293004, PRECISION_RECALL_MIN_DEN: 0.1078539, RECALL: 0.1050099, MAP: 0.0471869, MRR: 0.0990776, NDCG: 0.0729284, F1: 0.0458140, HIT_RATE: 0.2930040, ARHR: 0.1121033, NOVELTY: 0.0049621, AVERAGE_POPULARITY: 0.0509266, DIVERSITY_MEAN_INTER_LIST: 0.9955483, DIVERSITY_HERFINDAHL: 0.9995360, COVERAGE_ITEM: 0.5944100, COVERAGE_ITEM_CORRECT: 0.0425640, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1508997, DIVERSITY_GINI: 0.2790397, SHANNON_ENTROPY: 12.8584564, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.5383089773399061, 'l1_ratio': 0.3209256694516029} - results: ROC_AUC: 0.1616211, PRECISION: 0.0332476, PRECISION_RECALL_MIN_DEN: 0.1239889, RECALL: 0.1210244, MAP: 0.0564507, MRR: 0.1165854, NDCG: 0.0857805, F1: 0.0521580, HIT_RATE: 0.3324764, ARHR: 0.1317818, NOVELTY: 0.0048343, AVERAGE_POPULARITY: 0.0895031, DIVERSITY_MEAN_INTER_LIST: 0.9886373, DIVERSITY_HERFINDAHL: 0.9988450, COVERAGE_ITEM: 0.5229413, COVERAGE_ITEM_CORRECT: 0.0424793, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1696993, DIVERSITY_GINI: 0.2010184, SHANNON_ENTROPY: 12.0374846, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.5606730578524796, 'l1_ratio': 0.5378579896094713} - results: ROC_AUC: 0.1466520, PRECISION: 0.0308571, PRECISION_RECALL_MIN_DEN: 0.1131734, RECALL: 0.1102803, MAP: 0.0502277, MRR: 0.1051331, NDCG: 0.0772530, F1: 0.0482185, HIT_RATE: 0.3085709, ARHR: 0.1191895, NOVELTY: 0.0049089, AVERAGE_POPULARITY: 0.0633609, DIVERSITY_MEAN_INTER_LIST: 0.9937392, DIVERSITY_HERFINDAHL: 0.9993551, COVERAGE_ITEM: 0.5793186, COVERAGE_ITEM_CORRECT: 0.0425024, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1576696, DIVERSITY_GINI: 0.2597660, SHANNON_ENTROPY: 12.6427322, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.2262308307858905, 'l1_ratio': 0.9011124062089345} - results: ROC_AUC: 0.1617958, PRECISION: 0.0335212, PRECISION_RECALL_MIN_DEN: 0.1246711, RECALL: 0.1216632, MAP: 0.0561431, MRR: 0.1160474, NDCG: 0.0857191, F1: 0.0525554, HIT_RATE: 0.3352125, ARHR: 0.1314635, NOVELTY: 0.0048845, AVERAGE_POPULARITY: 0.0797613, DIVERSITY_MEAN_INTER_LIST: 0.9910627, DIVERSITY_HERFINDAHL: 0.9990875, COVERAGE_ITEM: 0.5416285, COVERAGE_ITEM_CORRECT: 0.0438576, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1711086, DIVERSITY_GINI: 0.2189365, SHANNON_ENTROPY: 12.2626701, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.009444997183889027, 'l1_ratio': 0.3663945917204268} - results: ROC_AUC: 0.1448273, PRECISION: 0.0294089, PRECISION_RECALL_MIN_DEN: 0.1083288, RECALL: 0.1055864, MAP: 0.0490314, MRR: 0.1040828, NDCG: 0.0750316, F1: 0.0460031, HIT_RATE: 0.2940890, ARHR: 0.1169141, NOVELTY: 0.0048187, AVERAGE_POPULARITY: 0.1046359, DIVERSITY_MEAN_INTER_LIST: 0.9852388, DIVERSITY_HERFINDAHL: 0.9985052, COVERAGE_ITEM: 0.4575322, COVERAGE_ITEM_CORRECT: 0.0327007, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1529130, DIVERSITY_GINI: 0.1519560, SHANNON_ENTROPY: 11.5453113, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.15986715175014402, 'l1_ratio': 0.3925366483378596} - results: ROC_AUC: 0.1532544, PRECISION: 0.0313568, PRECISION_RECALL_MIN_DEN: 0.1159087, RECALL: 0.1130282, MAP: 0.0525052, MRR: 0.1103331, NDCG: 0.0802005, F1: 0.0490901, HIT_RATE: 0.3135680, ARHR: 0.1242905, NOVELTY: 0.0048278, AVERAGE_POPULARITY: 0.1026454, DIVERSITY_MEAN_INTER_LIST: 0.9857804, DIVERSITY_HERFINDAHL: 0.9985594, COVERAGE_ITEM: 0.4631761, COVERAGE_ITEM_CORRECT: 0.0366198, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1619227, DIVERSITY_GINI: 0.1567600, SHANNON_ENTROPY: 11.6086087, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.8140686090830908, 'l1_ratio': 0.42109827050173154} - results: ROC_AUC: 0.1383993, PRECISION: 0.0292615, PRECISION_RECALL_MIN_DEN: 0.1068049, RECALL: 0.1039524, MAP: 0.0467602, MRR: 0.0990079, NDCG: 0.0724297, F1: 0.0456652, HIT_RATE: 0.2926152, ARHR: 0.1119953, NOVELTY: 0.0049085, AVERAGE_POPULARITY: 0.0595027, DIVERSITY_MEAN_INTER_LIST: 0.9941930, DIVERSITY_HERFINDAHL: 0.9994005, COVERAGE_ITEM: 0.5879038, COVERAGE_ITEM_CORRECT: 0.0408701, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1502202, DIVERSITY_GINI: 0.2693216, SHANNON_ENTROPY: 12.7212600, 
