
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.17044257857812609, 'l1_ratio': 0.5595383596789154} - results: ROC_AUC: 0.1453100, PRECISION: 0.0294987, PRECISION_RECALL_MIN_DEN: 0.1105592, RECALL: 0.1078701, MAP: 0.0493193, MRR: 0.1040364, NDCG: 0.0757205, F1: 0.0463250, HIT_RATE: 0.2949874, ARHR: 0.1164713, NOVELTY: 0.0048423, AVERAGE_POPULARITY: 0.1045563, DIVERSITY_MEAN_INTER_LIST: 0.9850125, DIVERSITY_HERFINDAHL: 0.9984826, COVERAGE_ITEM: 0.4774129, COVERAGE_ITEM_CORRECT: 0.0338171, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1544231, DIVERSITY_GINI: 0.1725197, SHANNON_ENTROPY: 11.7452135, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.2996029257365163, 'l1_ratio': 0.8033316611326402} - results: ROC_AUC: 0.1549963, PRECISION: 0.0317059, PRECISION_RECALL_MIN_DEN: 0.1183293, RECALL: 0.1154304, MAP: 0.0532862, MRR: 0.1110647, NDCG: 0.0813301, F1: 0.0497432, HIT_RATE: 0.3170591, ARHR: 0.1251000, NOVELTY: 0.0048594, AVERAGE_POPULARITY: 0.0832823, DIVERSITY_MEAN_INTER_LIST: 0.9902197, DIVERSITY_HERFINDAHL: 0.9990032, COVERAGE_ITEM: 0.5507834, COVERAGE_ITEM_CORRECT: 0.0405544, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1639361, DIVERSITY_GINI: 0.2280690, SHANNON_ENTROPY: 12.2962820, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.09479030154370285, 'l1_ratio': 0.7975129664344457} - results: ROC_AUC: 0.1408120, PRECISION: 0.0284145, PRECISION_RECALL_MIN_DEN: 0.1060671, RECALL: 0.1034302, MAP: 0.0474478, MRR: 0.1007997, NDCG: 0.0728454, F1: 0.0445780, HIT_RATE: 0.2841454, ARHR: 0.1125969, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.1055241, DIVERSITY_MEAN_INTER_LIST: 0.9847668, DIVERSITY_HERFINDAHL: 0.9984580, COVERAGE_ITEM: 0.4692127, COVERAGE_ITEM_CORRECT: 0.0317459, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1492639, DIVERSITY_GINI: 0.1685464, SHANNON_ENTROPY: 11.7158086, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.15733623691953716, 'l1_ratio': 0.024331049806801903} - results: ROC_AUC: 0.1331974, PRECISION: 0.0263792, PRECISION_RECALL_MIN_DEN: 0.0972482, RECALL: 0.0947701, MAP: 0.0439145, MRR: 0.0944945, NDCG: 0.0674168, F1: 0.0412670, HIT_RATE: 0.2637924, ARHR: 0.1051875, NOVELTY: 0.0048495, AVERAGE_POPULARITY: 0.1101554, DIVERSITY_MEAN_INTER_LIST: 0.9833004, DIVERSITY_HERFINDAHL: 0.9983114, COVERAGE_ITEM: 0.4625063, COVERAGE_ITEM_CORRECT: 0.0275419, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1398515, DIVERSITY_GINI: 0.1610244, SHANNON_ENTROPY: 11.5977483, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3428283109977381, 'l1_ratio': 0.23874437129426623} - results: ROC_AUC: 0.1479596, PRECISION: 0.0300976, PRECISION_RECALL_MIN_DEN: 0.1130487, RECALL: 0.1103513, MAP: 0.0503231, MRR: 0.1056352, NDCG: 0.0772860, F1: 0.0472919, HIT_RATE: 0.3009760, ARHR: 0.1184589, NOVELTY: 0.0048253, AVERAGE_POPULARITY: 0.1074440, DIVERSITY_MEAN_INTER_LIST: 0.9841334, DIVERSITY_HERFINDAHL: 0.9983947, COVERAGE_ITEM: 0.4710837, COVERAGE_ITEM_CORRECT: 0.0340866, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1573676, DIVERSITY_GINI: 0.1663469, SHANNON_ENTROPY: 11.6547664, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8027950674949088, 'l1_ratio': 0.7991306685037999} - results: ROC_AUC: 0.1057072, PRECISION: 0.0218110, PRECISION_RECALL_MIN_DEN: 0.0814801, RECALL: 0.0792416, MAP: 0.0347784, MRR: 0.0735256, NDCG: 0.0542015, F1: 0.0342025, HIT_RATE: 0.2181102, ARHR: 0.0819734, NOVELTY: 0.0050204, AVERAGE_POPULARITY: 0.0285060, DIVERSITY_MEAN_INTER_LIST: 0.9974138, DIVERSITY_HERFINDAHL: 0.9997225, COVERAGE_ITEM: 0.6167315, COVERAGE_ITEM_CORRECT: 0.0367892, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1156915, DIVERSITY_GINI: 0.3102616, SHANNON_ENTROPY: 13.1561813, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.17804411635078402, 'l1_ratio': 0.45553744146301933} - results: ROC_AUC: 0.1436711, PRECISION: 0.0290893, PRECISION_RECALL_MIN_DEN: 0.1087996, RECALL: 0.1061483, MAP: 0.0485918, MRR: 0.1027330, NDCG: 0.0746100, F1: 0.0456610, HIT_RATE: 0.2908931, ARHR: 0.1149060, NOVELTY: 0.0048415, AVERAGE_POPULARITY: 0.1059663, DIVERSITY_MEAN_INTER_LIST: 0.9846090, DIVERSITY_HERFINDAHL: 0.9984422, COVERAGE_ITEM: 0.4714841, COVERAGE_ITEM_CORRECT: 0.0329240, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1524349, DIVERSITY_GINI: 0.1687766, SHANNON_ENTROPY: 11.7043272, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.6163703890196234, 'l1_ratio': 0.16595871580413327} - results: ROC_AUC: 0.1557925, PRECISION: 0.0320799, PRECISION_RECALL_MIN_DEN: 0.1207666, RECALL: 0.1179130, MAP: 0.0544006, MRR: 0.1120948, NDCG: 0.0828686, F1: 0.0504338, HIT_RATE: 0.3207987, ARHR: 0.1262855, NOVELTY: 0.0047960, AVERAGE_POPULARITY: 0.1074501, DIVERSITY_MEAN_INTER_LIST: 0.9840180, DIVERSITY_HERFINDAHL: 0.9983832, COVERAGE_ITEM: 0.4807931, COVERAGE_ITEM_CORRECT: 0.0377440, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1656977, DIVERSITY_GINI: 0.1683988, SHANNON_ENTROPY: 11.6431822, 

