
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8502540489959038, 'l1_ratio': 0.9741880864564246} - results: ROC_AUC: 0.0915339, PRECISION: 0.0189485, PRECISION_RECALL_MIN_DEN: 0.0713833, RECALL: 0.0694108, MAP: 0.0298063, MRR: 0.0627309, NDCG: 0.0468155, F1: 0.0297659, HIT_RATE: 0.1894846, ARHR: 0.0695966, NOVELTY: 0.0050454, AVERAGE_POPULARITY: 0.0205961, DIVERSITY_MEAN_INTER_LIST: 0.9975641, DIVERSITY_HERFINDAHL: 0.9997375, COVERAGE_ITEM: 0.6201270, COVERAGE_ITEM_CORRECT: 0.0348566, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1015226, DIVERSITY_GINI: 0.3160254, SHANNON_ENTROPY: 13.2038585, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.21940511946714386, 'l1_ratio': 0.7618768184516417} - results: ROC_AUC: 0.1630356, PRECISION: 0.0337029, PRECISION_RECALL_MIN_DEN: 0.1263270, RECALL: 0.1233498, MAP: 0.0567991, MRR: 0.1169730, NDCG: 0.0866687, F1: 0.0529365, HIT_RATE: 0.3370287, ARHR: 0.1324434, NOVELTY: 0.0048567, AVERAGE_POPULARITY: 0.0868331, DIVERSITY_MEAN_INTER_LIST: 0.9896497, DIVERSITY_HERFINDAHL: 0.9989462, COVERAGE_ITEM: 0.5143176, COVERAGE_ITEM_CORRECT: 0.0432108, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1721656, DIVERSITY_GINI: 0.1969136, SHANNON_ENTROPY: 12.0612640, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.7817877474301138, 'l1_ratio': 0.8953469870105836} - results: ROC_AUC: 0.0960017, PRECISION: 0.0199950, PRECISION_RECALL_MIN_DEN: 0.0749733, RECALL: 0.0728910, MAP: 0.0315209, MRR: 0.0661468, NDCG: 0.0493595, F1: 0.0313775, HIT_RATE: 0.1999496, ARHR: 0.0735469, NOVELTY: 0.0050421, AVERAGE_POPULARITY: 0.0227571, DIVERSITY_MEAN_INTER_LIST: 0.9975120, DIVERSITY_HERFINDAHL: 0.9997323, COVERAGE_ITEM: 0.6189875, COVERAGE_ITEM_CORRECT: 0.0359346, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1069334, DIVERSITY_GINI: 0.3140683, SHANNON_ENTROPY: 13.1892433, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.29906902874714486, 'l1_ratio': 0.9977987888850826} - results: ROC_AUC: 0.1488954, PRECISION: 0.0313046, PRECISION_RECALL_MIN_DEN: 0.1149635, RECALL: 0.1120089, MAP: 0.0512867, MRR: 0.1067336, NDCG: 0.0786473, F1: 0.0489290, HIT_RATE: 0.3130463, ARHR: 0.1210005, NOVELTY: 0.0049315, AVERAGE_POPULARITY: 0.0609483, DIVERSITY_MEAN_INTER_LIST: 0.9942888, DIVERSITY_HERFINDAHL: 0.9994100, COVERAGE_ITEM: 0.5778710, COVERAGE_ITEM_CORRECT: 0.0437267, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1598591, DIVERSITY_GINI: 0.2597599, SHANNON_ENTROPY: 12.6770967, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.46449106510622395, 'l1_ratio': 0.022076848849082457} - results: ROC_AUC: 0.1452559, PRECISION: 0.0293975, PRECISION_RECALL_MIN_DEN: 0.1081765, RECALL: 0.1054200, MAP: 0.0493046, MRR: 0.1042041, NDCG: 0.0751808, F1: 0.0459727, HIT_RATE: 0.2939751, ARHR: 0.1171062, NOVELTY: 0.0047594, AVERAGE_POPULARITY: 0.1108533, DIVERSITY_MEAN_INTER_LIST: 0.9833636, DIVERSITY_HERFINDAHL: 0.9983177, COVERAGE_ITEM: 0.4193032, COVERAGE_ITEM_CORRECT: 0.0324158, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1530137, DIVERSITY_GINI: 0.1314045, SHANNON_ENTROPY: 11.3299069, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.054048389145053735, 'l1_ratio': 0.4028932542355548} - results: ROC_AUC: 0.1470977, PRECISION: 0.0298751, PRECISION_RECALL_MIN_DEN: 0.1105398, RECALL: 0.1077595, MAP: 0.0499750, MRR: 0.1054499, NDCG: 0.0764044, F1: 0.0467785, HIT_RATE: 0.2987514, ARHR: 0.1185598, NOVELTY: 0.0047892, AVERAGE_POPULARITY: 0.1058895, DIVERSITY_MEAN_INTER_LIST: 0.9850546, DIVERSITY_HERFINDAHL: 0.9984868, COVERAGE_ITEM: 0.4304293, COVERAGE_ITEM_CORRECT: 0.0335014, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1553039, DIVERSITY_GINI: 0.1394112, SHANNON_ENTROPY: 11.4625383, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.12411428262464133, 'l1_ratio': 0.00950230739053315} - results: ROC_AUC: 0.1445058, PRECISION: 0.0293104, PRECISION_RECALL_MIN_DEN: 0.1081717, RECALL: 0.1054260, MAP: 0.0490229, MRR: 0.1037789, NDCG: 0.0749150, F1: 0.0458669, HIT_RATE: 0.2931043, ARHR: 0.1165296, NOVELTY: 0.0047785, AVERAGE_POPULARITY: 0.1075031, DIVERSITY_MEAN_INTER_LIST: 0.9845432, DIVERSITY_HERFINDAHL: 0.9984357, COVERAGE_ITEM: 0.4258094, COVERAGE_ITEM_CORRECT: 0.0323773, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1526110, DIVERSITY_GINI: 0.1364923, SHANNON_ENTROPY: 11.4189528, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6147552042653885, 'l1_ratio': 0.01379923126758609} - results: ROC_AUC: 0.1447142, PRECISION: 0.0293787, PRECISION_RECALL_MIN_DEN: 0.1079386, RECALL: 0.1051738, MAP: 0.0491937, MRR: 0.1040773, NDCG: 0.0750200, F1: 0.0459262, HIT_RATE: 0.2937870, ARHR: 0.1169735, NOVELTY: 0.0047440, AVERAGE_POPULARITY: 0.1134697, DIVERSITY_MEAN_INTER_LIST: 0.9824487, DIVERSITY_HERFINDAHL: 0.9982263, COVERAGE_ITEM: 0.4138903, COVERAGE_ITEM_CORRECT: 0.0320616, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1527117, DIVERSITY_GINI: 0.1274522, SHANNON_ENTROPY: 11.2612871, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.7593591429296588, 'l1_ratio': 0.6621243183718246} - results: ROC_AUC: 0.1074324, PRECISION: 0.0221589, PRECISION_RECALL_MIN_DEN: 0.0836230, RECALL: 0.0813842, MAP: 0.0358207, MRR: 0.0748668, NDCG: 0.0556232, F1: 0.0348297, HIT_RATE: 0.2215893, ARHR: 0.0833637, NOVELTY: 0.0050230, AVERAGE_POPULARITY: 0.0294337, DIVERSITY_MEAN_INTER_LIST: 0.9972656, DIVERSITY_HERFINDAHL: 0.9997077, COVERAGE_ITEM: 0.6145448, COVERAGE_ITEM_CORRECT: 0.0375284, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1179313, DIVERSITY_GINI: 0.3077056, SHANNON_ENTROPY: 13.1344117, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.8012775268654705, 'l1_ratio': 0.31926959620779655} - results: ROC_AUC: 0.1318108, PRECISION: 0.0273102, PRECISION_RECALL_MIN_DEN: 0.1037443, RECALL: 0.1011873, MAP: 0.0453991, MRR: 0.0931823, NDCG: 0.0698092, F1: 0.0430077, HIT_RATE: 0.2731023, ARHR: 0.1046503, NOVELTY: 0.0049418, AVERAGE_POPULARITY: 0.0513365, DIVERSITY_MEAN_INTER_LIST: 0.9953284, DIVERSITY_HERFINDAHL: 0.9995140, COVERAGE_ITEM: 0.5905833, COVERAGE_ITEM_CORRECT: 0.0406160, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1426702, DIVERSITY_GINI: 0.2770195, SHANNON_ENTROPY: 12.8387567, 
