
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.5145537699418741, 'l1_ratio': 0.2551997582240851} - results: ROC_AUC: 0.1560669, PRECISION: 0.0318106, PRECISION_RECALL_MIN_DEN: 0.1196189, RECALL: 0.1167525, MAP: 0.0541801, MRR: 0.1121589, NDCG: 0.0823983, F1: 0.0499937, HIT_RATE: 0.3181060, ARHR: 0.1263244, NOVELTY: 0.0048134, AVERAGE_POPULARITY: 0.0980305, DIVERSITY_MEAN_INTER_LIST: 0.9866510, DIVERSITY_HERFINDAHL: 0.9986464, COVERAGE_ITEM: 0.5092435, COVERAGE_ITEM_CORRECT: 0.0390067, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1639612, DIVERSITY_GINI: 0.1924133, SHANNON_ENTROPY: 11.9267648, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.07506598618498463, 'l1_ratio': 0.5606734512655542} - results: ROC_AUC: 0.1357210, PRECISION: 0.0271606, PRECISION_RECALL_MIN_DEN: 0.1017544, RECALL: 0.0992066, MAP: 0.0454710, MRR: 0.0970283, NDCG: 0.0698387, F1: 0.0426407, HIT_RATE: 0.2716057, ARHR: 0.1079712, NOVELTY: 0.0048298, AVERAGE_POPULARITY: 0.1087715, DIVERSITY_MEAN_INTER_LIST: 0.9839337, DIVERSITY_HERFINDAHL: 0.9983747, COVERAGE_ITEM: 0.4446506, COVERAGE_ITEM_CORRECT: 0.0293205, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1436517, DIVERSITY_GINI: 0.1550208, SHANNON_ENTROPY: 11.6022893, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.2497428743010653, 'l1_ratio': 0.42559719556468023} - results: ROC_AUC: 0.1477561, PRECISION: 0.0300786, PRECISION_RECALL_MIN_DEN: 0.1131074, RECALL: 0.1103826, MAP: 0.0506155, MRR: 0.1061689, NDCG: 0.0775129, F1: 0.0472707, HIT_RATE: 0.3007862, ARHR: 0.1189480, NOVELTY: 0.0048245, AVERAGE_POPULARITY: 0.1039421, DIVERSITY_MEAN_INTER_LIST: 0.9852228, DIVERSITY_HERFINDAHL: 0.9985036, COVERAGE_ITEM: 0.4772127, COVERAGE_ITEM_CORRECT: 0.0351646, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1570152, DIVERSITY_GINI: 0.1724389, SHANNON_ENTROPY: 11.7557913, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.9575186715779788, 'l1_ratio': 0.49677520049383095} - results: ROC_AUC: 0.1003035, PRECISION: 0.0206313, PRECISION_RECALL_MIN_DEN: 0.0798495, RECALL: 0.0778468, MAP: 0.0337405, MRR: 0.0692910, NDCG: 0.0525069, F1: 0.0326147, HIT_RATE: 0.2063128, ARHR: 0.0766213, NOVELTY: 0.0050194, AVERAGE_POPULARITY: 0.0279257, DIVERSITY_MEAN_INTER_LIST: 0.9974195, DIVERSITY_HERFINDAHL: 0.9997230, COVERAGE_ITEM: 0.6154995, COVERAGE_ITEM_CORRECT: 0.0359654, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1113124, DIVERSITY_GINI: 0.3099636, SHANNON_ENTROPY: 13.1576536, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9850749922327396, 'l1_ratio': 0.5707836807216927} - results: ROC_AUC: 0.0947467, PRECISION: 0.0195243, PRECISION_RECALL_MIN_DEN: 0.0750453, RECALL: 0.0731050, MAP: 0.0315478, MRR: 0.0652892, NDCG: 0.0492583, F1: 0.0308148, HIT_RATE: 0.1952427, ARHR: 0.0721675, NOVELTY: 0.0050304, AVERAGE_POPULARITY: 0.0241794, DIVERSITY_MEAN_INTER_LIST: 0.9975738, DIVERSITY_HERFINDAHL: 0.9997385, COVERAGE_ITEM: 0.6177016, COVERAGE_ITEM_CORRECT: 0.0350568, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1053983, DIVERSITY_GINI: 0.3133431, SHANNON_ENTROPY: 13.1885696, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.11255455351965296, 'l1_ratio': 0.578953411760375} - results: ROC_AUC: 0.1395794, PRECISION: 0.0280055, PRECISION_RECALL_MIN_DEN: 0.1050412, RECALL: 0.1024290, MAP: 0.0471495, MRR: 0.0999643, NDCG: 0.0722102, F1: 0.0439804, HIT_RATE: 0.2800547, ARHR: 0.1114532, NOVELTY: 0.0048289, AVERAGE_POPULARITY: 0.1075252, DIVERSITY_MEAN_INTER_LIST: 0.9842860, DIVERSITY_HERFINDAHL: 0.9984099, COVERAGE_ITEM: 0.4527738, COVERAGE_ITEM_CORRECT: 0.0309913, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1477035, DIVERSITY_GINI: 0.1592790, SHANNON_ENTROPY: 11.6413016, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3518024965241195, 'l1_ratio': 0.19905643166563286} - results: ROC_AUC: 0.1440181, PRECISION: 0.0292484, PRECISION_RECALL_MIN_DEN: 0.1100636, RECALL: 0.1073981, MAP: 0.0489863, MRR: 0.1032345, NDCG: 0.0752262, F1: 0.0459719, HIT_RATE: 0.2924837, ARHR: 0.1154755, NOVELTY: 0.0048112, AVERAGE_POPULARITY: 0.1090457, DIVERSITY_MEAN_INTER_LIST: 0.9837320, DIVERSITY_HERFINDAHL: 0.9983546, COVERAGE_ITEM: 0.4565929, COVERAGE_ITEM_CORRECT: 0.0331319, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1532150, DIVERSITY_GINI: 0.1593103, SHANNON_ENTROPY: 11.6098213, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.15368057848414787, 'l1_ratio': 0.04350748039701547} - results: ROC_AUC: 0.1317703, PRECISION: 0.0262083, PRECISION_RECALL_MIN_DEN: 0.0972113, RECALL: 0.0947107, MAP: 0.0438173, MRR: 0.0941020, NDCG: 0.0672098, F1: 0.0410501, HIT_RATE: 0.2620832, ARHR: 0.1045323, NOVELTY: 0.0048218, AVERAGE_POPULARITY: 0.1115304, DIVERSITY_MEAN_INTER_LIST: 0.9830563, DIVERSITY_HERFINDAHL: 0.9982870, COVERAGE_ITEM: 0.4358884, COVERAGE_ITEM_CORRECT: 0.0274033, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1389958, DIVERSITY_GINI: 0.1493836, SHANNON_ENTROPY: 11.5284479, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.3137502874420282, 'l1_ratio': 0.9053955892447588} - results: ROC_AUC: 0.1512797, PRECISION: 0.0310088, PRECISION_RECALL_MIN_DEN: 0.1155266, RECALL: 0.1126468, MAP: 0.0517991, MRR: 0.1080050, NDCG: 0.0791818, F1: 0.0486280, HIT_RATE: 0.3100875, ARHR: 0.1216343, NOVELTY: 0.0048793, AVERAGE_POPULARITY: 0.0745578, DIVERSITY_MEAN_INTER_LIST: 0.9919993, DIVERSITY_HERFINDAHL: 0.9991811, COVERAGE_ITEM: 0.5662137, COVERAGE_ITEM_CORRECT: 0.0408547, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1606896, DIVERSITY_GINI: 0.2447551, SHANNON_ENTROPY: 12.4807898, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.6750815779498752, 'l1_ratio': 0.7219662801898946} - results: ROC_AUC: 0.1162119, PRECISION: 0.0236831, PRECISION_RECALL_MIN_DEN: 0.0890256, RECALL: 0.0866466, MAP: 0.0390662, MRR: 0.0816307, NDCG: 0.0600983, F1: 0.0371944, HIT_RATE: 0.2368315, ARHR: 0.0910474, NOVELTY: 0.0049958, AVERAGE_POPULARITY: 0.0359724, DIVERSITY_MEAN_INTER_LIST: 0.9969563, DIVERSITY_HERFINDAHL: 0.9996767, COVERAGE_ITEM: 0.6107565, COVERAGE_ITEM_CORRECT: 0.0379288, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1251038, DIVERSITY_GINI: 0.3022026, SHANNON_ENTROPY: 13.0806472, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.4062257826518144, 'l1_ratio': 0.35492158183959316} - results: ROC_AUC: 0.1546840, PRECISION: 0.0314772, PRECISION_RECALL_MIN_DEN: 0.1181262, RECALL: 0.1152727, MAP: 0.0536623, MRR: 0.1113752, NDCG: 0.0815567, F1: 0.0494453, HIT_RATE: 0.3147725, ARHR: 0.1253050, NOVELTY: 0.0048232, AVERAGE_POPULARITY: 0.0971623, DIVERSITY_MEAN_INTER_LIST: 0.9869410, DIVERSITY_HERFINDAHL: 0.9986754, COVERAGE_ITEM: 0.5094591, COVERAGE_ITEM_CORRECT: 0.0386218, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1626022, DIVERSITY_GINI: 0.1932621, SHANNON_ENTROPY: 11.9475683, 
