
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.22884304730706312, 'l1_ratio': 0.39614645666295545} - results: ROC_AUC: 0.1610402, PRECISION: 0.0334103, PRECISION_RECALL_MIN_DEN: 0.1264986, RECALL: 0.1236418, MAP: 0.0561061, MRR: 0.1153306, NDCG: 0.0860859, F1: 0.0526016, HIT_RATE: 0.3341025, ARHR: 0.1301994, NOVELTY: 0.0047399, AVERAGE_POPULARITY: 0.1080913, DIVERSITY_MEAN_INTER_LIST: 0.9841049, DIVERSITY_HERFINDAHL: 0.9983918, COVERAGE_ITEM: 0.4333167, COVERAGE_ITEM_CORRECT: 0.0401540, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1722663, DIVERSITY_GINI: 0.1396987, SHANNON_ENTROPY: 11.4334625, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.5616051308165303, 'l1_ratio': 0.7421662416484885} - results: ROC_AUC: 0.1550401, PRECISION: 0.0314998, PRECISION_RECALL_MIN_DEN: 0.1182593, RECALL: 0.1155238, MAP: 0.0533180, MRR: 0.1107092, NDCG: 0.0814745, F1: 0.0494976, HIT_RATE: 0.3149979, ARHR: 0.1245975, NOVELTY: 0.0047307, AVERAGE_POPULARITY: 0.1143172, DIVERSITY_MEAN_INTER_LIST: 0.9822988, DIVERSITY_HERFINDAHL: 0.9982113, COVERAGE_ITEM: 0.4113648, COVERAGE_ITEM_CORRECT: 0.0361963, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1636341, DIVERSITY_GINI: 0.1256896, SHANNON_ENTROPY: 11.2463547, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.5036501606570298, 'l1_ratio': 0.8021107016470856} - results: ROC_AUC: 0.1560135, PRECISION: 0.0319052, PRECISION_RECALL_MIN_DEN: 0.1197310, RECALL: 0.1169692, MAP: 0.0539545, MRR: 0.1116769, NDCG: 0.0824270, F1: 0.0501316, HIT_RATE: 0.3190516, ARHR: 0.1258436, NOVELTY: 0.0047356, AVERAGE_POPULARITY: 0.1128355, DIVERSITY_MEAN_INTER_LIST: 0.9827796, DIVERSITY_HERFINDAHL: 0.9982593, COVERAGE_ITEM: 0.4144755, COVERAGE_ITEM_CORRECT: 0.0370818, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1649427, DIVERSITY_GINI: 0.1278562, SHANNON_ENTROPY: 11.2836094, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.6560682857210526, 'l1_ratio': 0.5610818512520191} - results: ROC_AUC: 0.1525671, PRECISION: 0.0311133, PRECISION_RECALL_MIN_DEN: 0.1161843, RECALL: 0.1134435, MAP: 0.0524591, MRR: 0.1091777, NDCG: 0.0801443, F1: 0.0488293, HIT_RATE: 0.3111330, ARHR: 0.1229261, NOVELTY: 0.0047173, AVERAGE_POPULARITY: 0.1176134, DIVERSITY_MEAN_INTER_LIST: 0.9811647, DIVERSITY_HERFINDAHL: 0.9980979, COVERAGE_ITEM: 0.4068296, COVERAGE_ITEM_CORRECT: 0.0351184, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1614697, DIVERSITY_GINI: 0.1220156, SHANNON_ENTROPY: 11.1717032, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9580162309907013, 'l1_ratio': 0.01193473966674741} - results: ROC_AUC: 0.1402534, PRECISION: 0.0280509, PRECISION_RECALL_MIN_DEN: 0.1040529, RECALL: 0.1014893, MAP: 0.0474078, MRR: 0.1001994, NDCG: 0.0723217, F1: 0.0439469, HIT_RATE: 0.2805086, ARHR: 0.1123226, NOVELTY: 0.0046668, AVERAGE_POPULARITY: 0.1315315, DIVERSITY_MEAN_INTER_LIST: 0.9758729, DIVERSITY_HERFINDAHL: 0.9975688, COVERAGE_ITEM: 0.3906218, COVERAGE_ITEM_CORRECT: 0.0285428, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1473260, DIVERSITY_GINI: 0.1105237, SHANNON_ENTROPY: 10.8996740, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9620182625504737, 'l1_ratio': 0.009090779985339805} - results: ROC_AUC: 0.1401233, PRECISION: 0.0279372, PRECISION_RECALL_MIN_DEN: 0.1036422, RECALL: 0.1010861, MAP: 0.0472844, MRR: 0.1000704, NDCG: 0.0721082, F1: 0.0437699, HIT_RATE: 0.2793720, ARHR: 0.1120748, NOVELTY: 0.0046655, AVERAGE_POPULARITY: 0.1318397, DIVERSITY_MEAN_INTER_LIST: 0.9757460, DIVERSITY_HERFINDAHL: 0.9975561, COVERAGE_ITEM: 0.3903446, COVERAGE_ITEM_CORRECT: 0.0283118, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1470240, DIVERSITY_GINI: 0.1103185, SHANNON_ENTROPY: 10.8943561, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.40646194059150176, 'l1_ratio': 0.642569013176924} - results: ROC_AUC: 0.1582697, PRECISION: 0.0326483, PRECISION_RECALL_MIN_DEN: 0.1232279, RECALL: 0.1204174, MAP: 0.0551194, MRR: 0.1136064, NDCG: 0.0843322, F1: 0.0513649, HIT_RATE: 0.3264832, ARHR: 0.1281398, NOVELTY: 0.0047357, AVERAGE_POPULARITY: 0.1116482, DIVERSITY_MEAN_INTER_LIST: 0.9830908, DIVERSITY_HERFINDAHL: 0.9982904, COVERAGE_ITEM: 0.4202656, COVERAGE_ITEM_CORRECT: 0.0384216, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1683654, DIVERSITY_GINI: 0.1314214, SHANNON_ENTROPY: 11.3260384, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9216108931753426, 'l1_ratio': 0.46363884546627177} - results: ROC_AUC: 0.1426660, PRECISION: 0.0286124, PRECISION_RECALL_MIN_DEN: 0.1062063, RECALL: 0.1036456, MAP: 0.0481718, MRR: 0.1021359, NDCG: 0.0736721, F1: 0.0448408, HIT_RATE: 0.2861237, ARHR: 0.1144799, NOVELTY: 0.0046934, AVERAGE_POPULARITY: 0.1245093, DIVERSITY_MEAN_INTER_LIST: 0.9786827, DIVERSITY_HERFINDAHL: 0.9978497, COVERAGE_ITEM: 0.4000077, COVERAGE_ITEM_CORRECT: 0.0298133, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1500189, DIVERSITY_GINI: 0.1157280, SHANNON_ENTROPY: 11.0232798, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8201717798181846, 'l1_ratio': 0.7632458678831874} - results: ROC_AUC: 0.1463535, PRECISION: 0.0293965, PRECISION_RECALL_MIN_DEN: 0.1097492, RECALL: 0.1071512, MAP: 0.0497871, MRR: 0.1046113, NDCG: 0.0760146, F1: 0.0461312, HIT_RATE: 0.2939647, ARHR: 0.1173179, NOVELTY: 0.0047144, AVERAGE_POPULARITY: 0.1191902, DIVERSITY_MEAN_INTER_LIST: 0.9806630, DIVERSITY_HERFINDAHL: 0.9980477, COVERAGE_ITEM: 0.4028874, COVERAGE_ITEM_CORRECT: 0.0317459, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1542217, DIVERSITY_GINI: 0.1189727, SHANNON_ENTROPY: 11.1227784, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'alpha': 0.0008927341557810611, 'l1_ratio': 0.16919327721520952} - results: ROC_AUC: 0.1618647, PRECISION: 0.0337065, PRECISION_RECALL_MIN_DEN: 0.1277806, RECALL: 0.1248936, MAP: 0.0562711, MRR: 0.1154185, NDCG: 0.0865614, F1: 0.0530826, HIT_RATE: 0.3370653, ARHR: 0.1304088, NOVELTY: 0.0047535, AVERAGE_POPULARITY: 0.1016149, DIVERSITY_MEAN_INTER_LIST: 0.9859286, DIVERSITY_HERFINDAHL: 0.9985742, COVERAGE_ITEM: 0.4497863, COVERAGE_ITEM_CORRECT: 0.0414629, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1738014, DIVERSITY_GINI: 0.1516427, SHANNON_ENTROPY: 11.5987842, 
