
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.176675887233281, 'l1_ratio': 0.11869923626931214} - results: ROC_AUC: 0.1404274, PRECISION: 0.0285220, PRECISION_RECALL_MIN_DEN: 0.1030682, RECALL: 0.1003300, MAP: 0.0466572, MRR: 0.1007628, NDCG: 0.0717154, F1: 0.0444149, HIT_RATE: 0.2852204, ARHR: 0.1132367, NOVELTY: 0.0048102, AVERAGE_POPULARITY: 0.1065558, DIVERSITY_MEAN_INTER_LIST: 0.9829178, DIVERSITY_HERFINDAHL: 0.9982732, COVERAGE_ITEM: 0.4310606, COVERAGE_ITEM_CORRECT: 0.0308296, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1482572, DIVERSITY_GINI: 0.1355324, SHANNON_ENTROPY: 11.3231586, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.719518150542386, 'l1_ratio': 0.34764381394156324} - results: ROC_AUC: 0.1391340, PRECISION: 0.0280783, PRECISION_RECALL_MIN_DEN: 0.1017166, RECALL: 0.0990456, MAP: 0.0461814, MRR: 0.0998406, NDCG: 0.0709105, F1: 0.0437506, HIT_RATE: 0.2807826, ARHR: 0.1120948, NOVELTY: 0.0047604, AVERAGE_POPULARITY: 0.1142282, DIVERSITY_MEAN_INTER_LIST: 0.9803776, DIVERSITY_HERFINDAHL: 0.9980192, COVERAGE_ITEM: 0.4109644, COVERAGE_ITEM_CORRECT: 0.0292435, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1461935, DIVERSITY_GINI: 0.1217600, SHANNON_ENTROPY: 11.1095773, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9728636669342274, 'l1_ratio': 0.06483255658504473} - results: ROC_AUC: 0.1352706, PRECISION: 0.0269821, PRECISION_RECALL_MIN_DEN: 0.0983564, RECALL: 0.0958332, MAP: 0.0448600, MRR: 0.0966319, NDCG: 0.0687248, F1: 0.0421042, HIT_RATE: 0.2698214, ARHR: 0.1081453, NOVELTY: 0.0046930, AVERAGE_POPULARITY: 0.1287044, DIVERSITY_MEAN_INTER_LIST: 0.9750416, DIVERSITY_HERFINDAHL: 0.9974857, COVERAGE_ITEM: 0.3858248, COVERAGE_ITEM_CORRECT: 0.0265948, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1417894, DIVERSITY_GINI: 0.1060527, SHANNON_ENTROPY: 10.7980355, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.34504603095842096, 'l1_ratio': 0.671017184015069} - results: ROC_AUC: 0.1402546, PRECISION: 0.0284613, PRECISION_RECALL_MIN_DEN: 0.1027510, RECALL: 0.1000373, MAP: 0.0465308, MRR: 0.1007331, NDCG: 0.0715660, F1: 0.0443129, HIT_RATE: 0.2846127, ARHR: 0.1132404, NOVELTY: 0.0048013, AVERAGE_POPULARITY: 0.1076167, DIVERSITY_MEAN_INTER_LIST: 0.9826045, DIVERSITY_HERFINDAHL: 0.9982418, COVERAGE_ITEM: 0.4271800, COVERAGE_ITEM_CORRECT: 0.0304447, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1478042, DIVERSITY_GINI: 0.1327894, SHANNON_ENTROPY: 11.2875849, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.03216049422370749, 'l1_ratio': 0.6610571955202933} - results: ROC_AUC: 0.1404290, PRECISION: 0.0285181, PRECISION_RECALL_MIN_DEN: 0.1031749, RECALL: 0.1004313, MAP: 0.0466510, MRR: 0.1008556, NDCG: 0.0717365, F1: 0.0444204, HIT_RATE: 0.2851814, ARHR: 0.1133368, NOVELTY: 0.0048183, AVERAGE_POPULARITY: 0.1052152, DIVERSITY_MEAN_INTER_LIST: 0.9833671, DIVERSITY_HERFINDAHL: 0.9983181, COVERAGE_ITEM: 0.4339326, COVERAGE_ITEM_CORRECT: 0.0308758, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1481565, DIVERSITY_GINI: 0.1376752, SHANNON_ENTROPY: 11.3589062, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.6897558647117954, 'l1_ratio': 0.26325631400125554} - results: ROC_AUC: 0.1391969, PRECISION: 0.0281727, PRECISION_RECALL_MIN_DEN: 0.1019290, RECALL: 0.0992410, MAP: 0.0461723, MRR: 0.0999478, NDCG: 0.0709651, F1: 0.0438843, HIT_RATE: 0.2817274, ARHR: 0.1122407, NOVELTY: 0.0047641, AVERAGE_POPULARITY: 0.1137877, DIVERSITY_MEAN_INTER_LIST: 0.9804999, DIVERSITY_HERFINDAHL: 0.9980314, COVERAGE_ITEM: 0.4125736, COVERAGE_ITEM_CORRECT: 0.0294899, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1465710, DIVERSITY_GINI: 0.1228007, SHANNON_ENTROPY: 11.1233592, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4150250407226228, 'l1_ratio': 0.7653041178383697} - results: ROC_AUC: 0.1401458, PRECISION: 0.0284537, PRECISION_RECALL_MIN_DEN: 0.1027605, RECALL: 0.1000480, MAP: 0.0464799, MRR: 0.1005892, NDCG: 0.0715121, F1: 0.0443042, HIT_RATE: 0.2845372, ARHR: 0.1130622, NOVELTY: 0.0047972, AVERAGE_POPULARITY: 0.1080915, DIVERSITY_MEAN_INTER_LIST: 0.9824757, DIVERSITY_HERFINDAHL: 0.9982290, COVERAGE_ITEM: 0.4253397, COVERAGE_ITEM_CORRECT: 0.0303754, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1479049, DIVERSITY_GINI: 0.1315520, SHANNON_ENTROPY: 11.2724097, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.244152635204041, 'l1_ratio': 0.035834931401586674} - results: ROC_AUC: 0.1402710, PRECISION: 0.0284575, PRECISION_RECALL_MIN_DEN: 0.1027251, RECALL: 0.0999819, MAP: 0.0466046, MRR: 0.1006179, NDCG: 0.0715634, F1: 0.0443028, HIT_RATE: 0.2845755, ARHR: 0.1130855, NOVELTY: 0.0048055, AVERAGE_POPULARITY: 0.1073458, DIVERSITY_MEAN_INTER_LIST: 0.9826551, DIVERSITY_HERFINDAHL: 0.9982469, COVERAGE_ITEM: 0.4292204, COVERAGE_ITEM_CORRECT: 0.0307295, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1479804, DIVERSITY_GINI: 0.1342372, SHANNON_ENTROPY: 11.3022297, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.23147278233881624, 'l1_ratio': 0.6645716337054396} - results: ROC_AUC: 0.1404016, PRECISION: 0.0285562, PRECISION_RECALL_MIN_DEN: 0.1031548, RECALL: 0.1004041, MAP: 0.0466391, MRR: 0.1009398, NDCG: 0.0717422, F1: 0.0444636, HIT_RATE: 0.2855615, ARHR: 0.1134338, NOVELTY: 0.0048087, AVERAGE_POPULARITY: 0.1065513, DIVERSITY_MEAN_INTER_LIST: 0.9829493, DIVERSITY_HERFINDAHL: 0.9982763, COVERAGE_ITEM: 0.4300289, COVERAGE_ITEM_CORRECT: 0.0307757, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1482824, DIVERSITY_GINI: 0.1349002, SHANNON_ENTROPY: 11.3189350, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.13743293125228564, 'l1_ratio': 0.8981390199387407} - results: ROC_AUC: 0.1404589, PRECISION: 0.0285524, PRECISION_RECALL_MIN_DEN: 0.1031358, RECALL: 0.1003878, MAP: 0.0466366, MRR: 0.1008769, NDCG: 0.0717309, F1: 0.0444577, HIT_RATE: 0.2855239, ARHR: 0.1133361, NOVELTY: 0.0048142, AVERAGE_POPULARITY: 0.1057076, DIVERSITY_MEAN_INTER_LIST: 0.9832223, DIVERSITY_HERFINDAHL: 0.9983036, COVERAGE_ITEM: 0.4323388, COVERAGE_ITEM_CORRECT: 0.0308681, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1483075, DIVERSITY_GINI: 0.1364627, SHANNON_ENTROPY: 11.3427247, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.5372369256022328, 'l1_ratio': 0.7114243415711955} - results: ROC_AUC: 0.1397742, PRECISION: 0.0283736, PRECISION_RECALL_MIN_DEN: 0.1027153, RECALL: 0.1000251, MAP: 0.0464934, MRR: 0.1003714, NDCG: 0.0714601, F1: 0.0442047, HIT_RATE: 0.2837357, ARHR: 0.1127983, NOVELTY: 0.0047866, AVERAGE_POPULARITY: 0.1096876, DIVERSITY_MEAN_INTER_LIST: 0.9819482, DIVERSITY_HERFINDAHL: 0.9981762, COVERAGE_ITEM: 0.4210125, COVERAGE_ITEM_CORRECT: 0.0300828, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1474519, DIVERSITY_GINI: 0.1284907, SHANNON_ENTROPY: 11.2261183, 
