
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.5683037252324024, 'l1_ratio': 0.7311926184556685} - results: ROC_AUC: 0.1425010, PRECISION: 0.0285826, PRECISION_RECALL_MIN_DEN: 0.1052287, RECALL: 0.1025522, MAP: 0.0474850, MRR: 0.1017323, NDCG: 0.0728981, F1: 0.0447009, HIT_RATE: 0.2858258, ARHR: 0.1140113, NOVELTY: 0.0048127, AVERAGE_POPULARITY: 0.1085735, DIVERSITY_MEAN_INTER_LIST: 0.9841922, DIVERSITY_HERFINDAHL: 0.9984006, COVERAGE_ITEM: 0.4411165, COVERAGE_ITEM_CORRECT: 0.0306372, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1497924, DIVERSITY_GINI: 0.1484695, SHANNON_ENTROPY: 11.5159591, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.8478304832297643, 'l1_ratio': 0.6849031390644997} - results: ROC_AUC: 0.1474999, PRECISION: 0.0297342, PRECISION_RECALL_MIN_DEN: 0.1096597, RECALL: 0.1069059, MAP: 0.0495445, MRR: 0.1054670, NDCG: 0.0759215, F1: 0.0465244, HIT_RATE: 0.2973422, ARHR: 0.1184680, NOVELTY: 0.0047959, AVERAGE_POPULARITY: 0.1076360, DIVERSITY_MEAN_INTER_LIST: 0.9845756, DIVERSITY_HERFINDAHL: 0.9984389, COVERAGE_ITEM: 0.4369201, COVERAGE_ITEM_CORRECT: 0.0327623, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1549012, DIVERSITY_GINI: 0.1433257, SHANNON_ENTROPY: 11.4759296, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.7943638180795469, 'l1_ratio': 0.5653393867284097} - results: ROC_AUC: 0.1480930, PRECISION: 0.0299882, PRECISION_RECALL_MIN_DEN: 0.1105208, RECALL: 0.1077640, MAP: 0.0498274, MRR: 0.1060644, NDCG: 0.0764397, F1: 0.0469155, HIT_RATE: 0.2998817, ARHR: 0.1192059, NOVELTY: 0.0047955, AVERAGE_POPULARITY: 0.1082664, DIVERSITY_MEAN_INTER_LIST: 0.9843553, DIVERSITY_HERFINDAHL: 0.9984169, COVERAGE_ITEM: 0.4369740, COVERAGE_ITEM_CORRECT: 0.0330395, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1560589, DIVERSITY_GINI: 0.1436795, SHANNON_ENTROPY: 11.4735124, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.6538069738894844, 'l1_ratio': 0.5341632157409271} - results: ROC_AUC: 0.1458658, PRECISION: 0.0293056, PRECISION_RECALL_MIN_DEN: 0.1082189, RECALL: 0.1054876, MAP: 0.0488139, MRR: 0.1041381, NDCG: 0.0748705, F1: 0.0458639, HIT_RATE: 0.2930558, ARHR: 0.1168740, NOVELTY: 0.0048041, AVERAGE_POPULARITY: 0.1089378, DIVERSITY_MEAN_INTER_LIST: 0.9841117, DIVERSITY_HERFINDAHL: 0.9983925, COVERAGE_ITEM: 0.4399461, COVERAGE_ITEM_CORRECT: 0.0318306, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1530892, DIVERSITY_GINI: 0.1467161, SHANNON_ENTROPY: 11.4947999, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8306569058716087, 'l1_ratio': 0.6419641636529513} - results: ROC_AUC: 0.1479301, PRECISION: 0.0298366, PRECISION_RECALL_MIN_DEN: 0.1100846, RECALL: 0.1073368, MAP: 0.0497677, MRR: 0.1058249, NDCG: 0.0762384, F1: 0.0466902, HIT_RATE: 0.2983662, ARHR: 0.1188383, NOVELTY: 0.0047956, AVERAGE_POPULARITY: 0.1078533, DIVERSITY_MEAN_INTER_LIST: 0.9845020, DIVERSITY_HERFINDAHL: 0.9984315, COVERAGE_ITEM: 0.4369971, COVERAGE_ITEM_CORRECT: 0.0328701, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1554046, DIVERSITY_GINI: 0.1434559, SHANNON_ENTROPY: 11.4751489, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.5218201212900806, 'l1_ratio': 0.6071761043898553} - results: ROC_AUC: 0.1419234, PRECISION: 0.0284841, PRECISION_RECALL_MIN_DEN: 0.1049592, RECALL: 0.1022975, MAP: 0.0474663, MRR: 0.1016278, NDCG: 0.0727807, F1: 0.0445553, HIT_RATE: 0.2848409, ARHR: 0.1138554, NOVELTY: 0.0048151, AVERAGE_POPULARITY: 0.1089221, DIVERSITY_MEAN_INTER_LIST: 0.9840744, DIVERSITY_HERFINDAHL: 0.9983888, COVERAGE_ITEM: 0.4411627, COVERAGE_ITEM_CORRECT: 0.0304986, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1492135, DIVERSITY_GINI: 0.1490182, SHANNON_ENTROPY: 11.5204273, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.5473247334407745, 'l1_ratio': 0.9997693878163803} - results: ROC_AUC: 0.1407966, PRECISION: 0.0282791, PRECISION_RECALL_MIN_DEN: 0.1040083, RECALL: 0.1013269, MAP: 0.0469893, MRR: 0.1005774, NDCG: 0.0720728, F1: 0.0442137, HIT_RATE: 0.2827910, ARHR: 0.1126960, NOVELTY: 0.0048148, AVERAGE_POPULARITY: 0.1081142, DIVERSITY_MEAN_INTER_LIST: 0.9843193, DIVERSITY_HERFINDAHL: 0.9984133, COVERAGE_ITEM: 0.4420096, COVERAGE_ITEM_CORRECT: 0.0300905, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1481817, DIVERSITY_GINI: 0.1491975, SHANNON_ENTROPY: 11.5260771, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.859044753152032, 'l1_ratio': 0.5572479985540414} - results: ROC_AUC: 0.1495347, PRECISION: 0.0302727, PRECISION_RECALL_MIN_DEN: 0.1117984, RECALL: 0.1090208, MAP: 0.0504047, MRR: 0.1070393, NDCG: 0.0773016, F1: 0.0473827, HIT_RATE: 0.3027269, ARHR: 0.1203329, NOVELTY: 0.0047926, AVERAGE_POPULARITY: 0.1077257, DIVERSITY_MEAN_INTER_LIST: 0.9845488, DIVERSITY_HERFINDAHL: 0.9984362, COVERAGE_ITEM: 0.4360269, COVERAGE_ITEM_CORRECT: 0.0336939, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1574179, DIVERSITY_GINI: 0.1425458, SHANNON_ENTROPY: 11.4683638, 
