
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3031087964867473, 'l1_ratio': 0.7371525525401768} - results: ROC_AUC: 0.1361263, PRECISION: 0.0270887, PRECISION_RECALL_MIN_DEN: 0.0999927, RECALL: 0.0974680, MAP: 0.0449039, MRR: 0.0968195, NDCG: 0.0691150, F1: 0.0423896, HIT_RATE: 0.2708872, ARHR: 0.1079920, NOVELTY: 0.0048260, AVERAGE_POPULARITY: 0.1116867, DIVERSITY_MEAN_INTER_LIST: 0.9829231, DIVERSITY_HERFINDAHL: 0.9982737, COVERAGE_ITEM: 0.4491088, COVERAGE_ITEM_CORRECT: 0.0282271, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1433245, DIVERSITY_GINI: 0.1534309, SHANNON_ENTROPY: 11.5279602, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.4200720022429175, 'l1_ratio': 0.5970694727881206} - results: ROC_AUC: 0.1394661, PRECISION: 0.0276878, PRECISION_RECALL_MIN_DEN: 0.1026472, RECALL: 0.1000841, MAP: 0.0463240, MRR: 0.0991492, NDCG: 0.0710547, F1: 0.0433712, HIT_RATE: 0.2768777, ARHR: 0.1106939, NOVELTY: 0.0048135, AVERAGE_POPULARITY: 0.1124477, DIVERSITY_MEAN_INTER_LIST: 0.9827217, DIVERSITY_HERFINDAHL: 0.9982536, COVERAGE_ITEM: 0.4457594, COVERAGE_ITEM_CORRECT: 0.0290125, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1462187, DIVERSITY_GINI: 0.1505811, SHANNON_ENTROPY: 11.4929797, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9458011676521502, 'l1_ratio': 0.18881572568307808} - results: ROC_AUC: 0.1592819, PRECISION: 0.0326711, PRECISION_RECALL_MIN_DEN: 0.1230602, RECALL: 0.1202129, MAP: 0.0552982, MRR: 0.1144234, NDCG: 0.0845039, F1: 0.0513735, HIT_RATE: 0.3267109, ARHR: 0.1290363, NOVELTY: 0.0047573, AVERAGE_POPULARITY: 0.1094053, DIVERSITY_MEAN_INTER_LIST: 0.9837711, DIVERSITY_HERFINDAHL: 0.9983585, COVERAGE_ITEM: 0.4371357, COVERAGE_ITEM_CORRECT: 0.0386603, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1685919, DIVERSITY_GINI: 0.1413535, SHANNON_ENTROPY: 11.4321839, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.12247445101811585, 'l1_ratio': 0.32365927809272704} - results: ROC_AUC: 0.1325771, PRECISION: 0.0264138, PRECISION_RECALL_MIN_DEN: 0.0972460, RECALL: 0.0947160, MAP: 0.0437392, MRR: 0.0945835, NDCG: 0.0672852, F1: 0.0413026, HIT_RATE: 0.2641383, ARHR: 0.1052206, NOVELTY: 0.0048436, AVERAGE_POPULARITY: 0.1095758, DIVERSITY_MEAN_INTER_LIST: 0.9836379, DIVERSITY_HERFINDAHL: 0.9983451, COVERAGE_ITEM: 0.4481386, COVERAGE_ITEM_CORRECT: 0.0276728, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1400529, DIVERSITY_GINI: 0.1558102, SHANNON_ENTROPY: 11.5894322, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.23308771804212086, 'l1_ratio': 0.7056334340435163} - results: ROC_AUC: 0.1345125, PRECISION: 0.0266678, PRECISION_RECALL_MIN_DEN: 0.0982580, RECALL: 0.0957418, MAP: 0.0443261, MRR: 0.0955947, NDCG: 0.0681060, F1: 0.0417106, HIT_RATE: 0.2666781, ARHR: 0.1065605, NOVELTY: 0.0048340, AVERAGE_POPULARITY: 0.1109818, DIVERSITY_MEAN_INTER_LIST: 0.9831377, DIVERSITY_HERFINDAHL: 0.9982951, COVERAGE_ITEM: 0.4498710, COVERAGE_ITEM_CORRECT: 0.0277806, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1410595, DIVERSITY_GINI: 0.1548248, SHANNON_ENTROPY: 11.5528535, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.5456263122846774, 'l1_ratio': 0.31064496205730435} - results: ROC_AUC: 0.1444159, PRECISION: 0.0291502, PRECISION_RECALL_MIN_DEN: 0.1080406, RECALL: 0.1053282, MAP: 0.0485340, MRR: 0.1031302, NDCG: 0.0744768, F1: 0.0456571, HIT_RATE: 0.2915025, ARHR: 0.1157527, NOVELTY: 0.0048008, AVERAGE_POPULARITY: 0.1123214, DIVERSITY_MEAN_INTER_LIST: 0.9828823, DIVERSITY_HERFINDAHL: 0.9982696, COVERAGE_ITEM: 0.4423715, COVERAGE_ITEM_CORRECT: 0.0315149, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1521580, DIVERSITY_GINI: 0.1482648, SHANNON_ENTROPY: 11.4747549, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19932139507913033, 'l1_ratio': 0.21849861768505902} - results: ROC_AUC: 0.1346644, PRECISION: 0.0268536, PRECISION_RECALL_MIN_DEN: 0.0987892, RECALL: 0.0962314, MAP: 0.0444718, MRR: 0.0960409, NDCG: 0.0683900, F1: 0.0419839, HIT_RATE: 0.2685356, ARHR: 0.1070323, NOVELTY: 0.0048366, AVERAGE_POPULARITY: 0.1099750, DIVERSITY_MEAN_INTER_LIST: 0.9835386, DIVERSITY_HERFINDAHL: 0.9983352, COVERAGE_ITEM: 0.4466295, COVERAGE_ITEM_CORRECT: 0.0283888, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1418397, DIVERSITY_GINI: 0.1545732, SHANNON_ENTROPY: 11.5729652, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.09882961941116644, 'l1_ratio': 0.22403408057567736} - results: ROC_AUC: 0.1319768, PRECISION: 0.0263190, PRECISION_RECALL_MIN_DEN: 0.0968880, RECALL: 0.0943730, MAP: 0.0435799, MRR: 0.0941928, NDCG: 0.0670386, F1: 0.0411535, HIT_RATE: 0.2631905, ARHR: 0.1047781, NOVELTY: 0.0048449, AVERAGE_POPULARITY: 0.1093359, DIVERSITY_MEAN_INTER_LIST: 0.9837211, DIVERSITY_HERFINDAHL: 0.9983535, COVERAGE_ITEM: 0.4476073, COVERAGE_ITEM_CORRECT: 0.0275573, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1395243, DIVERSITY_GINI: 0.1559326, SHANNON_ENTROPY: 11.5954198, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.7547965406013787, 'l1_ratio': 0.34746392035830626} - results: ROC_AUC: 0.1497485, PRECISION: 0.0305790, PRECISION_RECALL_MIN_DEN: 0.1137188, RECALL: 0.1109362, MAP: 0.0510403, MRR: 0.1073456, NDCG: 0.0782720, F1: 0.0479378, HIT_RATE: 0.3057901, ARHR: 0.1207622, NOVELTY: 0.0047743, AVERAGE_POPULARITY: 0.1132579, DIVERSITY_MEAN_INTER_LIST: 0.9825927, DIVERSITY_HERFINDAHL: 0.9982406, COVERAGE_ITEM: 0.4378056, COVERAGE_ITEM_CORRECT: 0.0339634, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1587769, DIVERSITY_GINI: 0.1422974, SHANNON_ENTROPY: 11.4018652, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.21592136534872747, 'l1_ratio': 0.7839605670562974} - results: ROC_AUC: 0.1340388, PRECISION: 0.0265730, PRECISION_RECALL_MIN_DEN: 0.0979408, RECALL: 0.0954349, MAP: 0.0441400, MRR: 0.0952403, NDCG: 0.0678496, F1: 0.0415648, HIT_RATE: 0.2657296, ARHR: 0.1061267, NOVELTY: 0.0048365, AVERAGE_POPULARITY: 0.1108719, DIVERSITY_MEAN_INTER_LIST: 0.9831509, DIVERSITY_HERFINDAHL: 0.9982965, COVERAGE_ITEM: 0.4512185, COVERAGE_ITEM_CORRECT: 0.0276651, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1406317, DIVERSITY_GINI: 0.1555892, SHANNON_ENTROPY: 11.5587275, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.11888421702453603, 'l1_ratio': 0.27104345211226993} - results: ROC_AUC: 0.1324284, PRECISION: 0.0264101, PRECISION_RECALL_MIN_DEN: 0.0971168, RECALL: 0.0945838, MAP: 0.0437061, MRR: 0.0944850, NDCG: 0.0672250, F1: 0.0412849, HIT_RATE: 0.2641007, ARHR: 0.1051357, NOVELTY: 0.0048438, AVERAGE_POPULARITY: 0.1094682, DIVERSITY_MEAN_INTER_LIST: 0.9836772, DIVERSITY_HERFINDAHL: 0.9983491, COVERAGE_ITEM: 0.4477844, COVERAGE_ITEM_CORRECT: 0.0276497, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1399522, DIVERSITY_GINI: 0.1557776, SHANNON_ENTROPY: 11.5912746, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.2343440394295931, 'l1_ratio': 0.3324040591886109} - results: ROC_AUC: 0.1354387, PRECISION: 0.0269293, PRECISION_RECALL_MIN_DEN: 0.0993623, RECALL: 0.0968190, MAP: 0.0448313, MRR: 0.0965495, NDCG: 0.0688375, F1: 0.0421315, HIT_RATE: 0.2692930, ARHR: 0.1076483, NOVELTY: 0.0048340, AVERAGE_POPULARITY: 0.1103341, DIVERSITY_MEAN_INTER_LIST: 0.9834146, DIVERSITY_HERFINDAHL: 0.9983228, COVERAGE_ITEM: 0.4470760, COVERAGE_ITEM_CORRECT: 0.0283195, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1422172, DIVERSITY_GINI: 0.1542637, SHANNON_ENTROPY: 11.5623861, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.07395784372563997, 'l1_ratio': 0.6842073143889623} - results: ROC_AUC: 0.1310286, PRECISION: 0.0261141, PRECISION_RECALL_MIN_DEN: 0.0959664, RECALL: 0.0934595, MAP: 0.0430877, MRR: 0.0934793, NDCG: 0.0663823, F1: 0.0408149, HIT_RATE: 0.2611405, ARHR: 0.1039317, NOVELTY: 0.0048503, AVERAGE_POPULARITY: 0.1093890, DIVERSITY_MEAN_INTER_LIST: 0.9836477, DIVERSITY_HERFINDAHL: 0.9983461, COVERAGE_ITEM: 0.4512108, COVERAGE_ITEM_CORRECT: 0.0271954, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1384925, DIVERSITY_GINI: 0.1574908, SHANNON_ENTROPY: 11.6018820, 
