
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.08371838461115912, 'l1_ratio': 0.39400198412305565} - results: ROC_AUC: 0.1278228, PRECISION: 0.0255532, PRECISION_RECALL_MIN_DEN: 0.0918515, RECALL: 0.0893416, MAP: 0.0414233, MRR: 0.0910905, NDCG: 0.0639696, F1: 0.0397343, HIT_RATE: 0.2555318, ARHR: 0.1014284, NOVELTY: 0.0048659, AVERAGE_POPULARITY: 0.1086904, DIVERSITY_MEAN_INTER_LIST: 0.9837560, DIVERSITY_HERFINDAHL: 0.9983570, COVERAGE_ITEM: 0.4431877, COVERAGE_ITEM_CORRECT: 0.0260866, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1349692, DIVERSITY_GINI: 0.1524540, SHANNON_ENTROPY: 11.5725221, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5230878684714808, 'l1_ratio': 0.8270151638245559} - results: ROC_AUC: 0.1349203, PRECISION: 0.0270887, PRECISION_RECALL_MIN_DEN: 0.0981686, RECALL: 0.0956304, MAP: 0.0446474, MRR: 0.0963496, NDCG: 0.0685209, F1: 0.0422147, HIT_RATE: 0.2708874, ARHR: 0.1077594, NOVELTY: 0.0048122, AVERAGE_POPULARITY: 0.1132749, DIVERSITY_MEAN_INTER_LIST: 0.9822635, DIVERSITY_HERFINDAHL: 0.9982077, COVERAGE_ITEM: 0.4356651, COVERAGE_ITEM_CORRECT: 0.0277883, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1418649, DIVERSITY_GINI: 0.1423758, SHANNON_ENTROPY: 11.4075591, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.38173407249043456, 'l1_ratio': 0.3219946014893648} - results: ROC_AUC: 0.1339480, PRECISION: 0.0267552, PRECISION_RECALL_MIN_DEN: 0.0966646, RECALL: 0.0941080, MAP: 0.0439906, MRR: 0.0959362, NDCG: 0.0675859, F1: 0.0416613, HIT_RATE: 0.2675519, ARHR: 0.1071711, NOVELTY: 0.0048419, AVERAGE_POPULARITY: 0.1093728, DIVERSITY_MEAN_INTER_LIST: 0.9836271, DIVERSITY_HERFINDAHL: 0.9983441, COVERAGE_ITEM: 0.4407007, COVERAGE_ITEM_CORRECT: 0.0275958, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1407575, DIVERSITY_GINI: 0.1483513, SHANNON_ENTROPY: 11.5111680, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.6760663047309757, 'l1_ratio': 0.30493757042663744} - results: ROC_AUC: 0.1378883, PRECISION: 0.0280136, PRECISION_RECALL_MIN_DEN: 0.1010298, RECALL: 0.0983394, MAP: 0.0457071, MRR: 0.0988126, NDCG: 0.0702892, F1: 0.0436018, HIT_RATE: 0.2801364, ARHR: 0.1109250, NOVELTY: 0.0048179, AVERAGE_POPULARITY: 0.1095828, DIVERSITY_MEAN_INTER_LIST: 0.9835978, DIVERSITY_HERFINDAHL: 0.9983411, COVERAGE_ITEM: 0.4386372, COVERAGE_ITEM_CORRECT: 0.0292435, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1459419, DIVERSITY_GINI: 0.1435238, SHANNON_ENTROPY: 11.4498266, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.22763910969666662, 'l1_ratio': 0.9447702570090745} - results: ROC_AUC: 0.1304761, PRECISION: 0.0259438, PRECISION_RECALL_MIN_DEN: 0.0936915, RECALL: 0.0912020, MAP: 0.0423635, MRR: 0.0927412, NDCG: 0.0653161, F1: 0.0403911, HIT_RATE: 0.2594375, ARHR: 0.1034115, NOVELTY: 0.0048470, AVERAGE_POPULARITY: 0.1108899, DIVERSITY_MEAN_INTER_LIST: 0.9830051, DIVERSITY_HERFINDAHL: 0.9982819, COVERAGE_ITEM: 0.4414167, COVERAGE_ITEM_CORRECT: 0.0264023, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1370328, DIVERSITY_GINI: 0.1493423, SHANNON_ENTROPY: 11.5113765, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9176366264342196, 'l1_ratio': 0.0021436781289567723} - results: ROC_AUC: 0.1403300, PRECISION: 0.0284614, PRECISION_RECALL_MIN_DEN: 0.1027379, RECALL: 0.0999848, MAP: 0.0465653, MRR: 0.1006452, NDCG: 0.0715393, F1: 0.0443077, HIT_RATE: 0.2846141, ARHR: 0.1130320, NOVELTY: 0.0048221, AVERAGE_POPULARITY: 0.1057415, DIVERSITY_MEAN_INTER_LIST: 0.9849501, DIVERSITY_HERFINDAHL: 0.9984763, COVERAGE_ITEM: 0.4394610, COVERAGE_ITEM_CORRECT: 0.0306987, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1478545, DIVERSITY_GINI: 0.1433249, SHANNON_ENTROPY: 11.4873392, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19856404345695206, 'l1_ratio': 0.22936376560746946} - results: ROC_AUC: 0.1303529, PRECISION: 0.0259970, PRECISION_RECALL_MIN_DEN: 0.0936964, RECALL: 0.0911571, MAP: 0.0424888, MRR: 0.0929799, NDCG: 0.0653975, F1: 0.0404503, HIT_RATE: 0.2599698, ARHR: 0.1037417, NOVELTY: 0.0048579, AVERAGE_POPULARITY: 0.1086436, DIVERSITY_MEAN_INTER_LIST: 0.9838155, DIVERSITY_HERFINDAHL: 0.9983629, COVERAGE_ITEM: 0.4424254, COVERAGE_ITEM_CORRECT: 0.0267103, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1369573, DIVERSITY_GINI: 0.1511026, SHANNON_ENTROPY: 11.5539468, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.24598242680235655, 'l1_ratio': 0.5945778566595736} - results: ROC_AUC: 0.1310094, PRECISION: 0.0261104, PRECISION_RECALL_MIN_DEN: 0.0943174, RECALL: 0.0917908, MAP: 0.0426675, MRR: 0.0933727, NDCG: 0.0657451, F1: 0.0406516, HIT_RATE: 0.2611039, ARHR: 0.1041758, NOVELTY: 0.0048498, AVERAGE_POPULARITY: 0.1099084, DIVERSITY_MEAN_INTER_LIST: 0.9833709, DIVERSITY_HERFINDAHL: 0.9983185, COVERAGE_ITEM: 0.4413013, COVERAGE_ITEM_CORRECT: 0.0266718, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1376117, DIVERSITY_GINI: 0.1497152, SHANNON_ENTROPY: 11.5250479, 
