
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3915055051526857, 'l1_ratio': 0.5858479243018268} - results: ROC_AUC: 0.1363486, PRECISION: 0.0272021, PRECISION_RECALL_MIN_DEN: 0.1006687, RECALL: 0.0981117, MAP: 0.0453122, MRR: 0.0973588, NDCG: 0.0696025, F1: 0.0425890, HIT_RATE: 0.2720215, ARHR: 0.1085289, NOVELTY: 0.0048132, AVERAGE_POPULARITY: 0.1128783, DIVERSITY_MEAN_INTER_LIST: 0.9826143, DIVERSITY_HERFINDAHL: 0.9982428, COVERAGE_ITEM: 0.4378287, COVERAGE_ITEM_CORRECT: 0.0286429, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1438782, DIVERSITY_GINI: 0.1483867, SHANNON_ENTROPY: 11.4882432, 

SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.5869693533275748, 'l1_ratio': 0.6598879418955252} - results: ROC_AUC: 0.1404826, PRECISION: 0.0280779, PRECISION_RECALL_MIN_DEN: 0.1044145, RECALL: 0.1017981, MAP: 0.0468978, MRR: 0.1001805, NDCG: 0.0720004, F1: 0.0440089, HIT_RATE: 0.2807794, ARHR: 0.1119487, NOVELTY: 0.0047867, AVERAGE_POPULARITY: 0.1159950, DIVERSITY_MEAN_INTER_LIST: 0.9815917, DIVERSITY_HERFINDAHL: 0.9981406, COVERAGE_ITEM: 0.4323157, COVERAGE_ITEM_CORRECT: 0.0295207, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1481314, DIVERSITY_GINI: 0.1425889, SHANNON_ENTROPY: 11.3944879, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.8561647231315945, 'l1_ratio': 0.04358286799507916} - results: ROC_AUC: 0.1602887, PRECISION: 0.0331829, PRECISION_RECALL_MIN_DEN: 0.1254211, RECALL: 0.1225675, MAP: 0.0558869, MRR: 0.1149653, NDCG: 0.0855711, F1: 0.0522189, HIT_RATE: 0.3318293, ARHR: 0.1299167, NOVELTY: 0.0047586, AVERAGE_POPULARITY: 0.1091147, DIVERSITY_MEAN_INTER_LIST: 0.9839418, DIVERSITY_HERFINDAHL: 0.9983755, COVERAGE_ITEM: 0.4433494, COVERAGE_ITEM_CORRECT: 0.0392608, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1706556, DIVERSITY_GINI: 0.1457713, SHANNON_ENTROPY: 11.4755977, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.6659351013920963, 'l1_ratio': 0.8998691877329651} - results: ROC_AUC: 0.1373291, PRECISION: 0.0273614, PRECISION_RECALL_MIN_DEN: 0.1017817, RECALL: 0.0992593, MAP: 0.0458230, MRR: 0.0980825, NDCG: 0.0703329, F1: 0.0428923, HIT_RATE: 0.2736140, ARHR: 0.1093435, NOVELTY: 0.0047692, AVERAGE_POPULARITY: 0.1195918, DIVERSITY_MEAN_INTER_LIST: 0.9802452, DIVERSITY_HERFINDAHL: 0.9980059, COVERAGE_ITEM: 0.4266641, COVERAGE_ITEM_CORRECT: 0.0280577, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1448597, DIVERSITY_GINI: 0.1378177, SHANNON_ENTROPY: 11.3097377, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.11632043226692082, 'l1_ratio': 0.07829278871098579} - results: ROC_AUC: 0.1323587, PRECISION: 0.0264367, PRECISION_RECALL_MIN_DEN: 0.0974235, RECALL: 0.0948927, MAP: 0.0437485, MRR: 0.0944894, NDCG: 0.0673231, F1: 0.0413469, HIT_RATE: 0.2643665, ARHR: 0.1051284, NOVELTY: 0.0048380, AVERAGE_POPULARITY: 0.1097067, DIVERSITY_MEAN_INTER_LIST: 0.9836637, DIVERSITY_HERFINDAHL: 0.9983477, COVERAGE_ITEM: 0.4426256, COVERAGE_ITEM_CORRECT: 0.0277729, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1400529, DIVERSITY_GINI: 0.1535259, SHANNON_ENTROPY: 11.5771058, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.45489067296122, 'l1_ratio': 0.4111780778181662} - results: ROC_AUC: 0.1397082, PRECISION: 0.0279072, PRECISION_RECALL_MIN_DEN: 0.1034902, RECALL: 0.1008742, MAP: 0.0465423, MRR: 0.0996250, NDCG: 0.0714404, F1: 0.0437140, HIT_RATE: 0.2790721, ARHR: 0.1113980, NOVELTY: 0.0048068, AVERAGE_POPULARITY: 0.1128371, DIVERSITY_MEAN_INTER_LIST: 0.9826884, DIVERSITY_HERFINDAHL: 0.9982502, COVERAGE_ITEM: 0.4382522, COVERAGE_ITEM_CORRECT: 0.0296824, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1468982, DIVERSITY_GINI: 0.1478430, SHANNON_ENTROPY: 11.4805241, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9657524284632136, 'l1_ratio': 0.2895118714597033} - results: ROC_AUC: 0.1603819, PRECISION: 0.0333310, PRECISION_RECALL_MIN_DEN: 0.1259485, RECALL: 0.1230818, MAP: 0.0560091, MRR: 0.1153201, NDCG: 0.0858510, F1: 0.0524521, HIT_RATE: 0.3333102, ARHR: 0.1302761, NOVELTY: 0.0047321, AVERAGE_POPULARITY: 0.1117231, DIVERSITY_MEAN_INTER_LIST: 0.9830055, DIVERSITY_HERFINDAHL: 0.9982819, COVERAGE_ITEM: 0.4299596, COVERAGE_ITEM_CORRECT: 0.0394995, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1714609, DIVERSITY_GINI: 0.1368707, SHANNON_ENTROPY: 11.3677923, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.15397699420401137, 'l1_ratio': 0.8635675387391472} - results: ROC_AUC: 0.1311626, PRECISION: 0.0260533, PRECISION_RECALL_MIN_DEN: 0.0961346, RECALL: 0.0936430, MAP: 0.0432894, MRR: 0.0936558, NDCG: 0.0665582, F1: 0.0407578, HIT_RATE: 0.2605328, ARHR: 0.1040206, NOVELTY: 0.0048349, AVERAGE_POPULARITY: 0.1109458, DIVERSITY_MEAN_INTER_LIST: 0.9832046, DIVERSITY_HERFINDAHL: 0.9983018, COVERAGE_ITEM: 0.4411088, COVERAGE_ITEM_CORRECT: 0.0270183, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1383415, DIVERSITY_GINI: 0.1522476, SHANNON_ENTROPY: 11.5523835, 
