
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7282730341103761, 'l1_ratio': 0.34919689828935413} - results: ROC_AUC: 0.1484540, PRECISION: 0.0301174, PRECISION_RECALL_MIN_DEN: 0.1110886, RECALL: 0.1083197, MAP: 0.0501957, MRR: 0.1061628, NDCG: 0.0768554, F1: 0.0471279, HIT_RATE: 0.3011740, ARHR: 0.1194477, NOVELTY: 0.0047746, AVERAGE_POPULARITY: 0.1090304, DIVERSITY_MEAN_INTER_LIST: 0.9840700, DIVERSITY_HERFINDAHL: 0.9983883, COVERAGE_ITEM: 0.4264023, COVERAGE_ITEM_CORRECT: 0.0335245, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1565371, DIVERSITY_GINI: 0.1355372, SHANNON_ENTROPY: 11.3900991, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.016697522704458127, 'l1_ratio': 0.3696380999702476} - results: ROC_AUC: 0.1620338, PRECISION: 0.0337100, PRECISION_RECALL_MIN_DEN: 0.1278152, RECALL: 0.1249394, MAP: 0.0563838, MRR: 0.1156990, NDCG: 0.0866827, F1: 0.0530909, HIT_RATE: 0.3370995, ARHR: 0.1306944, NOVELTY: 0.0047549, AVERAGE_POPULARITY: 0.1020288, DIVERSITY_MEAN_INTER_LIST: 0.9858387, DIVERSITY_HERFINDAHL: 0.9985652, COVERAGE_ITEM: 0.4482849, COVERAGE_ITEM_CORRECT: 0.0414167, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1738266, DIVERSITY_GINI: 0.1505972, SHANNON_ENTROPY: 11.5870462, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3925777175207156, 'l1_ratio': 0.555439210960623} - results: ROC_AUC: 0.1580294, PRECISION: 0.0324667, PRECISION_RECALL_MIN_DEN: 0.1207257, RECALL: 0.1178041, MAP: 0.0542840, MRR: 0.1131991, NDCG: 0.0831264, F1: 0.0509016, HIT_RATE: 0.3246667, ARHR: 0.1278273, NOVELTY: 0.0047596, AVERAGE_POPULARITY: 0.1088830, DIVERSITY_MEAN_INTER_LIST: 0.9840156, DIVERSITY_HERFINDAHL: 0.9983829, COVERAGE_ITEM: 0.4268874, COVERAGE_ITEM_CORRECT: 0.0376824, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1671574, DIVERSITY_GINI: 0.1358177, SHANNON_ENTROPY: 11.3927559, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.22426368346130737, 'l1_ratio': 0.5406015302304421} - results: ROC_AUC: 0.1609590, PRECISION: 0.0332742, PRECISION_RECALL_MIN_DEN: 0.1252575, RECALL: 0.1223710, MAP: 0.0561232, MRR: 0.1155794, NDCG: 0.0858235, F1: 0.0523179, HIT_RATE: 0.3327420, ARHR: 0.1304878, NOVELTY: 0.0047590, AVERAGE_POPULARITY: 0.1065357, DIVERSITY_MEAN_INTER_LIST: 0.9846845, DIVERSITY_HERFINDAHL: 0.9984498, COVERAGE_ITEM: 0.4336939, COVERAGE_ITEM_CORRECT: 0.0397767, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1712344, DIVERSITY_GINI: 0.1403609, SHANNON_ENTROPY: 11.4580504, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.5926879535969609, 'l1_ratio': 0.1482776610386061} - results: ROC_AUC: 0.1507947, PRECISION: 0.0306362, PRECISION_RECALL_MIN_DEN: 0.1131147, RECALL: 0.1103346, MAP: 0.0512178, MRR: 0.1080267, NDCG: 0.0783561, F1: 0.0479538, HIT_RATE: 0.3063620, ARHR: 0.1216056, NOVELTY: 0.0047848, AVERAGE_POPULARITY: 0.1069478, DIVERSITY_MEAN_INTER_LIST: 0.9847605, DIVERSITY_HERFINDAHL: 0.9984574, COVERAGE_ITEM: 0.4300674, COVERAGE_ITEM_CORRECT: 0.0345717, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1589279, DIVERSITY_GINI: 0.1383200, SHANNON_ENTROPY: 11.4404465, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8559817892472922, 'l1_ratio': 0.10292274250582992} - results: ROC_AUC: 0.1463090, PRECISION: 0.0295685, PRECISION_RECALL_MIN_DEN: 0.1090968, RECALL: 0.1063355, MAP: 0.0494733, MRR: 0.1050354, NDCG: 0.0756500, F1: 0.0462690, HIT_RATE: 0.2956845, ARHR: 0.1179881, NOVELTY: 0.0047905, AVERAGE_POPULARITY: 0.1066911, DIVERSITY_MEAN_INTER_LIST: 0.9848489, DIVERSITY_HERFINDAHL: 0.9984662, COVERAGE_ITEM: 0.4324543, COVERAGE_ITEM_CORRECT: 0.0328008, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1539701, DIVERSITY_GINI: 0.1400575, SHANNON_ENTROPY: 11.4575857, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.20362841860244024, 'l1_ratio': 0.8736744590530063} - results: ROC_AUC: 0.1615220, PRECISION: 0.0335090, PRECISION_RECALL_MIN_DEN: 0.1269814, RECALL: 0.1241024, MAP: 0.0562646, MRR: 0.1154291, NDCG: 0.0863253, F1: 0.0527654, HIT_RATE: 0.3350900, ARHR: 0.1303701, NOVELTY: 0.0047430, AVERAGE_POPULARITY: 0.1075586, DIVERSITY_MEAN_INTER_LIST: 0.9842629, DIVERSITY_HERFINDAHL: 0.9984076, COVERAGE_ITEM: 0.4353648, COVERAGE_ITEM_CORRECT: 0.0403850, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1727948, DIVERSITY_GINI: 0.1410801, SHANNON_ENTROPY: 11.4501388, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.26975908360144113, 'l1_ratio': 0.6184924235153617} - results: ROC_AUC: 0.1604672, PRECISION: 0.0331831, PRECISION_RECALL_MIN_DEN: 0.1245973, RECALL: 0.1217031, MAP: 0.0557863, MRR: 0.1151826, NDCG: 0.0853918, F1: 0.0521443, HIT_RATE: 0.3318309, ARHR: 0.1300690, NOVELTY: 0.0047558, AVERAGE_POPULARITY: 0.1075341, DIVERSITY_MEAN_INTER_LIST: 0.9843772, DIVERSITY_HERFINDAHL: 0.9984191, COVERAGE_ITEM: 0.4313378, COVERAGE_ITEM_CORRECT: 0.0394302, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1707311, DIVERSITY_GINI: 0.1386858, SHANNON_ENTROPY: 11.4322147, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5505175552985999, 'l1_ratio': 0.08763514466828283} - results: ROC_AUC: 0.1517457, PRECISION: 0.0307840, PRECISION_RECALL_MIN_DEN: 0.1138497, RECALL: 0.1110634, MAP: 0.0514779, MRR: 0.1085408, NDCG: 0.0787843, F1: 0.0482035, HIT_RATE: 0.3078401, ARHR: 0.1221876, NOVELTY: 0.0047869, AVERAGE_POPULARITY: 0.1064732, DIVERSITY_MEAN_INTER_LIST: 0.9849212, DIVERSITY_HERFINDAHL: 0.9984735, COVERAGE_ITEM: 0.4308989, COVERAGE_ITEM_CORRECT: 0.0348874, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1596577, DIVERSITY_GINI: 0.1389756, SHANNON_ENTROPY: 11.4523301, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.43787311284109987, 'l1_ratio': 0.06703334563474463} - results: ROC_AUC: 0.1544141, PRECISION: 0.0315422, PRECISION_RECALL_MIN_DEN: 0.1170802, RECALL: 0.1142416, MAP: 0.0527677, MRR: 0.1106030, NDCG: 0.0807779, F1: 0.0494328, HIT_RATE: 0.3154218, ARHR: 0.1246178, NOVELTY: 0.0047852, AVERAGE_POPULARITY: 0.1061166, DIVERSITY_MEAN_INTER_LIST: 0.9850151, DIVERSITY_HERFINDAHL: 0.9984828, COVERAGE_ITEM: 0.4309836, COVERAGE_ITEM_CORRECT: 0.0363118, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1631559, DIVERSITY_GINI: 0.1392782, SHANNON_ENTROPY: 11.4589608, 
