
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.4137511907513143, 'l1_ratio': 0.2562027806859107} - results: ROC_AUC: 0.1586017, PRECISION: 0.0324437, PRECISION_RECALL_MIN_DEN: 0.1218347, RECALL: 0.1189814, MAP: 0.0553861, MRR: 0.1139121, NDCG: 0.0841393, F1: 0.0509806, HIT_RATE: 0.3244369, ARHR: 0.1284851, NOVELTY: 0.0047697, AVERAGE_POPULARITY: 0.1031805, DIVERSITY_MEAN_INTER_LIST: 0.9849903, DIVERSITY_HERFINDAHL: 0.9984804, COVERAGE_ITEM: 0.4859211, COVERAGE_ITEM_CORRECT: 0.0397074, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1671323, DIVERSITY_GINI: 0.1709017, SHANNON_ENTROPY: 11.6852733, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.3725268186828182, 'l1_ratio': 0.042358138510961714} - results: ROC_AUC: 0.1411199, PRECISION: 0.0284908, PRECISION_RECALL_MIN_DEN: 0.1053742, RECALL: 0.1027540, MAP: 0.0482025, MRR: 0.1016399, NDCG: 0.0733661, F1: 0.0446092, HIT_RATE: 0.2849081, ARHR: 0.1140198, NOVELTY: 0.0047530, AVERAGE_POPULARITY: 0.1159071, DIVERSITY_MEAN_INTER_LIST: 0.9814102, DIVERSITY_HERFINDAHL: 0.9981224, COVERAGE_ITEM: 0.4317690, COVERAGE_ITEM_CORRECT: 0.0309220, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1487102, DIVERSITY_GINI: 0.1336567, SHANNON_ENTROPY: 11.2689334, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.6599039495739978, 'l1_ratio': 0.3385126706413007} - results: ROC_AUC: 0.1448724, PRECISION: 0.0305198, PRECISION_RECALL_MIN_DEN: 0.1115222, RECALL: 0.1086265, MAP: 0.0492057, MRR: 0.1037927, NDCG: 0.0759856, F1: 0.0476491, HIT_RATE: 0.3051981, ARHR: 0.1176125, NOVELTY: 0.0048720, AVERAGE_POPULARITY: 0.0688623, DIVERSITY_MEAN_INTER_LIST: 0.9927050, DIVERSITY_HERFINDAHL: 0.9992517, COVERAGE_ITEM: 0.5721116, COVERAGE_ITEM_CORRECT: 0.0409548, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1560086, DIVERSITY_GINI: 0.2508657, SHANNON_ENTROPY: 12.5351932, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.11529351889252984, 'l1_ratio': 0.7130904176770374} - results: ROC_AUC: 0.1524326, PRECISION: 0.0314883, PRECISION_RECALL_MIN_DEN: 0.1187332, RECALL: 0.1159096, MAP: 0.0533782, MRR: 0.1097734, NDCG: 0.0813382, F1: 0.0495204, HIT_RATE: 0.3148828, ARHR: 0.1236797, NOVELTY: 0.0047678, AVERAGE_POPULARITY: 0.1104340, DIVERSITY_MEAN_INTER_LIST: 0.9829721, DIVERSITY_HERFINDAHL: 0.9982786, COVERAGE_ITEM: 0.4598653, COVERAGE_ITEM_CORRECT: 0.0373282, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1625519, DIVERSITY_GINI: 0.1520229, SHANNON_ENTROPY: 11.4741420, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8962425946404531, 'l1_ratio': 0.34811743342128826} - results: ROC_AUC: 0.1231872, PRECISION: 0.0260595, PRECISION_RECALL_MIN_DEN: 0.0941293, RECALL: 0.0914281, MAP: 0.0403250, MRR: 0.0867741, NDCG: 0.0631239, F1: 0.0405561, HIT_RATE: 0.2605949, ARHR: 0.0980465, NOVELTY: 0.0049765, AVERAGE_POPULARITY: 0.0413605, DIVERSITY_MEAN_INTER_LIST: 0.9965146, DIVERSITY_HERFINDAHL: 0.9996326, COVERAGE_ITEM: 0.6034110, COVERAGE_ITEM_CORRECT: 0.0392146, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1347678, DIVERSITY_GINI: 0.2911901, SHANNON_ENTROPY: 12.9861464, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.129149296406928, 'l1_ratio': 0.7552161703983894} - results: ROC_AUC: 0.1548999, PRECISION: 0.0318748, PRECISION_RECALL_MIN_DEN: 0.1204175, RECALL: 0.1175837, MAP: 0.0541118, MRR: 0.1111042, NDCG: 0.0824710, F1: 0.0501509, HIT_RATE: 0.3187478, ARHR: 0.1252496, NOVELTY: 0.0047666, AVERAGE_POPULARITY: 0.1081850, DIVERSITY_MEAN_INTER_LIST: 0.9835774, DIVERSITY_HERFINDAHL: 0.9983391, COVERAGE_ITEM: 0.4694668, COVERAGE_ITEM_CORRECT: 0.0382830, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1642381, DIVERSITY_GINI: 0.1587917, SHANNON_ENTROPY: 11.5473409, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.41328016959747316, 'l1_ratio': 0.7257608280604536} - results: ROC_AUC: 0.1396923, PRECISION: 0.0294016, PRECISION_RECALL_MIN_DEN: 0.1071490, RECALL: 0.1043036, MAP: 0.0469325, MRR: 0.0995526, NDCG: 0.0727339, F1: 0.0458691, HIT_RATE: 0.2940158, ARHR: 0.1126493, NOVELTY: 0.0048783, AVERAGE_POPULARITY: 0.0656006, DIVERSITY_MEAN_INTER_LIST: 0.9931272, DIVERSITY_HERFINDAHL: 0.9992939, COVERAGE_ITEM: 0.5801886, COVERAGE_ITEM_CORRECT: 0.0399615, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1506984, DIVERSITY_GINI: 0.2597938, SHANNON_ENTROPY: 12.6097541, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6442358878486807, 'l1_ratio': 0.8272725295374622} - results: ROC_AUC: 0.1104998, PRECISION: 0.0231520, PRECISION_RECALL_MIN_DEN: 0.0852152, RECALL: 0.0827573, MAP: 0.0363582, MRR: 0.0776306, NDCG: 0.0568120, F1: 0.0361779, HIT_RATE: 0.2315201, ARHR: 0.0870236, NOVELTY: 0.0049998, AVERAGE_POPULARITY: 0.0337948, DIVERSITY_MEAN_INTER_LIST: 0.9970336, DIVERSITY_HERFINDAHL: 0.9996845, COVERAGE_ITEM: 0.6120885, COVERAGE_ITEM_CORRECT: 0.0373436, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1215301, DIVERSITY_GINI: 0.3032078, SHANNON_ENTROPY: 13.0893021, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.7298661650104195, 'l1_ratio': 0.7416757270291912} - results: ROC_AUC: 0.1068239, PRECISION: 0.0224585, PRECISION_RECALL_MIN_DEN: 0.0825119, RECALL: 0.0801094, MAP: 0.0349120, MRR: 0.0748771, NDCG: 0.0547611, F1: 0.0350784, HIT_RATE: 0.2245848, ARHR: 0.0837979, NOVELTY: 0.0050126, AVERAGE_POPULARITY: 0.0305440, DIVERSITY_MEAN_INTER_LIST: 0.9972242, DIVERSITY_HERFINDAHL: 0.9997035, COVERAGE_ITEM: 0.6139211, COVERAGE_ITEM_CORRECT: 0.0370433, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1183843, DIVERSITY_GINI: 0.3062782, SHANNON_ENTROPY: 13.1213975, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.6177441788325927, 'l1_ratio': 0.3124017397157611} - results: ROC_AUC: 0.1500808, PRECISION: 0.0314252, PRECISION_RECALL_MIN_DEN: 0.1154282, RECALL: 0.1125141, MAP: 0.0513670, MRR: 0.1075831, NDCG: 0.0789749, F1: 0.0491260, HIT_RATE: 0.3142525, ARHR: 0.1218817, NOVELTY: 0.0048399, AVERAGE_POPULARITY: 0.0774279, DIVERSITY_MEAN_INTER_LIST: 0.9910360, DIVERSITY_HERFINDAHL: 0.9990848, COVERAGE_ITEM: 0.5571203, COVERAGE_ITEM_CORRECT: 0.0410472, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1607399, DIVERSITY_GINI: 0.2341109, SHANNON_ENTROPY: 12.3539027, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.35216201597593294, 'l1_ratio': 0.9082676877409432} - results: ROC_AUC: 0.1384383, PRECISION: 0.0292046, PRECISION_RECALL_MIN_DEN: 0.1065059, RECALL: 0.1036546, MAP: 0.0464671, MRR: 0.0986519, NDCG: 0.0721079, F1: 0.0455660, HIT_RATE: 0.2920458, ARHR: 0.1116405, NOVELTY: 0.0048794, AVERAGE_POPULARITY: 0.0648956, DIVERSITY_MEAN_INTER_LIST: 0.9932221, DIVERSITY_HERFINDAHL: 0.9993034, COVERAGE_ITEM: 0.5818595, COVERAGE_ITEM_CORRECT: 0.0399230, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1496665, DIVERSITY_GINI: 0.2615035, SHANNON_ENTROPY: 12.6248804, 
