
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.46098090312181206, 'l1_ratio': 0.6929371146128441} - results: ROC_AUC: 0.1172713, PRECISION: 0.0240088, PRECISION_RECALL_MIN_DEN: 0.0921469, RECALL: 0.0898555, MAP: 0.0398074, MRR: 0.0819224, NDCG: 0.0614817, F1: 0.0378898, HIT_RATE: 0.2400876, ARHR: 0.0912008, NOVELTY: 0.0049801, AVERAGE_POPULARITY: 0.0400075, DIVERSITY_MEAN_INTER_LIST: 0.9965315, DIVERSITY_HERFINDAHL: 0.9996343, COVERAGE_ITEM: 0.6034803, COVERAGE_ITEM_CORRECT: 0.0383369, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1277967, DIVERSITY_GINI: 0.2934992, SHANNON_ENTROPY: 13.0062644, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9651795408496328, 'l1_ratio': 0.8452005352337474} - results: ROC_AUC: 0.0892070, PRECISION: 0.0184481, PRECISION_RECALL_MIN_DEN: 0.0694993, RECALL: 0.0675634, MAP: 0.0290315, MRR: 0.0611661, NDCG: 0.0455792, F1: 0.0289788, HIT_RATE: 0.1844809, ARHR: 0.0678363, NOVELTY: 0.0050473, AVERAGE_POPULARITY: 0.0198610, DIVERSITY_MEAN_INTER_LIST: 0.9975798, DIVERSITY_HERFINDAHL: 0.9997391, COVERAGE_ITEM: 0.6207199, COVERAGE_ITEM_CORRECT: 0.0342098, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0989052, DIVERSITY_GINI: 0.3165931, SHANNON_ENTROPY: 13.2081536, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9744549921239212, 'l1_ratio': 0.9049270857511404} - results: ROC_AUC: 0.0883103, PRECISION: 0.0182093, PRECISION_RECALL_MIN_DEN: 0.0687173, RECALL: 0.0668154, MAP: 0.0286902, MRR: 0.0605112, NDCG: 0.0450606, F1: 0.0286151, HIT_RATE: 0.1820934, ARHR: 0.0670293, NOVELTY: 0.0050478, AVERAGE_POPULARITY: 0.0194529, DIVERSITY_MEAN_INTER_LIST: 0.9975883, DIVERSITY_HERFINDAHL: 0.9997399, COVERAGE_ITEM: 0.6208431, COVERAGE_ITEM_CORRECT: 0.0339018, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0978986, DIVERSITY_GINI: 0.3169560, SHANNON_ENTROPY: 13.2108566, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.24425718775580524, 'l1_ratio': 0.3144219857187113} - results: ROC_AUC: 0.1575647, PRECISION: 0.0327097, PRECISION_RECALL_MIN_DEN: 0.1241247, RECALL: 0.1212558, MAP: 0.0557739, MRR: 0.1133457, NDCG: 0.0847793, F1: 0.0515168, HIT_RATE: 0.3270967, ARHR: 0.1281580, NOVELTY: 0.0047700, AVERAGE_POPULARITY: 0.0973242, DIVERSITY_MEAN_INTER_LIST: 0.9864136, DIVERSITY_HERFINDAHL: 0.9986227, COVERAGE_ITEM: 0.5083272, COVERAGE_ITEM_CORRECT: 0.0413782, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1680131, DIVERSITY_GINI: 0.1892328, SHANNON_ENTROPY: 11.8703181, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.673252473044033, 'l1_ratio': 0.573137329789736} - results: ROC_AUC: 0.1063047, PRECISION: 0.0220570, PRECISION_RECALL_MIN_DEN: 0.0833273, RECALL: 0.0810361, MAP: 0.0354569, MRR: 0.0742235, NDCG: 0.0551504, F1: 0.0346726, HIT_RATE: 0.2205697, ARHR: 0.0826789, NOVELTY: 0.0050161, AVERAGE_POPULARITY: 0.0304178, DIVERSITY_MEAN_INTER_LIST: 0.9972204, DIVERSITY_HERFINDAHL: 0.9997031, COVERAGE_ITEM: 0.6129278, COVERAGE_ITEM_CORRECT: 0.0371896, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1172266, DIVERSITY_GINI: 0.3055995, SHANNON_ENTROPY: 13.1201938, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9210756107483908, 'l1_ratio': 0.4515099798341491} - results: ROC_AUC: 0.1054642, PRECISION: 0.0221368, PRECISION_RECALL_MIN_DEN: 0.0813612, RECALL: 0.0789137, MAP: 0.0343021, MRR: 0.0735585, NDCG: 0.0537560, F1: 0.0345706, HIT_RATE: 0.2213681, ARHR: 0.0823639, NOVELTY: 0.0050249, AVERAGE_POPULARITY: 0.0280959, DIVERSITY_MEAN_INTER_LIST: 0.9973404, DIVERSITY_HERFINDAHL: 0.9997151, COVERAGE_ITEM: 0.6144524, COVERAGE_ITEM_CORRECT: 0.0372974, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1169246, DIVERSITY_GINI: 0.3074929, SHANNON_ENTROPY: 13.1394584, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.04764535413849093, 'l1_ratio': 0.59447084814895} - results: ROC_AUC: 0.1548995, PRECISION: 0.0317701, PRECISION_RECALL_MIN_DEN: 0.1186418, RECALL: 0.1157645, MAP: 0.0539583, MRR: 0.1119175, NDCG: 0.0820141, F1: 0.0498532, HIT_RATE: 0.3177010, ARHR: 0.1263336, NOVELTY: 0.0047053, AVERAGE_POPULARITY: 0.1224145, DIVERSITY_MEAN_INTER_LIST: 0.9788479, DIVERSITY_HERFINDAHL: 0.9978662, COVERAGE_ITEM: 0.4420789, COVERAGE_ITEM_CORRECT: 0.0366660, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1635082, DIVERSITY_GINI: 0.1375620, SHANNON_ENTROPY: 11.2068132, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6825218278046773, 'l1_ratio': 0.5415866677450187} - results: ROC_AUC: 0.1079392, PRECISION: 0.0224510, PRECISION_RECALL_MIN_DEN: 0.0846818, RECALL: 0.0823446, MAP: 0.0360506, MRR: 0.0754211, NDCG: 0.0560599, F1: 0.0352796, HIT_RATE: 0.2245100, ARHR: 0.0841452, NOVELTY: 0.0050124, AVERAGE_POPULARITY: 0.0315321, DIVERSITY_MEAN_INTER_LIST: 0.9971617, DIVERSITY_HERFINDAHL: 0.9996973, COVERAGE_ITEM: 0.6116574, COVERAGE_ITEM_CORRECT: 0.0374129, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1189128, DIVERSITY_GINI: 0.3040136, SHANNON_ENTROPY: 13.1072790, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.017304141261974552, 'l1_ratio': 0.3068070827812674} - results: ROC_AUC: 0.1408702, PRECISION: 0.0282363, PRECISION_RECALL_MIN_DEN: 0.1049932, RECALL: 0.1024579, MAP: 0.0478589, MRR: 0.1008192, NDCG: 0.0729461, F1: 0.0442667, HIT_RATE: 0.2823627, ARHR: 0.1129184, NOVELTY: 0.0046777, AVERAGE_POPULARITY: 0.1319261, DIVERSITY_MEAN_INTER_LIST: 0.9754398, DIVERSITY_HERFINDAHL: 0.9975255, COVERAGE_ITEM: 0.4078922, COVERAGE_ITEM_CORRECT: 0.0289201, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1481817, DIVERSITY_GINI: 0.1165952, SHANNON_ENTROPY: 10.9237154, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'alpha': 0.17669196327123107, 'l1_ratio': 0.3076285474940705} - results: ROC_AUC: 0.1593910, PRECISION: 0.0330355, PRECISION_RECALL_MIN_DEN: 0.1249019, RECALL: 0.1219609, MAP: 0.0563723, MRR: 0.1150524, NDCG: 0.0856283, F1: 0.0519849, HIT_RATE: 0.3303555, ARHR: 0.1301630, NOVELTY: 0.0047384, AVERAGE_POPULARITY: 0.1089970, DIVERSITY_MEAN_INTER_LIST: 0.9831711, DIVERSITY_HERFINDAHL: 0.9982985, COVERAGE_ITEM: 0.4799769, COVERAGE_ITEM_CORRECT: 0.0403311, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1690198, DIVERSITY_GINI: 0.1647901, SHANNON_ENTROPY: 11.5680413, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.9360629729825892, 'l1_ratio': 0.12505644093361837} - results: ROC_AUC: 0.1551601, PRECISION: 0.0323196, PRECISION_RECALL_MIN_DEN: 0.1205187, RECALL: 0.1176971, MAP: 0.0533285, MRR: 0.1109550, NDCG: 0.0821071, F1: 0.0507095, HIT_RATE: 0.3231963, ARHR: 0.1254797, NOVELTY: 0.0048337, AVERAGE_POPULARITY: 0.0811886, DIVERSITY_MEAN_INTER_LIST: 0.9905487, DIVERSITY_HERFINDAHL: 0.9990361, COVERAGE_ITEM: 0.5355996, COVERAGE_ITEM_CORRECT: 0.0417555, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1664779, DIVERSITY_GINI: 0.2149155, SHANNON_ENTROPY: 12.2140459, 
