
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6420162568080139, 'l1_ratio': 0.6791442081869561} - results: ROC_AUC: 0.1170936, PRECISION: 0.0245089, PRECISION_RECALL_MIN_DEN: 0.0909620, RECALL: 0.0884399, MAP: 0.0389923, MRR: 0.0824590, NDCG: 0.0607443, F1: 0.0383772, HIT_RATE: 0.2450889, ARHR: 0.0924893, NOVELTY: 0.0049706, AVERAGE_POPULARITY: 0.0411475, DIVERSITY_MEAN_INTER_LIST: 0.9964143, DIVERSITY_HERFINDAHL: 0.9996226, COVERAGE_ITEM: 0.6067911, COVERAGE_ITEM_CORRECT: 0.0380520, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1284007, DIVERSITY_GINI: 0.2950980, SHANNON_ENTROPY: 13.0016497, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9893173690693929, 'l1_ratio': 0.16062614946473944} - results: ROC_AUC: 0.1344686, PRECISION: 0.0274644, PRECISION_RECALL_MIN_DEN: 0.1076204, RECALL: 0.1052561, MAP: 0.0474467, MRR: 0.0953574, NDCG: 0.0724511, F1: 0.0435575, HIT_RATE: 0.2746443, ARHR: 0.1065329, NOVELTY: 0.0048878, AVERAGE_POPULARITY: 0.0624028, DIVERSITY_MEAN_INTER_LIST: 0.9936545, DIVERSITY_HERFINDAHL: 0.9993466, COVERAGE_ITEM: 0.5759076, COVERAGE_ITEM_CORRECT: 0.0399692, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1450359, DIVERSITY_GINI: 0.2595236, SHANNON_ENTROPY: 12.6491169, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.7123761145035918, 'l1_ratio': 0.06450811660075141} - results: ROC_AUC: 0.1547588, PRECISION: 0.0317237, PRECISION_RECALL_MIN_DEN: 0.1190606, RECALL: 0.1162099, MAP: 0.0541673, MRR: 0.1113795, NDCG: 0.0821962, F1: 0.0498375, HIT_RATE: 0.3172371, ARHR: 0.1256412, NOVELTY: 0.0047511, AVERAGE_POPULARITY: 0.1135995, DIVERSITY_MEAN_INTER_LIST: 0.9819301, DIVERSITY_HERFINDAHL: 0.9981744, COVERAGE_ITEM: 0.4533051, COVERAGE_ITEM_CORRECT: 0.0372127, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1632817, DIVERSITY_GINI: 0.1468794, SHANNON_ENTROPY: 11.3884153, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.15834814089371, 'l1_ratio': 0.12181537318052651} - results: ROC_AUC: 0.1395658, PRECISION: 0.0283199, PRECISION_RECALL_MIN_DEN: 0.1048771, RECALL: 0.1022478, MAP: 0.0478566, MRR: 0.1005112, NDCG: 0.0728426, F1: 0.0443522, HIT_RATE: 0.2831990, ARHR: 0.1127180, NOVELTY: 0.0047540, AVERAGE_POPULARITY: 0.1163795, DIVERSITY_MEAN_INTER_LIST: 0.9812101, DIVERSITY_HERFINDAHL: 0.9981024, COVERAGE_ITEM: 0.4343869, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1476784, DIVERSITY_GINI: 0.1350424, SHANNON_ENTROPY: 11.2765007, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.03808449625885258, 'l1_ratio': 0.1644504546414223} - results: ROC_AUC: 0.1366540, PRECISION: 0.0275844, PRECISION_RECALL_MIN_DEN: 0.1018408, RECALL: 0.0992505, MAP: 0.0466531, MRR: 0.0986117, NDCG: 0.0709814, F1: 0.0431680, HIT_RATE: 0.2758436, ARHR: 0.1104134, NOVELTY: 0.0047517, AVERAGE_POPULARITY: 0.1166995, DIVERSITY_MEAN_INTER_LIST: 0.9811154, DIVERSITY_HERFINDAHL: 0.9980930, COVERAGE_ITEM: 0.4345486, COVERAGE_ITEM_CORRECT: 0.0296439, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1441802, DIVERSITY_GINI: 0.1347557, SHANNON_ENTROPY: 11.2699454, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.1836461783884197, 'l1_ratio': 0.8164249947707231} - results: ROC_AUC: 0.1560941, PRECISION: 0.0322162, PRECISION_RECALL_MIN_DEN: 0.1206437, RECALL: 0.1177904, MAP: 0.0545897, MRR: 0.1126002, NDCG: 0.0830904, F1: 0.0505914, HIT_RATE: 0.3221622, ARHR: 0.1271003, NOVELTY: 0.0047712, AVERAGE_POPULARITY: 0.0986503, DIVERSITY_MEAN_INTER_LIST: 0.9859937, DIVERSITY_HERFINDAHL: 0.9985807, COVERAGE_ITEM: 0.5083041, COVERAGE_ITEM_CORRECT: 0.0401925, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1650434, DIVERSITY_GINI: 0.1878088, SHANNON_ENTROPY: 11.8439351, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.13408724636892724, 'l1_ratio': 0.9628636486013806} - results: ROC_AUC: 0.1567895, PRECISION: 0.0322767, PRECISION_RECALL_MIN_DEN: 0.1214203, RECALL: 0.1185643, MAP: 0.0549430, MRR: 0.1129566, NDCG: 0.0835634, F1: 0.0507354, HIT_RATE: 0.3227669, ARHR: 0.1272955, NOVELTY: 0.0047657, AVERAGE_POPULARITY: 0.1031019, DIVERSITY_MEAN_INTER_LIST: 0.9848771, DIVERSITY_HERFINDAHL: 0.9984690, COVERAGE_ITEM: 0.4919269, COVERAGE_ITEM_CORRECT: 0.0397305, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1663017, DIVERSITY_GINI: 0.1750209, SHANNON_ENTROPY: 11.7122096, 
